GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAS5E001,AAS5E002,AAS5E003,AAS5E004,AAS5E005,AAS5E006,AAS5E007,AAS5E008,AAS5E009,AAS5E010,AAS5E011,AAS5E012,AAS5E013,AAS5E014,AAS5E015,AAS5E016,AAS5E017,NAME_M,AAS5M001,AAS5M002,AAS5M003,AAS5M004,AAS5M005,AAS5M006,AAS5M007,AAS5M008,AAS5M009,AAS5M010,AAS5M011,AAS5M012,AAS5M013,AAS5M014,AAS5M015,AAS5M016,AAS5M017
"G3500610","2014","NM",,,"New Mexico","35","Valencia County","061",,,,,,,,,,,,,,,,,,"05000US35061","Valencia County, New Mexico",26595,3734,1866,2067,1678,1396,1533,1329,1132,1071,1677,2407,3421,1653,1058,394,179,"Valencia County, New Mexico",1203,957,757,850,670,532,519,592,475,455,695,781,912,666,518,289,182
"G3600010","2014","NY",,,"New York","36","Albany County","001",,,,,,,,,,,,,,,,,,"05000US36001","Albany County, New York",124716,7884,5590,5776,5325,5038,5926,5092,6972,5094,8911,12186,16518,12008,8482,7654,6260,"Albany County, New York",2418,1603,1223,1359,1134,1036,1346,1040,1324,1118,1487,1449,1684,1494,1293,1120,1030
"G3600050","2014","NY",,,"New York","36","Bronx County","005",,,,,,,,,,,,,,,,,,"05000US36005","Bronx County, New York",492481,80863,45953,39996,31774,26500,25665,26764,24601,16712,35479,38798,42291,23416,13652,11540,8477,"Bronx County, New York",3016,4305,3388,3319,2954,2745,2426,2338,2473,2052,3025,3054,3725,2353,2199,1565,1161
"G3600070","2014","NY",,,"New York","36","Broome County","007",,,,,,,,,,,,,,,,,,"05000US36007","Broome County, New York",78810,8032,4475,4706,3789,4494,4574,3640,4489,3211,7043,7795,8627,6777,3288,2346,1524,"Broome County, New York",1581,1251,1004,978,884,861,944,740,1168,713,1346,1269,1257,1190,822,657,555
"G3600090","2014","NY",,,"New York","36","Cattaraugus County","009",,,,,,,,,,,,,,,,,,"05000US36009","Cattaraugus County, New York",30735,2162,2142,2183,1842,2027,1903,1634,1670,1001,2576,3657,3756,1879,1182,723,398,"Cattaraugus County, New York",1061,487,522,471,508,464,520,447,418,238,544,709,579,370,352,328,159
"G3600110","2014","NY",,,"New York","36","Cayuga County","011",,,,,,,,,,,,,,,,,,"05000US36011","Cayuga County, New York",31290,1857,1822,1624,1372,1583,1923,1766,1497,1115,2938,4417,3603,2370,1930,1163,310,"Cayuga County, New York",1091,576,550,540,449,468,651,406,476,341,652,854,679,452,584,374,159
"G3600130","2014","NY",,,"New York","36","Chautauqua County","013",,,,,,,,,,,,,,,,,,"05000US36013","Chautauqua County, New York",52916,4847,4185,4043,3632,2347,3154,2925,3028,2774,3688,5870,6337,3148,1375,769,794,"Chautauqua County, New York",1601,945,762,837,629,623,647,626,717,580,608,769,950,562,364,278,315
"G3600150","2014","NY",,,"New York","36","Chemung County","015",,,,,,,,,,,,,,,,,,"05000US36015","Chemung County, New York",34617,3337,1655,1753,2046,1484,1831,1678,2202,1225,3096,3397,4129,3229,1068,1303,1184,"Chemung County, New York",1154,857,629,465,681,536,548,554,708,474,634,784,847,773,484,497,419
"G3600190","2014","NY",,,"New York","36","Clinton County","019",,,,,,,,,,,,,,,,,,"05000US36019","Clinton County, New York",31426,2720,1546,1654,1945,1328,1497,1883,1387,862,2538,3675,4604,2380,1473,1391,543,"Clinton County, New York",1112,700,584,547,621,608,492,760,512,419,687,752,968,602,616,647,254
"G3600270","2014","NY",,,"New York","36","Dutchess County","027",,,,,,,,,,,,,,,,,,"05000US36027","Dutchess County, New York",104190,4746,4383,3921,4336,4529,3418,4208,3716,3272,7966,9967,15041,10517,8144,8790,7236,"Dutchess County, New York",2449,1070,1091,887,1090,1029,981,839,760,778,1195,1522,1829,1499,1151,986,1070
"G3600290","2014","NY",,,"New York","36","Erie County","029",,,,,,,,,,,,,,,,,,"05000US36029","Erie County, New York",383657,30495,23547,20229,22596,20226,20669,18418,18758,16356,28003,37161,45906,34300,19166,14940,12887,"Erie County, New York",3313,2888,1887,1897,2068,1822,1964,2002,2032,1769,2125,2924,2830,2463,1699,1619,1858
"G3600450","2014","NY",,,"New York","36","Jefferson County","045",,,,,,,,,,,,,,,,,,"05000US36045","Jefferson County, New York",43516,3047,2531,1995,1350,2704,2036,2217,3172,2164,3925,6153,5581,2958,1494,1017,1172,"Jefferson County, New York",1464,878,740,565,422,800,752,592,953,845,792,1193,1069,680,442,365,491
"G3600470","2014","NY",,,"New York","36","Kings County","047",,,,,,,,,,,,,,,,,,"05000US36047","Kings County, New York",942402,110797,60355,54703,53567,43164,42327,44560,41270,32212,62046,82876,103360,69126,40072,48495,53472,"Kings County, New York",4290,4516,4178,3491,3116,3070,2424,3017,3127,3073,3385,3747,4618,3486,3236,3062,3371
"G3600510","2014","NY",,,"New York","36","Livingston County","051",,,,,,,,,,,,,,,,,,"05000US36051","Livingston County, New York",25334,1535,642,2537,1473,845,2230,1349,967,1457,2657,2030,3336,2193,1038,625,420,"Livingston County, New York",754,435,249,797,550,421,700,443,371,408,608,511,611,588,386,335,242
"G3600530","2014","NY",,,"New York","36","Madison County","053",,,,,,,,,,,,,,,,,,"05000US36053","Madison County, New York",25932,1381,803,1010,1459,1672,1559,1638,1142,1836,2666,2610,3577,1818,944,983,834,"Madison County, New York",1084,399,323,385,553,503,572,539,465,628,646,613,659,499,442,376,328
"G3600550","2014","NY",,,"New York","36","Monroe County","055",,,,,,,,,,,,,,,,,,"05000US36055","Monroe County, New York",298271,20996,14496,15839,18397,16038,16582,15172,14656,13296,23980,29013,36649,24405,14679,13080,10993,"Monroe County, New York",3121,2043,1767,2148,2160,2051,1802,1713,1786,1649,2378,2262,2198,2039,1835,1492,1235
"G3600590","2014","NY",,,"New York","36","Nassau County","059",,,,,,,,,,,,,,,,,,"05000US36059","Nassau County, New York",440168,13805,9979,13069,12416,14399,13117,10318,11819,10362,22248,36784,53441,50137,36922,56467,74885,"Nassau County, New York",2552,1579,1567,1646,1816,2117,1458,1577,1781,1757,2367,2538,2925,3639,2616,3173,3317
"G3600610","2014","NY",,,"New York","36","New York County","061",,,,,,,,,,,,,,,,,,"05000US36061","New York County, New York",762228,78800,37040,30569,28106,25473,22908,25941,19156,16624,38274,53864,78392,63093,43544,61122,139322,"New York County, New York",8765,5876,3386,3275,3096,2715,2934,3411,2350,2344,3844,4817,5999,4781,3952,5115,5307
"G3600630","2014","NY",,,"New York","36","Niagara County","063",,,,,,,,,,,,,,,,,,"05000US36063","Niagara County, New York",86907,7116,5007,5049,4857,5071,4526,3288,4147,4563,7559,10315,11291,5610,4035,2480,1993,"Niagara County, New York",1623,1187,972,1006,769,1144,854,736,953,1054,1213,1241,1564,844,1082,676,682
"G3600650","2014","NY",,,"New York","36","Oneida County","065",,,,,,,,,,,,,,,,,,"05000US36065","Oneida County, New York",90583,5958,6018,4871,6751,5182,6048,3781,3737,3937,7286,11042,10686,6735,3443,2867,2241,"Oneida County, New York",2059,913,1208,918,1036,841,1067,795,731,890,1172,1635,1442,1048,745,741,628
"G3600670","2014","NY",,,"New York","36","Onondaga County","067",,,,,,,,,,,,,,,,,,"05000US36067","Onondaga County, New York",185474,14996,10011,9364,8562,10393,8633,9575,7800,8058,15554,19755,22172,14967,10077,7439,8118,"Onondaga County, New York",2280,1816,1307,1327,1144,1424,1361,1260,858,1252,1586,1710,1810,1702,1230,1046,1234
"G3600690","2014","NY",,,"New York","36","Ontario County","069",,,,,,,,,,,,,,,,,,"05000US36069","Ontario County, New York",43581,1682,1991,2431,3415,2069,2299,2550,1691,1080,2819,5487,6528,4519,2095,982,1943,"Ontario County, New York",1260,541,643,634,990,538,568,785,543,364,673,974,1050,876,533,495,654
"G3600710","2014","NY",,,"New York","36","Orange County","071",,,,,,,,,,,,,,,,,,"05000US36071","Orange County, New York",124587,8417,4766,5483,4709,4280,4038,5012,4676,3820,8996,11490,17419,13953,10199,10954,6375,"Orange County, New York",2048,1218,963,1199,866,988,834,1214,1082,873,1305,1516,1856,1486,1651,1642,1066
"G3600750","2014","NY",,,"New York","36","Oswego County","075",,,,,,,,,,,,,,,,,,"05000US36075","Oswego County, New York",45646,3750,2878,2897,2474,2711,2409,2278,2624,1574,3612,4463,6267,3380,1940,1593,796,"Oswego County, New York",1430,830,659,790,715,670,603,651,765,542,744,815,996,695,536,563,426
"G3600790","2014","NY",,,"New York","36","Putnam County","079",,,,,,,,,,,,,,,,,,"05000US36079","Putnam County, New York",34234,622,758,812,1260,950,1360,1328,658,582,1546,2981,4459,4660,3446,4219,4593,"Putnam County, New York",1134,331,443,417,572,445,724,515,296,347,580,945,927,953,829,874,968
"G3600810","2014","NY",,,"New York","36","Queens County","081",,,,,,,,,,,,,,,,,,"05000US36081","Queens County, New York",785985,59255,36490,38813,42954,34889,32165,31120,37851,28598,62455,83342,100440,70283,43076,50490,33764,"Queens County, New York",3862,4116,2963,2984,3479,2876,2972,2697,3124,2730,4371,4450,3968,3647,3015,3297,2442
"G3600830","2014","NY",,,"New York","36","Rensselaer County","083",,,,,,,,,,,,,,,,,,"05000US36083","Rensselaer County, New York",63289,3411,3133,2191,3498,2236,3564,2777,3053,2517,4635,7674,9418,6109,4067,2977,2029,"Rensselaer County, New York",1544,872,868,657,867,688,1044,769,932,794,821,1319,1468,1053,919,695,660
"G3600850","2014","NY",,,"New York","36","Richmond County","085",,,,,,,,,,,,,,,,,,"05000US36085","Richmond County, New York",164971,13820,7066,7730,6431,6633,5739,5286,5328,4573,8786,14808,23451,17765,11237,14567,11751,"Richmond County, New York",1697,1980,1393,1479,1475,1467,1197,1249,1127,979,1581,1745,2414,2029,1790,1569,1667
"G3600870","2014","NY",,,"New York","36","Rockland County","087",,,,,,,,,,,,,,,,,,"05000US36087","Rockland County, New York",98873,3191,4936,3775,3236,3327,3077,2827,2975,4278,4995,8120,11852,11014,7384,10890,12996,"Rockland County, New York",1313,785,1078,863,817,958,816,953,779,1182,980,1337,1607,1332,1056,1264,1470
"G3600890","2014","NY",,,"New York","36","St. Lawrence County","089",,,,,,,,,,,,,,,,,,"05000US36089","St. Lawrence County, New York",40286,2905,3257,2722,2706,2959,2217,1895,1973,1266,3598,3776,5348,2821,828,1165,850,"St. Lawrence County, New York",1431,602,732,757,729,721,501,606,437,477,709,731,801,651,288,362,348
"G3600910","2014","NY",,,"New York","36","Saratoga County","091",,,,,,,,,,,,,,,,,,"05000US36091","Saratoga County, New York",90964,2750,3334,2541,3674,3399,3205,4063,4120,3027,7288,9588,13905,10468,7887,6505,5210,"Saratoga County, New York",1757,688,866,772,777,875,918,897,1046,849,1382,1203,1529,1375,1302,1060,953
"G3600930","2014","NY",,,"New York","36","Schenectady County","093",,,,,,,,,,,,,,,,,,"05000US36093","Schenectady County, New York",56255,3838,3165,2328,2977,2072,3023,2132,2584,2022,4725,6539,7483,5881,3866,1889,1731,"Schenectady County, New York",1614,954,965,752,701,730,901,527,789,623,990,1162,1150,1054,795,517,501
"G3601010","2014","NY",,,"New York","36","Steuben County","101",,,,,,,,,,,,,,,,,,"05000US36101","Steuben County, New York",41046,3414,3062,2593,2207,1757,2610,2236,1717,2174,3619,4516,5308,2709,1456,909,759,"Steuben County, New York",1061,725,611,554,484,410,553,539,523,490,659,767,739,548,477,334,316
"G3601030","2014","NY",,,"New York","36","Suffolk County","103",,,,,,,,,,,,,,,,,,"05000US36103","Suffolk County, New York",493287,19499,13021,15581,14520,14770,15332,14925,17169,15523,29863,46082,63822,58188,41929,55673,57390,"Suffolk County, New York",4392,2353,1887,2080,1929,1940,1731,1895,1922,1908,2692,4030,3358,3235,2781,3462,2794
"G3601050","2014","NY",,,"New York","36","Sullivan County","105",,,,,,,,,,,,,,,,,,"05000US36105","Sullivan County, New York",27524,2236,1649,1529,1373,1372,1718,1418,1097,937,2151,3266,3663,2256,647,1582,630,"Sullivan County, New York",1585,739,720,528,467,561,561,526,382,400,582,795,849,532,362,451,323
"G3601090","2014","NY",,,"New York","36","Tompkins County","109",,,,,,,,,,,,,,,,,,"05000US36109","Tompkins County, New York",38120,4605,1577,1203,1369,2393,2240,1839,2030,1383,2293,3658,4587,3476,1417,1992,2058,"Tompkins County, New York",1565,1031,572,483,650,1102,714,687,824,560,593,886,943,958,408,564,616
"G3601110","2014","NY",,,"New York","36","Ulster County","111",,,,,,,,,,,,,,,,,,"05000US36111","Ulster County, New York",69522,4274,4626,3475,3033,3348,4473,3092,2774,2207,4257,6766,8710,6884,3769,4009,3825,"Ulster County, New York",2130,1029,934,824,730,821,923,950,799,603,892,1524,1352,1064,845,799,767
"G3601130","2014","NY",,,"New York","36","Warren County","113",,,,,,,,,,,,,,,,,,"05000US36113","Warren County, New York",26193,1852,1721,918,1327,1277,1098,1252,1370,977,1913,3321,3365,2759,1117,775,1151,"Warren County, New York",1260,496,483,313,398,395,499,461,478,353,474,804,690,652,308,333,534
"G3601170","2014","NY",,,"New York","36","Wayne County","117",,,,,,,,,,,,,,,,,,"05000US36117","Wayne County, New York",35577,1852,1452,2339,1712,3983,3018,1753,1441,1207,2658,3905,4522,2194,1640,1205,696,"Wayne County, New York",1164,614,482,782,622,814,767,531,383,494,579,688,740,491,521,473,340
"G3601190","2014","NY",,,"New York","36","Westchester County","119",,,,,,,,,,,,,,,,,,"05000US36119","Westchester County, New York",342557,19402,10270,10496,12035,11137,12297,10162,10983,10988,22558,26698,34734,34049,20740,34493,61515,"Westchester County, New York",3234,2015,1521,1611,1803,1738,1795,1313,1717,1520,2217,2459,2441,2748,1803,2261,2428
"G3700010","2014","NC",,,"North Carolina","37","Alamance County","001",,,,,,,,,,,,,,,,,,"05000US37001","Alamance County, North Carolina",62799,5601,5103,3384,4974,4395,4711,3532,3515,3246,4328,5435,5935,3463,2228,1930,1019,"Alamance County, North Carolina",1229,1097,1209,919,921,891,970,839,1099,941,1046,1109,960,687,567,571,313
"G3700190","2014","NC",,,"North Carolina","37","Brunswick County","019",,,,,,,,,,,,,,,,,,"05000US37019","Brunswick County, North Carolina",49842,2894,2637,3458,2497,3722,2823,2791,3162,2522,4316,5439,5619,3276,1797,1391,1498,"Brunswick County, North Carolina",2282,736,943,1025,698,913,883,720,846,822,812,1017,962,937,543,434,520
"G3700210","2014","NC",,,"North Carolina","37","Buncombe County","021",,,,,,,,,,,,,,,,,,"05000US37021","Buncombe County, North Carolina",103299,6682,6358,5980,6572,6437,5489,6620,4633,5196,8918,9972,11850,7970,4027,3836,2759,"Buncombe County, North Carolina",2347,1304,1371,1535,1300,1349,952,1237,1248,1083,1248,1454,1746,1403,971,879,662
"G3700230","2014","NC",,,"North Carolina","37","Burke County","023",,,,,,,,,,,,,,,,,,"05000US37023","Burke County, North Carolina",33214,3954,2778,1896,2548,2949,1797,1470,1483,1531,2705,3139,3287,1727,759,601,590,"Burke County, North Carolina",1510,1011,836,603,798,775,698,497,492,596,734,829,909,552,510,356,305
"G3700250","2014","NC",,,"North Carolina","37","Cabarrus County","025",,,,,,,,,,,,,,,,,,"05000US37025","Cabarrus County, North Carolina",69144,3431,3235,3267,3743,2641,2652,2985,4237,3805,7268,7115,10117,4779,3599,3717,2553,"Cabarrus County, North Carolina",1403,960,739,846,1008,792,769,722,1249,942,1488,1371,1530,974,1042,910,855
"G3700270","2014","NC",,,"North Carolina","37","Caldwell County","027",,,,,,,,,,,,,,,,,,"05000US37027","Caldwell County, North Carolina",30458,3024,2773,1709,2313,1968,2144,1902,1642,1256,3563,2335,2942,1403,793,298,393,"Caldwell County, North Carolina",1438,949,789,521,767,675,775,757,651,490,933,649,762,573,347,181,282
"G3700310","2014","NC",,,"North Carolina","37","Carteret County","031",,,,,,,,,,,,,,,,,,"05000US37031","Carteret County, North Carolina",28773,1977,2107,1632,1799,1462,1616,1575,1335,1203,2702,3193,3342,1843,1243,1267,477,"Carteret County, North Carolina",1334,538,646,517,539,557,557,494,473,382,562,611,590,500,463,437,193
"G3700350","2014","NC",,,"North Carolina","37","Catawba County","035",,,,,,,,,,,,,,,,,,"05000US37035","Catawba County, North Carolina",56304,4253,2800,2788,4251,4475,3661,2896,3258,2594,3957,6582,7371,3174,1345,1777,1122,"Catawba County, North Carolina",2097,1154,802,931,1032,1084,892,706,1112,847,893,1048,1278,793,506,610,397
"G3700370","2014","NC",,,"North Carolina","37","Chatham County","037",,,,,,,,,,,,,,,,,,"05000US37037","Chatham County, North Carolina",28264,1611,2182,1072,1987,1897,636,976,1765,1022,2499,2510,2934,2389,1652,1190,1942,"Chatham County, North Carolina",837,682,880,505,692,828,380,481,670,562,783,730,776,593,617,446,533
"G3700450","2014","NC",,,"North Carolina","37","Cleveland County","045",,,,,,,,,,,,,,,,,,"05000US37045","Cleveland County, North Carolina",37038,3344,3728,3001,2267,2797,2069,1855,2143,2357,3119,3399,3441,1716,458,1001,343,"Cleveland County, North Carolina",1369,970,806,843,715,847,808,535,754,792,791,970,953,549,247,571,247
"G3700490","2014","NC",,,"North Carolina","37","Craven County","049",,,,,,,,,,,,,,,,,,"05000US37049","Craven County, North Carolina",40109,2208,2467,1797,3048,3376,2696,2555,2868,2116,3414,4862,3977,2462,1178,503,582,"Craven County, North Carolina",1276,680,736,694,942,920,862,812,822,693,1035,1207,758,767,518,292,245
"G3700510","2014","NC",,,"North Carolina","37","Cumberland County","051",,,,,,,,,,,,,,,,,,"05000US37051","Cumberland County, North Carolina",122359,10891,6000,6524,9604,8305,9345,6098,8318,6634,10290,10604,12459,7670,3871,3451,2295,"Cumberland County, North Carolina",1713,1385,1058,931,1198,1373,1495,1136,1253,1116,1331,1261,1344,1010,812,921,749
"G3700570","2014","NC",,,"North Carolina","37","Davidson County","057",,,,,,,,,,,,,,,,,,"05000US37057","Davidson County, North Carolina",61896,4881,5234,2754,4739,2630,4377,4476,3609,2571,4324,7275,7054,3729,2253,1230,760,"Davidson County, North Carolina",2261,1313,1238,751,1137,704,975,1290,1023,837,1164,1398,1237,743,648,448,306
"G3700630","2014","NC",,,"North Carolina","37","Durham County","063",,,,,,,,,,,,,,,,,,"05000US37063","Durham County, North Carolina",118565,10813,5863,6240,5969,6410,5848,6357,5911,5205,9973,11018,13744,8495,6008,5231,5480,"Durham County, North Carolina",2350,1773,1314,1477,1172,1435,1156,1314,1363,1271,1703,1555,1716,1548,1157,1060,1062
"G3700670","2014","NC",,,"North Carolina","37","Forsyth County","067",,,,,,,,,,,,,,,,,,"05000US37067","Forsyth County, North Carolina",146198,12124,8724,10382,8054,7907,8927,8454,8251,5750,12336,13833,17264,10089,5218,4499,4386,"Forsyth County, North Carolina",1946,1712,1290,1682,1300,1713,1494,1472,1351,911,1633,1850,1984,1445,1088,874,847
"G3700710","2014","NC",,,"North Carolina","37","Gaston County","071",,,,,,,,,,,,,,,,,,"05000US37071","Gaston County, North Carolina",76610,5274,5944,5752,5877,5093,5666,3883,3367,3899,5698,5913,9515,4217,3235,1892,1385,"Gaston County, North Carolina",1621,1058,1059,1087,1308,1093,1096,839,816,891,1128,892,1407,759,967,640,420
"G3700810","2014","NC",,,"North Carolina","37","Guilford County","081",,,,,,,,,,,,,,,,,,"05000US37081","Guilford County, North Carolina",198860,16116,11804,12287,12281,12499,11628,11956,12589,7962,15951,17717,20921,12388,7729,8168,6864,"Guilford County, North Carolina",2898,1842,1785,1907,1731,1688,1743,1693,1994,1509,2346,1894,2070,1467,1296,1423,1095
"G3700850","2014","NC",,,"North Carolina","37","Harnett County","085",,,,,,,,,,,,,,,,,,"05000US37085","Harnett County, North Carolina",44153,3497,3052,2331,2628,2842,3425,2364,1968,1982,4168,4808,4797,2824,1618,1332,517,"Harnett County, North Carolina",969,703,558,611,657,705,908,560,458,686,909,823,788,761,552,543,253
"G3700890","2014","NC",,,"North Carolina","37","Henderson County","089",,,,,,,,,,,,,,,,,,"05000US37089","Henderson County, North Carolina",45597,2740,3085,2206,3391,3192,3081,2237,1995,2219,4923,4791,5820,2926,1556,743,692,"Henderson County, North Carolina",1461,840,805,867,942,915,930,650,689,693,1164,966,1043,746,461,291,297
"G3700970","2014","NC",,,"North Carolina","37","Iredell County","097",,,,,,,,,,,,,,,,,,"05000US37097","Iredell County, North Carolina",61911,3136,2883,2505,2867,3644,3440,3329,3100,3128,6210,7033,7618,5553,2417,2431,2617,"Iredell County, North Carolina",1535,767,739,730,639,957,713,889,719,749,1220,1197,1124,1040,533,743,673
"G3701010","2014","NC",,,"North Carolina","37","Johnston County","101",,,,,,,,,,,,,,,,,,"05000US37101","Johnston County, North Carolina",63831,4719,3802,2896,3533,3942,3012,3732,3302,3702,4049,6984,7315,5603,3798,2611,831,"Johnston County, North Carolina",1383,1173,963,868,1227,1242,1027,957,940,1039,1058,1619,1384,1375,1279,871,412
"G3701090","2014","NC",,,"North Carolina","37","Lincoln County","109",,,,,,,,,,,,,,,,,,"05000US37109","Lincoln County, North Carolina",30327,2430,2130,1791,1728,1531,2184,1057,1472,1366,2944,2428,3967,2562,826,1190,721,"Lincoln County, North Carolina",1038,859,648,583,555,579,681,557,523,613,764,650,862,849,363,495,302
"G3701190","2014","NC",,,"North Carolina","37","Mecklenburg County","119",,,,,,,,,,,,,,,,,,"05000US37119","Mecklenburg County, North Carolina",389047,26491,17425,17442,18711,17492,17024,19279,18992,15675,28367,41376,50266,30728,19312,21094,29373,"Mecklenburg County, North Carolina",3279,2654,1815,1873,2250,1990,1953,2280,2098,1990,2330,2898,3190,2556,1961,2213,2341
"G3701250","2014","NC",,,"North Carolina","37","Moore County","125",,,,,,,,,,,,,,,,,,"05000US37125","Moore County, North Carolina",37179,3052,2358,1741,2611,1776,1376,2132,1988,1018,3074,4345,4327,3555,1443,1106,1277,"Moore County, North Carolina",1601,1043,904,672,712,736,571,717,616,442,1003,1125,983,884,717,582,468
"G3701270","2014","NC",,,"North Carolina","37","Nash County","127",,,,,,,,,,,,,,,,,,"05000US37127","Nash County, North Carolina",36957,3070,3082,3519,2172,1490,1550,1311,2940,2756,2930,3718,3822,1858,1105,887,747,"Nash County, North Carolina",1510,967,981,975,717,658,511,548,823,951,851,927,1088,599,561,453,397
"G3701290","2014","NC",,,"North Carolina","37","New Hanover County","129",,,,,,,,,,,,,,,,,,"05000US37129","New Hanover County, North Carolina",90106,7127,5224,5545,5351,2993,5497,4624,4936,3765,7556,7586,9130,8732,3182,3480,5378,"New Hanover County, North Carolina",2181,1521,1199,1295,1163,891,1326,1112,1085,941,1350,1335,1479,1585,852,1068,1123
"G3701330","2014","NC",,,"North Carolina","37","Onslow County","133",,,,,,,,,,,,,,,,,,"05000US37133","Onslow County, North Carolina",61873,4277,3145,3687,3516,3893,3734,3525,3375,3551,7047,7599,6551,3343,1310,2337,983,"Onslow County, North Carolina",2332,1210,1247,1435,1042,1133,1351,1104,1100,969,1489,1846,1365,963,592,1125,615
"G3701350","2014","NC",,,"North Carolina","37","Orange County","135",,,,,,,,,,,,,,,,,,"05000US37135","Orange County, North Carolina",51325,2649,2225,2140,3093,2554,1621,2440,2703,2728,3570,4051,6257,3766,2308,2685,6535,"Orange County, North Carolina",1363,733,776,775,811,663,689,759,768,752,843,1119,1013,832,723,701,1189
"G3701470","2014","NC",,,"North Carolina","37","Pitt County","147",,,,,,,,,,,,,,,,,,"05000US37147","Pitt County, North Carolina",68412,9000,4644,4189,4124,4274,3450,2954,4297,3221,5444,5557,7770,3766,1467,2517,1738,"Pitt County, North Carolina",1593,1408,1078,1235,1216,1278,992,880,1199,1133,1255,1569,1665,967,560,853,672
"G3701510","2014","NC",,,"North Carolina","37","Randolph County","151",,,,,,,,,,,,,,,,,,"05000US37151","Randolph County, North Carolina",53711,2755,4171,4518,3409,3743,3895,3563,3356,2803,5697,4362,5250,2994,1520,982,693,"Randolph County, North Carolina",1388,840,924,1009,869,821,1124,913,851,869,985,941,1101,742,623,540,372
"G3701550","2014","NC",,,"North Carolina","37","Robeson County","155",,,,,,,,,,,,,,,,,,"05000US37155","Robeson County, North Carolina",46484,7645,4687,3669,3732,3577,3489,2922,2095,1813,2812,3245,3302,1570,955,476,495,"Robeson County, North Carolina",676,968,645,714,586,769,650,576,538,497,677,653,639,357,364,197,233
"G3701570","2014","NC",,,"North Carolina","37","Rockingham County","157",,,,,,,,,,,,,,,,,,"05000US37157","Rockingham County, North Carolina",36879,3242,2744,2955,2762,2232,2660,2267,2066,1818,2430,3365,3798,2469,1168,612,291,"Rockingham County, North Carolina",1529,884,676,900,776,789,955,717,636,643,767,902,827,782,451,333,201
"G3701590","2014","NC",,,"North Carolina","37","Rowan County","159",,,,,,,,,,,,,,,,,,"05000US37159","Rowan County, North Carolina",52294,4563,3475,3441,3322,2478,2288,2900,3121,3776,3696,5222,6950,2939,1511,1272,1340,"Rowan County, North Carolina",1335,1048,941,1081,911,720,654,826,976,1056,870,1104,1199,802,680,474,541
"G3701610","2014","NC",,,"North Carolina","37","Rutherford County","161",,,,,,,,,,,,,,,,,,"05000US37161","Rutherford County, North Carolina",25805,1876,3327,2181,1755,2131,1839,1198,1681,1114,2465,2355,1967,1128,393,123,272,"Rutherford County, North Carolina",1639,678,945,838,674,967,584,483,627,569,943,695,614,511,258,141,264
"G3701710","2014","NC",,,"North Carolina","37","Surry County","171",,,,,,,,,,,,,,,,,,"05000US37171","Surry County, North Carolina",27632,3254,1892,1536,2292,2025,2363,1317,1408,1038,1990,2894,2664,1525,875,198,361,"Surry County, North Carolina",941,668,563,564,696,550,587,524,452,386,558,802,540,511,371,134,240
"G3701790","2014","NC",,,"North Carolina","37","Union County","179",,,,,,,,,,,,,,,,,,"05000US37179","Union County, North Carolina",71569,2986,1803,2714,3961,3484,3288,3031,3613,2972,6452,7769,8848,7914,3675,4427,4632,"Union County, North Carolina",1419,850,641,767,842,881,952,761,935,806,1158,1178,1263,1088,796,778,934
"G3701830","2014","NC",,,"North Carolina","37","Wake County","183",,,,,,,,,,,,,,,,,,"05000US37183","Wake County, North Carolina",370061,16274,15962,14939,14653,15206,15523,16794,15547,15754,27594,34881,46572,39615,22909,29898,27940,"Wake County, North Carolina",3734,2414,2401,2215,2142,2546,1927,1981,2131,2208,2505,2485,3552,2620,2308,2246,2526
"G3701910","2014","NC",,,"North Carolina","37","Wayne County","191",,,,,,,,,,,,,,,,,,"05000US37191","Wayne County, North Carolina",46281,4411,3864,3078,2732,4690,3512,3023,2608,2009,3710,4162,3488,2354,1219,722,699,"Wayne County, North Carolina",1711,1075,963,948,926,1176,1008,800,921,733,952,935,834,692,521,328,394
"G3701930","2014","NC",,,"North Carolina","37","Wilkes County","193",,,,,,,,,,,,,,,,,,"05000US37193","Wilkes County, North Carolina",27257,3276,3189,3203,1657,1840,2058,948,1313,1887,1338,1834,2704,729,547,506,228,"Wilkes County, North Carolina",1554,857,859,918,666,674,713,405,583,712,589,718,766,356,353,332,195
"G3701950","2014","NC",,,"North Carolina","37","Wilson County","195",,,,,,,,,,,,,,,,,,"05000US37195","Wilson County, North Carolina",32691,3001,2867,2493,2060,1458,2383,2568,2119,1277,2523,2863,3280,1777,585,968,469,"Wilson County, North Carolina",901,854,795,712,790,545,587,903,788,534,830,782,767,562,337,484,294
"G3800150","2014","ND",,,"North Dakota","38","Burleigh County","015",,,,,,,,,,,,,,,,,,"05000US38015","Burleigh County, North Dakota",38892,2152,1109,916,1793,1514,1787,1030,1970,1430,3075,5014,6627,3610,2518,1721,2626,"Burleigh County, North Dakota",759,813,563,428,743,564,676,395,650,535,727,1110,1000,797,633,642,739
