GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAS5E001,AAS5E002,AAS5E003,AAS5E004,AAS5E005,AAS5E006,AAS5E007,AAS5E008,AAS5E009,AAS5E010,AAS5E011,AAS5E012,AAS5E013,AAS5E014,AAS5E015,AAS5E016,AAS5E017,NAME_M,AAS5M001,AAS5M002,AAS5M003,AAS5M004,AAS5M005,AAS5M006,AAS5M007,AAS5M008,AAS5M009,AAS5M010,AAS5M011,AAS5M012,AAS5M013,AAS5M014,AAS5M015,AAS5M016,AAS5M017
"G0600250","2014","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",43635,3997,5000,2916,3475,2443,2249,1898,1560,1730,2813,3502,4401,2680,1974,1690,1307,"Imperial County, California",1807,1219,1292,680,992,810,872,672,573,644,864,888,928,711,780,701,627
"G0600290","2014","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",261135,19059,16538,15867,17977,13626,13224,16182,11181,10217,18775,26156,29203,21676,11873,11938,7643,"Kern County, California",3167,2281,1971,2330,2326,1759,1992,2080,1873,1831,2396,2593,2538,2216,1526,1740,1338
"G0600310","2014","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",41596,2982,3149,2805,2951,2383,2563,2875,1832,2108,2410,4141,4526,2332,1954,1848,737,"Kings County, California",1204,842,1028,785,826,832,731,900,794,737,876,1079,1025,674,734,681,330
"G0600330","2014","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",27636,3473,2686,2645,1794,1797,1510,1628,1239,898,2013,2304,2488,1479,848,421,413,"Lake County, California",1399,986,806,767,651,710,611,654,479,464,893,803,791,675,378,291,260
"G0600370","2014","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",3269112,214357,188504,173744,178476,157471,160392,141603,142579,124047,237853,306083,371954,269279,165460,202823,234487,"Los Angeles County, California",9173,8134,6929,6319,5863,5847,5870,5550,5665,5376,7041,8541,7976,6934,5535,6163,6131
"G0600390","2014","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",42895,3926,2219,3001,2862,2452,2305,3068,2529,1316,3305,4625,4043,3499,1841,1060,844,"Madera County, California",1483,1062,719,925,1016,844,807,987,908,554,890,1129,825,863,546,434,359
"G0600410","2014","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",103509,4649,3209,3185,2638,2180,3245,2652,2909,4179,5442,7573,10999,10999,6710,10271,22669,"Marin County, California",1605,1055,899,748,796,801,955,753,971,1102,1217,1308,1608,1448,1190,1602,1866
"G0600450","2014","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",33464,3029,2695,2441,2212,1773,2646,1052,1861,1350,2445,3513,2667,1998,1617,1211,954,"Mendocino County, California",1373,882,818,732,685,757,783,469,610,557,663,910,786,724,660,409,517
"G0600470","2014","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",79255,4678,6121,4429,5538,4766,5781,5090,3850,2934,7928,7286,8386,4396,3592,2574,1906,"Merced County, California",1242,970,1019,1005,1076,1077,1202,967,1170,774,1387,1275,1475,1005,1040,818,756
"G0600530","2014","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",123920,5757,5854,4117,6817,6853,6090,6121,5389,5853,11183,13679,15689,8953,6248,6773,8544,"Monterey County, California",2014,1020,1289,802,1211,1173,1279,1157,1145,1171,1470,1652,1915,1204,1108,1274,1120
"G0600550","2014","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",50516,1892,1864,1497,2209,2247,2197,1225,2361,2155,3478,4308,6922,5582,2935,4174,5470,"Napa County, California",980,607,562,479,704,855,879,423,729,659,846,901,989,959,674,862,857
"G0600570","2014","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",40186,1554,1718,1547,2261,1695,2812,1898,1781,2229,3075,4130,5735,3925,1649,2143,2034,"Nevada County, California",1663,599,703,668,743,673,859,771,594,853,936,966,1268,940,525,630,724
"G0600590","2014","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",1018862,46056,34183,31673,38585,38624,37654,38031,36731,34944,69418,95571,133755,103097,72098,94757,113685,"Orange County, California",4601,3250,2837,2812,2808,3402,3698,2945,3205,2993,4775,4905,5207,4804,4700,4204,4427
"G0600610","2014","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",136239,5769,5193,3768,5698,5735,5111,5380,5327,3582,9427,12765,18812,13452,11662,12656,11902,"Placer County, California",1940,1282,1135,1003,1040,1301,923,1082,1250,809,1445,1777,1834,1702,1565,1607,1526
"G0600650","2014","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",700584,41957,34756,35172,38126,32699,37659,31964,31947,27426,53598,74212,93097,61835,39668,38000,28468,"Riverside County, California",5496,3212,3009,2901,3160,2632,3522,2402,2846,2177,3313,3805,4360,3780,2891,2847,2623
"G0600670","2014","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",523353,33285,34232,26263,21847,26603,24633,23780,22122,23663,39922,52852,63353,46444,27198,33342,23814,"Sacramento County, California",4122,2897,2581,2602,2233,2998,2289,2032,2101,2461,2786,3138,3402,2789,2452,2553,1955
"G0600710","2014","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",617066,44727,35696,34043,36706,30197,27811,31572,28292,24597,50268,65493,74002,51439,30167,30442,21614,"San Bernardino County, California",3823,3914,3005,2667,3790,2727,2591,3003,2602,2398,3606,4174,3958,3259,2764,2653,2260
"G0600730","2014","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",1100858,67550,44551,40331,44393,46878,51482,44699,43285,43591,79810,102258,143343,109594,69529,79996,89568,"San Diego County, California",5824,4778,3111,3110,3235,3436,3871,3110,3258,2871,3998,4766,5515,5154,4490,4636,3837
"G0600750","2014","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",353406,21295,20780,14823,10402,9435,9131,11175,9073,9903,15870,28907,37803,36065,28208,33708,56828,"San Francisco County, California",4278,2610,2424,1876,1392,1582,1371,1982,1588,1392,2302,2383,3052,2714,2689,2473,3331
"G0600770","2014","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",221874,15865,12351,13763,14995,9337,11127,11449,10021,7737,17535,21690,27026,17680,10152,11949,9197,"San Joaquin County, California",2448,1874,1793,1867,1784,1361,1557,1632,1516,1436,1913,2406,2516,1850,1460,1881,1246
"G0600790","2014","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",102645,5439,5573,4267,4357,4352,5594,3863,4908,3362,7781,9997,13246,10931,6299,6525,6151,"San Luis Obispo County, California",2529,1450,1069,1113,981,1126,1499,906,1203,1142,1708,1486,1650,1485,1265,1127,1291
"G0600810","2014","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",257473,8517,6480,5641,8010,6774,6684,7710,8130,5779,13776,20026,28643,30570,21554,27495,51684,"San Mateo County, California",3008,1350,1152,1177,1384,1226,1287,1355,1587,1073,1552,2069,2410,2646,2062,2367,2751
"G0600830","2014","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",142912,7263,6313,6232,7019,7610,6824,5866,5424,5383,10272,14057,19076,13286,8312,9205,10770,"Santa Barbara County, California",2222,1182,1316,1302,1511,1317,1173,1320,1203,1037,1279,1743,2026,1686,1230,1608,1366
"G0600850","2014","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",622068,21432,19780,17754,16113,16349,17924,18713,16962,16958,32077,49046,72919,67178,50924,72582,115357,"Santa Clara County, California",3481,1899,2386,1501,2063,2024,2196,2013,2129,1935,2884,3603,4011,3934,3339,3943,4389
