GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJCTE001,AJCTE002,AJCTE003,AJCTE004,AJCTE005,AJCTE006,AJCTE007,AJCTE008,AJCTE009,AJCTE010,AJCTE011,AJCTE012,AJCTE013,AJCTE014,AJCTE015,AJCTE016,AJCTE017,NAME_M,AJCTM001,AJCTM002,AJCTM003,AJCTM004,AJCTM005,AJCTM006,AJCTM007,AJCTM008,AJCTM009,AJCTM010,AJCTM011,AJCTM012,AJCTM013,AJCTM014,AJCTM015,AJCTM016,AJCTM017
"G0400150","2018","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",90270,7472,4138,6475,5484,6315,5263,4618,4578,4736,8876,10364,10692,5817,1751,2024,1667,"Mohave County, Arizona",2972,1695,1043,1398,1391,1500,1248,1091,1280,1273,1709,1931,1669,1495,566,661,613
"G0400170","2018","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",34285,4685,2052,2220,2238,1292,2347,2135,1751,1595,2507,3594,3677,1804,1225,849,314,"Navajo County, Arizona",1984,882,611,601,576,334,708,811,496,560,686,881,957,575,556,389,222
"G0400190","2018","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",402323,28808,16852,22087,21072,20776,17528,22701,20716,17826,31506,45509,46922,29568,20361,21024,19067,"Pima County, Arizona",4369,2608,1732,2418,2231,2486,1944,2409,2116,2386,2649,3752,3641,2920,2099,1937,1994
"G0400210","2018","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",147936,8490,3181,5948,7065,8231,7496,6622,6339,6653,15176,19298,22990,12282,8818,5665,3682,"Pinal County, Arizona",3458,1575,924,1477,1805,1495,1586,1232,1297,1277,2246,2475,2455,1953,1552,1325,945
"G0400250","2018","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",100836,5256,6231,6588,6324,5601,6205,4482,5980,5442,9713,10269,11402,6184,4542,3795,2822,"Yavapai County, Arizona",2498,1384,1451,1377,1292,1553,1562,1076,1507,1323,1800,2124,2112,1471,1140,1191,726
"G0400270","2018","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",74532,6122,3878,4147,6232,4139,5722,4632,3607,2250,6309,7037,9255,4950,2498,2394,1360,"Yuma County, Arizona",2212,1251,1041,1124,1380,1116,1525,1278,849,773,1547,1512,1632,1225,800,656,525
"G0500070","2018","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",100128,2705,3453,3165,4280,4242,3982,4783,3928,4591,8503,10470,14495,9831,6656,6695,8349,"Benton County, Arkansas",1660,844,1043,867,1092,950,1091,1176,1154,1058,1371,1710,2020,1397,1451,1066,1499
"G0500310","2018","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",42631,3789,1878,2894,3958,1724,2431,1631,3160,1527,3843,3863,5489,3125,1131,915,1273,"Craighead County, Arkansas",1302,1143,731,948,1275,616,837,759,1127,644,1309,1004,1201,969,517,406,562
"G0500450","2018","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",43701,3837,2652,1611,3218,2383,1882,2363,2062,1424,2699,4200,3620,5201,2823,2258,1468,"Faulkner County, Arkansas",1747,1179,876,559,919,785,701,884,753,570,808,931,816,1007,824,923,774
"G0500510","2018","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",40407,3797,1986,1902,2857,2119,3127,2778,2174,985,2806,5124,4621,2267,1347,1521,996,"Garland County, Arkansas",1643,1046,594,662,1065,876,1007,768,791,557,922,1126,1137,913,514,611,434
"G0500690","2018","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",25689,2810,1858,1426,3126,1702,1723,1076,719,1208,2218,1766,2905,1298,832,689,333,"Jefferson County, Arkansas",1314,825,651,544,987,603,747,483,374,588,782,550,820,524,502,354,244
"G0500850","2018","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",28132,1106,1896,1444,1772,1472,1403,1496,1276,1559,1839,3440,2900,2635,1190,1632,1072,"Lonoke County, Arkansas",566,534,735,640,728,620,650,735,541,617,531,740,785,770,482,528,568
"G0501190","2018","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",157678,12603,8568,7785,8196,9049,8266,8223,8757,8140,12220,11660,16083,12242,7822,7572,10492,"Pulaski County, Arkansas",2932,2102,1766,1732,1394,1840,1718,1896,1528,1567,2160,1796,1766,1829,1748,1285,1516
"G0501250","2018","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",43496,2622,1341,1398,1579,1668,2017,1927,2528,2183,3555,4763,5988,5337,3184,2137,1269,"Saline County, Arkansas",1418,743,665,641,665,572,669,724,641,896,1003,1135,1047,1173,1020,844,452
"G0501310","2018","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",51739,3099,3327,2872,3507,3570,3601,2274,2360,3326,4525,4155,5408,4208,1938,2160,1409,"Sebastian County, Arkansas",1476,950,990,955,964,1002,1052,770,804,1074,1212,1040,1147,1109,806,979,667
"G0501430","2018","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",90001,7283,4478,4759,4201,4408,5109,5562,4213,4551,7715,9397,10457,5570,3884,4230,4184,"Washington County, Arkansas",1627,1756,1187,1349,1106,1329,1260,1423,1239,1310,1452,1695,1644,1163,1017,1194,1009
