GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,SUYE001,SUYE002,SUYE003,SUYE004,SUYE005,SUYE006,SUYE007,SUYE008,SUYE009,SUYE010,SUYE011,SUYE012,SUYE013,SUYE014,SUYE015,SUYE016,SUYE017,NAME_M,SUYM001,SUYM002,SUYM003,SUYM004,SUYM005,SUYM006,SUYM007,SUYM008,SUYM009,SUYM010,SUYM011,SUYM012,SUYM013,SUYM014,SUYM015,SUYM016,SUYM017
"G0600190","2013","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",293517,26488,20326,19859,19485,18612,17507,12473,14917,12095,22294,28803,31610,18355,11061,10986,8646,"Fresno County, California",3025,2572,2289,2332,2408,2153,2463,1731,1989,1792,2267,2799,2769,2085,1697,1441,1226
"G0600230","2013","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",53191,3735,4661,3658,3582,3644,3316,2560,2354,3141,4558,5467,6215,2986,1161,1237,916,"Humboldt County, California",1624,961,1206,983,1027,832,810,868,843,864,1115,1050,1323,759,381,609,310
"G0600250","2013","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",47430,3951,4117,2682,3052,3319,2453,2380,2468,1489,3214,5363,5686,3403,1489,1468,896,"Imperial County, California",1637,1046,1083,715,716,798,943,813,843,663,823,1331,1190,1077,568,618,579
"G0600290","2013","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",257183,19001,16646,17297,15120,16352,15143,13863,11146,9380,17520,26506,31533,20125,10516,8767,8268,"Kern County, California",3334,2122,2296,2199,1989,2332,2029,1797,1958,1650,1961,2979,3406,2285,1430,1556,1406
"G0600310","2013","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",41813,2836,3395,2302,1971,2380,2949,2255,2375,2342,3151,4402,4928,2022,1704,1693,1108,"Kings County, California",1167,782,877,717,689,781,824,756,765,871,937,1069,1018,751,884,675,522
"G0600330","2013","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",26194,2265,2353,2785,2021,1917,1677,332,1157,741,2088,2875,3130,1805,168,451,429,"Lake County, California",1356,703,669,902,822,717,629,211,489,427,690,1067,897,840,155,269,393
"G0600370","2013","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",3247705,225139,200568,178760,176687,155970,160510,139811,137775,125061,236817,306086,376044,264584,163268,180705,219920,"Los Angeles County, California",7125,6577,6051,6001,6648,5805,7255,5661,6156,5394,7451,7832,9551,8071,4974,6912,6488
"G0600390","2013","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",44549,3259,3078,2695,2661,4097,3329,3274,1957,1670,3003,4901,4309,2163,1645,1628,880,"Madera County, California",1512,1156,870,849,949,1114,1017,976,729,839,797,1067,1068,721,623,569,417
"G0600410","2013","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",102847,2523,4188,3417,3455,3359,3210,3310,2561,2273,4923,7502,11945,10225,7456,11554,20946,"Marin County, California",1783,719,1024,1080,974,1020,896,1036,818,656,1035,1349,1780,1583,1304,1469,2148
"G0600450","2013","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",33609,2847,3175,3332,1523,2400,1744,1076,2006,868,2986,3460,2750,1777,2072,738,855,"Mendocino County, California",1411,858,885,1011,734,929,584,598,824,461,822,832,729,653,829,368,450
