GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,IHXE001,NAME_M,IHXM001
"G0100950","2010","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",93235,"Marshall County, Alabama",0
"G0100970","2010","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",413277,"Mobile County, Alabama",0
"G0101010","2010","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",229844,"Montgomery County, Alabama",0
"G0101030","2010","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",119626,"Morgan County, Alabama",0
"G0101150","2010","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",83761,"St. Clair County, Alabama",0
"G0101170","2010","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",195828,"Shelby County, Alabama",0
"G0101210","2010","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",82110,"Talladega County, Alabama",0
"G0101250","2010","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",195036,"Tuscaloosa County, Alabama",0
"G0101270","2010","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",66947,"Walker County, Alabama",0
"G0200200","2010","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",293227,"Anchorage Municipality, Alaska",0
"G0200900","2010","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",98314,"Fairbanks North Star Borough, Alaska",0
"G0201700","2010","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",89737,"Matanuska-Susitna Borough, Alaska",0
"G0400010","2010","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",71676,"Apache County, Arizona",0
"G0400030","2010","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",131789,"Cochise County, Arizona",0
"G0400050","2010","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",134651,"Coconino County, Arizona",0
"G0400130","2010","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",3827371,"Maricopa County, Arizona",0
"G0400150","2010","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",200181,"Mohave County, Arizona",0
"G0400170","2010","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",107551,"Navajo County, Arizona",0
"G0400190","2010","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",982154,"Pima County, Arizona",0
"G0400210","2010","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",383842,"Pinal County, Arizona",0
"G0400250","2010","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",211061,"Yavapai County, Arizona",0
"G0400270","2010","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",196509,"Yuma County, Arizona",0
"G0500070","2010","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",222894,"Benton County, Arkansas",0
"G0500310","2010","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",96771,"Craighead County, Arkansas",0
"G0500450","2010","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",113980,"Faulkner County, Arkansas",0
"G0500510","2010","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",96145,"Garland County, Arkansas",0
"G0500690","2010","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",77358,"Jefferson County, Arkansas",0
"G0500850","2010","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",68634,"Lonoke County, Arkansas",0
"G0501190","2010","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",383632,"Pulaski County, Arkansas",0
"G0501250","2010","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",107532,"Saline County, Arkansas",0
"G0501310","2010","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",125920,"Sebastian County, Arkansas",0
"G0501430","2010","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",204123,"Washington County, Arkansas",0
"G0501450","2010","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",77350,"White County, Arkansas",0
"G0600010","2010","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",1513952,"Alameda County, California",0
"G0600070","2010","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",220072,"Butte County, California",0
"G0600130","2010","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",1052827,"Contra Costa County, California",0
"G0600170","2010","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",181194,"El Dorado County, California",0
"G0600190","2010","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",933248,"Fresno County, California",0
"G0600230","2010","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",134794,"Humboldt County, California",0
"G0600250","2010","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",175234,"Imperial County, California",0
"G0600290","2010","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",842207,"Kern County, California",0
"G0600310","2010","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",153174,"Kings County, California",0
"G0600330","2010","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",64771,"Lake County, California",0
"G0600370","2010","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",9830420,"Los Angeles County, California",0
"G0600390","2010","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",151408,"Madera County, California",0
"G0600410","2010","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",252916,"Marin County, California",0
"G0600450","2010","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",87828,"Mendocino County, California",0
"G0600470","2010","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",256778,"Merced County, California",0
"G0600530","2010","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",416682,"Monterey County, California",0
"G0600550","2010","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",136858,"Napa County, California",0
"G0600570","2010","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",98794,"Nevada County, California",0
"G0600590","2010","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",3018963,"Orange County, California",0
"G0600610","2010","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",350048,"Placer County, California",0
"G0600650","2010","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",2203332,"Riverside County, California",0
"G0600670","2010","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",1421959,"Sacramento County, California",0
"G0600710","2010","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",2042441,"San Bernardino County, California",0
"G0600730","2010","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",3105989,"San Diego County, California",0
"G0600750","2010","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",805463,"San Francisco County, California",0
"G0600770","2010","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",687744,"San Joaquin County, California",0
"G0600790","2010","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",270113,"San Luis Obispo County, California",0
"G0600810","2010","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",720162,"San Mateo County, California",0
"G0600830","2010","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",424712,"Santa Barbara County, California",0
"G0600850","2010","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",1787694,"Santa Clara County, California",0
"G0600870","2010","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",263054,"Santa Cruz County, California",0
"G0600890","2010","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",177291,"Shasta County, California",0
"G0600950","2010","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",414305,"Solano County, California",0
"G0600970","2010","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",485120,"Sonoma County, California",0
"G0600990","2010","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",515358,"Stanislaus County, California",0
"G0601010","2010","CA",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,,"05000US06101","Sutter County, California",94806,"Sutter County, California",0
"G0601070","2010","CA",,,"California","06","Tulare County","107",,,,,,,,,,,,,,,,,,"05000US06107","Tulare County, California",443688,"Tulare County, California",0
"G0601110","2010","CA",,,"California","06","Ventura County","111",,,,,,,,,,,,,,,,,,"05000US06111","Ventura County, California",825706,"Ventura County, California",0
"G0601130","2010","CA",,,"California","06","Yolo County","113",,,,,,,,,,,,,,,,,,"05000US06113","Yolo County, California",201190,"Yolo County, California",0
"G0601150","2010","CA",,,"California","06","Yuba County","115",,,,,,,,,,,,,,,,,,"05000US06115","Yuba County, California",72388,"Yuba County, California",0
"G0800010","2010","CO",,,"Colorado","08","Adams County","001",,,,,,,,,,,,,,,,,,"05000US08001","Adams County, Colorado",443715,"Adams County, Colorado",0
"G0800050","2010","CO",,,"Colorado","08","Arapahoe County","005",,,,,,,,,,,,,,,,,,"05000US08005","Arapahoe County, Colorado",575022,"Arapahoe County, Colorado",0
"G0800130","2010","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,"05000US08013","Boulder County, Colorado",295166,"Boulder County, Colorado",0
"G0800310","2010","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,"05000US08031","Denver County, Colorado",604414,"Denver County, Colorado",0
"G0800350","2010","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,"05000US08035","Douglas County, Colorado",287003,"Douglas County, Colorado",0
"G0800410","2010","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,"05000US08041","El Paso County, Colorado",626928,"El Paso County, Colorado",0
"G0800590","2010","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,"05000US08059","Jefferson County, Colorado",535533,"Jefferson County, Colorado",0
"G0800690","2010","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,"05000US08069","Larimer County, Colorado",300637,"Larimer County, Colorado",0
"G0800770","2010","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,"05000US08077","Mesa County, Colorado",146313,"Mesa County, Colorado",0
"G0801010","2010","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,"05000US08101","Pueblo County, Colorado",159477,"Pueblo County, Colorado",0
"G0801230","2010","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,"05000US08123","Weld County, Colorado",254270,"Weld County, Colorado",0
"G0900010","2010","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,"05000US09001","Fairfield County, Connecticut",918714,"Fairfield County, Connecticut",0
"G0900030","2010","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,"05000US09003","Hartford County, Connecticut",894478,"Hartford County, Connecticut",0
"G0900050","2010","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,"05000US09005","Litchfield County, Connecticut",189840,"Litchfield County, Connecticut",0
"G0900070","2010","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,"05000US09007","Middlesex County, Connecticut",165697,"Middlesex County, Connecticut",0
"G0900090","2010","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,"05000US09009","New Haven County, Connecticut",862989,"New Haven County, Connecticut",0
"G0900110","2010","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,"05000US09011","New London County, Connecticut",274055,"New London County, Connecticut",0
"G0900130","2010","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,"05000US09013","Tolland County, Connecticut",152781,"Tolland County, Connecticut",0
"G0900150","2010","CT",,,"Connecticut","09","Windham County","015",,,,,,,,,,,,,,,,,,"05000US09015","Windham County, Connecticut",118519,"Windham County, Connecticut",0
"G1000010","2010","DE",,,"Delaware","10","Kent County","001",,,,,,,,,,,,,,,,,,"05000US10001","Kent County, Delaware",162912,"Kent County, Delaware",0
"G1000030","2010","DE",,,"Delaware","10","New Castle County","003",,,,,,,,,,,,,,,,,,"05000US10003","New Castle County, Delaware",538986,"New Castle County, Delaware",0
"G1000050","2010","DE",,,"Delaware","10","Sussex County","005",,,,,,,,,,,,,,,,,,"05000US10005","Sussex County, Delaware",197871,"Sussex County, Delaware",0
"G1100010","2010","DC",,,"District Of Columbia","11","District Of Columbia","001",,,,,,,,,,,,,,,,,,"05000US11001","District of Columbia, District of Columbia",604453,"District of Columbia, District of Columbia",0
"G1200010","2010","FL",,,"Florida","12","Alachua County","001",,,,,,,,,,,,,,,,,,"05000US12001","Alachua County, Florida",247497,"Alachua County, Florida",0
"G1200050","2010","FL",,,"Florida","12","Bay County","005",,,,,,,,,,,,,,,,,,"05000US12005","Bay County, Florida",169272,"Bay County, Florida",0
"G1200090","2010","FL",,,"Florida","12","Brevard County","009",,,,,,,,,,,,,,,,,,"05000US12009","Brevard County, Florida",543573,"Brevard County, Florida",0
"G1200110","2010","FL",,,"Florida","12","Broward County","011",,,,,,,,,,,,,,,,,,"05000US12011","Broward County, Florida",1753578,"Broward County, Florida",0
"G1200150","2010","FL",,,"Florida","12","Charlotte County","015",,,,,,,,,,,,,,,,,,"05000US12015","Charlotte County, Florida",159990,"Charlotte County, Florida",0
"G1200170","2010","FL",,,"Florida","12","Citrus County","017",,,,,,,,,,,,,,,,,,"05000US12017","Citrus County, Florida",141129,"Citrus County, Florida",0
"G1200190","2010","FL",,,"Florida","12","Clay County","019",,,,,,,,,,,,,,,,,,"05000US12019","Clay County, Florida",191395,"Clay County, Florida",0
"G1200210","2010","FL",,,"Florida","12","Collier County","021",,,,,,,,,,,,,,,,,,"05000US12021","Collier County, Florida",322472,"Collier County, Florida",0
"G1200230","2010","FL",,,"Florida","12","Columbia County","023",,,,,,,,,,,,,,,,,,"05000US12023","Columbia County, Florida",67597,"Columbia County, Florida",0
"G1200310","2010","FL",,,"Florida","12","Duval County","031",,,,,,,,,,,,,,,,,,"05000US12031","Duval County, Florida",865876,"Duval County, Florida",0
"G1200330","2010","FL",,,"Florida","12","Escambia County","033",,,,,,,,,,,,,,,,,,"05000US12033","Escambia County, Florida",298043,"Escambia County, Florida",0
"G1200350","2010","FL",,,"Florida","12","Flagler County","035",,,,,,,,,,,,,,,,,,"05000US12035","Flagler County, Florida",95928,"Flagler County, Florida",0
"G1200530","2010","FL",,,"Florida","12","Hernando County","053",,,,,,,,,,,,,,,,,,"05000US12053","Hernando County, Florida",173008,"Hernando County, Florida",0
"G1200550","2010","FL",,,"Florida","12","Highlands County","055",,,,,,,,,,,,,,,,,,"05000US12055","Highlands County, Florida",98700,"Highlands County, Florida",0
"G1200570","2010","FL",,,"Florida","12","Hillsborough County","057",,,,,,,,,,,,,,,,,,"05000US12057","Hillsborough County, Florida",1233846,"Hillsborough County, Florida",0
"G1200610","2010","FL",,,"Florida","12","Indian River County","061",,,,,,,,,,,,,,,,,,"05000US12061","Indian River County, Florida",138268,"Indian River County, Florida",0
"G1200690","2010","FL",,,"Florida","12","Lake County","069",,,,,,,,,,,,,,,,,,"05000US12069","Lake County, Florida",297950,"Lake County, Florida",0
"G1200710","2010","FL",,,"Florida","12","Lee County","071",,,,,,,,,,,,,,,,,,"05000US12071","Lee County, Florida",620151,"Lee County, Florida",0
"G1200730","2010","FL",,,"Florida","12","Leon County","073",,,,,,,,,,,,,,,,,,"05000US12073","Leon County, Florida",276058,"Leon County, Florida",0
"G1200810","2010","FL",,,"Florida","12","Manatee County","081",,,,,,,,,,,,,,,,,,"05000US12081","Manatee County, Florida",323435,"Manatee County, Florida",0
"G1200830","2010","FL",,,"Florida","12","Marion County","083",,,,,,,,,,,,,,,,,,"05000US12083","Marion County, Florida",331290,"Marion County, Florida",0
"G1200850","2010","FL",,,"Florida","12","Martin County","085",,,,,,,,,,,,,,,,,,"05000US12085","Martin County, Florida",146393,"Martin County, Florida",0
"G1200860","2010","FL",,,"Florida","12","Miami-Dade County","086",,,,,,,,,,,,,,,,,,"05000US12086","Miami-Dade County, Florida",2505379,"Miami-Dade County, Florida",0
"G1200870","2010","FL",,,"Florida","12","Monroe County","087",,,,,,,,,,,,,,,,,,"05000US12087","Monroe County, Florida",73269,"Monroe County, Florida",0
"G1200890","2010","FL",,,"Florida","12","Nassau County","089",,,,,,,,,,,,,,,,,,"05000US12089","Nassau County, Florida",73473,"Nassau County, Florida",0
"G1200910","2010","FL",,,"Florida","12","Okaloosa County","091",,,,,,,,,,,,,,,,,,"05000US12091","Okaloosa County, Florida",180728,"Okaloosa County, Florida",0
"G1200950","2010","FL",,,"Florida","12","Orange County","095",,,,,,,,,,,,,,,,,,"05000US12095","Orange County, Florida",1149500,"Orange County, Florida",0
"G1200970","2010","FL",,,"Florida","12","Osceola County","097",,,,,,,,,,,,,,,,,,"05000US12097","Osceola County, Florida",269837,"Osceola County, Florida",0
"G1200990","2010","FL",,,"Florida","12","Palm Beach County","099",,,,,,,,,,,,,,,,,,"05000US12099","Palm Beach County, Florida",1323394,"Palm Beach County, Florida",0
"G1201010","2010","FL",,,"Florida","12","Pasco County","101",,,,,,,,,,,,,,,,,,"05000US12101","Pasco County, Florida",465543,"Pasco County, Florida",0
"G1201030","2010","FL",,,"Florida","12","Pinellas County","103",,,,,,,,,,,,,,,,,,"05000US12103","Pinellas County, Florida",916719,"Pinellas County, Florida",0
"G1201050","2010","FL",,,"Florida","12","Polk County","105",,,,,,,,,,,,,,,,,,"05000US12105","Polk County, Florida",602788,"Polk County, Florida",0
"G1201070","2010","FL",,,"Florida","12","Putnam County","107",,,,,,,,,,,,,,,,,,"05000US12107","Putnam County, Florida",74262,"Putnam County, Florida",0
"G1201090","2010","FL",,,"Florida","12","St. Johns County","109",,,,,,,,,,,,,,,,,,"05000US12109","St. Johns County, Florida",191323,"St. Johns County, Florida",0
"G1201110","2010","FL",,,"Florida","12","St. Lucie County","111",,,,,,,,,,,,,,,,,,"05000US12111","St. Lucie County, Florida",278689,"St. Lucie County, Florida",0
"G1201130","2010","FL",,,"Florida","12","Santa Rosa County","113",,,,,,,,,,,,,,,,,,"05000US12113","Santa Rosa County, Florida",151966,"Santa Rosa County, Florida",0
"G1201150","2010","FL",,,"Florida","12","Sarasota County","115",,,,,,,,,,,,,,,,,,"05000US12115","Sarasota County, Florida",379874,"Sarasota County, Florida",0
"G1201170","2010","FL",,,"Florida","12","Seminole County","117",,,,,,,,,,,,,,,,,,"05000US12117","Seminole County, Florida",423508,"Seminole County, Florida",0
"G1201190","2010","FL",,,"Florida","12","Sumter County","119",,,,,,,,,,,,,,,,,,"05000US12119","Sumter County, Florida",94074,"Sumter County, Florida",0
"G1201270","2010","FL",,,"Florida","12","Volusia County","127",,,,,,,,,,,,,,,,,,"05000US12127","Volusia County, Florida",494527,"Volusia County, Florida",0
"G1300130","2010","GA",,,"Georgia","13","Barrow County","013",,,,,,,,,,,,,,,,,,"05000US13013","Barrow County, Georgia",69731,"Barrow County, Georgia",0
"G1300150","2010","GA",,,"Georgia","13","Bartow County","015",,,,,,,,,,,,,,,,,,"05000US13015","Bartow County, Georgia",100195,"Bartow County, Georgia",0
"G1300210","2010","GA",,,"Georgia","13","Bibb County","021",,,,,,,,,,,,,,,,,,"05000US13021","Bibb County, Georgia",155715,"Bibb County, Georgia",0
"G1300310","2010","GA",,,"Georgia","13","Bulloch County","031",,,,,,,,,,,,,,,,,,"05000US13031","Bulloch County, Georgia",70729,"Bulloch County, Georgia",0
"G1300450","2010","GA",,,"Georgia","13","Carroll County","045",,,,,,,,,,,,,,,,,,"05000US13045","Carroll County, Georgia",110661,"Carroll County, Georgia",0
"G1300510","2010","GA",,,"Georgia","13","Chatham County","051",,,,,,,,,,,,,,,,,,"05000US13051","Chatham County, Georgia",265871,"Chatham County, Georgia",0
"G1300570","2010","GA",,,"Georgia","13","Cherokee County","057",,,,,,,,,,,,,,,,,,"05000US13057","Cherokee County, Georgia",215129,"Cherokee County, Georgia",0
"G1300590","2010","GA",,,"Georgia","13","Clarke County","059",,,,,,,,,,,,,,,,,,"05000US13059","Clarke County, Georgia",116668,"Clarke County, Georgia",0
"G1300630","2010","GA",,,"Georgia","13","Clayton County","063",,,,,,,,,,,,,,,,,,"05000US13063","Clayton County, Georgia",259623,"Clayton County, Georgia",0
"G1300670","2010","GA",,,"Georgia","13","Cobb County","067",,,,,,,,,,,,,,,,,,"05000US13067","Cobb County, Georgia",690063,"Cobb County, Georgia",0
"G1300730","2010","GA",,,"Georgia","13","Columbia County","073",,,,,,,,,,,,,,,,,,"05000US13073","Columbia County, Georgia",124815,"Columbia County, Georgia",0
"G1300770","2010","GA",,,"Georgia","13","Coweta County","077",,,,,,,,,,,,,,,,,,"05000US13077","Coweta County, Georgia",127955,"Coweta County, Georgia",0
"G1300890","2010","GA",,,"Georgia","13","DeKalb County","089",,,,,,,,,,,,,,,,,,"05000US13089","DeKalb County, Georgia",692902,"DeKalb County, Georgia",0
"G1300950","2010","GA",,,"Georgia","13","Dougherty County","095",,,,,,,,,,,,,,,,,,"05000US13095","Dougherty County, Georgia",94577,"Dougherty County, Georgia",0
"G1300970","2010","GA",,,"Georgia","13","Douglas County","097",,,,,,,,,,,,,,,,,,"05000US13097","Douglas County, Georgia",132722,"Douglas County, Georgia",0
"G1301130","2010","GA",,,"Georgia","13","Fayette County","113",,,,,,,,,,,,,,,,,,"05000US13113","Fayette County, Georgia",106945,"Fayette County, Georgia",0
"G1301150","2010","GA",,,"Georgia","13","Floyd County","115",,,,,,,,,,,,,,,,,,"05000US13115","Floyd County, Georgia",96274,"Floyd County, Georgia",0
"G1301170","2010","GA",,,"Georgia","13","Forsyth County","117",,,,,,,,,,,,,,,,,,"05000US13117","Forsyth County, Georgia",176738,"Forsyth County, Georgia",0
"G1301210","2010","GA",,,"Georgia","13","Fulton County","121",,,,,,,,,,,,,,,,,,"05000US13121","Fulton County, Georgia",926197,"Fulton County, Georgia",0
"G1301270","2010","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",79816,"Glynn County, Georgia",0
