GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAA5E001,NAME_M,AAA5M001
"G1301270","2014","GA",,,"Georgia","13","Glynn County","127",,,,,,,,,,,,,,,,,,"05000US13127","Glynn County, Georgia",82175,"Glynn County, Georgia",0
"G1301350","2014","GA",,,"Georgia","13","Gwinnett County","135",,,,,,,,,,,,,,,,,,"05000US13135","Gwinnett County, Georgia",877922,"Gwinnett County, Georgia",0
"G1301390","2014","GA",,,"Georgia","13","Hall County","139",,,,,,,,,,,,,,,,,,"05000US13139","Hall County, Georgia",190761,"Hall County, Georgia",0
"G1301510","2014","GA",,,"Georgia","13","Henry County","151",,,,,,,,,,,,,,,,,,"05000US13151","Henry County, Georgia",213869,"Henry County, Georgia",0
"G1301530","2014","GA",,,"Georgia","13","Houston County","153",,,,,,,,,,,,,,,,,,"05000US13153","Houston County, Georgia",149111,"Houston County, Georgia",0
"G1301790","2014","GA",,,"Georgia","13","Liberty County","179",,,,,,,,,,,,,,,,,,"05000US13179","Liberty County, Georgia",65198,"Liberty County, Georgia",0
"G1301850","2014","GA",,,"Georgia","13","Lowndes County","185",,,,,,,,,,,,,,,,,,"05000US13185","Lowndes County, Georgia",113523,"Lowndes County, Georgia",0
"G1302150","2014","GA",,,"Georgia","13","Muscogee County","215",,,,,,,,,,,,,,,,,,"05000US13215","Muscogee County, Georgia",200887,"Muscogee County, Georgia",0
"G1302170","2014","GA",,,"Georgia","13","Newton County","217",,,,,,,,,,,,,,,,,,"05000US13217","Newton County, Georgia",103675,"Newton County, Georgia",0
"G1302230","2014","GA",,,"Georgia","13","Paulding County","223",,,,,,,,,,,,,,,,,,"05000US13223","Paulding County, Georgia",148987,"Paulding County, Georgia",0
"G1302450","2014","GA",,,"Georgia","13","Richmond County","245",,,,,,,,,,,,,,,,,,"05000US13245","Richmond County, Georgia",201368,"Richmond County, Georgia",0
"G1302470","2014","GA",,,"Georgia","13","Rockdale County","247",,,,,,,,,,,,,,,,,,"05000US13247","Rockdale County, Georgia",87754,"Rockdale County, Georgia",0
"G1302850","2014","GA",,,"Georgia","13","Troup County","285",,,,,,,,,,,,,,,,,,"05000US13285","Troup County, Georgia",69469,"Troup County, Georgia",0
"G1302950","2014","GA",,,"Georgia","13","Walker County","295",,,,,,,,,,,,,,,,,,"05000US13295","Walker County, Georgia",68218,"Walker County, Georgia",0
"G1302970","2014","GA",,,"Georgia","13","Walton County","297",,,,,,,,,,,,,,,,,,"05000US13297","Walton County, Georgia",87615,"Walton County, Georgia",0
"G1303130","2014","GA",,,"Georgia","13","Whitfield County","313",,,,,,,,,,,,,,,,,,"05000US13313","Whitfield County, Georgia",103542,"Whitfield County, Georgia",0
"G1500010","2014","HI",,,"Hawaii","15","Hawaii County","001",,,,,,,,,,,,,,,,,,"05000US15001","Hawaii County, Hawaii",194190,"Hawaii County, Hawaii",0
"G1500030","2014","HI",,,"Hawaii","15","Honolulu County","003",,,,,,,,,,,,,,,,,,"05000US15003","Honolulu County, Hawaii",991788,"Honolulu County, Hawaii",0
"G1500070","2014","HI",,,"Hawaii","15","Kauai County","007",,,,,,,,,,,,,,,,,,"05000US15007","Kauai County, Hawaii",70475,"Kauai County, Hawaii",0
"G1500090","2014","HI",,,"Hawaii","15","Maui County","009",,,,,,,,,,,,,,,,,,"05000US15009","Maui County, Hawaii",163046,"Maui County, Hawaii",57
"G1600010","2014","ID",,,"Idaho","16","Ada County","001",,,,,,,,,,,,,,,,,,"05000US16001","Ada County, Idaho",426236,"Ada County, Idaho",0
"G1600050","2014","ID",,,"Idaho","16","Bannock County","005",,,,,,,,,,,,,,,,,,"05000US16005","Bannock County, Idaho",83347,"Bannock County, Idaho",0
"G1600190","2014","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",108623,"Bonneville County, Idaho",0
"G1600270","2014","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",203143,"Canyon County, Idaho",0
"G1600550","2014","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",147326,"Kootenai County, Idaho",0
"G1600830","2014","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",80914,"Twin Falls County, Idaho",0
"G1700010","2014","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",66988,"Adams County, Illinois",0
"G1700190","2014","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",207133,"Champaign County, Illinois",0
"G1700310","2014","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",5246456,"Cook County, Illinois",0
"G1700370","2014","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",105462,"DeKalb County, Illinois",0
"G1700430","2014","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",932708,"DuPage County, Illinois",0
"G1700890","2014","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",527306,"Kane County, Illinois",0
"G1700910","2014","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",111375,"Kankakee County, Illinois",0
"G1700930","2014","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",121350,"Kendall County, Illinois",0
"G1700970","2014","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",705186,"Lake County, Illinois",0
"G1700990","2014","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",111241,"LaSalle County, Illinois",0
"G1701110","2014","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",307283,"McHenry County, Illinois",0
"G1701130","2014","IL",,,"Illinois","17","McLean County","113",,,,,,,,,,,,,,,,,,"05000US17113","McLean County, Illinois",174061,"McLean County, Illinois",0
"G1701150","2014","IL",,,"Illinois","17","Macon County","115",,,,,,,,,,,,,,,,,,"05000US17115","Macon County, Illinois",108350,"Macon County, Illinois",0
"G1701190","2014","IL",,,"Illinois","17","Madison County","119",,,,,,,,,,,,,,,,,,"05000US17119","Madison County, Illinois",266560,"Madison County, Illinois",0
"G1701430","2014","IL",,,"Illinois","17","Peoria County","143",,,,,,,,,,,,,,,,,,"05000US17143","Peoria County, Illinois",187319,"Peoria County, Illinois",0
"G1701610","2014","IL",,,"Illinois","17","Rock Island County","161",,,,,,,,,,,,,,,,,,"05000US17161","Rock Island County, Illinois",146063,"Rock Island County, Illinois",0
"G1701630","2014","IL",,,"Illinois","17","St. Clair County","163",,,,,,,,,,,,,,,,,,"05000US17163","St. Clair County, Illinois",265729,"St. Clair County, Illinois",0
"G1701670","2014","IL",,,"Illinois","17","Sangamon County","167",,,,,,,,,,,,,,,,,,"05000US17167","Sangamon County, Illinois",198997,"Sangamon County, Illinois",0
"G1701790","2014","IL",,,"Illinois","17","Tazewell County","179",,,,,,,,,,,,,,,,,,"05000US17179","Tazewell County, Illinois",135707,"Tazewell County, Illinois",0
"G1701830","2014","IL",,,"Illinois","17","Vermilion County","183",,,,,,,,,,,,,,,,,,"05000US17183","Vermilion County, Illinois",79728,"Vermilion County, Illinois",0
"G1701970","2014","IL",,,"Illinois","17","Will County","197",,,,,,,,,,,,,,,,,,"05000US17197","Will County, Illinois",685419,"Will County, Illinois",0
"G1701990","2014","IL",,,"Illinois","17","Williamson County","199",,,,,,,,,,,,,,,,,,"05000US17199","Williamson County, Illinois",67008,"Williamson County, Illinois",0
"G1702010","2014","IL",,,"Illinois","17","Winnebago County","201",,,,,,,,,,,,,,,,,,"05000US17201","Winnebago County, Illinois",288542,"Winnebago County, Illinois",0
"G1800030","2014","IN",,,"Indiana","18","Allen County","003",,,,,,,,,,,,,,,,,,"05000US18003","Allen County, Indiana",365918,"Allen County, Indiana",0
"G1800050","2014","IN",,,"Indiana","18","Bartholomew County","005",,,,,,,,,,,,,,,,,,"05000US18005","Bartholomew County, Indiana",80217,"Bartholomew County, Indiana",0
"G1800190","2014","IN",,,"Indiana","18","Clark County","019",,,,,,,,,,,,,,,,,,"05000US18019","Clark County, Indiana",114262,"Clark County, Indiana",0
"G1800350","2014","IN",,,"Indiana","18","Delaware County","035",,,,,,,,,,,,,,,,,,"05000US18035","Delaware County, Indiana",117074,"Delaware County, Indiana",0
"G1800390","2014","IN",,,"Indiana","18","Elkhart County","039",,,,,,,,,,,,,,,,,,"05000US18039","Elkhart County, Indiana",201971,"Elkhart County, Indiana",0
"G1800430","2014","IN",,,"Indiana","18","Floyd County","043",,,,,,,,,,,,,,,,,,"05000US18043","Floyd County, Indiana",76179,"Floyd County, Indiana",0
"G1800530","2014","IN",,,"Indiana","18","Grant County","053",,,,,,,,,,,,,,,,,,"05000US18053","Grant County, Indiana",68569,"Grant County, Indiana",0
"G1800570","2014","IN",,,"Indiana","18","Hamilton County","057",,,,,,,,,,,,,,,,,,"05000US18057","Hamilton County, Indiana",302623,"Hamilton County, Indiana",0
"G1800590","2014","IN",,,"Indiana","18","Hancock County","059",,,,,,,,,,,,,,,,,,"05000US18059","Hancock County, Indiana",71978,"Hancock County, Indiana",0
"G1800630","2014","IN",,,"Indiana","18","Hendricks County","063",,,,,,,,,,,,,,,,,,"05000US18063","Hendricks County, Indiana",156056,"Hendricks County, Indiana",0
"G1800670","2014","IN",,,"Indiana","18","Howard County","067",,,,,,,,,,,,,,,,,,"05000US18067","Howard County, Indiana",82982,"Howard County, Indiana",0
"G1800810","2014","IN",,,"Indiana","18","Johnson County","081",,,,,,,,,,,,,,,,,,"05000US18081","Johnson County, Indiana",147538,"Johnson County, Indiana",0
"G1800850","2014","IN",,,"Indiana","18","Kosciusko County","085",,,,,,,,,,,,,,,,,,"05000US18085","Kosciusko County, Indiana",78564,"Kosciusko County, Indiana",0
"G1800890","2014","IN",,,"Indiana","18","Lake County","089",,,,,,,,,,,,,,,,,,"05000US18089","Lake County, Indiana",490228,"Lake County, Indiana",0
"G1800910","2014","IN",,,"Indiana","18","LaPorte County","091",,,,,,,,,,,,,,,,,,"05000US18091","LaPorte County, Indiana",111444,"LaPorte County, Indiana",0
"G1800950","2014","IN",,,"Indiana","18","Madison County","095",,,,,,,,,,,,,,,,,,"05000US18095","Madison County, Indiana",130069,"Madison County, Indiana",0
"G1800970","2014","IN",,,"Indiana","18","Marion County","097",,,,,,,,,,,,,,,,,,"05000US18097","Marion County, Indiana",934243,"Marion County, Indiana",0
"G1801050","2014","IN",,,"Indiana","18","Monroe County","105",,,,,,,,,,,,,,,,,,"05000US18105","Monroe County, Indiana",143339,"Monroe County, Indiana",0
"G1801090","2014","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",69693,"Morgan County, Indiana",0
"G1801270","2014","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",167076,"Porter County, Indiana",0
"G1801410","2014","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",267618,"St. Joseph County, Indiana",0
"G1801570","2014","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",183074,"Tippecanoe County, Indiana",0
"G1801630","2014","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",182006,"Vanderburgh County, Indiana",0
"G1801670","2014","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",108175,"Vigo County, Indiana",0
"G1801770","2014","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",67671,"Wayne County, Indiana",0
"G1900130","2014","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",132897,"Black Hawk County, Iowa",0
"G1900490","2014","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",77400,"Dallas County, Iowa",0
"G1900610","2014","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",96370,"Dubuque County, Iowa",0
"G1901030","2014","IA",,,"Iowa","19","Johnson County","103",,,,,,,,,,,,,,,,,,"05000US19103","Johnson County, Iowa",142287,"Johnson County, Iowa",0
"G1901130","2014","IA",,,"Iowa","19","Linn County","113",,,,,,,,,,,,,,,,,,"05000US19113","Linn County, Iowa",217751,"Linn County, Iowa",0
"G1901530","2014","IA",,,"Iowa","19","Polk County","153",,,,,,,,,,,,,,,,,,"05000US19153","Polk County, Iowa",459862,"Polk County, Iowa",0
"G1901550","2014","IA",,,"Iowa","19","Pottawattamie County","155",,,,,,,,,,,,,,,,,,"05000US19155","Pottawattamie County, Iowa",93128,"Pottawattamie County, Iowa",0
"G1901630","2014","IA",,,"Iowa","19","Scott County","163",,,,,,,,,,,,,,,,,,"05000US19163","Scott County, Iowa",171387,"Scott County, Iowa",0
"G1901690","2014","IA",,,"Iowa","19","Story County","169",,,,,,,,,,,,,,,,,,"05000US19169","Story County, Iowa",94073,"Story County, Iowa",0
"G1901930","2014","IA",,,"Iowa","19","Woodbury County","193",,,,,,,,,,,,,,,,,,"05000US19193","Woodbury County, Iowa",102271,"Woodbury County, Iowa",0
"G2000150","2014","KS",,,"Kansas","20","Butler County","015",,,,,,,,,,,,,,,,,,"05000US20015","Butler County, Kansas",66227,"Butler County, Kansas",0
"G2000450","2014","KS",,,"Kansas","20","Douglas County","045",,,,,,,,,,,,,,,,,,"05000US20045","Douglas County, Kansas",116585,"Douglas County, Kansas",0
"G2000910","2014","KS",,,"Kansas","20","Johnson County","091",,,,,,,,,,,,,,,,,,"05000US20091","Johnson County, Kansas",574272,"Johnson County, Kansas",0
"G2001030","2014","KS",,,"Kansas","20","Leavenworth County","103",,,,,,,,,,,,,,,,,,"05000US20103","Leavenworth County, Kansas",78797,"Leavenworth County, Kansas",0
"G2001610","2014","KS",,,"Kansas","20","Riley County","161",,,,,,,,,,,,,,,,,,"05000US20161","Riley County, Kansas",75194,"Riley County, Kansas",0
"G2001730","2014","KS",,,"Kansas","20","Sedgwick County","173",,,,,,,,,,,,,,,,,,"05000US20173","Sedgwick County, Kansas",508803,"Sedgwick County, Kansas",0
"G2001770","2014","KS",,,"Kansas","20","Shawnee County","177",,,,,,,,,,,,,,,,,,"05000US20177","Shawnee County, Kansas",178406,"Shawnee County, Kansas",0
"G2002090","2014","KS",,,"Kansas","20","Wyandotte County","209",,,,,,,,,,,,,,,,,,"05000US20209","Wyandotte County, Kansas",161636,"Wyandotte County, Kansas",0
"G2100150","2014","KY",,,"Kentucky","21","Boone County","015",,,,,,,,,,,,,,,,,,"05000US21015","Boone County, Kentucky",126413,"Boone County, Kentucky",0
"G2100290","2014","KY",,,"Kentucky","21","Bullitt County","029",,,,,,,,,,,,,,,,,,"05000US21029","Bullitt County, Kentucky",77955,"Bullitt County, Kentucky",0
"G2100370","2014","KY",,,"Kentucky","21","Campbell County","037",,,,,,,,,,,,,,,,,,"05000US21037","Campbell County, Kentucky",91833,"Campbell County, Kentucky",0
"G2100470","2014","KY",,,"Kentucky","21","Christian County","047",,,,,,,,,,,,,,,,,,"05000US21047","Christian County, Kentucky",74250,"Christian County, Kentucky",0
"G2100590","2014","KY",,,"Kentucky","21","Daviess County","059",,,,,,,,,,,,,,,,,,"05000US21059","Daviess County, Kentucky",98275,"Daviess County, Kentucky",0
"G2100670","2014","KY",,,"Kentucky","21","Fayette County","067",,,,,,,,,,,,,,,,,,"05000US21067","Fayette County, Kentucky",310797,"Fayette County, Kentucky",0
"G2100930","2014","KY",,,"Kentucky","21","Hardin County","093",,,,,,,,,,,,,,,,,,"05000US21093","Hardin County, Kentucky",108266,"Hardin County, Kentucky",0
"G2101110","2014","KY",,,"Kentucky","21","Jefferson County","111",,,,,,,,,,,,,,,,,,"05000US21111","Jefferson County, Kentucky",760026,"Jefferson County, Kentucky",0
"G2101170","2014","KY",,,"Kentucky","21","Kenton County","117",,,,,,,,,,,,,,,,,,"05000US21117","Kenton County, Kentucky",163929,"Kenton County, Kentucky",0
"G2101450","2014","KY",,,"Kentucky","21","McCracken County","145",,,,,,,,,,,,,,,,,,"05000US21145","McCracken County, Kentucky",65316,"McCracken County, Kentucky",0
"G2101510","2014","KY",,,"Kentucky","21","Madison County","151",,,,,,,,,,,,,,,,,,"05000US21151","Madison County, Kentucky",87340,"Madison County, Kentucky",0
"G2101950","2014","KY",,,"Kentucky","21","Pike County","195",,,,,,,,,,,,,,,,,,"05000US21195","Pike County, Kentucky",63034,"Pike County, Kentucky",0
"G2102270","2014","KY",,,"Kentucky","21","Warren County","227",,,,,,,,,,,,,,,,,,"05000US21227","Warren County, Kentucky",120460,"Warren County, Kentucky",0
"G2200050","2014","LA",,,"Louisiana","22","Ascension Parish","005",,,,,,,,,,,,,,,,,,"05000US22005","Ascension Parish, Louisiana",117029,"Ascension Parish, Louisiana",0
"G2200150","2014","LA",,,"Louisiana","22","Bossier Parish","015",,,,,,,,,,,,,,,,,,"05000US22015","Bossier Parish, Louisiana",125064,"Bossier Parish, Louisiana",0
"G2200170","2014","LA",,,"Louisiana","22","Caddo Parish","017",,,,,,,,,,,,,,,,,,"05000US22017","Caddo Parish, Louisiana",252603,"Caddo Parish, Louisiana",0
"G2200190","2014","LA",,,"Louisiana","22","Calcasieu Parish","019",,,,,,,,,,,,,,,,,,"05000US22019","Calcasieu Parish, Louisiana",197204,"Calcasieu Parish, Louisiana",0
"G2200330","2014","LA",,,"Louisiana","22","East Baton Rouge Parish","033",,,,,,,,,,,,,,,,,,"05000US22033","East Baton Rouge Parish, Louisiana",446042,"East Baton Rouge Parish, Louisiana",0
"G2200450","2014","LA",,,"Louisiana","22","Iberia Parish","045",,,,,,,,,,,,,,,,,,"05000US22045","Iberia Parish, Louisiana",73913,"Iberia Parish, Louisiana",0
"G2200510","2014","LA",,,"Louisiana","22","Jefferson Parish","051",,,,,,,,,,,,,,,,,,"05000US22051","Jefferson Parish, Louisiana",435716,"Jefferson Parish, Louisiana",0
"G2200550","2014","LA",,,"Louisiana","22","Lafayette Parish","055",,,,,,,,,,,,,,,,,,"05000US22055","Lafayette Parish, Louisiana",235644,"Lafayette Parish, Louisiana",0
"G2200570","2014","LA",,,"Louisiana","22","Lafourche Parish","057",,,,,,,,,,,,,,,,,,"05000US22057","Lafourche Parish, Louisiana",98020,"Lafourche Parish, Louisiana",0
"G2200630","2014","LA",,,"Louisiana","22","Livingston Parish","063",,,,,,,,,,,,,,,,,,"05000US22063","Livingston Parish, Louisiana",135751,"Livingston Parish, Louisiana",0
"G2200710","2014","LA",,,"Louisiana","22","Orleans Parish","071",,,,,,,,,,,,,,,,,,"05000US22071","Orleans Parish, Louisiana",384320,"Orleans Parish, Louisiana",0
"G2200730","2014","LA",,,"Louisiana","22","Ouachita Parish","073",,,,,,,,,,,,,,,,,,"05000US22073","Ouachita Parish, Louisiana",156325,"Ouachita Parish, Louisiana",0
"G2200790","2014","LA",,,"Louisiana","22","Rapides Parish","079",,,,,,,,,,,,,,,,,,"05000US22079","Rapides Parish, Louisiana",132488,"Rapides Parish, Louisiana",0
"G2200970","2014","LA",,,"Louisiana","22","St. Landry Parish","097",,,,,,,,,,,,,,,,,,"05000US22097","St. Landry Parish, Louisiana",83709,"St. Landry Parish, Louisiana",0
"G2201030","2014","LA",,,"Louisiana","22","St. Tammany Parish","103",,,,,,,,,,,,,,,,,,"05000US22103","St. Tammany Parish, Louisiana",245829,"St. Tammany Parish, Louisiana",0
"G2201050","2014","LA",,,"Louisiana","22","Tangipahoa Parish","105",,,,,,,,,,,,,,,,,,"05000US22105","Tangipahoa Parish, Louisiana",127049,"Tangipahoa Parish, Louisiana",0
"G2201090","2014","LA",,,"Louisiana","22","Terrebonne Parish","109",,,,,,,,,,,,,,,,,,"05000US22109","Terrebonne Parish, Louisiana",113328,"Terrebonne Parish, Louisiana",0
"G2300010","2014","ME",,,"Maine","23","Androscoggin County","001",,,,,,,,,,,,,,,,,,"05000US23001","Androscoggin County, Maine",107440,"Androscoggin County, Maine",0
"G2300030","2014","ME",,,"Maine","23","Aroostook County","003",,,,,,,,,,,,,,,,,,"05000US23003","Aroostook County, Maine",69447,"Aroostook County, Maine",0
"G2300050","2014","ME",,,"Maine","23","Cumberland County","005",,,,,,,,,,,,,,,,,,"05000US23005","Cumberland County, Maine",287797,"Cumberland County, Maine",0
"G2300110","2014","ME",,,"Maine","23","Kennebec County","011",,,,,,,,,,,,,,,,,,"05000US23011","Kennebec County, Maine",121112,"Kennebec County, Maine",0
"G2300190","2014","ME",,,"Maine","23","Penobscot County","019",,,,,,,,,,,,,,,,,,"05000US23019","Penobscot County, Maine",153414,"Penobscot County, Maine",0
"G2300310","2014","ME",,,"Maine","23","York County","031",,,,,,,,,,,,,,,,,,"05000US23031","York County, Maine",200710,"York County, Maine",0
"G2400010","2014","MD",,,"Maryland","24","Allegany County","001",,,,,,,,,,,,,,,,,,"05000US24001","Allegany County, Maryland",72952,"Allegany County, Maryland",0
"G2400030","2014","MD",,,"Maryland","24","Anne Arundel County","003",,,,,,,,,,,,,,,,,,"05000US24003","Anne Arundel County, Maryland",560133,"Anne Arundel County, Maryland",0
"G2400050","2014","MD",,,"Maryland","24","Baltimore County","005",,,,,,,,,,,,,,,,,,"05000US24005","Baltimore County, Maryland",826925,"Baltimore County, Maryland",0
"G2400090","2014","MD",,,"Maryland","24","Calvert County","009",,,,,,,,,,,,,,,,,,"05000US24009","Calvert County, Maryland",90613,"Calvert County, Maryland",0
"G2400130","2014","MD",,,"Maryland","24","Carroll County","013",,,,,,,,,,,,,,,,,,"05000US24013","Carroll County, Maryland",167830,"Carroll County, Maryland",0
"G2400150","2014","MD",,,"Maryland","24","Cecil County","015",,,,,,,,,,,,,,,,,,"05000US24015","Cecil County, Maryland",102383,"Cecil County, Maryland",0
"G2400170","2014","MD",,,"Maryland","24","Charles County","017",,,,,,,,,,,,,,,,,,"05000US24017","Charles County, Maryland",154747,"Charles County, Maryland",0
"G2400210","2014","MD",,,"Maryland","24","Frederick County","021",,,,,,,,,,,,,,,,,,"05000US24021","Frederick County, Maryland",243675,"Frederick County, Maryland",0
"G2400250","2014","MD",,,"Maryland","24","Harford County","025",,,,,,,,,,,,,,,,,,"05000US24025","Harford County, Maryland",250105,"Harford County, Maryland",0
"G2400270","2014","MD",,,"Maryland","24","Howard County","027",,,,,,,,,,,,,,,,,,"05000US24027","Howard County, Maryland",309284,"Howard County, Maryland",0
"G2400310","2014","MD",,,"Maryland","24","Montgomery County","031",,,,,,,,,,,,,,,,,,"05000US24031","Montgomery County, Maryland",1030447,"Montgomery County, Maryland",0
"G2400330","2014","MD",,,"Maryland","24","Prince George's County","033",,,,,,,,,,,,,,,,,,"05000US24033","Prince George's County, Maryland",904430,"Prince George's County, Maryland",0
"G2400370","2014","MD",,,"Maryland","24","St. Mary's County","037",,,,,,,,,,,,,,,,,,"05000US24037","St. Mary's County, Maryland",110382,"St. Mary's County, Maryland",0
"G2400430","2014","MD",,,"Maryland","24","Washington County","043",,,,,,,,,,,,,,,,,,"05000US24043","Washington County, Maryland",149573,"Washington County, Maryland",0
"G2400450","2014","MD",,,"Maryland","24","Wicomico County","045",,,,,,,,,,,,,,,,,,"05000US24045","Wicomico County, Maryland",101539,"Wicomico County, Maryland",0
"G2405100","2014","MD",,,"Maryland","24","Baltimore city","510",,,,,,,,,,,,,,,,,,"05000US24510","Baltimore city, Maryland",622793,"Baltimore city, Maryland",0
"G2500010","2014","MA",,,"Massachusetts","25","Barnstable County","001",,,,,,,,,,,,,,,,,,"05000US25001","Barnstable County, Massachusetts",214914,"Barnstable County, Massachusetts",0
"G2500030","2014","MA",,,"Massachusetts","25","Berkshire County","003",,,,,,,,,,,,,,,,,,"05000US25003","Berkshire County, Massachusetts",128715,"Berkshire County, Massachusetts",0
"G2500050","2014","MA",,,"Massachusetts","25","Bristol County","005",,,,,,,,,,,,,,,,,,"05000US25005","Bristol County, Massachusetts",554194,"Bristol County, Massachusetts",0
"G2500090","2014","MA",,,"Massachusetts","25","Essex County","009",,,,,,,,,,,,,,,,,,"05000US25009","Essex County, Massachusetts",769091,"Essex County, Massachusetts",0
"G2500110","2014","MA",,,"Massachusetts","25","Franklin County","011",,,,,,,,,,,,,,,,,,"05000US25011","Franklin County, Massachusetts",70862,"Franklin County, Massachusetts",0
"G2500130","2014","MA",,,"Massachusetts","25","Hampden County","013",,,,,,,,,,,,,,,,,,"05000US25013","Hampden County, Massachusetts",468161,"Hampden County, Massachusetts",0
"G2500150","2014","MA",,,"Massachusetts","25","Hampshire County","015",,,,,,,,,,,,,,,,,,"05000US25015","Hampshire County, Massachusetts",160939,"Hampshire County, Massachusetts",0
"G2500170","2014","MA",,,"Massachusetts","25","Middlesex County","017",,,,,,,,,,,,,,,,,,"05000US25017","Middlesex County, Massachusetts",1570315,"Middlesex County, Massachusetts",0
"G2500210","2014","MA",,,"Massachusetts","25","Norfolk County","021",,,,,,,,,,,,,,,,,,"05000US25021","Norfolk County, Massachusetts",692254,"Norfolk County, Massachusetts",0
"G2500230","2014","MA",,,"Massachusetts","25","Plymouth County","023",,,,,,,,,,,,,,,,,,"05000US25023","Plymouth County, Massachusetts",507022,"Plymouth County, Massachusetts",0
"G2500250","2014","MA",,,"Massachusetts","25","Suffolk County","025",,,,,,,,,,,,,,,,,,"05000US25025","Suffolk County, Massachusetts",767254,"Suffolk County, Massachusetts",0
"G2500270","2014","MA",,,"Massachusetts","25","Worcester County","027",,,,,,,,,,,,,,,,,,"05000US25027","Worcester County, Massachusetts",813475,"Worcester County, Massachusetts",0
"G2600050","2014","MI",,,"Michigan","26","Allegan County","005",,,,,,,,,,,,,,,,,,"05000US26005","Allegan County, Michigan",113847,"Allegan County, Michigan",0
"G2600170","2014","MI",,,"Michigan","26","Bay County","017",,,,,,,,,,,,,,,,,,"05000US26017","Bay County, Michigan",106179,"Bay County, Michigan",0
"G2600210","2014","MI",,,"Michigan","26","Berrien County","021",,,,,,,,,,,,,,,,,,"05000US26021","Berrien County, Michigan",155233,"Berrien County, Michigan",0
"G2600250","2014","MI",,,"Michigan","26","Calhoun County","025",,,,,,,,,,,,,,,,,,"05000US26025","Calhoun County, Michigan",134878,"Calhoun County, Michigan",0
"G2600370","2014","MI",,,"Michigan","26","Clinton County","037",,,,,,,,,,,,,,,,,,"05000US26037","Clinton County, Michigan",77297,"Clinton County, Michigan",0
"G2600450","2014","MI",,,"Michigan","26","Eaton County","045",,,,,,,,,,,,,,,,,,"05000US26045","Eaton County, Michigan",108579,"Eaton County, Michigan",0
"G2600490","2014","MI",,,"Michigan","26","Genesee County","049",,,,,,,,,,,,,,,,,,"05000US26049","Genesee County, Michigan",412895,"Genesee County, Michigan",0
