GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ACJ9E001,ACJ9E002,ACJ9E003,ACJ9E004,ACJ9E005,ACJ9E006,ACJ9E007,ACJ9E008,ACJ9E009,ACJ9E010,ACJ9E011,ACJ9E012,ACJ9E013,ACJ9E014,ACJ9E015,ACJ9E016,ACJ9E017,ACJ9E018,ACJ9E019,ACJ9E020,ACJ9E021,ACJ9E022,ACJ9E023,ACJ9E024,ACJ9E025,ACJ9E026,ACJ9E027,ACJ9E028,ACJ9E029,ACJ9E030,ACJ9E031,ACJ9E032,ACJ9E033,ACJ9E034,ACJ9E035,ACJ9E036,ACJ9E037,ACJ9E038,ACJ9E039,ACJ9E040,ACJ9E041,ACJ9E042,ACJ9E043,ACJ9E044,ACJ9E045,ACJ9E046,ACJ9E047,ACJ9E048,ACJ9E049,NAME_M,ACJ9M001,ACJ9M002,ACJ9M003,ACJ9M004,ACJ9M005,ACJ9M006,ACJ9M007,ACJ9M008,ACJ9M009,ACJ9M010,ACJ9M011,ACJ9M012,ACJ9M013,ACJ9M014,ACJ9M015,ACJ9M016,ACJ9M017,ACJ9M018,ACJ9M019,ACJ9M020,ACJ9M021,ACJ9M022,ACJ9M023,ACJ9M024,ACJ9M025,ACJ9M026,ACJ9M027,ACJ9M028,ACJ9M029,ACJ9M030,ACJ9M031,ACJ9M032,ACJ9M033,ACJ9M034,ACJ9M035,ACJ9M036,ACJ9M037,ACJ9M038,ACJ9M039,ACJ9M040,ACJ9M041,ACJ9M042,ACJ9M043,ACJ9M044,ACJ9M045,ACJ9M046,ACJ9M047,ACJ9M048,ACJ9M049
"G04071510","2015","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"16000US0471510","Surprise city, Arizona",128442,62875,3872,6276,5926,3001,830,1116,344,1570,3411,2918,3205,5511,4309,2351,2107,1175,2117,938,2536,4149,2503,1664,1046,65567,4541,4138,5340,2042,743,740,719,1793,4305,4526,3947,4517,3579,2957,3720,1577,2083,1572,2647,4520,2454,2090,1017,"Surprise city, Arizona",81,2134,1076,1539,1357,937,415,706,335,713,1099,911,873,1293,1024,786,592,490,678,353,490,947,541,625,554,2146,1056,1247,1193,726,363,453,480,645,1253,1059,809,937,1123,799,1053,725,647,441,581,823,734,842,398
"G04073000","2015","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"16000US0473000","Tempe city, Arizona",175826,91350,4380,3790,3677,2740,8084,3678,3557,8120,9956,8354,6198,3921,5688,4431,3109,1424,2416,1494,1932,1654,948,734,1065,84476,3667,3365,4715,2140,6657,3479,3438,7992,7946,7112,3913,4044,3693,5896,3663,1511,2354,1644,982,2237,1502,1084,1442,"Tempe city, Arizona",32,3030,1200,1077,1295,876,1767,1399,1223,1837,1809,1946,1517,1147,1116,1212,802,579,657,600,800,545,469,345,506,3034,1044,1235,998,770,1259,1064,1281,2102,1447,1650,1159,1252,931,1269,950,586,642,542,484,546,591,404,503
"G04077000","2015","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"16000US0477000","Tucson city, Arizona",531674,264893,16629,18400,14072,9574,11476,6563,8544,18043,21256,19260,16855,13445,13635,15380,14565,5625,10053,4542,6532,8128,4397,3045,4874,266781,17749,13261,15817,9500,10463,6029,6968,17197,18171,17884,14149,16385,13954,15995,16423,6085,9233,5777,6116,10795,6663,6325,5842,"Tucson city, Arizona",124,3733,1524,2209,1597,1077,1020,1740,1995,2268,1742,1435,1803,1664,1151,1391,1710,1230,1410,757,1021,1216,897,651,961,3716,1444,1641,1620,1278,1337,1564,1714,1940,1365,1387,1681,1614,1281,1434,1468,942,1533,1006,1060,1394,1022,1196,941
"G04085540","2015","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"16000US0485540","Yuma city, Arizona",94145,48298,2973,3711,3442,1321,1923,1197,1214,3497,4330,2867,3599,1673,2580,2644,2368,971,1313,702,1176,1181,1048,1433,1135,45847,3639,2905,2813,2079,970,766,903,2181,3299,2399,2063,3891,2659,2768,2666,1026,1223,1422,1111,1458,1773,997,836,"Yuma city, Arizona",37,1393,702,877,1017,447,511,579,585,994,943,836,889,592,585,618,603,494,522,423,533,610,542,640,626,1395,789,827,777,517,552,403,591,710,627,575,607,949,664,621,594,491,534,541,500,530,547,466,345
"G05023290","2015","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",82832,41959,2657,2116,2265,1321,2524,1634,1533,4807,4196,4009,2611,2027,1647,1820,1544,792,687,448,578,708,816,626,593,40873,3363,2194,1348,473,3156,1347,2575,3485,4196,2896,2820,1615,1092,2157,2132,715,524,360,375,1792,1024,539,695,"Fayetteville city, Arkansas",28,1595,932,821,927,573,770,728,703,1538,823,842,953,640,547,531,536,488,415,435,311,339,383,313,268,1602,1277,848,514,328,928,549,814,1038,957,766,847,590,460,661,727,536,397,252,311,596,401,296,412
"G05024550","2015","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",88195,43346,3072,3475,2517,1715,1126,502,472,2798,3781,3720,1956,2377,2661,2983,3038,671,1261,1157,1073,1354,224,740,673,44849,3084,2708,3631,1149,1247,507,674,1838,3323,2867,2309,3007,2807,2846,2240,1387,1784,1052,1508,1122,1562,1489,708,"Fort Smith city, Arkansas",20,1475,758,644,792,590,585,367,325,883,827,907,646,897,851,908,833,363,461,583,484,494,179,372,304,1476,746,908,988,420,651,478,458,797,946,733,844,747,778,739,730,542,530,389,588,531,555,569,311
"G05035710","2015","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",73906,35666,2225,2571,3035,1814,1865,716,617,2190,2837,2294,1928,2906,1517,1964,1409,447,1451,299,1326,730,709,57,759,38240,2632,2363,1617,1719,1075,897,530,2704,3421,2316,2670,3100,2404,2451,1606,593,1037,561,1113,947,1082,656,746,"Jonesboro city, Arkansas",22,1239,577,878,769,525,759,441,322,670,751,511,930,966,645,389,557,382,571,197,533,341,344,98,374,1237,366,961,604,658,320,544,361,772,558,597,1054,894,537,529,580,481,406,323,413,457,546,379,404
"G05041000","2015","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",197986,96997,5884,6853,6086,3612,2653,853,916,4994,7310,7747,7225,5801,6195,6852,7062,2474,3223,1539,3131,2283,1741,1104,1459,100989,6551,6875,5804,3757,2155,1601,1707,4233,7292,7261,7253,6342,6098,6377,6679,3108,3297,2589,2804,2826,1573,1841,2966,"Little Rock city, Arkansas",42,2494,1080,1817,1519,752,503,867,717,1176,1022,1155,1367,1280,1000,1127,1256,895,848,543,793,699,604,397,609,2493,1326,1439,1122,725,538,890,1096,1113,899,1228,1303,1172,887,1011,1158,830,798,845,691,615,475,516,647
"G05050450","2015","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",66506,31671,3403,2962,2859,1723,672,488,638,1443,2839,1806,2958,1227,1481,1355,1028,290,919,538,927,935,543,351,286,34835,2738,2838,1583,1098,479,71,956,928,3131,2597,3083,2166,1681,3083,1783,384,1244,585,1038,1417,394,769,789,"North Little Rock city, Arkansas",27,1784,839,1141,1001,685,497,498,482,772,803,818,957,589,600,558,659,208,454,301,432,426,270,233,209,1778,1070,1218,728,599,379,124,675,520,901,752,1376,935,636,964,614,280,571,284,384,550,246,346,375
"G05066080","2015","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",80454,36840,2307,3060,2085,2627,769,829,596,1329,2851,3003,2916,2634,3032,1868,2840,464,855,298,921,939,261,201,155,43614,3856,3799,5136,1582,1737,1337,220,1130,2280,2869,3627,2063,2751,2554,2231,875,935,367,925,1350,392,517,1081,"Springdale city, Arkansas",3051,2357,1108,880,744,609,422,522,608,694,969,745,950,896,850,707,1192,415,458,230,395,431,178,172,170,2511,1161,1385,1510,872,994,918,197,557,854,643,1089,1003,916,881,746,458,544,242,451,515,230,295,465
