GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AGWME001,AGWME002,AGWME003,AGWME004,AGWME005,AGWME006,AGWME007,AGWME008,AGWME009,AGWME010,AGWME011,AGWME012,AGWME013,AGWME014,AGWME015,AGWME016,AGWME017,AGWME018,AGWME019,AGWME020,AGWME021,AGWME022,AGWME023,AGWME024,AGWME025,AGWME026,AGWME027,AGWME028,AGWME029,AGWME030,AGWME031,AGWME032,AGWME033,AGWME034,AGWME035,AGWME036,AGWME037,AGWME038,AGWME039,AGWME040,AGWME041,AGWME042,AGWME043,AGWME044,AGWME045,AGWME046,AGWME047,AGWME048,AGWME049,NAME_M,AGWMM001,AGWMM002,AGWMM003,AGWMM004,AGWMM005,AGWMM006,AGWMM007,AGWMM008,AGWMM009,AGWMM010,AGWMM011,AGWMM012,AGWMM013,AGWMM014,AGWMM015,AGWMM016,AGWMM017,AGWMM018,AGWMM019,AGWMM020,AGWMM021,AGWMM022,AGWMM023,AGWMM024,AGWMM025,AGWMM026,AGWMM027,AGWMM028,AGWMM029,AGWMM030,AGWMM031,AGWMM032,AGWMM033,AGWMM034,AGWMM035,AGWMM036,AGWMM037,AGWMM038,AGWMM039,AGWMM040,AGWMM041,AGWMM042,AGWMM043,AGWMM044,AGWMM045,AGWMM046,AGWMM047,AGWMM048,AGWMM049
"G06085292","2017","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",86841,41878,2046,3751,3484,1308,831,650,366,2051,2471,3716,2719,2519,3075,2837,2561,908,918,1073,1024,1060,1124,977,409,44963,4142,2583,2635,1739,1054,1042,385,2021,2736,3438,3604,2834,3065,2483,2911,629,1231,702,916,1029,1349,856,1579,"Whittier city, California",36,1988,860,1126,958,528,353,456,303,768,903,1241,771,742,935,797,801,366,504,538,485,519,556,547,224,1992,1294,867,686,868,472,564,318,935,874,911,958,817,899,810,858,338,466,454,541,371,563,357,475
"G06086832","2017","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",68234,33329,1604,1684,1906,1684,1193,464,334,1003,2175,839,1827,1920,1792,2821,3541,670,1351,1365,967,1703,1313,402,771,34905,1708,2259,2276,1736,522,648,169,1333,1313,1613,2398,1942,2008,2579,2966,1508,2233,544,1216,1476,1022,596,840,"Yorba Linda city, California",43,1673,682,696,560,705,643,280,244,529,1221,398,543,729,651,659,780,359,501,462,427,604,590,220,368,1667,831,697,904,669,254,447,168,673,645,631,775,835,601,715,659,474,711,289,525,591,352,304,380
"G06086972","2017","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",66872,34008,3098,2384,2833,1176,627,241,746,1374,3558,2865,1422,1895,1911,2298,1665,1021,669,951,479,1363,820,400,212,32864,1916,1926,2386,1471,824,244,625,860,2218,3072,1626,1989,2152,1718,2545,942,901,552,704,1678,626,1120,769,"Yuba City city, California",47,1197,637,709,712,532,351,234,493,580,709,779,502,579,315,532,456,533,421,628,231,561,458,284,180,1201,618,725,761,502,446,320,384,387,492,697,637,565,541,488,565,528,407,294,483,657,354,608,364
"G08003455","2017","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",118300,58265,3806,3694,3884,1712,1607,721,380,1473,4388,4692,4269,3585,3402,4383,5159,1304,2052,1208,1853,1523,1438,913,819,60035,3330,3569,2932,1913,1028,287,1124,1185,4716,4055,4815,3556,3355,4276,4525,1677,2412,1391,2138,2981,2175,1295,1300,"Arvada city, Colorado",1124,1975,940,775,848,551,619,474,266,572,1414,914,932,802,785,803,1017,411,565,499,567,472,492,343,319,1738,914,784,602,591,595,230,639,672,1100,794,1026,845,759,795,957,514,626,518,567,713,597,491,486
"G08004000","2017","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",367250,181607,11755,12911,15059,7822,4196,2693,2543,7194,15107,15223,14505,12928,11215,10886,10183,3941,5626,2374,5620,4857,1697,1543,1729,185643,11753,12512,13864,6936,4023,2457,1785,7954,15156,16487,14101,12063,12580,10740,10587,4128,5950,3226,4421,6487,4066,1805,2562,"Aurora city, Colorado",738,2554,1525,1638,1779,1147,916,878,872,1187,1371,1561,1621,1601,1230,1140,1287,934,981,653,977,967,507,415,511,2631,1309,1483,1486,1104,755,794,616,1394,1150,1348,1680,1575,1280,1168,1148,898,849,740,854,973,780,398,739
"G08007850","2017","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",107128,54966,1797,2144,1873,1505,5255,3692,2847,6176,6311,4087,2893,2598,2749,2343,1687,813,1501,560,984,1523,610,486,532,52162,1881,2586,2156,1308,5072,3262,3296,3479,4562,2817,3347,2650,1735,2789,2140,1539,1301,595,1282,1236,1189,442,1498,"Boulder city, Colorado",28,1855,525,736,525,582,928,1359,1271,1673,1247,737,684,580,511,514,452,375,471,286,400,452,258,285,289,1858,641,709,764,492,874,1249,1137,1099,864,753,793,604,469,615,618,498,446,400,551,557,376,207,458
"G08009280","2017","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",68341,34183,1839,2428,2791,1679,542,490,281,1267,2908,2426,2241,2719,2930,2298,1915,707,1127,586,726,1005,769,264,245,34158,1556,1617,2551,1609,246,266,458,1561,2444,2212,2325,2725,3077,2026,2407,839,1007,693,587,1732,780,607,833,"Broomfield city, Colorado",0,532,266,460,492,445,255,375,210,457,402,399,518,535,445,335,379,289,388,338,255,375,217,138,184,532,194,488,527,582,187,232,339,430,375,326,566,548,336,184,540,392,384,318,268,411,338,308,372
"G08012815","2017","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",110277,55525,3635,3505,4592,2341,1672,652,371,1720,3483,3390,3743,3840,3939,2895,3932,1944,2265,1048,1906,1951,1455,683,563,54752,3263,2755,4202,1640,926,384,392,1774,3254,2389,3173,4647,4314,3794,4532,1548,2738,1183,1928,2479,1289,1231,917,"Centennial city, Colorado",100,1886,896,829,994,639,531,370,259,520,1105,795,706,770,615,604,779,508,656,427,516,404,439,283,263,1889,800,729,896,485,384,316,357,595,865,478,680,827,702,728,757,471,703,449,457,764,390,441,381
"G08016000","2017","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",464470,233923,16472,16976,15270,9150,6064,3925,4495,12486,21695,18006,16058,13098,13603,12691,13458,5149,7333,4091,6432,7596,4769,2769,2337,230547,13138,13798,15518,9544,5656,2596,4077,8776,19194,17897,13427,15092,13128,14397,15077,5822,6745,6287,6729,8862,4113,5328,5346,"Colorado Springs city, Colorado",44,2793,1460,1714,1515,1162,1054,1091,1395,1670,1548,1410,1849,1485,1342,1121,1470,866,1132,988,905,1145,1013,610,708,2796,1649,1590,1418,879,1116,964,1081,1251,1372,1201,1984,1993,1271,973,1600,913,1159,1118,1084,1255,830,1001,1020
"G08020000","2017","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",704621,352865,21932,20217,18920,10453,6723,3143,5030,12831,41103,41020,31679,26958,23553,19516,18604,5664,9877,5710,8184,9037,4807,3510,4394,351756,21390,20347,17256,9689,7278,3505,3613,14630,41408,38102,28755,24391,20904,17868,19166,7155,10066,5857,10269,11035,6963,5650,6459,"Denver city, Colorado",0,399,152,1751,1752,286,586,1034,1126,1244,284,2,2447,2432,571,125,1510,1185,1617,873,1315,1265,832,871,916,399,321,1672,1685,190,322,847,909,1156,344,198,2068,2069,245,259,1779,1316,1417,1033,1330,1298,1081,914,1120
"G08027425","2017","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",165089,82978,4649,5335,4226,3220,4391,1991,2190,9782,8716,6765,4190,4862,3949,4552,3554,1611,1588,1067,1928,1848,1305,729,530,82111,4943,4648,5069,2202,6169,2474,3241,7319,6712,5769,5113,3973,3863,4167,3993,1273,2392,1899,1042,1689,1815,1171,1175,"Fort Collins city, Colorado",43,1995,879,1028,1052,689,803,880,791,1676,1182,967,1023,945,800,741,767,503,464,442,578,509,470,367,299,1992,1174,1133,1162,603,821,1029,1108,1440,1134,940,1138,944,875,822,874,429,707,782,366,550,584,383,415
"G08032155","2017","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",105457,52194,3447,3831,2851,2071,2278,1835,937,2350,5236,3238,3551,3123,3407,2831,2367,903,1743,932,1343,1742,899,598,681,53263,2891,3944,3379,1820,3420,1137,1175,2654,3998,3119,2914,2803,3982,2867,3011,1711,1520,1122,1045,1666,1176,872,1037,"Greeley city, Colorado",43,1576,839,792,938,527,487,749,432,755,1199,707,925,931,721,574,599,488,521,410,524,547,358,321,400,1577,780,1003,900,402,687,427,377,609,772,694,699,800,699,652,638,566,413,454,545,560,416,282,444
"G08036410","2017","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",107216,53301,3165,3565,4899,3577,923,903,719,1447,2080,2816,3881,4057,5299,3403,4324,1345,1237,1024,1026,1269,895,983,464,53915,2511,4033,5064,2185,1745,289,567,813,2143,3564,3359,4851,5411,3519,3955,1030,1393,1156,1436,2213,805,637,1236,"Highlands Ranch CDP, Colorado",4910,2622,703,742,960,830,446,493,446,683,607,822,840,881,705,654,774,442,405,395,411,418,376,384,267,2987,881,1104,989,580,536,291,424,426,761,811,748,942,847,668,819,435,459,552,432,515,367,278,525
"G08043000","2017","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",154952,76284,3742,4298,4756,3525,1674,497,1014,3577,7405,5457,5838,4803,5264,4084,5193,1863,2550,1838,1885,3384,1714,848,1075,78668,3592,3168,4922,2719,2003,513,2058,4021,5675,5914,5895,3675,5362,4219,5450,2449,3136,1556,2479,3409,2327,1308,2818,"Lakewood city, Colorado",41,2559,831,890,983,654,597,474,514,1082,1360,1100,1215,982,740,728,991,594,818,621,584,686,586,389,394,2566,803,800,1142,638,676,284,1012,1068,1176,1008,1108,814,852,787,931,834,706,579,593,795,653,460,733
"G08045970","2017","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",94145,46004,2864,3049,3643,2577,1345,330,666,835,2934,3033,3951,3605,4044,2610,2835,1266,1459,558,859,1384,766,851,540,48141,2575,4003,3120,2023,1370,379,702,1241,2697,3080,3970,3810,4258,2074,2814,1285,1822,1086,716,2390,1185,550,991,"Longmont city, Colorado",44,1905,725,749,934,554,671,268,326,450,840,793,1110,842,661,634,734,447,590,268,311,472,303,444,305,1910,711,1085,850,455,650,381,501,539,687,640,952,897,841,694,678,486,675,496,290,695,469,304,390
"G08046465","2017","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",76702,36630,1708,1633,2474,1047,970,281,273,1794,2888,2666,2843,2604,2075,1913,2006,1314,1826,723,1198,2100,834,578,882,40072,1215,1906,1794,692,267,493,503,1939,3499,2160,3225,1548,2297,2629,3081,1379,2127,1409,1364,2468,1209,1063,1805,"Loveland city, Colorado",25,2219,785,723,839,473,483,369,316,1027,1116,932,980,685,781,712,588,403,509,384,555,633,411,356,421,2215,635,990,934,372,224,653,480,992,982,801,1148,575,613,764,813,558,804,551,531,736,490,476,635
"G08062000","2017","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",111121,53854,3064,3032,3615,2054,979,698,1038,2831,4286,3630,3500,2510,3710,3480,3661,1500,2009,1650,1795,1537,1521,1000,754,57267,3554,2799,3613,2421,1872,344,825,3016,3802,3217,3796,2843,3854,3677,3332,1412,2203,1866,1417,2285,1789,1716,1614,"Pueblo city, Colorado",32,995,592,707,845,397,361,530,454,762,537,560,678,713,406,493,622,472,634,459,489,502,366,395,277,997,680,684,697,385,454,278,607,491,553,562,746,689,362,468,677,523,577,635,513,611,501,570,381
"G08077290","2017","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",136992,70041,5840,5539,6393,3037,1641,280,948,1264,4837,5700,6425,4655,5757,4946,4074,984,1829,724,1601,1532,1225,587,223,66951,4807,4618,4148,3686,854,735,461,1842,5167,5074,4999,3657,5260,5317,4966,1468,1815,1041,1784,2472,1131,952,697,"Thornton city, Colorado",63,2229,1162,1162,1192,837,842,287,631,636,1203,1317,1257,881,1215,1149,1038,480,797,351,521,548,411,364,149,2230,995,1210,1015,873,426,534,316,675,985,855,1000,841,903,1026,1016,582,568,401,626,606,588,672,427
"G08083835","2017","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",112814,55955,2124,4893,3095,2307,771,1917,219,2422,5020,4805,4533,3767,2991,3402,3778,742,1846,1129,2038,1285,1303,936,632,56859,3859,2524,3289,1469,726,924,1147,2307,4944,4587,4140,3850,4400,2998,3980,1070,1723,1043,1795,2335,1259,1561,929,"Westminster city, Colorado",38,2161,739,1067,954,819,416,786,299,817,1179,1048,859,899,825,830,942,388,607,472,610,470,468,328,305,2162,1108,930,1118,472,470,692,692,737,1097,1007,997,1031,903,731,854,507,615,329,521,646,479,596,428
"G09008000","2017","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",146582,72997,4958,5166,5665,3094,3033,808,1784,3909,4427,6155,5032,4946,4353,4587,4127,2136,2615,751,1039,2096,1238,354,724,73585,3656,3965,4331,2630,2917,1454,1507,2727,6023,5506,5284,4384,4510,5076,4378,1903,2914,1086,1547,2721,1913,1517,1636,"Bridgeport city, Connecticut",33,2709,920,1192,1193,740,835,448,878,1213,1023,1102,1275,1053,923,908,995,712,1020,392,463,713,435,228,317,2710,721,1055,984,812,866,649,784,885,1047,1293,1041,859,935,1105,1095,601,1118,526,654,1036,991,559,757
"G09018430","2017","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",85243,43231,2125,2718,1967,1408,1919,642,39,2244,4401,3234,3611,3427,2185,2437,2548,541,1996,741,1016,1929,556,794,753,42012,2313,2635,2331,727,1131,1007,613,1123,3012,2401,2965,2323,2808,3666,3151,1484,1052,693,1988,1562,1320,587,1120,"Danbury city, Connecticut",30,2114,846,1102,822,755,833,428,84,1042,1330,941,1407,1045,737,795,767,310,606,367,515,685,332,339,424,2113,877,1016,1082,415,512,829,446,523,836,863,862,928,866,1072,797,777,464,413,834,690,560,351,597
"G09037000","2017","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",123420,58573,4156,4649,3713,3057,2702,1955,957,3126,5284,4649,3574,3211,3532,2966,2930,1364,1634,776,1334,1153,761,646,444,64847,3987,4002,5089,2418,3190,1643,1286,3866,4910,5739,2955,3926,3535,4219,2783,1508,1795,724,1093,2357,1494,1340,988,"Hartford city, Connecticut",72,2067,1175,1123,873,731,869,1011,499,1005,1202,1038,1001,809,859,767,798,624,613,389,521,447,375,392,277,2070,915,743,1159,607,666,783,564,1004,922,995,858,829,710,859,806,655,556,309,489,698,432,471,418
"G09050370","2017","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",72718,33259,2273,2073,2339,997,1438,802,320,853,4190,2195,1608,2024,1828,2101,2541,618,834,397,462,1416,1054,320,576,39459,2130,2046,2333,1491,1350,617,309,1015,4460,2830,2424,2688,1921,2462,2220,1154,1617,782,1082,1461,1427,604,1036,"New Britain city, Connecticut",40,1772,753,719,868,496,628,501,399,520,1128,894,642,673,628,717,967,337,423,249,303,613,519,277,329,1771,785,736,877,735,491,452,235,486,979,884,826,722,722,806,703,486,715,436,575,538,626,355,478
"G09052000","2017","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",131005,65965,4248,3992,3779,3539,2347,1766,2075,4873,6973,4069,4999,4004,3180,3713,2729,1431,1890,1185,2247,1345,812,381,388,65040,3698,4660,2785,2567,3392,2381,1448,3626,6593,6194,5516,2712,3262,3935,3477,714,1661,851,1290,1334,1086,1069,789,"New Haven city, Connecticut",44,2652,1193,1363,1081,891,554,753,1136,1269,1208,941,1438,1109,825,857,830,676,821,610,660,591,501,256,260,2654,949,1510,992,634,940,788,590,1209,1051,1123,1383,768,793,1011,929,398,540,381,470,589,510,587,380
"G09055990","2017","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",89000,42017,2528,1734,2453,1698,910,889,363,1385,3339,3780,2786,2207,3865,3111,3526,913,1377,920,915,1306,798,497,717,46983,3075,2253,3324,1506,1419,334,191,1708,4805,3198,2380,2810,3617,4002,2886,954,1840,1011,782,1996,1193,880,819,"Norwalk city, Connecticut",29,2193,928,650,1052,644,556,849,348,743,1056,998,1039,633,824,740,1067,452,446,413,451,665,371,257,395,2192,842,740,1128,712,703,410,245,880,902,806,670,717,962,1006,774,383,763,466,449,721,591,379,455
"G09073000","2017","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",130835,63537,4459,3682,3269,1798,1267,358,1256,2575,5884,4005,5492,4695,4761,3993,3635,1324,1699,1651,1950,2046,1747,614,1377,67298,3679,3872,2592,2276,1732,601,150,4043,5727,5317,5698,4330,4063,3896,3305,1933,2962,1906,1801,1764,1936,1339,2376,"Stamford city, Connecticut",52,2532,948,1146,1075,605,571,308,845,990,1449,1050,1340,1074,1277,1052,915,637,604,876,838,639,727,353,546,2533,1041,1001,901,900,653,581,189,1387,1194,1272,1023,1097,1080,967,791,836,865,841,664,653,740,602,861
"G09080000","2017","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",108642,50889,3450,3910,4482,1861,2109,231,823,2434,4215,4323,2502,2298,2706,3610,3108,1683,1513,987,964,1493,1156,630,401,57753,3866,3953,3681,2944,956,386,674,2198,4461,3889,3219,2778,4529,3974,2940,1330,1466,1034,1620,2155,2269,1380,2051,"Waterbury city, Connecticut",54,2235,1095,1187,990,661,802,336,513,1112,1079,1364,865,691,881,934,942,777,533,543,428,698,437,380,229,2229,1003,1204,1248,707,465,341,526,821,1037,933,988,994,1022,917,910,579,499,504,705,725,904,612,884
"G10077580","2017","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",71104,34323,1998,2098,2106,1368,1112,336,633,1470,3304,2939,2488,2339,2029,1917,1489,1253,1168,409,709,1317,872,585,384,36781,2827,2687,2289,1011,634,272,512,1621,2882,2362,2550,1975,2136,2567,2331,1042,1113,792,998,1959,767,703,751,"Wilmington city, Delaware",32,1758,779,741,849,530,544,283,488,668,909,749,732,650,696,633,558,572,485,294,450,537,456,335,277,1764,865,824,673,437,332,293,340,675,810,654,676,630,625,827,622,503,527,394,408,555,374,384,456
"G11050000","2017","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",693972,329078,22795,19128,12822,8061,9229,5616,5677,13587,38517,37635,29383,21074,19421,18915,17974,6615,8428,5187,6798,8874,6592,3190,3560,364894,22270,17780,14016,7726,11237,6715,6086,16613,44787,41415,29613,22058,19318,18623,17606,7706,11534,5422,9846,12062,9373,5657,7431,"Washington city, District of Columbia",0,543,4,1404,1400,475,1144,1337,1227,1639,120,57,1845,1851,374,413,1765,1316,1277,899,1080,1137,910,740,730,543,114,1619,1615,528,1298,1474,1278,1600,79,225,1773,1752,121,119,1585,1356,1366,913,1218,1444,1301,1072,1265
"G12000410","2017","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",88496,42131,1151,1754,3931,2993,1332,1321,252,1812,2946,2773,4160,2550,4377,2080,2584,640,646,396,1240,1259,566,241,1127,46365,1213,1703,3383,1247,873,1181,1272,4027,4143,2441,3572,4151,5215,3160,2081,487,940,525,1249,1104,1120,912,366,"Alafaya CDP, Florida",11283,7049,661,1000,1978,1607,925,1061,265,987,1782,1971,2026,1562,1681,979,1191,480,441,514,898,742,570,327,702,6149,806,1203,1776,853,718,1257,1366,1571,1862,1191,2214,1743,1495,1546,968,394,705,484,835,742,1130,715,419
"G12007300","2017","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",98153,46711,2064,2913,2125,1620,1200,718,299,957,3168,2405,2139,2062,2864,3292,4018,1159,2330,1513,2182,2640,1967,1610,1466,51442,2396,2570,3237,612,1751,449,361,2136,3472,2581,2452,1801,3708,3108,3220,1844,2697,1781,1751,3090,1655,1341,3429,"Boca Raton city, Florida",33,2461,591,936,649,624,506,514,251,549,1318,782,750,755,863,880,1246,478,948,624,844,953,767,808,626,2456,1014,765,898,332,909,289,305,1024,1741,1303,751,635,1145,821,933,654,956,884,729,840,512,639,1139
"G12007875","2017","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",77704,38609,1763,1766,2707,1522,802,234,204,1842,3569,3736,2240,2038,2637,2081,1996,1317,1510,922,1271,1426,1311,1043,672,39095,2604,1904,1429,787,645,80,688,965,4109,2559,2889,1955,2675,2760,2919,1041,806,1052,1122,2069,916,1334,1787,"Boynton Beach city, Florida",31,2583,762,846,938,637,549,247,210,948,1782,1419,1122,707,985,785,926,1013,625,428,702,453,620,486,390,2588,951,932,721,480,421,135,554,534,1301,1088,1201,759,925,785,1212,553,458,490,459,589,422,851,700
"G12008150","2017","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",121190,57470,3925,2989,3553,2825,1172,500,804,1428,5654,4817,3171,4812,4444,3985,3791,1036,1676,1272,1116,2089,875,965,571,63720,3250,2674,4161,3294,1549,681,624,2650,4952,3624,5838,4799,3871,3912,4524,1645,2433,1732,1277,1783,2210,1061,1176,"Brandon CDP, Florida",8687,4560,1172,1025,1210,792,629,283,681,647,1140,1329,1138,1356,938,883,1001,443,755,665,456,937,464,638,381,5756,1152,904,1198,1348,852,391,441,999,1154,981,1548,1227,1209,983,1095,856,840,1423,463,620,970,424,614
"G12010275","2017","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",183356,91070,3268,3693,5829,2890,2351,2225,821,2808,4874,4355,5081,5753,6027,6275,6948,2173,3817,2627,4643,6943,3618,1630,2421,92286,4817,2700,5049,4285,1179,1141,193,1791,5234,3796,4114,6006,5973,5493,9155,2513,5663,2987,5201,4831,4378,1930,3857,"Cape Coral city, Florida",42,3568,962,1327,1479,914,810,1828,805,1246,1614,1232,1955,1984,1607,1533,1557,673,1041,879,1505,1432,1112,606,1036,3571,1426,918,1439,1149,682,1067,234,1041,1771,1271,1147,1667,1596,1286,1743,886,1533,1093,1716,1278,1213,757,1635
"G12012875","2017","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",115501,51382,3436,3086,2545,2165,938,276,354,1585,2855,2542,5116,2294,4040,3563,3085,1796,2698,1465,1938,2185,1399,563,1458,64119,3517,2733,3458,3256,679,422,1283,1713,4306,3678,4292,4469,4701,3126,5556,1722,1769,1590,2581,2914,2230,1597,2527,"Clearwater city, Florida",44,2575,1101,1408,1072,749,770,369,263,886,1027,785,1273,778,1192,1087,1049,686,805,489,580,657,496,317,562,2579,1341,1098,1169,1002,394,333,1124,903,1078,1215,1089,1335,947,876,1218,716,662,533,783,690,623,620,867
"G12014400","2017","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",133058,61711,4472,5237,4813,2789,1716,676,648,2334,4162,4152,3873,4780,3617,3545,4666,1890,1856,990,1475,2112,1125,256,527,71347,4156,3764,5239,3799,1281,1448,1136,1968,4829,4012,6870,4329,5771,5239,5462,1332,1805,950,1379,2881,1657,576,1464,"Coral Springs city, Florida",76,3071,1185,1064,1298,884,722,457,451,1036,1194,1034,1115,1202,1131,1100,1069,850,712,545,569,737,473,238,320,3067,1060,1379,1566,1099,700,811,529,944,1148,1124,1685,920,1574,1632,1314,570,629,442,679,948,838,370,725
"G12016475","2017","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",105146,48791,2765,5026,1981,1986,790,571,800,2599,3287,2896,2715,3778,3608,3633,3962,959,1319,569,1140,1337,1087,1251,732,56355,3444,3378,3930,2175,1142,414,1479,3002,4323,2936,3866,3179,3323,3068,5215,1276,1972,1492,1135,1547,1509,1707,843,"Davie town, Florida",35,2731,1061,1652,758,821,424,338,556,1104,1195,966,971,1303,1031,1019,1218,556,655,380,500,609,511,908,390,2741,1124,1298,1183,848,643,438,880,1025,1314,1014,1004,1095,1079,1014,1420,614,748,760,482,658,587,682,454
"G12016525","2017","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"16000US1216525","Daytona Beach city, Florida",68055,34906,2033,2030,2230,1594,1144,641,458,1911,3285,2427,1116,1992,1854,1902,2431,1156,773,1169,1344,1190,1157,599,470,33149,2485,1079,990,821,884,616,800,1214,2941,2296,2147,1258,1736,2035,2302,1222,1376,477,1640,1473,1693,588,1076,"Daytona Beach city, Florida",31,1970,681,1050,855,682,565,416,426,757,1403,828,569,831,689,679,751,429,395,839,619,503,533,315,236,1968,1006,529,542,373,321,474,514,736,1234,717,784,652,652,696,657,498,576,272,573,511,534,401,454
"G12016725","2017","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",80572,38982,2386,2360,2442,975,801,658,561,1622,2274,3962,3089,2679,1972,1168,3118,918,627,1004,919,1900,1282,1066,1199,41590,2250,1587,2524,900,703,1119,328,2282,2524,2467,1953,3541,1887,1694,3949,1028,1382,1038,1196,1662,1716,2220,1640,"Deerfield Beach city, Florida",34,2011,1280,1017,766,578,500,540,637,952,834,1304,1122,1199,779,501,899,510,297,554,381,792,564,504,567,2016,1055,809,1038,632,532,612,362,863,981,910,885,1327,865,592,992,532,493,499,571,610,609,722,662
