GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AGWME001,AGWME002,AGWME003,AGWME004,AGWME005,AGWME006,AGWME007,AGWME008,AGWME009,AGWME010,AGWME011,AGWME012,AGWME013,AGWME014,AGWME015,AGWME016,AGWME017,AGWME018,AGWME019,AGWME020,AGWME021,AGWME022,AGWME023,AGWME024,AGWME025,AGWME026,AGWME027,AGWME028,AGWME029,AGWME030,AGWME031,AGWME032,AGWME033,AGWME034,AGWME035,AGWME036,AGWME037,AGWME038,AGWME039,AGWME040,AGWME041,AGWME042,AGWME043,AGWME044,AGWME045,AGWME046,AGWME047,AGWME048,AGWME049,NAME_M,AGWMM001,AGWMM002,AGWMM003,AGWMM004,AGWMM005,AGWMM006,AGWMM007,AGWMM008,AGWMM009,AGWMM010,AGWMM011,AGWMM012,AGWMM013,AGWMM014,AGWMM015,AGWMM016,AGWMM017,AGWMM018,AGWMM019,AGWMM020,AGWMM021,AGWMM022,AGWMM023,AGWMM024,AGWMM025,AGWMM026,AGWMM027,AGWMM028,AGWMM029,AGWMM030,AGWMM031,AGWMM032,AGWMM033,AGWMM034,AGWMM035,AGWMM036,AGWMM037,AGWMM038,AGWMM039,AGWMM040,AGWMM041,AGWMM042,AGWMM043,AGWMM044,AGWMM045,AGWMM046,AGWMM047,AGWMM048,AGWMM049
"G04010670","2017","AZ",,,"Arizona","04",,,"Casas Adobes CDP","10670",,,,,,,,,,,,,,,,"16000US0410670","Casas Adobes CDP, Arizona",73668,34658,3023,1720,1501,1022,827,908,322,1309,3118,2480,2784,1505,1822,1831,1913,581,1397,1041,1478,993,1547,634,902,39010,2872,2180,2279,606,811,625,808,1342,3214,2792,1753,2276,1528,1973,2546,1562,1565,1054,1324,2012,1698,659,1531,"Casas Adobes CDP, Arizona",5807,3489,1102,729,688,493,452,588,326,662,946,834,913,657,679,626,574,349,537,504,513,353,705,359,428,3138,945,987,1154,331,488,341,432,685,910,913,701,859,500,624,699,527,380,367,414,774,636,405,490
"G04012000","2017","AZ",,,"Arizona","04",,,"Chandler city","12000",,,,,,,,,,,,,,,,"16000US0412000","Chandler city, Arizona",253448,125874,7939,9257,9094,5563,3466,1238,1395,4829,8789,8139,9732,9346,7918,10104,8856,3311,2930,2263,2655,3346,3163,1494,1047,127574,7500,7490,10586,6664,2572,1245,1154,3956,8305,8313,9634,10165,9772,9473,8543,2622,3705,2503,3215,4246,2933,1674,1304,"Chandler city, Arizona",54,3420,1208,1530,1454,1157,1134,581,607,1265,1623,1459,1708,1489,1170,1481,1386,975,864,817,760,674,859,459,523,3424,1354,1398,1548,1518,879,530,480,1111,1652,1334,1452,1520,1453,1181,1318,759,1284,637,819,858,719,546,578
"G04023620","2017","AZ",,,"Arizona","04",,,"Flagstaff city","23620",,,,,,,,,,,,,,,,"16000US0423620","Flagstaff city, Arizona",71975,36659,2172,1397,2497,1627,3341,1620,1066,3204,3568,2976,2160,1355,2211,1072,1956,407,1375,353,658,634,749,107,154,35316,1998,1225,2008,793,7520,1639,1028,1502,2454,1849,1766,1756,1273,1582,1222,602,888,709,1168,1153,661,408,112,"Flagstaff city, Arizona",21,1231,527,574,675,670,668,811,488,930,467,617,591,447,593,332,657,267,523,204,333,337,349,130,189,1232,395,572,595,353,1930,766,1068,881,676,550,600,588,409,584,446,294,439,319,486,438,344,281,108
"G04027400","2017","AZ",,,"Arizona","04",,,"Gilbert town","27400",,,,,,,,,,,,,,,,"16000US0427400","Gilbert town, Arizona",242362,118931,8624,9061,11710,8035,3889,1638,955,4153,6179,9633,9788,8491,8441,7287,7338,1661,2358,1379,2564,2930,1309,565,943,123431,7861,8592,11057,6044,3021,1475,877,3865,7473,9878,9604,10499,9543,8689,5871,2815,3879,1601,3188,2842,2449,981,1327,"Gilbert town, Arizona",55,2832,1496,1455,1742,1662,1179,597,741,1674,1383,1802,1394,1417,1096,1127,1222,575,685,465,652,860,422,332,461,2824,1220,1615,1785,1060,895,662,435,1194,1596,1554,1768,1368,1389,1343,1159,864,794,533,763,708,823,516,745
"G04027820","2017","AZ",,,"Arizona","04",,,"Glendale city","27820",,,,,,,,,,,,,,,,"16000US0427820","Glendale city, Arizona",246708,120816,10796,9494,7373,5502,5010,1524,1612,6326,10285,8403,7478,6597,7276,9046,6464,2219,3044,2232,3001,3308,2267,1035,524,125892,9215,8800,9293,5579,3615,1875,2228,5220,9681,8971,5734,8188,7963,10203,8578,2460,3429,2326,2668,4268,1960,1662,1976,"Glendale city, Arizona",45,3427,1613,1711,1534,1027,1120,567,618,1455,2390,1678,1389,1158,1318,1415,976,687,860,685,765,717,577,482,306,3428,1650,1869,1628,1135,870,800,796,1267,1520,1249,1048,1579,1156,1637,1410,615,843,730,630,1060,588,690,578
"G04028380","2017","AZ",,,"Arizona","04",,,"Goodyear city","28380",,,,,,,,,,,,,,,,"16000US0428380","Goodyear city, Arizona",79850,37464,2092,1848,3698,912,405,812,1119,1412,1369,2471,2819,3144,1955,2811,1786,1622,1293,1246,1154,1670,1045,650,131,42386,2658,2157,3598,2007,958,488,233,1267,2443,3280,3722,3008,3687,2258,2488,632,1772,797,988,1888,992,600,465,"Goodyear city, Arizona",40,2120,871,711,1006,402,303,628,782,626,701,732,848,987,882,806,676,753,420,608,512,578,449,335,157,2112,1105,877,1270,851,569,454,303,753,782,946,830,1257,997,701,671,309,574,381,451,630,484,366,339
"G04046000","2017","AZ",,,"Arizona","04",,,"Mesa city","46000",,,,,,,,,,,,,,,,"16000US0446000","Mesa city, Arizona",496395,242301,18324,18332,19983,9213,6686,2731,3122,7734,20561,16289,17912,13813,13830,13799,13549,4854,7336,3902,6807,8374,6978,4327,3845,254094,16929,17950,13513,12536,6043,3256,3279,10231,18925,16645,17531,12940,14502,16852,16493,4443,8024,4430,7961,11010,8775,5807,6019,"Mesa city, Arizona",55,4256,2242,2428,2271,1394,1444,965,1138,1461,3045,1944,2014,1680,1614,1558,1814,1082,1234,816,1119,1102,1278,1006,802,4264,2008,2204,1802,1840,1334,933,920,1594,2221,2074,2097,1605,2097,1935,2034,871,1201,1120,1146,1532,1519,1040,1161
"G04054050","2017","AZ",,,"Arizona","04",,,"Peoria city","54050",,,,,,,,,,,,,,,,"16000US0454050","Peoria city, Arizona",168174,79855,4865,5269,5065,2790,2136,991,1082,3274,5019,5423,4812,5371,4652,5917,6709,2434,3052,1515,2061,3372,2015,1331,700,88319,5217,4145,5716,2925,1761,1382,1389,3240,5388,4582,5195,5274,6515,6429,6953,2166,3067,2383,3135,3594,2599,2446,2818,"Peoria city, Arizona",53,2514,1175,1021,1299,761,673,592,495,971,1335,1509,1051,1146,1021,1183,1342,665,885,580,588,625,552,513,315,2515,1170,936,1281,944,667,714,709,902,1388,1176,1031,914,1325,1301,1094,630,753,763,663,797,712,816,709
"G04055000","2017","AZ",,,"Arizona","04",,,"Phoenix city","55000",,,,,,,,,,,,,,,,"16000US0455000","Phoenix city, Arizona",1626085,811245,60339,55646,63715,36020,21051,12000,12043,35852,67873,59957,58712,52699,59372,48818,49292,18226,21632,13329,16391,20552,12108,8466,7152,814840,59802,55064,63927,31755,22968,11247,10795,34874,66866,60428,57187,53963,53182,46722,46018,18980,24680,13376,18183,24503,16223,9639,14458,"Phoenix city, Arizona",78,6902,3066,3692,3838,2618,2037,1934,1717,3335,4035,3373,3885,3402,2549,2779,2594,1754,2495,1731,1731,1993,1380,1206,1491,6912,3383,4137,3867,2601,1692,1807,1535,3161,3756,3074,3131,3169,3126,2873,3113,1997,2398,2014,1906,2238,1974,1074,1906
"G04064210","2017","AZ",,,"Arizona","04",,,"San Tan Valley CDP","64210",,,,,,,,,,,,,,,,"16000US0464210","San Tan Valley CDP, Arizona",92851,44761,3002,5044,3957,2399,2507,166,636,1431,1814,4201,3230,4115,2591,2200,1319,872,949,853,606,1092,991,726,60,48090,3956,4639,4434,2256,1082,366,438,1465,3173,3964,4237,3018,2526,2936,1048,1186,1047,2028,1582,1790,687,0,232,"San Tan Valley CDP, Arizona",8533,4985,953,1645,994,704,1186,208,523,921,942,1273,1343,1694,1117,841,593,504,421,497,400,502,559,589,107,4864,1154,1578,1944,981,555,422,316,929,1097,898,1352,1185,836,1017,538,688,648,1001,740,646,502,208,309
