GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,OILE001,OILE002,OILE003,OILE004,OILE005,OILE006,OILE007,OILE008,OILE009,OILE010,OILE011,OILE012,OILE013,OILE014,OILE015,OILE016,OILE017,OILE018,OILE019,OILE020,OILE021,OILE022,OILE023,OILE024,OILE025,OILE026,OILE027,OILE028,OILE029,OILE030,OILE031,OILE032,OILE033,OILE034,OILE035,OILE036,OILE037,OILE038,OILE039,OILE040,OILE041,OILE042,OILE043,OILE044,OILE045,OILE046,OILE047,OILE048,OILE049,NAME_M,OILM001,OILM002,OILM003,OILM004,OILM005,OILM006,OILM007,OILM008,OILM009,OILM010,OILM011,OILM012,OILM013,OILM014,OILM015,OILM016,OILM017,OILM018,OILM019,OILM020,OILM021,OILM022,OILM023,OILM024,OILM025,OILM026,OILM027,OILM028,OILM029,OILM030,OILM031,OILM032,OILM033,OILM034,OILM035,OILM036,OILM037,OILM038,OILM039,OILM040,OILM041,OILM042,OILM043,OILM044,OILM045,OILM046,OILM047,OILM048,OILM049
"G24030325","2012","MD",,,"Maryland","24",,,"Frederick city","30325",,,,,,,,,,,,,,,,"16000US2430325","Frederick city, Maryland",66390,31083,2209,2386,1560,1285,1002,709,482,1412,2603,2185,1786,2692,2125,1887,2060,491,864,318,799,895,585,431,317,35307,1876,2314,2094,539,595,327,439,1757,2862,2942,2996,2834,2631,2233,1901,958,1051,725,669,1110,615,633,1206,"Frederick city, Maryland",38,1382,671,682,474,488,454,544,426,454,728,742,511,807,665,678,640,228,344,241,402,376,299,336,203,1383,478,707,622,373,323,267,290,476,663,603,1077,791,710,540,573,562,461,450,413,415,317,303,510
"G24032025","2012","MD",,,"Maryland","24",,,"Germantown CDP","32025",,,,,,,,,,,,,,,,"16000US2432025","Germantown CDP, Maryland",91541,43822,1696,3814,3630,2303,1124,842,617,834,3228,3384,3575,4265,3703,4515,2142,692,610,517,550,1296,192,177,116,47719,3297,3436,4104,1958,971,280,284,932,3873,3399,3888,4048,4901,4279,2345,721,1632,833,1042,581,457,188,270,"Germantown CDP, Maryland",7032,4079,535,977,1227,713,675,795,467,394,1036,1218,1100,1034,989,1117,549,341,377,279,308,645,192,156,133,3829,1012,1132,1085,711,541,212,244,476,1038,826,1135,1030,1047,1079,713,377,633,535,565,286,369,190,195
"G24032650","2012","MD",,,"Maryland","24",,,"Glen Burnie CDP","32650",,,,,,,,,,,,,,,,"16000US2432650","Glen Burnie CDP, Maryland",70285,32689,2316,2383,1221,1164,872,422,702,1667,2264,2013,2074,2578,2407,3028,1874,991,941,576,1019,504,795,554,324,37596,2190,1429,2345,734,1233,507,417,1974,3859,1799,2908,2120,3851,2796,2547,902,818,538,799,1150,1385,729,566,"Glen Burnie CDP, Maryland",6694,3738,961,925,480,523,558,293,491,806,758,670,821,840,750,933,707,499,475,342,480,290,336,270,208,3692,883,685,905,415,914,320,402,735,876,549,887,778,856,633,755,382,453,295,371,471,493,335,305
"G24072450","2012","MD",,,"Maryland","24",,,"Silver Spring CDP","72450",,,,,,,,,,,,,,,,"16000US2472450","Silver Spring CDP, Maryland",73958,34917,2087,1780,2234,828,1138,871,98,1445,3640,4383,3533,2455,2377,1982,2381,665,892,231,677,462,471,121,166,39041,2043,1918,1795,883,777,334,372,1988,3971,3262,4055,4050,2707,2384,2058,1657,1059,525,820,718,824,234,607,"Silver Spring CDP, Maryland",5543,3336,780,763,683,316,557,633,112,720,1186,1359,1009,818,726,648,664,343,399,163,349,263,230,129,151,3143,712,840,698,432,549,290,331,715,1029,943,1063,1066,754,639,444,791,389,257,456,360,533,182,429
"G24081175","2012","MD",,,"Maryland","24",,,"Waldorf CDP","81175",,,,,,,,,,,,,,,,"16000US2481175","Waldorf CDP, Maryland",72890,34753,2462,3135,2557,1931,763,173,839,1311,2067,3044,1628,3579,3245,3176,1853,783,511,335,283,448,343,287,0,38137,2357,1982,2948,2434,727,503,342,2061,2692,2778,3078,3096,3327,3127,2113,639,845,271,926,476,544,565,306,"Waldorf CDP, Maryland",4322,2350,555,907,766,468,351,146,490,600,478,601,673,802,502,596,551,329,292,325,228,262,271,210,190,2622,676,674,1009,531,311,353,214,613,651,572,888,813,613,712,560,382,331,190,371,259,284,273,226
"G25007000","2012","MA",,,"Massachusetts","25",,,"Boston city","07000",,,,,,,,,,,,,,,,"16000US2507000","Boston city, Massachusetts",637516,306561,18196,15249,13214,8936,13653,9380,9920,20168,39468,29324,18918,18865,18686,17395,15022,6211,6338,3339,5462,7394,4172,3974,3277,330955,17661,15374,12370,9475,16546,11793,9069,21093,41582,29892,20979,18234,18442,17573,17166,5811,8261,5799,5361,8772,6197,6188,7317,"Boston city, Massachusetts",2304,2599,860,1641,1653,661,517,1680,1877,1902,1351,1001,1823,1721,795,789,1499,1151,1057,780,949,983,734,706,724,2296,832,1394,1424,428,485,1643,1475,1611,1131,1112,1797,1785,845,753,1481,1215,976,1024,845,1019,1017,1189,1050
"G25009000","2012","MA",,,"Massachusetts","25",,,"Brockton city","09000",,,,,,,,,,,,,,,,"16000US2509000","Brockton city, Massachusetts",94092,45778,3632,4189,3304,2261,1404,695,842,1844,2323,2651,2611,2916,3598,3365,3023,796,1131,768,1094,975,797,692,867,48314,3245,3858,2398,1982,1712,1123,764,1520,2469,3100,2758,3661,3040,3760,3256,777,768,956,939,1988,1235,1737,1268,"Brockton city, Massachusetts",24,1641,570,843,950,408,481,492,504,599,644,614,693,851,654,651,763,347,432,378,400,364,381,302,429,1640,646,763,1149,517,595,504,341,553,426,492,729,939,551,692,603,260,343,350,373,564,484,538,599
"G25011000","2012","MA",,,"Massachusetts","25",,,"Cambridge city","11000",,,,,,,,,,,,,,,,"16000US2511000","Cambridge city, Massachusetts",106456,52607,1848,1646,1355,633,2657,2571,1757,3744,9255,6633,3669,2925,2197,2013,1915,998,1534,649,788,1706,1005,393,716,53849,2006,1065,1156,1167,3887,2117,2230,3622,7356,5954,2776,2670,2339,2127,3245,909,1788,959,1101,1966,994,1064,1351,"Cambridge city, Massachusetts",60,2455,608,523,426,294,683,633,581,895,1714,1179,908,742,620,499,562,425,507,304,318,501,379,215,424,2457,603,433,425,496,1040,697,730,860,1141,1205,710,691,554,642,716,332,620,344,420,654,368,419,647
"G25023000","2012","MA",,,"Massachusetts","25",,,"Fall River city","23000",,,,,,,,,,,,,,,,"16000US2523000","Fall River city, Massachusetts",88943,42070,3029,2257,2750,1867,445,662,610,1718,4115,2519,2168,2005,3149,3987,3056,884,1347,808,1284,1337,819,804,450,46873,2531,1975,2683,1004,679,771,435,2362,3178,4161,2528,2577,4126,3855,3171,1317,1276,915,796,2237,1276,1172,1848,"Fall River city, Massachusetts",23,1785,818,916,965,678,249,475,375,848,1033,705,656,655,830,838,815,359,417,429,578,449,322,401,255,1783,850,684,728,508,340,461,282,730,825,828,859,716,1021,910,762,632,452,428,388,711,657,492,692
"G25024960","2012","MA",,,"Massachusetts","25",,,"Framingham CDP","24960",,,,,,,,,,,,,,,,"16000US2524960","Framingham CDP, Massachusetts",70076,33599,1496,2191,2028,1026,818,236,383,1075,3012,3506,2254,2556,3126,2091,2196,469,1168,739,902,408,617,591,711,36477,1760,1367,1658,1365,1251,701,424,1377,3293,3144,2218,2332,2585,2129,2475,1054,1347,804,924,789,1175,1026,1279,"Framingham CDP, Massachusetts",33,1501,667,869,769,393,415,181,296,451,1033,1121,668,889,862,686,784,291,494,385,385,236,327,371,369,1504,788,502,695,650,656,393,230,551,921,1061,770,762,682,763,760,463,563,395,431,453,603,458,605
"G25034550","2012","MA",,,"Massachusetts","25",,,"Lawrence city","34550",,,,,,,,,,,,,,,,"16000US2534550","Lawrence city, Massachusetts",77321,36316,3444,2668,2704,2114,1367,663,498,2231,3131,1543,2899,2260,2384,2039,2204,504,707,567,383,920,322,325,439,41005,2895,3260,3284,2400,1790,734,877,1855,2645,2759,2823,2493,2961,2369,2107,1049,871,616,840,574,713,229,861,"Lawrence city, Massachusetts",37,1832,872,785,736,451,434,500,298,735,646,727,717,659,518,580,610,248,398,355,203,424,241,271,301,1838,766,666,869,468,454,374,349,535,653,644,722,706,549,573,501,502,399,365,370,312,389,182,409
"G25037000","2012","MA",,,"Massachusetts","25",,,"Lowell city","37000",,,,,,,,,,,,,,,,"16000US2537000","Lowell city, Massachusetts",108528,53078,3571,2952,2882,2471,2918,523,823,3088,4461,4532,3744,3661,3691,3432,3585,810,1452,633,1041,1175,782,555,296,55450,3670,3378,3487,1514,1926,537,1190,2450,4120,5409,3362,3620,4670,3595,3313,1546,1417,781,905,1323,1182,851,1204,"Lowell city, Massachusetts",38,1994,1068,948,808,551,895,381,500,916,1063,1140,943,1038,947,928,785,312,635,279,455,457,321,338,202,1997,927,990,832,471,576,260,449,748,903,1108,795,850,931,864,685,572,565,488,438,512,457,376,534
"G25037490","2012","MA",,,"Massachusetts","25",,,"Lynn city","37490",,,,,,,,,,,,,,,,"16000US2537490","Lynn city, Massachusetts",91247,45273,4278,2965,3609,2044,732,601,455,2126,3867,4996,2379,3057,2809,3444,2317,550,1162,635,964,929,476,399,479,45974,4418,2771,2882,1651,781,673,363,2280,3977,4311,2748,2618,2946,3106,3003,529,884,744,981,1780,900,464,1164,"Lynn city, Massachusetts",41,1621,1095,800,943,717,355,464,440,710,982,1062,692,844,695,775,588,282,375,338,394,357,261,249,226,1622,846,624,758,584,426,294,305,655,854,951,730,731,726,758,711,306,317,383,431,543,366,270,391
"G25045000","2012","MA",,,"Massachusetts","25",,,"New Bedford city","45000",,,,,,,,,,,,,,,,"16000US2545000","New Bedford city, Massachusetts",94929,45835,2562,2801,2365,1919,958,677,879,1412,3602,3561,3943,3152,2229,3123,2754,1076,1794,801,1796,1222,1229,901,1079,49094,3811,2775,2822,1408,606,480,311,2091,3675,3329,4543,2385,2423,3104,3684,930,1555,1227,930,1649,1262,1388,2706,"New Bedford city, Massachusetts",26,1763,623,809,648,602,429,397,522,608,860,718,996,894,615,804,788,374,566,356,614,401,381,335,425,1765,825,734,876,517,376,282,234,712,691,656,938,746,562,605,761,298,512,459,385,544,466,435,569
"G25045560","2012","MA",,,"Massachusetts","25",,,"Newton city","45560",,,,,,,,,,,,,,,,"16000US2545560","Newton city, Massachusetts",86304,39893,2411,3024,2774,1671,1411,709,920,957,2243,1860,2674,3449,2270,2335,2830,1036,1180,901,1198,1724,770,717,829,46411,3186,3036,2754,1313,2308,1140,1105,727,1768,2408,2811,3155,3848,3402,2410,806,1766,912,1340,1735,1369,1401,1711,"Newton city, Massachusetts",27,1575,746,905,743,612,456,391,694,380,725,559,799,775,670,607,740,387,459,354,385,469,312,259,317,1575,1027,673,596,374,655,461,401,332,644,669,730,683,839,900,560,419,501,389,465,547,458,491,583
"G25055745","2012","MA",,,"Massachusetts","25",,,"Quincy city","55745",,,,,,,,,,,,,,,,"16000US2555745","Quincy city, Massachusetts",93031,45940,3185,1516,1940,1717,1450,216,774,1774,5119,5065,3705,2042,3549,2965,2813,838,1537,551,1428,1105,900,1140,611,47091,2028,2132,1308,693,1153,551,484,1709,5067,4212,2892,3761,3061,3886,4409,1172,1571,609,931,1685,549,804,2424,"Quincy city, Massachusetts",26,1983,867,700,894,716,604,178,466,680,1135,1496,1023,694,871,764,651,462,451,282,570,547,413,513,294,1984,680,837,562,463,644,515,323,508,1216,903,771,886,792,895,982,674,668,325,363,563,321,438,1279
"G25062535","2012","MA",,,"Massachusetts","25",,,"Somerville city","62535",,,,,,,,,,,,,,,,"16000US2562535","Somerville city, Massachusetts",77112,36317,2255,1366,356,624,1188,907,1323,2120,7327,4659,3430,2779,2074,1380,617,763,580,358,254,471,441,667,378,40795,3156,1342,1550,802,690,599,694,1907,7790,5451,2967,3099,1211,2935,1030,505,1035,538,706,1002,799,500,487,"Somerville city, Massachusetts",35,2230,904,768,246,350,378,480,1197,910,1628,1234,914,829,693,426,388,486,346,225,197,241,232,488,275,2235,988,607,655,472,304,362,528,815,1690,1191,839,849,518,932,419,351,439,286,357,427,385,313,288
"G25067000","2012","MA",,,"Massachusetts","25",,,"Springfield city","67000",,,,,,,,,,,,,,,,"16000US2567000","Springfield city, Massachusetts",153557,73411,5019,5462,6512,3320,2981,1122,1872,4115,4941,5386,3282,5150,4553,4794,4313,1605,2143,578,939,1973,1533,845,973,80146,5070,5158,6869,3534,3246,1871,1484,3180,5397,5806,4371,4975,5226,4404,5417,1631,1900,1386,1722,2247,1105,1988,2159,"Springfield city, Massachusetts",38,1921,777,959,908,666,762,479,726,1347,929,996,761,1055,643,770,827,577,715,233,445,452,509,361,366,1915,767,1003,1141,485,722,556,604,702,683,1014,779,919,627,549,1089,604,589,495,516,541,326,583,505
"G25082000","2012","MA",,,"Massachusetts","25",,,"Worcester city","82000",,,,,,,,,,,,,,,,"16000US2582000","Worcester city, Massachusetts",182680,87696,7244,7048,5487,3636,3828,2182,1632,4309,7447,6760,4986,5663,4410,5452,5365,1699,2713,790,2250,1459,1384,961,991,94984,5901,6074,5475,2786,3757,1937,2189,5919,6240,7503,5737,5781,5350,6772,6477,1735,2729,2214,1674,2098,2343,1052,3241,"Worcester city, Massachusetts",50,2851,1271,1368,1199,735,843,668,488,1097,1154,1328,1219,1223,1135,1077,1029,564,700,335,697,638,474,354,371,2854,944,1471,1073,610,1059,596,806,1077,1202,1061,995,1190,1027,978,1211,545,719,634,578,682,648,384,718
