GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHP5E001,AHP5E002,AHP5E003,AHP5E004,AHP5E005,AHP5E006,AHP5E007,AHP5E008,AHP5E009,AHP5E010,AHP5E011,AHP5E012,AHP5E013,AHP5E014,AHP5E015,AHP5E016,AHP5E017,AHP5E018,AHP5E019,AHP5E020,AHP5E021,AHP5E022,AHP5E023,AHP5E024,AHP5E025,AHP5E026,AHP5E027,NAME_M,AHP5M001,AHP5M002,AHP5M003,AHP5M004,AHP5M005,AHP5M006,AHP5M007,AHP5M008,AHP5M009,AHP5M010,AHP5M011,AHP5M012,AHP5M013,AHP5M014,AHP5M015,AHP5M016,AHP5M017,AHP5M018,AHP5M019,AHP5M020,AHP5M021,AHP5M022,AHP5M023,AHP5M024,AHP5M025,AHP5M026,AHP5M027
"G05015190","2017","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"16000US0515190","Conway city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conway city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05023290","2017","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayetteville city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05024550","2017","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",17476,159,190,154,51,37,57,78,574,339,567,1972,1141,1246,2485,1616,2148,841,1104,1000,1127,339,173,0,78,0,0,"Fort Smith city, Arkansas",1547,190,200,149,86,70,99,139,356,220,402,903,650,481,1002,572,686,465,542,583,549,345,234,201,125,201,201
"G05035710","2017","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jonesboro city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05041000","2017","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",44645,352,178,71,117,74,354,537,1126,952,1061,2459,1244,1176,4263,4228,5186,3041,4868,2803,4400,1843,3053,854,131,141,133,"Little Rock city, Arkansas",2669,278,187,120,70,86,285,393,560,446,550,863,482,587,1183,1174,1030,765,1242,816,988,667,744,461,154,178,114
"G05050450","2017","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",11561,170,0,0,81,0,269,205,379,319,585,751,862,560,962,1264,1278,1026,1289,230,773,110,209,0,157,82,0,"North Little Rock city, Arkansas",1378,181,201,201,130,201,251,195,231,306,331,455,485,355,373,667,489,446,443,173,411,134,202,201,199,137,201
"G05060410","2017","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",13412,0,0,45,0,0,0,87,93,0,78,732,819,480,1020,2222,1309,1203,1239,1532,1038,512,691,312,0,0,0,"Rogers city, Arkansas",1258,201,201,76,201,201,201,105,116,201,97,508,554,308,431,877,489,539,670,596,420,308,339,177,201,201,201
"G05066080","2017","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Springdale city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06000562","2017","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06000884","2017","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
