GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AN8XE001,AN8XE002,AN8XE003,AN8XE004,AN8XE005,AN8XE006,AN8XE007,AN8XE008,AN8XE009,AN8XE010,AN8XE011,AN8XE012,AN8XE013,AN8XE014,AN8XE015,AN8XE016,AN8XE017,AN8XE018,AN8XE019,AN8XE020,AN8XE021,AN8XE022,AN8XE023,AN8XE024,AN8XE025,AN8XE026,AN8XE027,NAME_M,AN8XM001,AN8XM002,AN8XM003,AN8XM004,AN8XM005,AN8XM006,AN8XM007,AN8XM008,AN8XM009,AN8XM010,AN8XM011,AN8XM012,AN8XM013,AN8XM014,AN8XM015,AN8XM016,AN8XM017,AN8XM018,AN8XM019,AN8XM020,AN8XM021,AN8XM022,AN8XM023,AN8XM024,AN8XM025,AN8XM026,AN8XM027
"G22039475","2021","LA",,,"Louisiana","22",,,"Kenner city","39475",,,,,,,,,,,,,,,,"1600000US2239475","2239475","Kenner city, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenner city, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G22040735","2021","LA",,,"Louisiana","22",,,"Lafayette city","40735",,,,,,,,,,,,,,,,"1600000US2240735","2240735","Lafayette city, Louisiana",27542,597,413,218,0,221,216,178,142,327,434,710,1235,606,1406,2160,2105,1830,3295,2895,2638,2536,2279,536,565,0,0,"Lafayette city, Louisiana",2183,267,518,243,230,201,251,294,161,301,319,458,831,513,817,1005,688,682,969,834,817,947,999,385,525,230,230
"G22041155","2021","LA",,,"Louisiana","22",,,"Lake Charles city","41155",,,,,,,,,,,,,,,,"1600000US2241155","2241155","Lake Charles city, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lake Charles city, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G22050115","2021","LA",,,"Louisiana","22",,,"Metairie CDP","50115",,,,,,,,,,,,,,,,"1600000US2250115","2250115","Metairie CDP, Louisiana",41034,463,214,503,95,37,158,38,89,110,192,219,318,278,1749,946,2340,2364,5367,7577,9794,3530,2835,956,375,113,374,"Metairie CDP, Louisiana",2530,399,184,461,112,62,158,63,146,110,224,182,264,234,827,369,729,668,1088,1408,1540,1065,715,432,254,138,185
"G22055000","2021","LA",,,"Louisiana","22",,,"New Orleans city","55000",,,,,,,,,,,,,,,,"1600000US2255000","2255000","New Orleans city, Louisiana",83516,489,777,591,147,167,119,46,357,688,323,438,1387,580,3263,4805,8121,4792,9553,8774,12726,6736,11159,2954,3155,526,843,"New Orleans city, Louisiana",2852,230,417,408,120,167,149,78,265,332,299,310,572,285,739,797,1500,875,1232,1370,1352,986,1397,676,761,253,319
"G22070000","2021","LA",,,"Louisiana","22",,,"Shreveport city","70000",,,,,,,,,,,,,,,,"1600000US2270000","2270000","Shreveport city, Louisiana",40664,949,1129,291,310,231,1198,424,567,637,1871,772,1456,1451,4039,3379,3533,2915,6050,2215,3995,896,1616,165,291,0,284,"Shreveport city, Louisiana",2604,527,525,232,310,174,773,470,450,433,950,352,672,872,1101,1119,1017,1046,1522,819,1154,466,686,195,166,230,259
"G23060545","2021","ME",,,"Maine","23",,,"Portland city","60545",,,,,,,,,,,,,,,,"1600000US2360545","2360545","Portland city, Maine",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Portland city, Maine",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24004000","2021","MD",,,"Maryland","24",,,"Baltimore city","04000",,,,,,,,,,,,,,,,"1600000US2404000","2404000","Baltimore city, Maryland",123249,2498,580,702,904,558,1192,638,1387,1744,2762,3966,4629,1996,8632,7980,14516,9573,19225,9404,15092,5853,6114,2089,976,83,156,"Baltimore city, Maryland",4168,829,253,420,424,526,512,429,632,680,790,1064,1185,502,1611,1368,2081,1628,2427,1429,2079,1207,1126,675,472,138,180
"G24007125","2021","MD",,,"Maryland","24",,,"Bethesda CDP","07125",,,,,,,,,,,,,,,,"1600000US2407125","2407125","Bethesda CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bethesda CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24019125","2021","MD",,,"Maryland","24",,,"Columbia CDP","19125",,,,,,,,,,,,,,,,"1600000US2419125","2419125","Columbia CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24026000","2021","MD",,,"Maryland","24",,,"Ellicott City CDP","26000",,,,,,,,,,,,,,,,"1600000US2426000","2426000","Ellicott City CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ellicott City CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24030325","2021","MD",,,"Maryland","24",,,"Frederick city","30325",,,,,,,,,,,,,,,,"1600000US2430325","2430325","Frederick city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Frederick city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24031175","2021","MD",,,"Maryland","24",,,"Gaithersburg city","31175",,,,,,,,,,,,,,,,"1600000US2431175","2431175","Gaithersburg city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gaithersburg city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24032025","2021","MD",,,"Maryland","24",,,"Germantown CDP","32025",,,,,,,,,,,,,,,,"1600000US2432025","2432025","Germantown CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Germantown CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24032650","2021","MD",,,"Maryland","24",,,"Glen Burnie CDP","32650",,,,,,,,,,,,,,,,"1600000US2432650","2432650","Glen Burnie CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Glen Burnie CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24067675","2021","MD",,,"Maryland","24",,,"Rockville city","67675",,,,,,,,,,,,,,,,"1600000US2467675","2467675","Rockville city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rockville city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24072450","2021","MD",,,"Maryland","24",,,"Silver Spring CDP","72450",,,,,,,,,,,,,,,,"1600000US2472450","2472450","Silver Spring CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Silver Spring CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24081175","2021","MD",,,"Maryland","24",,,"Waldorf CDP","81175",,,,,,,,,,,,,,,,"1600000US2481175","2481175","Waldorf CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waldorf CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25007000","2021","MA",,,"Massachusetts","25",,,"Boston city","07000",,,,,,,,,,,,,,,,"1600000US2507000","2507000","Boston city, Massachusetts",94497,1594,229,0,34,0,0,95,327,239,348,68,238,161,366,71,21,336,1158,2220,6938,11155,33888,18584,8249,3868,4310,"Boston city, Massachusetts",3897,706,184,218,58,218,218,112,247,255,263,113,224,197,316,119,40,218,517,774,1471,1745,3044,2217,1339,1013,853
"G25009000","2021","MA",,,"Massachusetts","25",,,"Brockton city","09000",,,,,,,,,,,,,,,,"1600000US2509000","2509000","Brockton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brockton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25011000","2021","MA",,,"Massachusetts","25",,,"Cambridge city","11000",,,,,,,,,,,,,,,,"1600000US2511000","2511000","Cambridge city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cambridge city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25023000","2021","MA",,,"Massachusetts","25",,,"Fall River city","23000",,,,,,,,,,,,,,,,"1600000US2523000","2523000","Fall River city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fall River city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25024960","2021","MA",,,"Massachusetts","25",,,"Framingham city","24960",,,,,,,,,,,,,,,,"1600000US2524960","2524960","Framingham city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Framingham city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25029405","2021","MA",,,"Massachusetts","25",,,"Haverhill city","29405",,,,,,,,,,,,,,,,"1600000US2529405","2529405","Haverhill city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haverhill city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25034550","2021","MA",,,"Massachusetts","25",,,"Lawrence city","34550",,,,,,,,,,,,,,,,"1600000US2534550","2534550","Lawrence city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25037000","2021","MA",,,"Massachusetts","25",,,"Lowell city","37000",,,,,,,,,,,,,,,,"1600000US2537000","2537000","Lowell city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowell city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25037490","2021","MA",,,"Massachusetts","25",,,"Lynn city","37490",,,,,,,,,,,,,,,,"1600000US2537490","2537490","Lynn city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lynn city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25037875","2021","MA",,,"Massachusetts","25",,,"Malden city","37875",,,,,,,,,,,,,,,,"1600000US2537875","2537875","Malden city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Malden city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25045000","2021","MA",,,"Massachusetts","25",,,"New Bedford city","45000",,,,,,,,,,,,,,,,"1600000US2545000","2545000","New Bedford city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Bedford city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25045560","2021","MA",,,"Massachusetts","25",,,"Newton city","45560",,,,,,,,,,,,,,,,"1600000US2545560","2545560","Newton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25055745","2021","MA",,,"Massachusetts","25",,,"Quincy city","55745",,,,,,,,,,,,,,,,"1600000US2555745","2555745","Quincy city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quincy city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25062535","2021","MA",,,"Massachusetts","25",,,"Somerville city","62535",,,,,,,,,,,,,,,,"1600000US2562535","2562535","Somerville city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Somerville city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25067000","2021","MA",,,"Massachusetts","25",,,"Springfield city","67000",,,,,,,,,,,,,,,,"1600000US2567000","2567000","Springfield city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Springfield city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25082000","2021","MA",,,"Massachusetts","25",,,"Worcester city","82000",,,,,,,,,,,,,,,,"1600000US2582000","2582000","Worcester city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Worcester city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26003000","2021","MI",,,"Michigan","26",,,"Ann Arbor city","03000",,,,,,,,,,,,,,,,"1600000US2603000","2603000","Ann Arbor city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ann Arbor city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26021000","2021","MI",,,"Michigan","26",,,"Dearborn city","21000",,,,,,,,,,,,,,,,"1600000US2621000","2621000","Dearborn city, Michigan",24777,392,0,42,0,45,0,0,0,0,173,286,442,412,2494,3537,3873,2912,4458,1537,2177,567,838,412,133,0,47,"Dearborn city, Michigan",1709,346,181,70,181,75,181,181,181,181,170,231,285,302,731,824,868,762,1059,604,723,288,429,242,219,181,78
"G26022000","2021","MI",,,"Michigan","26",,,"Detroit city","22000",,,,,,,,,,,,,,,,"1600000US2622000","2622000","Detroit city, Michigan",129084,4548,3739,3943,6373,3576,6373,3121,10306,12019,11318,8705,7693,5300,10087,5420,6687,2778,5777,3018,4878,1781,932,299,272,115,26,"Detroit city, Michigan",4131,898,918,1044,1324,912,1185,1032,1522,1773,1892,1559,1281,1300,1615,1315,1192,783,1027,729,922,550,378,240,251,150,44
"G26027440","2021","MI",,,"Michigan","26",,,"Farmington Hills city","27440",,,,,,,,,,,,,,,,"1600000US2627440","2627440","Farmington Hills city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Farmington Hills city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26029000","2021","MI",,,"Michigan","26",,,"Flint city","29000",,,,,,,,,,,,,,,,"1600000US2629000","2629000","Flint city, Michigan",18337,694,1350,1804,648,782,1023,492,2549,2085,1302,1031,522,443,890,750,403,334,886,154,139,56,0,0,0,0,0,"Flint city, Michigan",1975,267,627,660,308,497,497,339,812,792,598,460,307,388,515,767,386,349,519,167,217,98,181,181,181,181,181
"G26034000","2021","MI",,,"Michigan","26",,,"Grand Rapids city","34000",,,,,,,,,,,,,,,,"1600000US2634000","2634000","Grand Rapids city, Michigan",44840,145,89,0,194,251,122,50,309,0,386,739,732,637,2312,3532,6037,5644,9952,6952,4254,1516,429,233,249,0,76,"Grand Rapids city, Michigan",2441,139,103,181,189,212,145,82,342,181,318,429,348,377,769,1003,1132,978,1482,1157,946,539,247,166,272,181,93
"G26042160","2021","MI",,,"Michigan","26",,,"Kalamazoo city","42160",,,,,,,,,,,,,,,,"1600000US2642160","2642160","Kalamazoo city, Michigan",13196,345,37,35,340,0,114,0,137,565,315,334,527,395,1638,1344,1545,1391,1413,1006,643,336,572,130,0,0,34,"Kalamazoo city, Michigan",1696,327,66,60,300,181,183,181,201,520,252,341,279,345,698,566,487,463,553,444,298,272,519,212,181,181,57
"G26046000","2021","MI",,,"Michigan","26",,,"Lansing city","46000",,,,,,,,,,,,,,,,"1600000US2646000","2646000","Lansing city, Michigan",28084,536,582,113,0,148,280,183,858,1338,2407,1260,1514,2913,4825,3613,2282,2485,1292,410,550,145,233,117,0,0,0,"Lansing city, Michigan",1947,447,468,118,181,241,196,303,438,546,862,452,588,758,1057,809,751,894,514,319,349,247,301,163,181,181,181
"G26049000","2021","MI",,,"Michigan","26",,,"Livonia city","49000",,,,,,,,,,,,,,,,"1600000US2649000","2649000","Livonia city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Livonia city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26059440","2021","MI",,,"Michigan","26",,,"Novi city","59440",,,,,,,,,,,,,,,,"1600000US2659440","2659440","Novi city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Novi city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26069035","2021","MI",,,"Michigan","26",,,"Rochester Hills city","69035",,,,,,,,,,,,,,,,"1600000US2669035","2669035","Rochester Hills city, Michigan",21367,138,222,69,0,45,246,41,123,285,27,74,68,182,495,255,564,981,1711,2183,5504,4521,2422,728,241,203,39,"Rochester Hills city, Michigan",1235,127,145,79,181,74,272,67,105,126,46,88,111,299,324,195,406,500,680,621,807,752,590,457,201,212,64
"G26074900","2021","MI",,,"Michigan","26",,,"Southfield city","74900",,,,,,,,,,,,,,,,"1600000US2674900","2674900","Southfield city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southfield city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26076460","2021","MI",,,"Michigan","26",,,"Sterling Heights city","76460",,,,,,,,,,,,,,,,"1600000US2676460","2676460","Sterling Heights city, Michigan",39904,566,215,73,342,336,347,0,145,270,0,216,293,147,599,1237,4205,2741,11007,8038,5656,2162,1161,148,0,0,0,"Sterling Heights city, Michigan",2169,367,205,121,286,237,317,181,234,225,181,274,303,148,325,673,1275,834,1341,1295,1056,643,654,145,181,181,181
"G26080700","2021","MI",,,"Michigan","26",,,"Troy city","80700",,,,,,,,,,,,,,,,"1600000US2680700","2680700","Troy city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Troy city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26084000","2021","MI",,,"Michigan","26",,,"Warren city","84000",,,,,,,,,,,,,,,,"1600000US2684000","2684000","Warren city, Michigan",40699,705,177,454,0,123,518,229,178,656,908,838,1337,1047,3724,4166,6625,7396,7539,2858,1023,129,0,0,0,69,0,"Warren city, Michigan",2484,427,213,359,181,154,403,216,170,504,484,500,518,520,881,935,1068,1183,1314,718,573,202,181,181,181,115,181
"G26086000","2021","MI",,,"Michigan","26",,,"Westland city","86000",,,,,,,,,,,,,,,,"1600000US2686000","2686000","Westland city, Michigan",23179,234,88,297,169,118,294,0,284,183,261,579,1201,399,1942,1991,6042,3755,2903,1098,891,249,201,0,0,0,0,"Westland city, Michigan",2056,251,105,340,139,129,224,181,230,208,259,454,507,286,683,497,1008,827,797,440,554,198,251,181,181,181,181
"G26088940","2021","MI",,,"Michigan","26",,,"Wyoming city","88940",,,,,,,,,,,,,,,,"1600000US2688940","2688940","Wyoming city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wyoming city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27006382","2021","MN",,,"Minnesota","27",,,"Blaine city","06382",,,,,,,,,,,,,,,,"1600000US2706382","2706382","Blaine city, Minnesota",21808,149,187,42,228,595,1115,327,455,305,203,0,0,0,86,318,473,958,2010,3649,5439,2409,2352,353,155,0,0,"Blaine city, Minnesota",1644,180,182,70,227,622,736,372,392,380,238,157,157,157,102,246,437,445,919,1090,1179,654,703,300,155,157,157
"G27006616","2021","MN",,,"Minnesota","27",,,"Bloomington city","06616",,,,,,,,,,,,,,,,"1600000US2706616","2706616","Bloomington city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bloomington city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27007966","2021","MN",,,"Minnesota","27",,,"Brooklyn Park city","07966",,,,,,,,,,,,,,,,"1600000US2707966","2707966","Brooklyn Park city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brooklyn Park city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27017000","2021","MN",,,"Minnesota","27",,,"Duluth city","17000",,,,,,,,,,,,,,,,"1600000US2717000","2717000","Duluth city, Minnesota",21949,491,48,173,112,0,0,63,253,191,247,501,433,502,1292,2010,2592,1308,3354,2917,2179,2125,837,186,100,0,35,"Duluth city, Minnesota",1513,357,71,159,137,157,157,104,168,159,251,451,248,306,389,666,683,403,751,880,623,697,387,140,99,157,58
"G27017288","2021","MN",,,"Minnesota","27",,,"Eagan city","17288",,,,,,,,,,,,,,,,"1600000US2717288","2717288","Eagan city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eagan city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27035180","2021","MN",,,"Minnesota","27",,,"Lakeville city","35180",,,,,,,,,,,,,,,,"1600000US2735180","2735180","Lakeville city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lakeville city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27040166","2021","MN",,,"Minnesota","27",,,"Maple Grove city","40166",,,,,,,,,,,,,,,,"1600000US2740166","2740166","Maple Grove city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maple Grove city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27043000","2021","MN",,,"Minnesota","27",,,"Minneapolis city","43000",,,,,,,,,,,,,,,,"1600000US2743000","2743000","Minneapolis city, Minnesota",93981,809,199,165,236,45,38,128,231,92,28,76,387,758,2232,1618,4249,4554,12450,14443,22306,12130,9844,3701,2080,555,627,"Minneapolis city, Minnesota",4072,539,153,167,219,77,64,158,201,158,47,93,316,453,730,743,1079,1161,1828,1603,2287,1846,1477,927,618,322,391
"G27051730","2021","MN",,,"Minnesota","27",,,"Plymouth city","51730",,,,,,,,,,,,,,,,"1600000US2751730","2751730","Plymouth city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plymouth city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27054880","2021","MN",,,"Minnesota","27",,,"Rochester city","54880",,,,,,,,,,,,,,,,"1600000US2754880","2754880","Rochester city, Minnesota",32949,470,256,298,47,235,47,0,288,118,45,147,0,125,361,723,1916,2616,5992,5861,6390,3668,2586,349,283,86,42,"Rochester city, Minnesota",1614,348,386,231,78,362,65,157,249,105,74,174,157,171,254,369,586,831,1340,1146,1258,967,835,309,359,135,70
"G27056896","2021","MN",,,"Minnesota","27",,,"St. Cloud city","56896",,,,,,,,,,,,,,,,"1600000US2756896","2756896","St. Cloud city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Cloud city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27058000","2021","MN",,,"Minnesota","27",,,"St. Paul city","58000",,,,,,,,,,,,,,,,"1600000US2758000","2758000","St. Paul city, Minnesota",67642,144,392,309,532,438,107,186,348,109,97,0,289,283,2209,2288,5228,4766,11311,13481,11440,5923,5406,1638,132,389,197,"St. Paul city, Minnesota",2759,138,449,266,327,366,127,302,369,180,126,157,210,192,782,842,1242,1122,1538,1595,1554,1252,984,462,104,357,138
"G27071428","2021","MN",,,"Minnesota","27",,,"Woodbury city","71428",,,,,,,,,,,,,,,,"1600000US2771428","2771428","Woodbury city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Woodbury city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G28029700","2021","MS",,,"Mississippi","28",,,"Gulfport city","29700",,,,,,,,,,,,,,,,"1600000US2829700","2829700","Gulfport city, Mississippi",14362,0,153,373,105,0,37,0,207,209,269,420,1897,607,1819,1629,2038,982,740,443,1121,468,542,69,125,0,109,"Gulfport city, Mississippi",1632,233,189,377,109,233,59,233,204,240,226,398,943,420,637,758,891,485,441,273,480,416,465,118,159,233,144
"G28036000","2021","MS",,,"Mississippi","28",,,"Jackson city","36000",,,,,,,,,,,,,,,,"1600000US2836000","2836000","Jackson city, Mississippi",28891,1176,449,562,570,336,1021,603,1234,1545,981,2450,2078,1280,2713,2073,2012,1716,1658,1518,1376,279,501,604,117,39,0,"Jackson city, Mississippi",1954,614,286,373,353,293,452,428,613,531,450,827,953,615,777,943,779,791,581,533,503,184,269,391,115,64,233
"G29015670","2021","MO",,,"Missouri","29",,,"Columbia city","15670",,,,,,,,,,,,,,,,"1600000US2915670","2915670","Columbia city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G29035000","2021","MO",,,"Missouri","29",,,"Independence city","35000",,,,,,,,,,,,,,,,"1600000US2935000","2935000","Independence city, Missouri",33922,521,86,254,56,282,0,184,321,883,619,816,1083,773,5380,4760,4993,2647,4020,2512,3048,497,136,51,0,0,0,"Independence city, Missouri",2327,419,103,232,93,345,198,238,368,472,463,398,472,441,1106,1072,1269,793,986,930,817,308,136,85,198,198,198
"G29038000","2021","MO",,,"Missouri","29",,,"Kansas City city","38000",,,,,,,,,,,,,,,,"1600000US2938000","2938000","Kansas City city, Missouri",118384,979,750,863,701,1179,1058,923,1228,2598,2731,1684,3515,3044,7768,7438,9472,8907,16270,12292,18622,8642,5490,1273,508,211,238,"Kansas City city, Missouri",4060,487,445,410,367,683,439,510,450,749,926,653,920,853,1301,1218,1572,1667,1930,1599,2411,1479,1121,533,279,188,196
"G29041348","2021","MO",,,"Missouri","29",,,"Lee's Summit city","41348",,,,,,,,,,,,,,,,"1600000US2941348","2941348","Lee's Summit city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee's Summit city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G29054074","2021","MO",,,"Missouri","29",,,"O'Fallon city","54074",,,,,,,,,,,,,,,,"1600000US2954074","2954074","O'Fallon city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,"O'Fallon city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G29064082","2021","MO",,,"Missouri","29",,,"St. Charles city","64082",,,,,,,,,,,,,,,,"1600000US2964082","2964082","St. Charles city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Charles city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G29064550","2021","MO",,,"Missouri","29",,,"St. Joseph city","64550",,,,,,,,,,,,,,,,"1600000US2964550","2964550","St. Joseph city, Missouri",17413,411,252,181,544,29,190,111,422,201,651,914,843,602,2799,1823,1820,1169,1637,759,686,961,408,0,0,0,0,"St. Joseph city, Missouri",1515,349,261,186,291,49,174,115,216,154,354,424,389,314,769,495,625,464,560,385,328,483,324,198,198,198,198
"G29065000","2021","MO",,,"Missouri","29",,,"St. Louis city","65000",,,,,,,,,,,,,,,,"1600000US2965000","2965000","St. Louis city, Missouri",63653,866,561,470,732,823,774,491,1352,1321,1494,1694,2094,2005,6087,4988,7286,5086,7762,5931,6286,2397,2336,323,494,0,0,"St. Louis city, Missouri",2695,355,386,344,456,455,392,282,590,534,606,577,628,724,1323,1026,1358,1025,1132,1160,1310,813,823,226,330,198,198
"G29070000","2021","MO",,,"Missouri","29",,,"Springfield city","70000",,,,,,,,,,,,,,,,"1600000US2970000","2970000","Springfield city, Missouri",35203,640,364,354,147,149,186,63,493,1217,860,1249,2362,1087,3755,3954,3881,3710,4066,2023,2488,1552,507,0,0,40,56,"Springfield city, Missouri",2154,366,292,320,248,154,203,101,346,598,437,602,926,587,975,730,1028,1106,1004,757,684,598,343,198,198,66,98
"G30006550","2021","MT",,,"Montana","30",,,"Billings city","06550",,,,,,,,,,,,,,,,"1600000US3006550","3006550","Billings city, Montana",33559,164,52,0,480,309,114,0,75,74,297,118,168,53,274,838,1675,1985,5233,6090,8599,3864,1964,922,159,0,52,"Billings city, Montana",1806,285,86,184,420,310,134,184,132,127,337,136,165,92,241,446,588,816,1120,1288,1511,1046,710,557,133,184,90
"G30050200","2021","MT",,,"Montana","30",,,"Missoula city","50200",,,,,,,,,,,,,,,,"1600000US3050200","3050200","Missoula city, Montana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missoula city, Montana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G31028000","2021","NE",,,"Nebraska","31",,,"Lincoln city","28000",,,,,,,,,,,,,,,,"1600000US3128000","3128000","Lincoln city, Nebraska",70003,847,408,291,320,238,37,248,147,502,162,1007,437,990,2704,4291,8768,6199,13218,10353,10209,4711,2802,755,213,56,90,"Lincoln city, Nebraska",2503,450,399,227,275,245,62,161,153,358,213,644,297,614,648,855,1666,1005,1569,1644,1280,852,731,519,168,102,104
