GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PGYE001,PGYE002,PGYE003,PGYE004,PGYE005,PGYE006,PGYE007,PGYE008,PGYE009,PGYE010,PGYE011,PGYE012,PGYE013,PGYE014,PGYE015,PGYE016,PGYE017,PGYE018,PGYE019,PGYE020,PGYE021,PGYE022,PGYE023,PGYE024,PGYE025,NAME_M,PGYM001,PGYM002,PGYM003,PGYM004,PGYM005,PGYM006,PGYM007,PGYM008,PGYM009,PGYM010,PGYM011,PGYM012,PGYM013,PGYM014,PGYM015,PGYM016,PGYM017,PGYM018,PGYM019,PGYM020,PGYM021,PGYM022,PGYM023,PGYM024,PGYM025
"G06081554","2012","CA",,,"California","06",,,"Vacaville city","81554",,,,,,,,,,,,,,,,"16000US0681554","Vacaville city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Vacaville city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06081666","2012","CA",,,"California","06",,,"Vallejo city","81666",,,,,,,,,,,,,,,,"16000US0681666","Vallejo city, California",21898,88,158,42,295,277,84,0,205,105,328,467,345,556,2347,1822,2339,2258,3816,2258,2490,1064,446,47,61,"Vallejo city, California",1619,99,153,70,186,168,97,197,200,103,205,264,202,285,624,455,664,712,795,627,668,296,291,80,97
"G06082590","2012","CA",,,"California","06",,,"Victorville city","82590",,,,,,,,,,,,,,,,"16000US0682590","Victorville city, California",19562,69,104,0,165,106,351,242,495,348,1109,916,837,1160,4628,3699,2297,1247,1093,444,144,46,0,0,62,"Victorville city, California",2058,114,124,197,197,134,388,341,322,234,695,446,372,630,1276,1319,864,1088,720,389,142,75,197,197,102
"G06082954","2012","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",23721,244,252,534,47,117,0,0,160,248,570,358,548,716,2338,3664,4087,1255,3319,2324,812,642,1154,70,262,"Visalia city, California",2110,249,197,285,59,115,197,197,194,205,389,250,323,383,778,866,1140,495,1162,826,359,328,645,113,386
"G06082996","2012","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",14778,116,71,70,0,41,167,39,125,227,63,69,121,111,129,122,659,314,1116,1706,5272,2074,1889,192,85,"Vista city, California",1619,137,116,116,197,66,169,65,124,145,104,114,97,181,179,119,298,226,385,834,999,617,929,191,139
"G06083346","2012","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",20174,41,0,0,0,0,0,97,64,0,232,112,191,45,449,1058,493,345,703,659,2611,1635,5720,4883,836,"Walnut Creek city, California",1622,68,197,197,197,197,197,113,106,197,199,135,157,77,207,420,270,244,359,364,725,550,948,768,338
"G06084200","2012","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06084550","2012","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Westminster city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06085292","2012","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06086832","2012","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06086972","2012","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",11749,251,158,53,0,150,34,0,117,267,118,317,454,218,1330,1117,2464,734,1661,997,740,411,32,126,0,"Yuba City city, California",1092,231,250,62,197,149,57,197,151,249,131,238,291,216,595,559,746,316,566,391,391,275,57,194,197
"G08003455","2012","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",34178,46,0,252,92,0,0,0,0,43,151,80,66,66,718,1944,2278,4230,8246,7506,4027,2392,1262,753,26,"Arvada city, Colorado",1894,76,189,193,89,189,189,189,189,71,152,131,82,110,356,571,550,862,1174,1137,726,568,389,493,45
"G08004000","2012","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",69445,442,403,633,166,260,0,143,741,764,793,1105,2170,2334,6224,6913,10833,9983,11662,6629,3811,1804,1251,253,128,"Aurora city, Colorado",3056,287,214,354,168,170,189,123,405,427,393,370,752,684,1090,1164,1490,1240,1876,1150,624,509,352,156,111
"G08007850","2012","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,"Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,
"G08012815","2012","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",30417,0,0,222,72,108,44,0,67,33,0,0,0,120,348,492,1110,1845,5682,4536,9235,3058,2336,576,533,"Centennial city, Colorado",1440,189,189,214,94,134,72,189,111,53,189,189,189,117,188,255,488,613,887,887,1137,555,528,275,421
"G08016000","2012","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",96798,1015,330,577,156,77,604,259,125,290,463,787,721,1217,4989,9412,12482,11460,16569,10529,13829,5966,3501,864,576,"Colorado Springs city, Colorado",2799,371,314,343,131,125,512,219,136,217,247,379,315,595,1056,1296,1454,1283,1573,1380,1527,872,718,454,281
"G08020000","2012","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",128521,501,680,405,432,400,95,197,516,934,1384,1754,1961,2117,7226,9833,10086,9256,16171,13120,22030,10275,11882,3572,3694,"Denver city, Colorado",4126,340,348,259,249,262,99,144,295,445,658,498,698,589,1059,1508,1480,1436,1987,1794,1998,1352,1445,783,805
"G08027425","2012","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",30180,405,62,226,167,76,129,130,103,75,35,0,85,372,415,1653,2215,2262,6842,5775,4640,1898,1698,253,664,"Fort Collins city, Colorado",1815,333,104,183,216,90,123,111,104,91,57,189,99,275,213,426,580,689,1123,796,739,558,566,154,363
"G08032155","2012","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",18872,166,119,209,81,146,21,68,414,380,262,386,505,625,2245,2719,3351,1228,2499,1316,1032,551,230,117,202,"Greeley city, Colorado",1272,133,122,148,103,243,36,101,304,252,183,264,396,357,594,663,751,374,677,412,380,293,207,158,224
"G08036410","2012","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,"Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,
"G08043000","2012","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",34425,36,127,197,178,59,71,0,0,98,38,88,743,346,1338,1553,2905,2713,7588,7567,5330,1852,1268,284,46,"Lakewood city, Colorado",2243,59,124,170,149,96,81,189,189,127,63,89,421,214,447,398,643,682,1111,1221,837,472,456,213,76
"G08045970","2012","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,"Longmont city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,
"G08046465","2012","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,"Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,
"G08062000","2012","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",23981,295,411,194,34,25,90,151,826,604,1299,1660,1838,2280,5052,2276,2097,1382,1473,812,568,0,332,198,84,"Pueblo city, Colorado",1513,235,244,168,58,41,89,122,365,288,450,497,566,652,960,625,470,419,443,306,266,189,269,180,99
"G08077290","2012","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",28519,1382,76,168,122,113,228,0,34,235,261,268,258,250,1540,3677,2946,3417,6561,4282,1983,564,0,77,77,"Thornton city, Colorado",2044,703,125,170,118,107,249,189,61,188,373,251,221,210,488,1005,805,752,1134,888,526,261,189,125,127
"G08083835","2012","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",28320,76,0,166,0,94,168,44,139,253,182,119,244,241,1099,1761,3337,2989,7611,3726,2991,1159,1690,77,154,"Westminster city, Colorado",1620,126,189,123,189,127,189,73,142,243,243,114,236,234,387,526,779,750,979,666,661,521,449,129,180
