GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PGYE001,PGYE002,PGYE003,PGYE004,PGYE005,PGYE006,PGYE007,PGYE008,PGYE009,PGYE010,PGYE011,PGYE012,PGYE013,PGYE014,PGYE015,PGYE016,PGYE017,PGYE018,PGYE019,PGYE020,PGYE021,PGYE022,PGYE023,PGYE024,PGYE025,NAME_M,PGYM001,PGYM002,PGYM003,PGYM004,PGYM005,PGYM006,PGYM007,PGYM008,PGYM009,PGYM010,PGYM011,PGYM012,PGYM013,PGYM014,PGYM015,PGYM016,PGYM017,PGYM018,PGYM019,PGYM020,PGYM021,PGYM022,PGYM023,PGYM024,PGYM025
"G09008000","2012","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",20543,60,0,91,142,140,153,27,298,333,802,634,546,273,1878,2206,3636,2129,3210,2000,1484,319,79,38,65,"Bridgeport city, Connecticut",1717,97,193,147,236,121,182,48,220,210,392,458,256,222,597,707,892,631,921,596,527,323,64,64,80
"G09018430","2012","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,"Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,
"G09037000","2012","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",10279,0,28,163,63,53,99,55,109,385,196,486,497,327,838,1347,2050,699,1479,653,265,54,172,132,129,"Hartford city, Connecticut",960,193,48,152,79,63,124,93,135,204,222,292,263,240,339,457,625,264,497,287,183,66,161,75,173
"G09050370","2012","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,"New Britain city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,
"G09052000","2012","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",15953,0,0,0,110,0,149,0,373,423,45,245,873,390,1757,844,2121,1553,2745,2071,1265,81,530,123,255,"New Haven city, Connecticut",1580,193,193,193,129,193,209,193,319,361,77,229,443,263,618,379,638,557,741,630,406,95,269,146,195
"G09055990","2012","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,"Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,
"G09073000","2012","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,"Stamford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,
"G09080000","2012","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",19962,73,222,104,38,73,214,0,261,486,576,613,1271,849,3963,2624,3494,1899,2097,330,431,140,111,32,61,"Waterbury city, Connecticut",1656,123,193,135,65,88,225,193,257,279,341,285,640,491,1015,780,900,518,567,185,303,176,134,53,75
"G10077580","2012","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",14004,93,29,0,86,0,0,48,153,185,776,532,570,427,1140,1595,2436,1455,1578,701,1355,173,328,42,302,"Wilmington city, Delaware",1229,153,47,182,102,182,182,77,100,164,528,329,393,234,411,631,770,595,476,331,478,137,221,70,189
"G11050000","2012","DC",,,"District Of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",110681,161,43,93,175,72,193,42,290,180,197,361,194,311,924,1248,3354,3025,8740,8387,18471,14617,23423,14015,12165,"Washington city, District of Columbia",3549,136,72,110,132,114,124,69,198,147,173,217,214,214,368,524,782,737,1320,1163,1637,1625,1696,1377,1318
