GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALLGE001,ALLGE002,ALLGE003,ALLGE004,ALLGE005,ALLGE006,ALLGE007,ALLGE008,ALLGE009,ALLGE010,ALLGE011,ALLGE012,ALLGE013,ALLGE014,ALLGE015,ALLGE016,ALLGE017,ALLGE018,ALLGE019,ALLGE020,ALLGE021,ALLGE022,ALLGE023,ALLGE024,ALLGE025,ALLGE026,ALLGE027,NAME_M,ALLGM001,ALLGM002,ALLGM003,ALLGM004,ALLGM005,ALLGM006,ALLGM007,ALLGM008,ALLGM009,ALLGM010,ALLGM011,ALLGM012,ALLGM013,ALLGM014,ALLGM015,ALLGM016,ALLGM017,ALLGM018,ALLGM019,ALLGM020,ALLGM021,ALLGM022,ALLGM023,ALLGM024,ALLGM025,ALLGM026,ALLGM027
"G05015190","2019","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"16000US0515190","Conway city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conway city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05023290","2019","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayetteville city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05024550","2019","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",17229,0,86,85,71,0,255,66,918,495,678,1414,875,827,1792,2029,2033,1059,1468,728,1301,515,439,95,0,0,0,"Fort Smith city, Arkansas",1810,206,144,146,90,206,246,84,579,308,317,563,361,474,688,753,724,461,803,354,679,498,297,121,206,206,206
"G05035710","2019","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",15845,478,92,100,0,465,0,102,227,293,272,109,293,607,2204,1375,2035,1431,1996,1520,1171,414,330,75,157,99,0,"Jonesboro city, Arkansas",1613,392,150,162,206,580,206,121,345,223,218,132,261,382,1121,650,830,606,867,717,561,301,258,120,195,174,206
"G05041000","2019","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",44754,229,257,102,44,0,459,320,987,478,1735,2267,1733,1968,4177,3614,4626,3430,4151,2993,5257,2137,2511,573,360,277,69,"Little Rock city, Arkansas",3232,195,249,129,73,206,252,277,702,319,659,902,635,831,1280,1195,1202,853,1129,976,1186,601,753,312,253,189,112
"G05050450","2019","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",14940,328,85,49,120,171,46,163,516,1078,777,1039,640,418,1066,1769,2028,1044,1361,985,832,265,85,43,32,0,0,"North Little Rock city, Arkansas",1747,305,157,81,146,152,77,251,370,660,545,645,429,234,536,539,806,437,566,433,802,221,141,74,53,206,206
"G05060410","2019","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"16000US0560410","Rogers city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rogers city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05066080","2019","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Springdale city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06000562","2019","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06000884","2019","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
