GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALLGE001,ALLGE002,ALLGE003,ALLGE004,ALLGE005,ALLGE006,ALLGE007,ALLGE008,ALLGE009,ALLGE010,ALLGE011,ALLGE012,ALLGE013,ALLGE014,ALLGE015,ALLGE016,ALLGE017,ALLGE018,ALLGE019,ALLGE020,ALLGE021,ALLGE022,ALLGE023,ALLGE024,ALLGE025,ALLGE026,ALLGE027,NAME_M,ALLGM001,ALLGM002,ALLGM003,ALLGM004,ALLGM005,ALLGM006,ALLGM007,ALLGM008,ALLGM009,ALLGM010,ALLGM011,ALLGM012,ALLGM013,ALLGM014,ALLGM015,ALLGM016,ALLGM017,ALLGM018,ALLGM019,ALLGM020,ALLGM021,ALLGM022,ALLGM023,ALLGM024,ALLGM025,ALLGM026,ALLGM027
"G06082954","2019","CA",,,"California","06",,,"Visalia city","82954",,,,,,,,,,,,,,,,"16000US0682954","Visalia city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Visalia city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06082996","2019","CA",,,"California","06",,,"Vista city","82996",,,,,,,,,,,,,,,,"16000US0682996","Vista city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vista city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06083346","2019","CA",,,"California","06",,,"Walnut Creek city","83346",,,,,,,,,,,,,,,,"16000US0683346","Walnut Creek city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walnut Creek city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06084200","2019","CA",,,"California","06",,,"West Covina city","84200",,,,,,,,,,,,,,,,"16000US0684200","West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"West Covina city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06084550","2019","CA",,,"California","06",,,"Westminster city","84550",,,,,,,,,,,,,,,,"16000US0684550","Westminster city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westminster city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06085292","2019","CA",,,"California","06",,,"Whittier city","85292",,,,,,,,,,,,,,,,"16000US0685292","Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Whittier city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06086832","2019","CA",,,"California","06",,,"Yorba Linda city","86832",,,,,,,,,,,,,,,,"16000US0686832","Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yorba Linda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06086972","2019","CA",,,"California","06",,,"Yuba City city","86972",,,,,,,,,,,,,,,,"16000US0686972","Yuba City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yuba City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08003455","2019","CO",,,"Colorado","08",,,"Arvada city","03455",,,,,,,,,,,,,,,,"16000US0803455","Arvada city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arvada city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08004000","2019","CO",,,"Colorado","08",,,"Aurora city","04000",,,,,,,,,,,,,,,,"16000US0804000","Aurora city, Colorado",84585,691,162,164,203,229,215,152,125,86,503,661,24,181,655,771,1922,1370,8479,12576,30543,13543,9090,1132,646,74,388,"Aurora city, Colorado",3562,389,195,143,140,229,221,125,236,105,385,624,41,295,338,415,694,588,1482,1756,2572,1646,1195,370,391,91,293
"G08007850","2019","CO",,,"Colorado","08",,,"Boulder city","07850",,,,,,,,,,,,,,,,"16000US0807850","Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boulder city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08009280","2019","CO",,,"Colorado","08",,,"Broomfield city","09280",,,,,,,,,,,,,,,,"16000US0809280","Broomfield city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Broomfield city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08012415","2019","CO",,,"Colorado","08",,,"Castle Rock town","12415",,,,,,,,,,,,,,,,"16000US0812415","Castle Rock town, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Castle Rock town, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08012815","2019","CO",,,"Colorado","08",,,"Centennial city","12815",,,,,,,,,,,,,,,,"16000US0812815","Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Centennial city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08016000","2019","CO",,,"Colorado","08",,,"Colorado Springs city","16000",,,,,,,,,,,,,,,,"16000US0816000","Colorado Springs city, Colorado",113114,729,285,417,335,352,632,89,199,223,403,129,47,883,1171,1807,3473,4589,15280,20086,29878,17356,10559,3045,470,101,576,"Colorado Springs city, Colorado",3742,579,301,374,206,307,502,103,206,127,333,153,76,489,547,577,946,946,1919,1963,2450,1947,1351,822,239,122,300
"G08020000","2019","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",158620,845,213,0,106,149,292,135,149,298,181,188,0,0,698,1784,2561,1637,8007,10655,38158,27932,36577,15742,7766,2474,2073,"Denver city, Colorado",4520,360,212,206,128,195,210,171,120,275,229,267,206,206,375,869,848,580,1662,1804,2902,2814,2540,1518,1167,848,605
"G08027425","2019","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fort Collins city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08032155","2019","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greeley city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08036410","2019","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08043000","2019","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lakewood city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08045970","2019","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Longmont city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08046465","2019","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08062000","2019","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",26863,281,944,0,32,55,0,125,235,473,792,419,978,1326,3290,3032,3698,2705,3251,2581,1789,197,448,110,0,52,50,"Pueblo city, Colorado",1748,228,796,206,56,92,206,119,247,301,435,277,392,453,652,817,851,805,684,819,587,131,228,154,206,88,91
"G08077290","2019","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Thornton city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G08083835","2019","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Westminster city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09008000","2019","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",20446,405,112,0,80,244,339,0,166,329,1300,255,272,135,1429,1329,2500,1676,4093,2568,2536,236,91,0,0,248,103,"Bridgeport city, Connecticut",1978,363,94,213,136,285,426,213,212,218,668,279,222,125,530,670,921,619,1213,967,989,249,153,213,213,213,126
"G09018430","2019","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09037000","2019","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hartford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09050370","2019","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Britain city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09052000","2019","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Haven city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09055990","2019","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09073000","2019","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Stamford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G09080000","2019","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waterbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G10077580","2019","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wilmington city, Delaware",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G11050000","2019","DC",,,"District of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",120988,495,52,0,66,0,142,41,116,113,0,85,109,67,752,1083,435,293,3078,3922,16954,15567,29221,22288,15978,4720,5411,"Washington city, District of Columbia",3639,284,87,218,111,218,173,71,145,131,218,100,130,112,347,953,341,202,794,1139,2182,1853,2166,1913,1778,902,1172
"G12000410","2019","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12007300","2019","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boca Raton city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12007875","2019","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",18915,84,68,44,45,74,131,44,0,163,352,283,222,394,1032,971,1905,1464,2818,3115,3641,1348,543,174,0,0,0,"Boynton Beach city, Florida",2167,99,113,72,74,89,127,77,234,171,223,269,226,237,440,542,811,580,850,746,1027,599,267,237,234,234,234
"G12008150","2019","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brandon CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12010275","2019","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",53733,199,0,164,183,105,0,0,0,0,60,63,336,493,949,1777,3920,6903,11820,9640,9207,3316,3160,940,205,121,172,"Cape Coral city, Florida",3684,203,234,190,216,180,234,234,234,234,96,108,296,310,437,1304,1096,1467,1948,2231,1803,1031,960,469,179,151,231
"G12012875","2019","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",29350,654,177,317,64,120,122,220,416,222,994,165,885,289,1343,785,2590,3310,4052,2645,5087,1622,2045,444,346,281,155,"Clearwater city, Florida",2403,518,172,283,106,104,142,262,353,223,725,202,508,256,670,397,759,1275,833,653,1111,581,605,283,289,278,154
"G12014400","2019","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coral Springs city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12016475","2019","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",22826,181,0,0,518,189,510,612,887,437,218,118,35,34,417,985,1051,518,809,2084,4021,2786,3353,1678,1255,130,0,"Davie town, Florida",1845,224,234,234,540,213,528,703,685,432,276,100,57,57,359,513,528,364,352,956,1158,717,963,704,596,156,234
"G12016525","2019","FL",,,"Florida","12",,,"Daytona Beach city","16525",,,,,,,,,,,,,,,,"16000US1216525","Daytona Beach city, Florida",13517,258,190,96,262,46,0,0,109,398,152,482,388,375,1591,993,1898,1380,1862,1159,904,114,495,63,0,223,79,"Daytona Beach city, Florida",1620,189,200,112,218,76,234,234,181,297,125,374,284,283,638,479,738,686,536,417,469,109,376,76,234,217,96
"G12016725","2019","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",20983,309,250,0,82,219,47,515,499,761,977,1086,401,133,1453,311,1455,687,2241,2708,3482,1075,1375,682,127,0,108,"Deerfield Beach city, Florida",2110,230,253,234,94,213,76,489,316,516,495,709,285,127,690,261,496,382,690,716,1043,464,743,628,102,234,132
"G12017100","2019","FL",,,"Florida","12",,,"Delray Beach city","17100",,,,,,,,,,,,,,,,"16000US1217100","Delray Beach city, Florida",19470,252,40,0,0,0,29,0,0,0,0,425,757,458,922,777,1689,741,1721,2154,3918,1970,1143,1073,220,438,743,"Delray Beach city, Florida",1875,216,65,234,234,234,48,234,234,234,234,370,393,263,486,511,641,520,735,838,686,594,401,431,180,300,313
"G12017200","2019","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deltona city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12017935","2019","FL",,,"Florida","12",,,"Doral city","17935",,,,,,,,,,,,,,,,"16000US1217935","Doral city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Doral city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12024000","2019","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",41612,95,310,291,0,0,0,260,35,60,121,0,505,219,1187,858,2407,1994,3018,5766,6213,4958,6693,3161,1624,662,1175,"Fort Lauderdale city, Florida",3068,124,359,398,234,234,234,346,59,101,148,234,391,195,639,483,836,772,846,1383,1141,1107,1416,754,569,400,489
"G12024125","2019","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",16278,71,235,0,0,0,0,88,43,132,452,462,235,513,820,1081,639,478,2301,2146,3112,1677,1464,196,57,0,76,"Fort Myers city, Florida",1778,118,380,234,234,234,234,87,72,136,294,372,205,373,520,648,338,313,733,831,909,584,577,218,89,234,131
"G12024562","2019","FL",,,"Florida","12",,,"Fountainebleau CDP","24562",,,,,,,,,,,,,,,,"16000US1224562","Fountainebleau CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fountainebleau CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12025175","2019","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",18888,0,121,0,0,113,0,0,0,310,351,448,620,1369,1567,1506,1923,2279,3260,1369,2123,470,801,120,138,0,0,"Gainesville city, Florida",1880,234,144,234,234,192,234,234,234,215,273,378,569,634,687,566,675,734,1048,520,705,338,348,203,175,234,234
"G12030000","2019","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hialeah city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12032000","2019","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",30081,370,0,57,40,40,87,39,104,0,594,605,40,361,1520,322,1315,1302,4700,4193,6612,3172,3223,503,519,140,223,"Hollywood city, Florida",2796,322,234,95,68,67,144,67,134,234,472,415,66,256,751,267,545,739,1189,913,1214,965,741,253,348,133,362
"G12032275","2019","FL",,,"Florida","12",,,"Homestead city","32275",,,,,,,,,,,,,,,,"16000US1232275","Homestead city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Homestead city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12035000","2019","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",197853,1884,314,1417,747,633,999,1101,3020,4292,3718,3875,4220,4009,13898,15604,20509,18582,31933,24944,21607,8386,6687,2246,1906,780,542,"Jacksonville city, Florida",5352,719,250,993,310,331,406,644,798,1113,980,932,1033,1009,2171,2300,2933,2359,3057,2656,2614,1506,1305,694,815,637,313
"G12035875","2019","FL",,,"Florida","12",,,"Jupiter town","35875",,,,,,,,,,,,,,,,"16000US1235875","Jupiter town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jupiter town, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12036100","2019","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kendall CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12036950","2019","FL",,,"Florida","12",,,"Kissimmee city","36950",,,,,,,,,,,,,,,,"16000US1236950","Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kissimmee city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12038250","2019","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",21945,864,402,631,543,348,470,208,456,378,193,239,458,440,1936,1587,1438,1723,4125,2209,1699,825,498,45,70,160,0,"Lakeland city, Florida",1937,316,222,341,313,213,317,174,293,252,179,200,236,293,792,556,489,551,1066,646,601,494,284,75,83,226,234
"G12039425","2019","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",21004,748,1253,1240,652,267,885,86,889,902,808,897,564,450,1474,975,987,953,1921,2423,1476,407,604,85,58,0,0,"Largo city, Florida",2188,570,601,795,378,337,568,146,438,614,470,403,318,262,716,419,449,440,677,735,484,290,336,145,101,234,234
"G12039550","2019","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",12010,0,0,109,66,0,311,175,98,311,507,335,1298,236,616,989,400,854,1758,925,2213,365,415,29,0,0,0,"Lauderhill city, Florida",1601,234,234,149,76,234,283,288,165,325,405,220,690,226,428,576,305,543,804,494,873,277,455,48,234,234,234
"G12039925","2019","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lehigh Acres CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12043975","2019","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",18852,570,303,162,71,91,138,53,122,0,0,217,546,115,1336,1134,2581,2039,2943,2524,1759,829,769,219,179,57,95,"Melbourne city, Florida",1918,488,224,171,119,148,140,88,149,234,234,183,487,137,486,650,588,701,758,829,680,477,454,216,170,88,157
"G12045000","2019","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",55878,250,133,81,0,0,42,0,118,244,53,260,565,174,1039,1309,2408,1289,6054,6568,12565,7213,6948,3317,2795,742,1711,"Miami city, Florida",3762,222,221,136,234,234,72,234,141,243,89,229,398,202,650,781,811,703,1949,1752,2082,1351,1250,947,835,441,593
"G12045025","2019","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami Beach city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12045060","2019","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miami Gardens city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12045975","2019","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Miramar city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12049675","2019","FL",,,"Florida","12",,,"North Port city","49675",,,,,,,,,,,,,,,,"16000US1249675","North Port city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"North Port city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12053000","2019","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",41239,201,40,0,0,0,0,55,0,521,315,403,982,193,2804,1762,3894,2676,5751,4720,8011,3607,2705,1396,714,333,156,"Orlando city, Florida",3496,231,68,234,234,234,234,92,234,389,318,343,499,205,937,840,1228,875,1593,1237,1511,1313,759,609,483,244,186
"G12054000","2019","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",30643,119,195,128,218,0,0,0,193,209,344,532,313,1510,1552,3488,4288,5823,5583,3955,1735,220,238,0,0,0,0,"Palm Bay city, Florida",2336,135,328,218,216,234,234,234,276,216,256,381,229,624,742,986,1082,1351,1304,1334,773,171,231,234,234,234,234
"G12054200","2019","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12055775","2019","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pembroke Pines city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12056825","2019","FL",,,"Florida","12",,,"Pine Hills CDP","56825",,,,,,,,,,,,,,,,"16000US1256825","Pine Hills CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pine Hills CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12057425","2019","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",22050,153,0,0,0,0,0,27,0,51,101,324,996,179,834,551,839,469,1653,2019,5564,4950,2279,373,110,343,235,"Plantation city, Florida",2588,178,234,234,234,234,234,44,234,85,163,242,832,209,557,345,414,321,660,811,1131,1264,696,272,129,390,167
"G12057900","2019","FL",,,"Florida","12",,,"Poinciana CDP","57900",,,,,,,,,,,,,,,,"16000US1257900","Poinciana CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Poinciana CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12058050","2019","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",23320,97,34,102,33,59,0,141,43,413,303,101,532,138,628,1864,1689,1762,4095,2586,3283,2207,1970,656,281,44,259,"Pompano Beach city, Florida",2228,162,57,97,54,100,234,231,73,360,244,163,402,153,315,709,615,679,1041,774,799,687,529,303,237,73,324
"G12058350","2019","FL",,,"Florida","12",,,"Port Charlotte CDP","58350",,,,,,,,,,,,,,,,"16000US1258350","Port Charlotte CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Port Charlotte CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12058715","2019","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Port St. Lucie city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12060950","2019","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12063000","2019","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",70071,957,106,589,296,673,192,149,628,754,552,1366,1503,1134,3875,3929,5244,4539,10016,7541,10706,4875,5336,2969,1234,296,612,"St. Petersburg city, Florida",3488,597,130,389,204,579,176,146,325,444,301,743,671,608,1036,974,1212,916,1482,1133,1621,944,1034,900,408,251,343
"G12068350","2019","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Spring Hill CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G12069700","2019","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",27557,0,0,0,312,178,163,533,975,374,1034,1582,825,295,425,512,708,1442,3541,4227,8107,1863,414,0,0,0,47,"Sunrise city, Florida",2627,234,234,234,405,209,164,526,772,316,606,619,607,232,479,379,492,738,1252,1373,1634,656,308,234,234,234,75
"G12070600","2019","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",29759,31,99,130,0,83,28,0,218,360,347,424,427,1033,2816,2238,2798,2402,3677,4153,4356,2340,1131,282,323,0,63,"Tallahassee city, Florida",2226,52,122,127,234,137,49,234,236,297,269,353,261,518,774,621,880,678,819,976,1138,736,457,215,412,234,102
