GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S50E001,S50E002,S50E003,S50E004,S50E005,S50E006,S50E007,S50E008,S50E009,S50E010,S50E011,S50E012,S50E013,S50E014,S50E015,S50E016,S50E017,S50E018,S50E019,S50E020,S50E021,S50E022,S50E023,S50E024,S50E025,NAME_M,S50M001,S50M002,S50M003,S50M004,S50M005,S50M006,S50M007,S50M008,S50M009,S50M010,S50M011,S50M012,S50M013,S50M014,S50M015,S50M016,S50M017,S50M018,S50M019,S50M020,S50M021,S50M022,S50M023,S50M024,S50M025
"G22039475","2013","LA",,,"Louisiana","22",,,"Kenner city","39475",,,,,,,,,,,,,,,,"16000US2239475","Kenner city, Louisiana",15153,207,119,0,65,0,0,0,74,89,39,303,258,338,1587,2100,2985,1293,2355,1411,1010,652,146,57,65,"Kenner city, Louisiana",1341,220,93,203,74,203,203,203,89,85,66,300,207,238,565,572,760,424,819,580,359,308,138,95,106
"G22040735","2013","LA",,,"Louisiana","22",,,"Lafayette city","40735",,,,,,,,,,,,,,,,"16000US2240735","Lafayette city, Louisiana",27378,1074,224,166,254,69,344,187,315,186,468,983,663,1174,3099,2435,3417,1806,2654,2645,3319,671,530,478,217,"Lafayette city, Louisiana",1620,561,217,128,247,61,430,130,317,122,254,488,422,694,918,794,834,589,744,773,1001,406,286,431,221
"G22041155","2013","LA",,,"Louisiana","22",,,"Lake Charles city","41155",,,,,,,,,,,,,,,,"16000US2241155","Lake Charles city, Louisiana",15515,271,746,140,0,43,72,185,146,793,838,595,683,950,1815,1640,1679,1171,1246,781,1232,91,209,141,48,"Lake Charles city, Louisiana",1345,226,520,166,203,72,92,193,125,476,547,325,344,499,621,683,695,538,520,373,566,148,229,177,78
"G22050115","2013","LA",,,"Louisiana","22",,,"Metairie CDP","50115",,,,,,,,,,,,,,,,"16000US2250115","Metairie CDP, Louisiana",36376,929,295,311,124,197,29,33,256,326,508,444,592,562,2082,1392,4730,3217,7653,4094,4645,1573,1585,452,347,"Metairie CDP, Louisiana",2131,421,212,162,128,159,47,55,183,291,287,341,301,261,711,483,1013,689,1248,830,944,575,588,243,222
"G22055000","2013","LA",,,"Louisiana","22",,,"New Orleans city","55000",,,,,,,,,,,,,,,,"16000US2255000","New Orleans city, Louisiana",72001,1662,375,357,248,298,405,0,509,460,981,1631,2103,3286,6526,6171,8895,6474,6753,5594,7559,4328,4022,1815,1549,"New Orleans city, Louisiana",2524,473,175,266,149,263,223,203,252,232,350,498,528,717,1049,954,1009,1252,846,853,946,800,728,466,491
"G22070000","2013","LA",,,"Louisiana","22",,,"Shreveport city","70000",,,,,,,,,,,,,,,,"16000US2270000","Shreveport city, Louisiana",42376,1783,493,749,787,236,1133,861,1310,2772,1621,1397,1966,2123,4906,3250,4436,2466,3938,1919,1862,922,806,309,331,"Shreveport city, Louisiana",2091,640,420,333,338,150,604,427,533,874,608,638,753,913,1186,932,872,798,1110,708,608,427,338,343,297
"G23060545","2013","ME",,,"Maine","23",,,"Portland city","60545",,,,,,,,,,,,,,,,"16000US2360545","Portland city, Maine",,,,,,,,,,,,,,,,,,,,,,,,,,"Portland city, Maine",,,,,,,,,,,,,,,,,,,,,,,,,
"G24004000","2013","MD",,,"Maryland","24",,,"Baltimore city","04000",,,,,,,,,,,,,,,,"16000US2404000","Baltimore city, Maryland",112858,3081,909,900,880,608,688,430,2223,2790,3284,4244,4979,6320,14546,10559,11579,8311,12660,7934,7399,2990,3433,900,1211,"Baltimore city, Maryland",3450,665,401,374,354,288,296,241,673,687,895,897,865,1147,1832,1452,1387,1208,1598,1206,1185,665,715,411,519
"G24007125","2013","MD",,,"Maryland","24",,,"Bethesda CDP","07125",,,,,,,,,,,,,,,,"16000US2407125","Bethesda CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,"Bethesda CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,
"G24019125","2013","MD",,,"Maryland","24",,,"Columbia CDP","19125",,,,,,,,,,,,,,,,"16000US2419125","Columbia CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,
"G24026000","2013","MD",,,"Maryland","24",,,"Ellicott City CDP","26000",,,,,,,,,,,,,,,,"16000US2426000","Ellicott City CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,"Ellicott City CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,
"G24030325","2013","MD",,,"Maryland","24",,,"Frederick city","30325",,,,,,,,,,,,,,,,"16000US2430325","Frederick city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,"Frederick city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,
"G24031175","2013","MD",,,"Maryland","24",,,"Gaithersburg city","31175",,,,,,,,,,,,,,,,"16000US2431175","Gaithersburg city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,"Gaithersburg city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,
"G24032025","2013","MD",,,"Maryland","24",,,"Germantown CDP","32025",,,,,,,,,,,,,,,,"16000US2432025","Germantown CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,"Germantown CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,
"G24032650","2013","MD",,,"Maryland","24",,,"Glen Burnie CDP","32650",,,,,,,,,,,,,,,,"16000US2432650","Glen Burnie CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,"Glen Burnie CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,
"G24072450","2013","MD",,,"Maryland","24",,,"Silver Spring CDP","72450",,,,,,,,,,,,,,,,"16000US2472450","Silver Spring CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,"Silver Spring CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,
"G24081175","2013","MD",,,"Maryland","24",,,"Waldorf CDP","81175",,,,,,,,,,,,,,,,"16000US2481175","Waldorf CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,"Waldorf CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,
"G25007000","2013","MA",,,"Massachusetts","25",,,"Boston city","07000",,,,,,,,,,,,,,,,"16000US2507000","Boston city, Massachusetts",84697,2169,229,128,72,28,0,0,0,81,99,46,0,164,1420,1098,2052,2027,6493,9647,20317,13878,15115,3791,5843,"Boston city, Massachusetts",4204,587,203,138,84,45,203,203,203,94,97,77,203,207,501,541,762,519,1193,1422,1731,1679,1809,827,1069
"G25009000","2013","MA",,,"Massachusetts","25",,,"Brockton city","09000",,,,,,,,,,,,,,,,"16000US2509000","Brockton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,"Brockton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,
"G25011000","2013","MA",,,"Massachusetts","25",,,"Cambridge city","11000",,,,,,,,,,,,,,,,"16000US2511000","Cambridge city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,"Cambridge city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,
"G25023000","2013","MA",,,"Massachusetts","25",,,"Fall River city","23000",,,,,,,,,,,,,,,,"16000US2523000","Fall River city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,"Fall River city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,
"G25024960","2013","MA",,,"Massachusetts","25",,,"Framingham CDP","24960",,,,,,,,,,,,,,,,"16000US2524960","Framingham CDP, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,"Framingham CDP, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,
"G25034550","2013","MA",,,"Massachusetts","25",,,"Lawrence city","34550",,,,,,,,,,,,,,,,"16000US2534550","Lawrence city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,
"G25037000","2013","MA",,,"Massachusetts","25",,,"Lowell city","37000",,,,,,,,,,,,,,,,"16000US2537000","Lowell city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,"Lowell city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,
"G25037490","2013","MA",,,"Massachusetts","25",,,"Lynn city","37490",,,,,,,,,,,,,,,,"16000US2537490","Lynn city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,"Lynn city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,
"G25045000","2013","MA",,,"Massachusetts","25",,,"New Bedford city","45000",,,,,,,,,,,,,,,,"16000US2545000","New Bedford city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,"New Bedford city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,
"G25045560","2013","MA",,,"Massachusetts","25",,,"Newton city","45560",,,,,,,,,,,,,,,,"16000US2545560","Newton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,"Newton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,
"G25055745","2013","MA",,,"Massachusetts","25",,,"Quincy city","55745",,,,,,,,,,,,,,,,"16000US2555745","Quincy city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,"Quincy city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,
"G25062535","2013","MA",,,"Massachusetts","25",,,"Somerville city","62535",,,,,,,,,,,,,,,,"16000US2562535","Somerville city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,"Somerville city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,
"G25067000","2013","MA",,,"Massachusetts","25",,,"Springfield city","67000",,,,,,,,,,,,,,,,"16000US2567000","Springfield city, Massachusetts",26028,589,156,259,84,167,35,53,57,284,184,432,1430,946,4244,5554,5344,2494,1752,880,712,104,103,41,124,"Springfield city, Massachusetts",2205,271,134,177,90,164,58,89,95,194,162,414,507,390,952,974,1046,718,504,453,409,128,150,67,163
"G25082000","2013","MA",,,"Massachusetts","25",,,"Worcester city","82000",,,,,,,,,,,,,,,,"16000US2582000","Worcester city, Massachusetts",27858,697,79,404,92,72,0,46,26,280,62,260,0,219,1777,1973,3346,4726,6261,3663,2229,386,1233,0,27,"Worcester city, Massachusetts",2174,345,131,273,109,116,203,77,44,222,103,229,203,187,672,676,669,937,1119,928,651,219,614,203,44
"G26003000","2013","MI",,,"Michigan","26",,,"Ann Arbor city","03000",,,,,,,,,,,,,,,,"16000US2603000","Ann Arbor city, Michigan",22633,869,45,0,0,52,25,0,386,207,234,369,144,182,798,1257,2045,1703,4650,2999,2842,1607,1444,694,81,"Ann Arbor city, Michigan",1442,429,76,168,168,84,44,168,379,178,185,220,137,153,345,439,757,665,894,695,616,590,310,307,96
"G26021000","2013","MI",,,"Michigan","26",,,"Dearborn city","21000",,,,,,,,,,,,,,,,"16000US2621000","Dearborn city, Michigan",19821,576,200,0,84,211,288,197,1183,1759,1717,1204,1631,996,2551,1760,1900,902,757,817,669,204,121,94,0,"Dearborn city, Michigan",1306,333,148,168,101,240,230,144,482,466,505,389,439,398,734,505,472,432,282,302,284,150,115,110,168
"G26022000","2013","MI",,,"Michigan","26",,,"Detroit city","22000",,,,,,,,,,,,,,,,"16000US2622000","Detroit city, Michigan",127502,14034,10082,8967,12318,7806,8508,5727,10189,11576,10116,5780,6204,2253,5040,1654,2816,843,1505,629,661,354,317,50,73,"Detroit city, Michigan",3459,1797,1241,1347,1820,1203,1372,857,1379,1414,1574,1144,1279,583,959,488,821,418,509,365,361,276,222,82,92
"G26027440","2013","MI",,,"Michigan","26",,,"Farmington Hills city","27440",,,,,,,,,,,,,,,,"16000US2627440","Farmington Hills city, Michigan",20472,518,103,107,0,232,281,177,312,91,565,529,318,130,1567,1366,1981,2511,3639,2775,2441,100,559,62,108,"Farmington Hills city, Michigan",1618,260,122,125,168,267,237,228,262,107,305,467,238,126,576,488,512,744,667,661,551,134,292,75,175
"G26029000","2013","MI",,,"Michigan","26",,,"Flint city","29000",,,,,,,,,,,,,,,,"16000US2629000","Flint city, Michigan",24221,3625,2498,2115,2397,1855,1494,1255,3339,1605,1141,798,462,90,405,273,392,257,52,49,43,0,0,0,76,"Flint city, Michigan",2157,828,748,737,869,711,713,606,1032,630,521,366,277,150,249,225,270,233,80,82,72,168,168,168,126
"G26034000","2013","MI",,,"Michigan","26",,,"Grand Rapids city","34000",,,,,,,,,,,,,,,,"16000US2634000","Grand Rapids city, Michigan",40109,795,293,345,165,390,711,291,1998,1746,2281,3160,4567,3123,6770,4451,3524,1892,1725,754,719,201,208,0,0,"Grand Rapids city, Michigan",2428,405,212,256,187,297,365,195,555,573,679,828,960,667,1281,913,751,609,507,339,455,140,203,168,168
"G26042160","2013","MI",,,"Michigan","26",,,"Kalamazoo city","42160",,,,,,,,,,,,,,,,"16000US2642160","Kalamazoo city, Michigan",12403,840,192,99,62,307,283,375,478,359,899,880,870,779,1560,1707,1150,547,365,234,243,39,135,0,0,"Kalamazoo city, Michigan",1320,424,146,143,50,198,256,311,249,171,437,449,385,287,598,581,482,325,214,172,267,74,122,168,168
"G26046000","2013","MI",,,"Michigan","26",,,"Lansing city","46000",,,,,,,,,,,,,,,,"16000US2646000","Lansing city, Michigan",22934,516,137,434,363,326,546,687,2148,2421,3137,2206,2366,1846,2523,1294,1300,258,87,188,0,69,0,44,38,"Lansing city, Michigan",2000,295,161,281,211,231,299,392,613,710,834,705,660,637,661,461,416,198,91,153,168,115,168,71,64
"G26049000","2013","MI",,,"Michigan","26",,,"Livonia city","49000",,,,,,,,,,,,,,,,"16000US2649000","Livonia city, Michigan",30566,242,298,128,0,0,128,142,198,526,418,691,990,1149,4483,4225,6035,3822,4427,1332,1181,123,0,28,0,"Livonia city, Michigan",1296,168,181,99,168,168,121,121,157,287,207,262,396,433,852,708,741,756,638,361,398,116,168,45,168
"G26069035","2013","MI",,,"Michigan","26",,,"Rochester Hills city","69035",,,,,,,,,,,,,,,,"16000US2669035","Rochester Hills city, Michigan",21134,691,67,130,194,48,185,0,86,161,498,248,302,194,1607,1270,1840,1577,3416,2764,3883,1149,551,42,231,"Rochester Hills city, Michigan",1122,295,80,125,158,56,164,168,88,105,377,251,210,166,592,427,645,378,775,670,781,385,296,69,245
"G26074900","2013","MI",,,"Michigan","26",,,"Southfield city","74900",,,,,,,,,,,,,,,,"16000US2674900","Southfield city, Michigan",15001,198,137,150,168,21,191,29,932,888,1155,1744,787,935,2580,1716,1478,495,817,310,155,0,40,41,34,"Southfield city, Michigan",1084,127,116,127,189,34,142,48,418,405,419,513,320,334,706,490,429,286,375,202,137,168,64,68,54
"G26076460","2013","MI",,,"Michigan","26",,,"Sterling Heights city","76460",,,,,,,,,,,,,,,,"16000US2676460","Sterling Heights city, Michigan",35595,1526,263,339,117,82,329,163,311,362,390,449,1057,1625,6425,7075,6599,3069,2786,1468,935,0,0,0,225,"Sterling Heights city, Michigan",2119,452,202,231,142,136,253,162,249,252,254,224,582,536,1172,1092,1201,758,627,559,359,168,168,168,176
"G26080700","2013","MI",,,"Michigan","26",,,"Troy city","80700",,,,,,,,,,,,,,,,"16000US2680700","Troy city, Michigan",22416,324,41,156,47,149,0,0,43,34,309,147,389,457,536,1748,2529,2228,4028,2873,3826,1698,692,107,55,"Troy city, Michigan",1152,225,68,131,77,102,168,168,71,57,204,132,266,218,272,601,601,544,741,477,628,460,317,104,64
"G26084000","2013","MI",,,"Michigan","26",,,"Warren city","84000",,,,,,,,,,,,,,,,"16000US2684000","Warren city, Michigan",39476,812,710,713,988,1022,1223,834,2780,3065,2775,3501,4127,2669,7822,3168,1748,795,381,92,83,22,0,72,74,"Warren city, Michigan",2086,319,401,340,500,408,418,377,669,699,792,772,881,636,1114,790,478,355,240,108,97,36,168,117,122
"G26086000","2013","MI",,,"Michigan","26",,,"Westland city","86000",,,,,,,,,,,,,,,,"16000US2686000","Westland city, Michigan",18860,804,113,153,377,382,583,649,728,1342,1461,1836,2327,1411,3087,1393,1144,387,386,66,66,37,47,0,81,"Westland city, Michigan",1515,304,107,131,184,257,273,351,320,467,632,604,620,458,628,449,417,191,275,109,80,62,77,168,95
"G26088940","2013","MI",,,"Michigan","26",,,"Wyoming city","88940",,,,,,,,,,,,,,,,"16000US2688940","Wyoming city, Michigan",18172,343,313,83,40,90,330,145,746,573,1366,2698,2501,1131,2489,1392,675,1305,1246,473,164,0,0,0,69,"Wyoming city, Michigan",1492,326,378,122,66,106,264,140,430,287,562,757,699,374,732,608,409,524,536,279,193,168,168,168,116
"G27006616","2013","MN",,,"Minnesota","27",,,"Bloomington city","06616",,,,,,,,,,,,,,,,"16000US2706616","Bloomington city, Minnesota",25437,315,96,91,138,52,0,49,0,41,0,138,296,614,1201,1523,3211,3759,5412,2477,3607,1347,859,168,43,"Bloomington city, Minnesota",1474,231,113,107,133,84,145,82,145,69,145,133,233,483,512,571,732,608,792,667,806,516,438,202,70
"G27007966","2013","MN",,,"Minnesota","27",,,"Brooklyn Park city","07966",,,,,,,,,,,,,,,,"16000US2707966","Brooklyn Park city, Minnesota",18375,336,165,169,0,41,50,114,140,206,343,454,375,168,1113,1299,4563,2031,3254,1612,1310,342,290,0,0,"Brooklyn Park city, Minnesota",1546,205,136,150,145,71,79,143,169,248,272,253,246,173,501,470,892,602,682,491,412,200,223,145,145
"G27017000","2013","MN",,,"Minnesota","27",,,"Duluth city","17000",,,,,,,,,,,,,,,,"16000US2717000","Duluth city, Minnesota",21714,549,321,254,243,25,194,188,122,209,437,854,765,1253,2832,2745,3505,1395,1919,1464,1364,627,340,83,26,"Duluth city, Minnesota",1216,295,255,194,219,42,184,165,112,160,278,324,266,364,601,587,590,451,502,432,449,301,212,95,42
"G27017288","2013","MN",,,"Minnesota","27",,,"Eagan city","17288",,,,,,,,,,,,,,,,"16000US2717288","Eagan city, Minnesota",17354,303,0,42,0,52,0,0,65,283,162,79,420,140,569,707,1419,1082,3816,2666,3314,1790,367,0,78,"Eagan city, Minnesota",1023,180,145,69,145,85,145,145,79,154,138,68,249,133,270,291,464,370,834,599,578,496,175,145,89
"G27040166","2013","MN",,,"Minnesota","27",,,"Maple Grove city","40166",,,,,,,,,,,,,,,,"16000US2740166","Maple Grove city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,"Maple Grove city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,
"G27043000","2013","MN",,,"Minnesota","27",,,"Minneapolis city","43000",,,,,,,,,,,,,,,,"16000US2743000","Minneapolis city, Minnesota",79247,1324,139,288,273,150,134,78,308,705,919,1207,1863,1360,7858,7186,8271,8253,12148,6958,9318,3073,4675,1456,1303,"Minneapolis city, Minnesota",3337,395,103,202,200,174,137,91,184,347,365,402,471,486,1203,1047,1109,1053,1546,1138,1184,718,1193,475,376
"G27051730","2013","MN",,,"Minnesota","27",,,"Plymouth city","51730",,,,,,,,,,,,,,,,"16000US2751730","Plymouth city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,"Plymouth city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,
"G27054880","2013","MN",,,"Minnesota","27",,,"Rochester city","54880",,,,,,,,,,,,,,,,"16000US2754880","Rochester city, Minnesota",30708,733,493,141,42,37,0,0,271,542,386,556,344,1104,3072,5045,4486,3316,3183,2618,2285,1343,576,49,86,"Rochester city, Minnesota",1482,382,399,134,71,59,145,145,269,318,298,277,244,475,759,902,870,581,627,629,743,448,283,82,102
"G27056896","2013","MN",,,"Minnesota","27",,,"St. Cloud city","56896",,,,,,,,,,,,,,,,"16000US2756896","St. Cloud city, Minnesota",12091,149,153,319,0,142,107,74,81,157,140,361,435,532,2057,2048,1587,1148,1520,376,218,171,276,40,0,"St. Cloud city, Minnesota",1076,150,126,354,145,164,99,130,95,139,144,225,319,229,565,562,491,409,619,261,157,125,228,65,145
"G27058000","2013","MN",,,"Minnesota","27",,,"St. Paul city","58000",,,,,,,,,,,,,,,,"16000US2758000","St. Paul city, Minnesota",55533,816,235,111,119,117,206,340,359,986,1146,1002,2614,2237,5414,5970,8028,4201,6579,5232,4299,2301,2257,654,310,"St. Paul city, Minnesota",2409,319,173,109,199,146,172,280,242,436,434,367,658,633,954,905,1164,825,1003,1097,769,569,609,320,167
"G27071428","2013","MN",,,"Minnesota","27",,,"Woodbury city","71428",,,,,,,,,,,,,,,,"16000US2771428","Woodbury city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,"Woodbury city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,
"G28029700","2013","MS",,,"Mississippi","28",,,"Gulfport city","29700",,,,,,,,,,,,,,,,"16000US2829700","Gulfport city, Mississippi",13133,87,295,0,144,0,0,98,330,793,855,557,1347,909,2029,1340,1353,669,807,791,287,48,394,0,0,"Gulfport city, Mississippi",1462,95,291,208,240,208,208,157,212,585,442,278,649,484,572,541,558,381,403,610,186,78,296,208,208
"G28036000","2013","MS",,,"Mississippi","28",,,"Jackson city","36000",,,,,,,,,,,,,,,,"16000US2836000","Jackson city, Mississippi",32352,662,426,439,934,586,849,750,2613,1776,3173,2708,3114,2446,3064,2177,1606,852,1698,824,748,223,576,32,76,"Jackson city, Mississippi",2131,276,289,271,529,356,401,450,717,590,718,645,856,830,921,742,706,533,673,478,404,170,308,55,91
"G29015670","2013","MO",,,"Missouri","29",,,"Columbia city","15670",,,,,,,,,,,,,,,,"16000US2915670","Columbia city, Missouri",22055,401,216,177,74,0,44,0,197,190,87,221,1109,747,2333,2997,2403,2294,2487,1675,2321,788,785,234,275,"Columbia city, Missouri",1847,311,268,209,119,184,75,184,158,156,140,263,532,397,627,1026,699,911,755,541,601,447,572,384,290
"G29035000","2013","MO",,,"Missouri","29",,,"Independence city","35000",,,,,,,,,,,,,,,,"16000US2935000","Independence city, Missouri",29356,954,532,316,308,144,93,228,1063,1631,2469,2366,3840,2092,4586,3084,1668,1326,966,748,682,161,99,0,0,"Independence city, Missouri",1734,528,232,227,191,167,110,156,383,631,880,769,997,633,992,820,532,424,384,446,287,143,84,184,184
"G29038000","2013","MO",,,"Missouri","29",,,"Kansas City city","38000",,,,,,,,,,,,,,,,"16000US2938000","Kansas City city, Missouri",106713,2416,973,1424,1941,1168,2575,1527,3808,4077,5466,4614,6453,4801,11344,9948,10730,8614,10485,5693,4665,1588,1626,324,453,"Kansas City city, Missouri",4091,551,488,475,625,405,785,496,911,861,1049,903,1131,981,1270,1372,1344,1189,1442,870,914,512,432,224,280
"G29041348","2013","MO",,,"Missouri","29",,,"Lee's Summit city","41348",,,,,,,,,,,,,,,,"16000US2941348","Lee's Summit city, Missouri",25295,306,78,62,0,64,0,0,145,46,132,94,490,525,2388,3486,3259,2900,3565,3477,3267,397,482,61,71,"Lee's Summit city, Missouri",1767,226,130,105,184,105,184,184,165,79,154,123,270,312,743,748,929,869,730,881,834,204,299,103,118
"G29054074","2013","MO",,,"Missouri","29",,,"O'Fallon city","54074",,,,,,,,,,,,,,,,"16000US2954074","O'Fallon city, Missouri",23082,314,554,45,207,151,103,0,206,46,85,0,183,158,1673,3151,3718,3148,3871,2791,1903,552,163,0,60,"O'Fallon city, Missouri",1701,227,367,74,141,120,168,184,245,75,100,184,187,188,741,848,1054,734,791,779,665,454,188,184,100
"G29064082","2013","MO",,,"Missouri","29",,,"St. Charles city","64082",,,,,,,,,,,,,,,,"16000US2964082","St. Charles city, Missouri",16648,631,458,374,58,27,0,71,0,0,79,0,339,312,1629,1501,2859,1649,2987,1409,1544,415,127,99,80,"St. Charles city, Missouri",1264,323,258,403,67,46,184,118,184,184,103,184,291,228,548,491,784,587,782,550,425,386,151,159,130
"G29064550","2013","MO",,,"Missouri","29",,,"St. Joseph city","64550",,,,,,,,,,,,,,,,"16000US2964550","St. Joseph city, Missouri",15832,529,45,108,266,151,718,81,680,1073,741,1026,1611,1007,1607,2263,1408,559,932,602,219,157,49,0,0,"St. Joseph city, Missouri",1309,312,53,133,212,141,591,101,339,479,298,390,565,409,497,662,512,300,375,352,195,150,80,184,184
"G29065000","2013","MO",,,"Missouri","29",,,"St. Louis city","65000",,,,,,,,,,,,,,,,"16000US2965000","St. Louis city, Missouri",61551,1546,887,788,1294,1022,1221,1720,2497,3931,3263,3220,3919,3220,6925,7621,5583,3027,3632,2095,2644,700,478,92,226,"St. Louis city, Missouri",2784,500,337,350,488,377,381,623,564,889,757,749,882,941,1255,986,901,604,859,668,571,305,265,109,216
"G29070000","2013","MO",,,"Missouri","29",,,"Springfield city","70000",,,,,,,,,,,,,,,,"16000US2970000","Springfield city, Missouri",31848,988,526,442,269,45,174,378,1402,1442,2052,1450,3233,2541,6139,2938,2845,954,1712,662,775,456,180,109,136,"Springfield city, Missouri",2103,379,284,331,364,75,187,253,536,545,607,478,766,699,1164,675,871,487,455,273,426,282,158,125,180
"G30006550","2013","MT",,,"Montana","30",,,"Billings city","06550",,,,,,,,,,,,,,,,"16000US3006550","Billings city, Montana",26939,1350,101,358,398,0,69,59,326,151,212,60,180,276,1326,1668,5182,3792,3999,3199,2720,1071,254,188,0,"Billings city, Montana",1586,509,128,244,402,165,114,103,286,133,197,100,174,223,560,610,872,718,851,771,791,381,176,154,165
"G30050200","2013","MT",,,"Montana","30",,,"Missoula city","50200",,,,,,,,,,,,,,,,"16000US3050200","Missoula city, Montana",,,,,,,,,,,,,,,,,,,,,,,,,,"Missoula city, Montana",,,,,,,,,,,,,,,,,,,,,,,,,
"G31028000","2013","NE",,,"Nebraska","31",,,"Lincoln city","28000",,,,,,,,,,,,,,,,"16000US3128000","Lincoln city, Nebraska",62182,1746,426,418,185,78,63,240,429,210,955,1184,2294,3477,10564,9445,8698,5484,7225,4181,2776,1106,702,100,196,"Lincoln city, Nebraska",2004,639,290,278,168,91,74,290,277,157,380,523,743,785,1344,1266,1486,1040,1086,817,701,313,333,113,139
"G31037000","2013","NE",,,"Nebraska","31",,,"Omaha city","37000",,,,,,,,,,,,,,,,"16000US3137000","Omaha city, Nebraska",97503,1855,826,719,925,303,728,559,1370,2052,2865,2776,5860,5512,16052,16516,11051,5539,8864,4689,4135,1745,1540,751,271,"Omaha city, Nebraska",3081,450,301,299,560,194,339,257,387,515,652,731,1161,941,1727,1231,1399,1006,1082,807,715,458,361,396,193
"G32023770","2013","NV",,,"Nevada","32",,,"Enterprise CDP","23770",,,,,,,,,,,,,,,,"16000US3223770","Enterprise CDP, Nevada",24049,571,74,0,0,0,0,0,177,283,86,220,248,161,1859,2019,3267,2244,3321,3496,4082,1027,593,0,321,"Enterprise CDP, Nevada",2345,319,88,206,206,206,206,206,186,347,100,194,242,162,659,599,1001,757,872,886,1075,454,253,206,263
"G32031900","2013","NV",,,"Nevada","32",,,"Henderson city","31900",,,,,,,,,,,,,,,,"16000US3231900","Henderson city, Nevada",65621,1342,168,280,149,0,174,158,369,1180,377,1332,2561,1658,3869,4552,8948,4197,10529,7719,8334,3432,2696,921,676,"Henderson city, Nevada",2893,419,138,196,166,206,142,135,257,581,229,629,874,724,996,1005,1451,1007,1320,1305,1147,874,660,373,392
"G32040000","2013","NV",,,"Nevada","32",,,"Las Vegas city","40000",,,,,,,,,,,,,,,,"16000US3240000","Las Vegas city, Nevada",105088,2133,659,287,286,146,421,467,1514,2943,3033,4103,4719,3485,13340,8841,12462,7077,13974,7859,9062,4062,2065,869,1281,"Las Vegas city, Nevada",3982,563,304,193,174,141,274,309,463,784,743,1036,973,734,1488,1324,1721,1219,1676,1253,1305,954,528,498,461
