GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S50E001,S50E002,S50E003,S50E004,S50E005,S50E006,S50E007,S50E008,S50E009,S50E010,S50E011,S50E012,S50E013,S50E014,S50E015,S50E016,S50E017,S50E018,S50E019,S50E020,S50E021,S50E022,S50E023,S50E024,S50E025,NAME_M,S50M001,S50M002,S50M003,S50M004,S50M005,S50M006,S50M007,S50M008,S50M009,S50M010,S50M011,S50M012,S50M013,S50M014,S50M015,S50M016,S50M017,S50M018,S50M019,S50M020,S50M021,S50M022,S50M023,S50M024,S50M025
"G05023290","2013","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",11943,564,0,0,0,0,252,0,0,63,56,375,191,587,1089,1456,1239,888,1608,1082,961,827,580,0,125,"Fayetteville city, Arkansas",1590,473,192,192,192,192,396,192,192,108,95,286,189,456,668,610,624,392,737,456,433,568,432,192,151
"G05024550","2013","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",16266,421,213,0,74,93,115,175,499,450,1153,751,1589,981,1599,2314,1341,1297,747,458,782,339,746,129,0,"Fort Smith city, Arkansas",1605,263,211,192,99,125,150,148,330,297,667,421,650,469,523,551,584,564,525,314,429,282,560,206,192
"G05035710","2013","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",12728,193,0,142,0,0,42,0,95,100,420,606,301,1181,1708,2443,1681,903,893,630,525,291,76,498,0,"Jonesboro city, Arkansas",1227,142,192,173,192,192,78,192,120,124,275,319,214,498,734,856,670,435,648,328,346,436,131,511,192
"G05041000","2013","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",44458,756,355,356,344,0,590,497,989,1671,1499,1369,1923,1966,4754,3555,4063,2880,4636,3603,3903,1975,1253,570,951,"Little Rock city, Arkansas",2399,300,268,219,278,192,253,285,506,751,608,580,623,719,966,971,992,690,1095,907,919,589,474,295,513
"G05050450","2013","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",15046,270,147,16,66,116,94,181,773,369,740,1284,1337,1074,1976,1434,2485,580,859,895,274,49,0,0,27,"North Little Rock city, Arkansas",1847,196,162,27,110,140,118,155,478,287,374,572,529,598,798,559,818,358,517,498,205,84,192,192,45
"G05066080","2013","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",12799,393,70,64,0,0,0,0,50,521,968,755,707,487,2098,1963,898,1332,673,798,741,130,107,0,44,"Springdale city, Arkansas",1542,270,119,114,192,192,192,192,84,314,633,477,369,311,683,848,438,581,358,456,453,158,132,192,75
"G06000562","2013","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06000884","2013","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06002000","2013","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",46912,1385,190,87,208,220,207,149,299,299,121,0,259,363,444,304,246,452,1508,2627,11644,12230,10176,2499,995,"Anaheim city, California",2647,501,186,100,339,208,210,151,251,264,108,203,247,252,348,190,194,335,551,771,1328,1695,1299,678,415
"G06002252","2013","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,
