GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,MGZE001,MGZE002,MGZE003,MGZE004,MGZE005,MGZE006,MGZE007,MGZE008,MGZE009,MGZE010,MGZE011,MGZE012,MGZE013,MGZE014,MGZE015,MGZE016,MGZE017,MGZE018,MGZE019,MGZE020,MGZE021,MGZE022,MGZE023,MGZE024,MGZE025,NAME_M,MGZM001,MGZM002,MGZM003,MGZM004,MGZM005,MGZM006,MGZM007,MGZM008,MGZM009,MGZM010,MGZM011,MGZM012,MGZM013,MGZM014,MGZM015,MGZM016,MGZM017,MGZM018,MGZM019,MGZM020,MGZM021,MGZM022,MGZM023,MGZM024,MGZM025
"G08020000","2011","CO",,,"Colorado","08",,,"Denver city","20000",,,,,,,,,,,,,,,,"16000US0820000","Denver city, Colorado",130009,268,380,673,295,142,120,121,406,1378,919,1900,1705,2742,8499,9743,10422,8775,17274,17355,20426,9580,10019,3525,3342,"Denver city, Colorado",4013,262,262,389,231,143,149,159,259,566,458,579,488,960,1445,1616,1559,1331,1806,1923,2114,1249,1193,889,748
"G08027425","2011","CO",,,"Colorado","08",,,"Fort Collins city","27425",,,,,,,,,,,,,,,,"16000US0827425","Fort Collins city, Colorado",32565,349,185,141,213,107,97,211,37,0,0,52,141,352,596,481,3004,3752,8502,4853,5198,1767,1773,299,455,"Fort Collins city, Colorado",2311,203,197,134,143,129,118,255,65,201,201,87,134,258,298,332,1029,1058,1320,1018,986,635,546,204,385
"G08032155","2011","CO",,,"Colorado","08",,,"Greeley city","32155",,,,,,,,,,,,,,,,"16000US0832155","Greeley city, Colorado",17938,1102,154,361,0,97,0,64,105,309,70,263,396,312,1787,2013,2363,1897,2218,1757,1965,251,92,0,362,"Greeley city, Colorado",2057,538,148,330,201,126,201,103,127,327,115,212,329,251,764,678,842,816,912,653,1152,279,110,201,404
"G08036410","2011","CO",,,"Colorado","08",,,"Highlands Ranch CDP","36410",,,,,,,,,,,,,,,,"16000US0836410","Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,"Highlands Ranch CDP, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,
"G08043000","2011","CO",,,"Colorado","08",,,"Lakewood city","43000",,,,,,,,,,,,,,,,"16000US0843000","Lakewood city, Colorado",35683,199,93,160,243,74,137,0,0,130,217,165,490,555,1909,2057,2596,3362,7623,6478,5617,1954,963,463,198,"Lakewood city, Colorado",2185,315,109,207,262,87,139,201,201,215,169,139,396,248,746,644,625,848,1037,961,972,669,360,311,148
"G08045970","2011","CO",,,"Colorado","08",,,"Longmont city","45970",,,,,,,,,,,,,,,,"16000US0845970","Longmont city, Colorado",21573,156,96,240,185,181,0,45,34,55,98,0,0,71,778,1036,3114,2256,4571,3237,3664,892,793,24,47,"Longmont city, Colorado",1922,151,94,195,157,212,201,75,57,87,169,201,201,114,406,476,845,641,1133,1088,898,539,488,43,78
"G08046465","2011","CO",,,"Colorado","08",,,"Loveland city","46465",,,,,,,,,,,,,,,,"16000US0846465","Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,"Loveland city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,
"G08062000","2011","CO",,,"Colorado","08",,,"Pueblo city","62000",,,,,,,,,,,,,,,,"16000US0862000","Pueblo city, Colorado",25198,508,140,341,242,96,87,128,788,685,1361,1772,1704,1607,5211,2997,2784,1176,1340,1043,679,246,66,152,45,"Pueblo city, Colorado",1623,266,115,297,181,127,96,106,337,280,454,619,520,520,986,759,686,383,475,365,328,132,78,163,73
"G08077290","2011","CO",,,"Colorado","08",,,"Thornton city","77290",,,,,,,,,,,,,,,,"16000US0877290","Thornton city, Colorado",27918,476,411,344,139,156,112,85,201,78,85,86,76,642,1685,1271,3904,3348,6864,5006,2441,333,131,0,44,"Thornton city, Colorado",1975,376,259,354,143,211,197,100,191,77,142,145,89,463,620,509,959,874,1298,1212,707,219,216,201,72
"G08083835","2011","CO",,,"Colorado","08",,,"Westminster city","83835",,,,,,,,,,,,,,,,"16000US0883835","Westminster city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,,"Westminster city, Colorado",,,,,,,,,,,,,,,,,,,,,,,,,
"G09008000","2011","CT",,,"Connecticut","09",,,"Bridgeport city","08000",,,,,,,,,,,,,,,,"16000US0908000","Bridgeport city, Connecticut",20396,0,60,78,34,32,37,43,441,542,276,753,540,388,1334,1145,2904,2715,3379,2583,2362,420,93,134,103,"Bridgeport city, Connecticut",1766,198,71,94,57,52,63,69,347,324,208,429,495,268,569,412,754,775,865,735,870,352,159,139,102
"G09018430","2011","CT",,,"Connecticut","09",,,"Danbury city","18430",,,,,,,,,,,,,,,,"16000US0918430","Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,"Danbury city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,
"G09037000","2011","CT",,,"Connecticut","09",,,"Hartford city","37000",,,,,,,,,,,,,,,,"16000US0937000","Hartford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,"Hartford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,
"G09050370","2011","CT",,,"Connecticut","09",,,"New Britain city","50370",,,,,,,,,,,,,,,,"16000US0950370","New Britain city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,"New Britain city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,
"G09052000","2011","CT",,,"Connecticut","09",,,"New Haven city","52000",,,,,,,,,,,,,,,,"16000US0952000","New Haven city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,"New Haven city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,
"G09055990","2011","CT",,,"Connecticut","09",,,"Norwalk city","55990",,,,,,,,,,,,,,,,"16000US0955990","Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,"Norwalk city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,
"G09073000","2011","CT",,,"Connecticut","09",,,"Stamford city","73000",,,,,,,,,,,,,,,,"16000US0973000","Stamford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,,"Stamford city, Connecticut",,,,,,,,,,,,,,,,,,,,,,,,,
"G09080000","2011","CT",,,"Connecticut","09",,,"Waterbury city","80000",,,,,,,,,,,,,,,,"16000US0980000","Waterbury city, Connecticut",20591,36,82,107,0,0,37,46,48,106,390,950,926,572,3036,3912,4335,1793,1991,1399,539,111,130,45,0,"Waterbury city, Connecticut",1805,61,96,132,198,198,60,86,82,178,342,574,471,436,820,936,857,591,555,486,340,105,118,76,198
"G10077580","2011","DE",,,"Delaware","10",,,"Wilmington city","77580",,,,,,,,,,,,,,,,"16000US1077580","Wilmington city, Delaware",13320,22,0,36,23,16,44,0,72,153,116,512,561,509,1807,1457,1585,1038,2319,822,765,323,836,117,187,"Wilmington city, Delaware",1364,36,192,60,46,27,76,192,89,190,121,365,290,300,730,600,518,432,661,295,305,177,359,112,170
"G11050000","2011","DC",,,"District Of Columbia","11",,,"Washington city","50000",,,,,,,,,,,,,,,,"16000US1150000","Washington city, District of Columbia",110625,42,128,33,347,32,404,294,249,119,291,139,354,435,2286,920,2064,2968,10071,9072,22218,12728,20035,13017,12379,"Washington city, District of Columbia",3425,69,171,56,242,54,223,316,207,96,256,131,307,314,785,432,543,748,1360,1299,2319,1244,1971,1456,1376
"G12000410","2011","FL",,,"Florida","12",,,"Alafaya CDP","00410",,,,,,,,,,,,,,,,"16000US1200410","Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,"Alafaya CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,
"G12007300","2011","FL",,,"Florida","12",,,"Boca Raton city","07300",,,,,,,,,,,,,,,,"16000US1207300","Boca Raton city, Florida",24423,0,0,119,0,0,0,0,193,377,391,112,312,190,1356,570,1575,353,2533,2473,4071,2676,3705,1876,1541,"Boca Raton city, Florida",2021,238,238,138,238,238,238,238,238,284,254,131,228,185,550,412,739,253,694,705,903,808,879,740,543
"G12007875","2011","FL",,,"Florida","12",,,"Boynton Beach city","07875",,,,,,,,,,,,,,,,"16000US1207875","Boynton Beach city, Florida",18543,116,0,133,454,120,398,113,749,865,473,319,1312,687,3000,1451,2382,1342,2044,601,1065,242,243,0,434,"Boynton Beach city, Florida",2046,135,238,131,381,201,329,132,522,530,341,247,618,397,768,641,825,767,874,319,488,233,245,238,325
"G12008150","2011","FL",,,"Florida","12",,,"Brandon CDP","08150",,,,,,,,,,,,,,,,"16000US1208150","Brandon CDP, Florida",22167,189,285,46,244,86,76,0,467,194,362,797,1308,1241,3586,4090,3791,2254,1501,1025,403,79,54,0,89,"Brandon CDP, Florida",1880,241,262,75,250,143,127,238,372,216,235,417,519,574,926,1205,898,751,636,431,260,131,90,238,149
"G12010275","2011","FL",,,"Florida","12",,,"Cape Coral city","10275",,,,,,,,,,,,,,,,"16000US1210275","Cape Coral city, Florida",39971,86,136,0,64,108,214,211,435,792,2427,2260,3534,3786,6760,4237,3992,880,2853,1927,2503,1364,849,463,90,"Cape Coral city, Florida",3605,143,157,238,107,129,354,211,371,348,845,849,1423,1260,1369,1068,1311,423,901,709,890,730,384,446,116
"G12012875","2011","FL",,,"Florida","12",,,"Clearwater city","12875",,,,,,,,,,,,,,,,"16000US1212875","Clearwater city, Florida",29010,281,145,310,89,836,317,278,1204,1124,1175,1176,1720,673,3517,2399,3269,1779,2708,2094,1666,283,1061,810,96,"Clearwater city, Florida",2528,245,172,333,147,619,257,235,547,538,514,424,771,523,1104,872,967,700,893,595,683,200,567,562,113
"G12014400","2011","FL",,,"Florida","12",,,"Coral Springs city","14400",,,,,,,,,,,,,,,,"16000US1214400","Coral Springs city, Florida",25084,56,200,150,32,485,103,403,300,769,212,293,785,443,479,773,1696,1582,3692,4934,4938,1520,873,288,78,"Coral Springs city, Florida",1966,92,246,181,53,468,122,308,263,352,239,173,691,441,300,482,619,607,966,1084,1096,541,456,297,130
"G12016475","2011","FL",,,"Florida","12",,,"Davie town","16475",,,,,,,,,,,,,,,,"16000US1216475","Davie town, Florida",24087,190,357,398,278,257,509,59,669,624,611,398,904,1074,1427,1290,2287,590,3571,2232,3426,653,1774,509,0,"Davie town, Florida",2148,120,418,354,246,260,319,98,544,560,620,307,540,558,664,649,810,493,1324,762,1020,400,613,260,238
"G12016725","2011","FL",,,"Florida","12",,,"Deerfield Beach city","16725",,,,,,,,,,,,,,,,"16000US1216725","Deerfield Beach city, Florida",19575,366,187,159,178,678,545,371,1435,1259,878,1358,915,848,3052,1020,639,1097,2257,890,475,347,337,108,176,"Deerfield Beach city, Florida",1978,262,161,183,213,505,472,334,651,534,426,760,433,587,1145,585,332,735,797,531,276,278,237,181,286
"G12017200","2011","FL",,,"Florida","12",,,"Deltona city","17200",,,,,,,,,,,,,,,,"16000US1217200","Deltona city, Florida",23679,0,0,0,0,284,0,79,357,1821,1649,1939,2218,1676,3204,3046,3569,1341,925,852,719,0,0,0,0,"Deltona city, Florida",2282,238,238,238,238,258,238,133,388,1004,768,871,1009,775,1105,1129,1374,1087,688,684,513,238,238,238,238
"G12024000","2011","FL",,,"Florida","12",,,"Fort Lauderdale city","24000",,,,,,,,,,,,,,,,"16000US1224000","Fort Lauderdale city, Florida",36454,300,159,0,53,272,46,0,444,862,1084,1021,804,1343,2405,2166,2614,1750,3842,3377,4314,2116,3377,2070,2035,"Fort Lauderdale city, Florida",2782,323,97,238,88,318,77,238,291,439,583,512,367,595,889,718,879,574,1006,1141,1135,700,887,709,618
"G12024125","2011","FL",,,"Florida","12",,,"Fort Myers city","24125",,,,,,,,,,,,,,,,"16000US1224125","Fort Myers city, Florida",10077,0,40,287,109,329,56,73,834,583,731,648,630,362,844,277,1228,186,735,364,1077,325,359,0,0,"Fort Myers city, Florida",1377,238,53,267,114,265,72,124,452,421,419,339,316,430,585,185,984,195,382,338,567,347,257,238,238
"G12025175","2011","FL",,,"Florida","12",,,"Gainesville city","25175",,,,,,,,,,,,,,,,"16000US1225175","Gainesville city, Florida",16510,530,53,108,138,0,91,0,156,490,372,298,1170,572,2582,2620,1544,1267,1735,1015,924,222,443,63,117,"Gainesville city, Florida",1832,430,90,121,151,238,111,238,194,379,380,261,659,387,749,792,505,517,651,423,372,230,373,109,189
"G12030000","2011","FL",,,"Florida","12",,,"Hialeah city","30000",,,,,,,,,,,,,,,,"16000US1230000","Hialeah city, Florida",34315,0,226,159,293,0,69,280,727,1137,1508,2073,2625,829,5300,3764,5662,2387,3557,2346,1075,104,134,60,0,"Hialeah city, Florida",2515,238,238,162,260,238,83,296,408,590,663,773,779,326,1289,1027,1259,661,796,673,666,128,118,97,238
"G12032000","2011","FL",,,"Florida","12",,,"Hollywood city","32000",,,,,,,,,,,,,,,,"16000US1232000","Hollywood city, Florida",31820,295,32,290,192,144,286,351,1042,1001,738,1531,1748,1136,3125,1789,3137,2610,3168,2786,2994,1531,766,361,767,"Hollywood city, Florida",2680,256,53,251,183,170,252,282,539,501,413,747,683,662,876,623,881,844,871,823,922,697,485,232,532
"G12035000","2011","FL",,,"Florida","12",,,"Jacksonville city","35000",,,,,,,,,,,,,,,,"16000US1235000","Jacksonville city, Florida",194318,1863,1955,1581,764,1170,2148,853,3626,6173,7159,10392,10447,13011,23558,19197,23544,15684,16252,11316,10313,6751,3807,993,1761,"Jacksonville city, Florida",4808,1149,799,853,402,654,834,429,930,1166,1341,1957,1513,2361,2348,2344,2997,2707,2436,1730,1692,1831,1068,480,559
"G12036100","2011","FL",,,"Florida","12",,,"Kendall CDP","36100",,,,,,,,,,,,,,,,"16000US1236100","Kendall CDP, Florida",16921,0,0,0,0,0,0,0,41,172,237,268,1036,71,1015,431,1908,528,1662,1571,3281,2080,1889,464,267,"Kendall CDP, Florida",1549,238,238,238,238,238,238,238,68,169,197,237,551,118,589,348,718,435,621,569,989,626,707,508,156
"G12038250","2011","FL",,,"Florida","12",,,"Lakeland city","38250",,,,,,,,,,,,,,,,"16000US1238250","Lakeland city, Florida",21828,764,588,489,409,368,627,284,804,398,954,1155,873,1278,2755,3017,1958,979,1341,1465,224,359,351,211,177,"Lakeland city, Florida",2125,338,387,249,265,259,386,180,398,255,487,617,391,589,910,1094,667,423,590,527,199,271,277,163,130
"G12039425","2011","FL",,,"Florida","12",,,"Largo city","39425",,,,,,,,,,,,,,,,"16000US1239425","Largo city, Florida",19985,1128,874,434,459,506,394,464,803,648,796,1621,1619,862,2034,1548,1274,875,1305,988,783,76,258,0,236,"Largo city, Florida",1993,421,425,305,361,293,284,281,549,305,429,597,709,555,631,617,458,438,561,580,480,126,191,238,278
"G12039550","2011","FL",,,"Florida","12",,,"Lauderhill city","39550",,,,,,,,,,,,,,,,"16000US1239550","Lauderhill city, Florida",14173,0,0,0,519,89,164,307,828,1981,673,335,1434,685,1878,1134,1809,764,925,648,0,0,0,0,0,"Lauderhill city, Florida",1643,238,238,238,357,148,164,241,650,982,417,209,734,767,862,677,616,402,506,473,238,238,238,238,238
"G12039925","2011","FL",,,"Florida","12",,,"Lehigh Acres CDP","39925",,,,,,,,,,,,,,,,"16000US1239925","Lehigh Acres CDP, Florida",18730,42,0,200,1113,115,601,799,1203,2824,2496,1099,1796,889,1983,1181,620,293,250,759,324,0,0,0,143,"Lehigh Acres CDP, Florida",2176,69,238,335,984,132,362,473,619,929,878,647,844,808,899,613,387,253,237,522,250,238,238,238,184
"G12043975","2011","FL",,,"Florida","12",,,"Melbourne city","43975",,,,,,,,,,,,,,,,"16000US1243975","Melbourne city, Florida",19310,197,157,220,300,377,0,0,680,950,1157,1327,1276,1187,3306,1621,3415,539,1259,286,590,152,177,58,79,"Melbourne city, Florida",2180,200,260,213,351,482,238,238,349,487,681,601,521,559,1015,742,1099,323,549,249,435,179,220,98,129
"G12045000","2011","FL",,,"Florida","12",,,"Miami city","45000",,,,,,,,,,,,,,,,"16000US1245000","Miami city, Florida",47190,47,216,31,171,229,474,0,706,1177,1978,2057,2597,737,4547,1940,5477,2576,6066,5165,4611,1366,1789,917,2316,"Miami city, Florida",4147,77,354,53,203,216,347,238,481,580,654,1018,1267,519,1075,485,1364,891,1707,1864,1326,664,859,505,739
"G12045025","2011","FL",,,"Florida","12",,,"Miami Beach city","45025",,,,,,,,,,,,,,,,"16000US1245025","Miami Beach city, Florida",13654,0,0,75,0,0,0,0,0,276,282,0,296,168,197,941,864,363,1810,693,1944,1532,1931,831,1451,"Miami Beach city, Florida",2436,238,238,125,238,238,238,238,238,327,277,238,270,202,186,663,473,323,927,482,782,739,787,565,444
"G12045060","2011","FL",,,"Florida","12",,,"Miami Gardens city","45060",,,,,,,,,,,,,,,,"16000US1245060","Miami Gardens city, Florida",20697,0,63,207,214,271,182,304,29,894,792,783,1312,884,3925,3388,2440,2028,2122,493,366,0,0,0,0,"Miami Gardens city, Florida",1619,238,104,204,294,285,181,244,48,504,580,454,550,446,1001,1055,727,764,734,295,379,238,238,238,238
"G12045975","2011","FL",,,"Florida","12",,,"Miramar city","45975",,,,,,,,,,,,,,,,"16000US1245975","Miramar city, Florida",30096,49,306,0,92,825,346,0,334,308,433,1023,1112,1262,2609,3701,2988,1375,2453,3412,3275,3294,807,0,92,"Miramar city, Florida",2701,84,396,238,110,728,378,238,421,340,377,935,567,599,982,1827,917,679,787,1472,1372,1618,1042,238,110
"G12053000","2011","FL",,,"Florida","12",,,"Orlando city","53000",,,,,,,,,,,,,,,,"16000US1253000","Orlando city, Florida",38479,263,75,61,439,532,259,304,1314,1400,1722,1708,2128,2211,4146,2204,2856,3097,3142,3682,2938,2242,1032,444,280,"Orlando city, Florida",2709,239,92,100,277,455,199,260,518,580,902,640,734,752,1168,591,727,774,871,871,652,734,434,261,176
"G12054000","2011","FL",,,"Florida","12",,,"Palm Bay city","54000",,,,,,,,,,,,,,,,"16000US1254000","Palm Bay city, Florida",26589,164,89,0,35,142,343,358,766,1483,3195,2028,3188,2498,4216,2644,2437,1305,836,478,277,0,107,0,0,"Palm Bay city, Florida",2425,197,148,238,57,168,306,253,358,602,968,792,1215,925,1257,1143,1056,750,458,474,462,238,179,238,238
"G12054200","2011","FL",,,"Florida","12",,,"Palm Coast city","54200",,,,,,,,,,,,,,,,"16000US1254200","Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,"Palm Coast city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,
"G12055775","2011","FL",,,"Florida","12",,,"Pembroke Pines city","55775",,,,,,,,,,,,,,,,"16000US1255775","Pembroke Pines city, Florida",40639,136,64,126,0,205,204,0,1198,754,1308,2392,309,2109,3672,2480,4114,2068,4665,3933,6674,2935,1293,0,0,"Pembroke Pines city, Florida",3011,159,105,150,238,197,336,238,749,521,760,1037,259,902,1571,719,1060,850,1218,1167,1467,1043,776,238,238
"G12057425","2011","FL",,,"Florida","12",,,"Plantation city","57425",,,,,,,,,,,,,,,,"16000US1257425","Plantation city, Florida",21485,84,34,85,185,182,247,82,0,558,957,695,200,564,1781,834,1284,1838,2158,2440,3683,2020,1047,426,101,"Plantation city, Florida",1863,107,56,102,186,180,300,139,238,279,652,541,179,392,723,470,533,735,841,801,803,716,502,291,121
"G12058050","2011","FL",,,"Florida","12",,,"Pompano Beach city","58050",,,,,,,,,,,,,,,,"16000US1258050","Pompano Beach city, Florida",21941,129,177,74,494,136,183,181,320,533,966,1468,1164,751,2430,1437,3553,1253,1487,1202,1265,1012,1235,422,69,"Pompano Beach city, Florida",2268,154,211,124,421,164,172,206,291,324,478,784,422,552,928,684,1090,633,631,468,701,433,553,354,114
"G12058715","2011","FL",,,"Florida","12",,,"Port St. Lucie city","58715",,,,,,,,,,,,,,,,"16000US1258715","Port St. Lucie city, Florida",43290,267,311,158,278,114,160,348,547,1156,1674,3977,3609,3439,6521,5088,7559,2207,3606,823,867,135,58,225,163,"Port St. Lucie city, Florida",3289,297,299,184,365,133,201,452,502,524,741,1548,1212,1354,1738,1383,2469,881,1476,683,630,161,95,334,200
"G12060950","2011","FL",,,"Florida","12",,,"Riverview CDP","60950",,,,,,,,,,,,,,,,"16000US1260950","Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,"Riverview CDP, Florida",,,,,,,,,,,,,,,,,,,,,,,,,
"G12063000","2011","FL",,,"Florida","12",,,"St. Petersburg city","63000",,,,,,,,,,,,,,,,"16000US1263000","St. Petersburg city, Florida",59201,1110,256,504,628,670,605,538,1350,2205,2255,3314,3587,2980,6298,5801,6606,3699,4900,3523,3190,1501,2214,1023,444,"St. Petersburg city, Florida",3057,600,181,327,408,417,412,234,576,601,821,731,851,682,1102,1108,1048,796,1174,882,736,524,670,437,219
"G12068350","2011","FL",,,"Florida","12",,,"Spring Hill CDP","68350",,,,,,,,,,,,,,,,"16000US1268350","Spring Hill CDP, Florida",32770,0,0,505,89,152,347,163,1166,2516,2341,2738,1891,2058,5336,3437,3421,3093,1722,1173,463,0,159,0,0,"Spring Hill CDP, Florida",2191,238,238,393,150,183,277,200,540,1113,751,921,847,872,1116,1065,919,1035,821,555,348,238,275,238,238
"G12069700","2011","FL",,,"Florida","12",,,"Sunrise city","69700",,,,,,,,,,,,,,,,"16000US1269700","Sunrise city, Florida",20492,89,169,1094,465,524,888,467,801,1038,1279,386,563,535,1680,2173,2505,1094,2732,1410,295,106,199,0,0,"Sunrise city, Florida",2018,110,174,644,294,323,429,269,540,538,657,230,386,271,638,656,945,470,823,542,192,124,324,238,238
"G12070600","2011","FL",,,"Florida","12",,,"Tallahassee city","70600",,,,,,,,,,,,,,,,"16000US1270600","Tallahassee city, Florida",30388,132,0,0,94,283,105,55,275,492,520,602,1233,883,2972,3249,3968,3595,4199,1970,3647,1134,234,0,746,"Tallahassee city, Florida",2125,155,238,238,155,324,151,89,222,315,370,435,563,451,965,656,1023,888,967,791,947,405,217,238,480
"G12071000","2011","FL",,,"Florida","12",,,"Tampa city","71000",,,,,,,,,,,,,,,,"16000US1271000","Tampa city, Florida",67619,353,341,702,317,252,407,1200,2039,3736,1982,3565,4680,3230,7063,4291,5439,3492,4690,4539,5282,3237,3919,1688,1175,"Tampa city, Florida",3157,313,310,381,289,175,259,622,765,942,629,1005,1048,998,1328,1045,895,878,1077,1063,1120,895,779,622,399
"G12072145","2011","FL",,,"Florida","12",,,"Town 'n' Country CDP","72145",,,,,,,,,,,,,,,,"16000US1272145","Town 'n' Country CDP, Florida",17001,469,369,287,256,122,204,156,205,1036,611,659,1125,847,2495,1881,2351,773,844,1035,428,260,241,347,0,"Town 'n' Country CDP, Florida",1873,419,283,211,211,143,223,192,202,723,421,384,569,491,925,670,708,336,367,400,316,327,207,410,238
"G12076582","2011","FL",,,"Florida","12",,,"Weston city","76582",,,,,,,,,,,,,,,,"16000US1276582","Weston city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,,"Weston city, Florida",,,,,,,,,,,,,,,,,,,,,,,,,
"G12076600","2011","FL",,,"Florida","12",,,"West Palm Beach city","76600",,,,,,,,,,,,,,,,"16000US1276600","West Palm Beach city, Florida",19894,0,64,0,0,185,0,0,490,358,848,1062,2130,936,2014,952,1928,792,3304,1139,1360,826,675,278,553,"West Palm Beach city, Florida",2051,238,79,238,238,303,238,238,418,337,442,522,671,780,616,478,743,410,975,604,642,575,485,232,573
"G13001052","2011","GA",,,"Georgia","13",,,"Albany city","01052",,,,,,,,,,,,,,,,"16000US1301052","Albany city, Georgia",12100,220,94,124,336,459,13,59,533,730,1028,955,1028,878,1991,1458,1080,364,215,184,158,193,0,0,0,"Albany city, Georgia",1135,176,83,148,244,253,24,75,271,340,359,412,349,496,702,602,452,237,195,146,159,178,225,225,225
"G13003440","2011","GA",,,"Georgia","13",,,"Athens-Clarke County unified government (balance)","03440",,,,,,,,,,,,,,,,"16000US1303440","Athens-Clarke County unified government (balance), Georgia",17712,459,137,92,49,230,0,67,94,130,136,451,786,430,2025,2765,3460,1030,2299,1250,878,294,481,50,119,"Athens-Clarke County unified government (balance), Georgia",1204,316,116,92,87,217,225,96,93,120,119,268,455,291,732,893,784,381,628,374,393,179,302,80,147
"G13004000","2011","GA",,,"Georgia","13",,,"Atlanta city","04000",,,,,,,,,,,,,,,,"16000US1304000","Atlanta city, Georgia",77500,345,161,134,685,584,418,898,1369,2522,2087,2771,3679,3042,5777,4484,7483,3786,5819,5460,7078,4202,7642,3227,3847,"Atlanta city, Georgia",4429,309,155,115,397,348,230,380,489,723,806,700,826,942,1261,1308,1354,1092,1111,1318,1445,921,1432,763,1054
"G13004204","2011","GA",,,"Georgia","13",,,"Augusta-Richmond County consolidated government (balance)","04204",,,,,,,,,,,,,,,,"16000US1304204","Augusta-Richmond County consolidated government (balance), Georgia",37361,381,479,460,245,543,418,668,671,1918,2636,2489,3480,2654,6336,3883,2992,1681,2146,779,1501,544,247,50,160,"Augusta-Richmond County consolidated government (balance), Georgia",2387,283,336,284,221,343,312,374,408,696,726,705,959,937,1335,902,900,720,824,446,783,405,212,60,171
"G13019000","2011","GA",,,"Georgia","13",,,"Columbus city","19000",,,,,,,,,,,,,,,,"16000US1319000","Columbus city, Georgia",36778,463,162,71,384,198,441,522,860,1500,1094,2514,1995,2640,4560,3972,4013,2558,3105,2166,1805,768,515,256,216,"Columbus city, Georgia",1993,280,147,62,258,159,255,307,414,520,419,821,602,1046,962,873,808,770,603,729,452,340,271,181,186
"G13042425","2011","GA",,,"Georgia","13",,,"Johns Creek city","42425",,,,,,,,,,,,,,,,"16000US1342425","Johns Creek city, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,"Johns Creek city, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,
"G13049000","2011","GA",,,"Georgia","13",,,"Macon city","49000",,,,,,,,,,,,,,,,"16000US1349000","Macon city, Georgia",12950,57,134,206,143,145,337,452,761,911,792,1577,1587,780,1568,825,772,573,412,309,340,120,68,81,0,"Macon city, Georgia",1673,98,168,173,109,96,176,249,308,382,324,570,736,309,595,379,383,426,241,270,225,116,70,139,225
"G13067284","2011","GA",,,"Georgia","13",,,"Roswell city","67284",,,,,,,,,,,,,,,,"16000US1367284","Roswell city, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,"Roswell city, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,
"G13068516","2011","GA",,,"Georgia","13",,,"Sandy Springs city","68516",,,,,,,,,,,,,,,,"16000US1368516","Sandy Springs city, Georgia",18484,0,64,0,75,0,0,0,202,275,309,212,328,333,460,326,666,293,1039,1706,2838,2820,3575,1139,1824,"Sandy Springs city, Georgia",2274,225,107,225,119,225,225,225,243,334,275,186,368,471,286,221,531,296,513,714,790,808,924,566,630
"G13069000","2011","GA",,,"Georgia","13",,,"Savannah city","69000",,,,,,,,,,,,,,,,"16000US1369000","Savannah city, Georgia",23136,397,264,446,59,77,208,0,305,733,379,1008,1852,1351,3784,2037,3429,1100,1864,1573,1022,291,331,188,438,"Savannah city, Georgia",1599,347,229,375,97,91,227,225,233,269,150,371,593,592,956,684,1005,469,563,526,296,158,206,154,245
"G13080508","2011","GA",,,"Georgia","13",,,"Warner Robins city","80508",,,,,,,,,,,,,,,,"16000US1380508","Warner Robins city, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,"Warner Robins city, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,
