GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,MGZE001,MGZE002,MGZE003,MGZE004,MGZE005,MGZE006,MGZE007,MGZE008,MGZE009,MGZE010,MGZE011,MGZE012,MGZE013,MGZE014,MGZE015,MGZE016,MGZE017,MGZE018,MGZE019,MGZE020,MGZE021,MGZE022,MGZE023,MGZE024,MGZE025,NAME_M,MGZM001,MGZM002,MGZM003,MGZM004,MGZM005,MGZM006,MGZM007,MGZM008,MGZM009,MGZM010,MGZM011,MGZM012,MGZM013,MGZM014,MGZM015,MGZM016,MGZM017,MGZM018,MGZM019,MGZM020,MGZM021,MGZM022,MGZM023,MGZM024,MGZM025
"G06004982","2011","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06006000","2011","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Berkeley city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06008786","2011","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06008954","2011","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Burbank city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06010046","2011","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06011194","2011","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06011530","2011","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",19783,157,0,38,146,0,100,0,182,181,205,179,0,131,807,92,402,128,1549,2920,7351,3713,1333,99,70,"Carson city, California",1545,133,208,62,136,208,130,208,191,132,198,237,208,111,437,107,244,142,676,800,1280,859,446,89,115
"G06013014","2011","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",14890,55,154,217,132,198,52,0,181,85,173,260,32,93,281,334,1073,633,2957,2837,3639,864,380,169,91,"Chico city, California",1654,92,121,209,160,128,69,208,177,87,173,274,54,101,196,244,674,313,778,1019,1131,338,267,199,110
"G06013210","2011","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06013214","2011","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06013392","2011","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",43536,329,533,483,175,438,390,231,190,109,43,100,349,170,775,578,1426,1205,3941,5292,12594,9785,3727,501,172,"Chula Vista city, California",2811,230,382,367,146,312,336,222,187,139,71,163,261,148,363,279,532,589,1286,1196,1844,2101,985,278,143
"G06013588","2011","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",16789,271,300,97,0,150,52,211,254,176,236,144,100,66,1221,1344,2926,3037,2941,2101,719,356,87,0,0,"Citrus Heights city, California",1728,191,191,101,208,131,51,130,257,204,270,177,77,80,529,578,715,731,726,535,357,394,141,208,208
"G06014218","2011","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Clovis city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06015044","2011","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Compton city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06016000","2011","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",27379,56,259,220,0,69,0,0,171,134,289,120,250,57,1211,626,880,665,2817,2630,6874,4801,4412,486,352,"Concord city, California",2114,94,211,168,208,119,208,208,173,153,255,153,264,94,580,454,432,373,880,1013,1176,1051,937,296,242
"G06016350","2011","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",30289,142,0,246,88,58,0,0,277,216,35,0,77,50,691,663,1012,527,3863,5093,9215,3626,3538,485,387,"Corona city, California",1739,134,208,251,104,93,208,208,213,162,55,208,89,88,340,381,616,268,875,973,1454,893,838,318,301
"G06016532","2011","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06017918","2011","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06018100","2011","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06019766","2011","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06020802","2011","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,"East Los Angeles CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06021712","2011","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",13129,64,91,218,0,233,29,25,106,0,32,92,207,187,323,240,398,333,1733,1835,2804,1510,2349,320,0,"El Cajon city, California",1521,105,105,209,208,232,47,42,126,208,54,113,252,149,245,210,239,249,742,575,602,643,649,311,208
"G06022020","2011","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Elk Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06022230","2011","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"El Monte city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06022804","2011","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",21755,171,94,49,36,201,221,56,263,33,100,191,327,484,541,393,804,727,1851,3230,5939,2442,2780,677,145,"Escondido city, California",2122,163,116,81,60,173,148,92,191,55,98,165,234,395,228,217,388,392,630,792,1240,753,600,313,140
"G06023182","2011","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Fairfield city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06024477","2011","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Florence-Graham CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06024638","2011","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06024680","2011","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",33580,61,71,270,42,32,0,0,38,144,35,151,638,203,1653,1378,3424,2917,7057,7481,6941,872,137,0,35,"Fontana city, California",2548,101,118,213,71,54,208,208,62,143,59,202,440,143,777,623,995,842,1759,2201,1819,551,129,208,59
"G06026000","2011","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",43267,62,0,0,41,127,0,105,57,35,132,0,83,234,149,547,375,218,1591,1699,3392,6860,17035,6588,3937,"Fremont city, California",2730,106,208,208,67,122,208,129,95,58,128,208,69,157,140,523,291,206,850,836,913,1266,1765,1232,814
"G06027000","2011","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",74410,360,491,434,218,119,525,303,1398,1650,1365,1875,3177,2174,6658,7163,10284,5362,11428,7039,7003,1885,1851,1221,427,"Fresno city, California",2992,248,317,282,156,158,305,230,573,515,657,519,767,641,1284,1566,1725,1120,1615,1127,1238,636,573,672,203
"G06028000","2011","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Fullerton city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06029000","2011","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Garden Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06030000","2011","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Glendale city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06032548","2011","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",,,,,,,,,,,,,,,,,,,,,,,,,,"Hawthorne city, California",,,,,,,,,,,,,,,,,,,,,,,,,
"G06033000","2011","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",24850,263,179,0,64,76,208,210,219,373,329,106,93,336,571,368,1007,652,2759,4412,5858,3296,2945,216,310,"Hayward city, California",1791,188,292,208,78,64,161,189,183,231,287,104,110,492,361,386,559,313,854,945,1003,828,907,172,252
"G06033182","2011","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"16000US0633182","Hemet city, California",19066,1366,742,506,238,554,183,84,235,1168,803,1767,1015,1015,2144,2142,1862,937,1048,572,533,152,0,0,0,"Hemet city, California",1971,598,533,371,203,324,181,140,183,579,411,692,617,492,766,797,606,578,497,356,309,174,208,208,208
"G06033434","2011","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"16000US0633434","Hesperia city, California",17049,304,133,207,0,36,170,167,251,439,424,857,979,935,3535,2029,2971,621,1317,903,304,250,127,45,45,"Hesperia city, California",1802,393,132,182,208,61,207,224,197,303,299,438,407,433,801,735,719,293,598,546,197,296,159,73,73
"G06036000","2011","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"16000US0636000","Huntington Beach city, California",44096,86,48,0,431,174,0,86,248,313,334,71,246,52,292,379,184,317,1226,986,2657,5491,18093,8259,4123,"Huntington Beach city, California",2312,104,80,208,373,158,208,101,208,284,228,84,336,85,206,263,197,260,467,411,724,1088,1449,1023,847
"G06036448","2011","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"16000US0636448","Indio city, California",15263,249,37,470,252,0,353,0,0,0,328,392,327,425,1598,1231,2191,1403,2106,1105,1562,803,242,0,189,"Indio city, California",2065,241,62,343,243,208,459,208,208,208,394,287,271,325,765,712,850,1254,953,578,781,871,231,208,311
