GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJNQE001,AJNQE002,AJNQE003,AJNQE004,AJNQE005,AJNQE006,AJNQE007,AJNQE008,AJNQE009,AJNQE010,AJNQE011,AJNQE012,AJNQE013,AJNQE014,AJNQE015,AJNQE016,AJNQE017,AJNQE018,AJNQE019,AJNQE020,AJNQE021,AJNQE022,AJNQE023,AJNQE024,AJNQE025,AJNQE026,AJNQE027,NAME_M,AJNQM001,AJNQM002,AJNQM003,AJNQM004,AJNQM005,AJNQM006,AJNQM007,AJNQM008,AJNQM009,AJNQM010,AJNQM011,AJNQM012,AJNQM013,AJNQM014,AJNQM015,AJNQM016,AJNQM017,AJNQM018,AJNQM019,AJNQM020,AJNQM021,AJNQM022,AJNQM023,AJNQM024,AJNQM025,AJNQM026,AJNQM027
"G06002000","2018","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",49117,300,120,0,202,0,0,0,503,354,93,258,283,309,130,80,66,323,642,828,3179,6331,24763,7612,1903,393,445,"Anaheim city, California",2839,193,144,211,197,211,211,211,276,313,108,201,283,215,126,66,106,377,443,535,750,1152,1905,1300,612,223,276
"G06002252","2018","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002364","2018","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002553","2018","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Arden-Arcade CDP, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06003526","2018","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",72020,781,543,128,294,52,25,0,239,434,508,75,1193,511,2725,1431,4085,5288,15559,14828,15379,3892,2506,1040,205,256,43,"Bakersfield city, California",3687,602,319,151,358,85,44,211,248,372,388,132,432,360,885,613,1008,1219,2026,2344,2361,1103,774,510,159,339,74
"G06003666","2018","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06004982","2018","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bellflower city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06006000","2018","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Berkeley city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06008786","2018","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06008954","2018","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Burbank city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
