GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AQDXE001,AQDXE002,AQDXE003,AQDXE004,AQDXE005,AQDXE006,AQDXE007,AQDXE008,AQDXE009,AQDXE010,AQDXE011,AQDXE012,AQDXE013,AQDXE014,AQDXE015,AQDXE016,AQDXE017,AQDXE018,AQDXE019,AQDXE020,AQDXE021,AQDXE022,AQDXE023,AQDXE024,AQDXE025,AQDXE026,AQDXE027,NAME_M,AQDXM001,AQDXM002,AQDXM003,AQDXM004,AQDXM005,AQDXM006,AQDXM007,AQDXM008,AQDXM009,AQDXM010,AQDXM011,AQDXM012,AQDXM013,AQDXM014,AQDXM015,AQDXM016,AQDXM017,AQDXM018,AQDXM019,AQDXM020,AQDXM021,AQDXM022,AQDXM023,AQDXM024,AQDXM025,AQDXM026,AQDXM027
"G04071510","2022","AZ",,,"Arizona","04",,,"Surprise city","71510",,,,,,,,,,,,,,,,"1600000US0471510","0471510","Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Surprise city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04073000","2022","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"1600000US0473000","0473000","Tempe city, Arizona",33805,382,52,0,105,206,148,0,498,252,30,349,66,0,201,0,262,1036,1005,1476,6868,5781,11009,3009,641,87,342,"Tempe city, Arizona",3080,502,87,228,91,227,144,228,408,272,49,495,111,228,195,228,315,772,649,596,1408,1132,1925,906,293,85,265
"G04077000","2022","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"1600000US0477000","0477000","Tucson city, Arizona",119054,2103,958,1263,983,1157,1367,464,1350,321,1264,802,920,1129,3908,1700,7125,6659,19182,19132,28065,10796,5770,1503,502,45,586,"Tucson city, Arizona",4228,599,486,848,536,629,804,283,585,271,827,414,438,520,1124,626,1318,1362,2414,2584,2761,1915,1202,697,297,77,401
"G04085540","2022","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"1600000US0485540","0485540","Yuma city, Arizona",26294,863,89,323,432,204,67,217,35,186,524,275,355,145,707,800,1916,1871,4541,4088,5137,1180,2020,225,0,0,94,"Yuma city, Arizona",2103,424,111,254,426,176,115,263,59,191,555,215,295,138,446,499,777,733,1079,1182,1378,568,836,218,228,228,132
"G05015190","2022","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"1600000US0515190","0515190","Conway city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conway city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05023290","2022","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"1600000US0523290","0523290","Fayetteville city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayetteville city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05024550","2022","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"1600000US0524550","0524550","Fort Smith city, Arkansas",18919,108,273,0,152,0,0,30,272,749,779,578,801,595,1935,1479,1721,1367,2807,1760,1821,684,596,201,178,0,33,"Fort Smith city, Arkansas",1798,163,266,208,191,208,208,53,244,530,503,370,516,349,695,681,664,742,917,822,701,516,312,211,216,208,52
"G05035710","2022","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"1600000US0535710","0535710","Jonesboro city, Arkansas",18067,326,0,0,50,0,0,37,197,643,141,336,549,199,1237,969,1073,1589,3807,1468,2092,1223,541,678,912,0,0,"Jonesboro city, Arkansas",1448,299,208,208,87,208,208,63,244,608,150,252,396,211,523,544,535,649,1108,676,854,743,415,409,1005,208,208
"G05041000","2022","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"1600000US0541000","0541000","Little Rock city, Arkansas",47224,338,163,382,26,159,119,48,181,959,924,1211,1692,1900,3753,2098,5071,2432,7203,3734,5704,4509,2468,1120,446,153,431,"Little Rock city, Arkansas",3693,302,189,324,44,193,150,81,142,554,587,677,943,836,1165,939,1697,1053,1461,990,1308,1043,791,456,308,186,590
"G05060410","2022","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"1600000US0560410","0560410","Rogers city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rogers city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
