GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AQDXE001,AQDXE002,AQDXE003,AQDXE004,AQDXE005,AQDXE006,AQDXE007,AQDXE008,AQDXE009,AQDXE010,AQDXE011,AQDXE012,AQDXE013,AQDXE014,AQDXE015,AQDXE016,AQDXE017,AQDXE018,AQDXE019,AQDXE020,AQDXE021,AQDXE022,AQDXE023,AQDXE024,AQDXE025,AQDXE026,AQDXE027,NAME_M,AQDXM001,AQDXM002,AQDXM003,AQDXM004,AQDXM005,AQDXM006,AQDXM007,AQDXM008,AQDXM009,AQDXM010,AQDXM011,AQDXM012,AQDXM013,AQDXM014,AQDXM015,AQDXM016,AQDXM017,AQDXM018,AQDXM019,AQDXM020,AQDXM021,AQDXM022,AQDXM023,AQDXM024,AQDXM025,AQDXM026,AQDXM027
"G22039475","2022","LA",,,"Louisiana","22",,,"Kenner city","39475",,,,,,,,,,,,,,,,"1600000US2239475","2239475","Kenner city, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kenner city, Louisiana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G22040735","2022","LA",,,"Louisiana","22",,,"Lafayette city","40735",,,,,,,,,,,,,,,,"1600000US2240735","2240735","Lafayette city, Louisiana",28668,412,376,177,104,67,122,0,32,173,500,795,824,385,967,942,2607,2592,4768,3029,5597,2150,691,564,173,398,223,"Lafayette city, Louisiana",2447,302,316,225,132,79,156,220,59,181,526,465,485,285,486,366,912,955,1125,1043,1153,884,416,353,188,417,261
"G22041155","2022","LA",,,"Louisiana","22",,,"Lake Charles city","41155",,,,,,,,,,,,,,,,"1600000US2241155","2241155","Lake Charles city, Louisiana",18150,336,42,233,93,80,87,69,127,84,0,616,358,926,901,1255,1698,1094,2907,2154,2441,1322,834,410,0,83,0,"Lake Charles city, Louisiana",1941,336,71,176,147,140,152,115,142,137,220,454,274,739,436,615,700,731,1061,746,696,533,526,324,220,114,220
"G22050115","2022","LA",,,"Louisiana","22",,,"Metairie CDP","50115",,,,,,,,,,,,,,,,"1600000US2250115","2250115","Metairie CDP, Louisiana",39816,210,46,292,118,102,327,115,34,162,238,130,241,42,1182,1197,1221,1276,3623,7182,9709,4688,4106,1915,775,552,333,"Metairie CDP, Louisiana",2755,176,82,425,144,181,344,200,57,196,214,165,242,68,636,721,505,510,965,1286,1532,1304,1130,711,366,306,339
"G22055000","2022","LA",,,"Louisiana","22",,,"New Orleans city","55000",,,,,,,,,,,,,,,,"1600000US2255000","2255000","New Orleans city, Louisiana",83061,1064,189,485,404,79,264,103,95,194,758,636,665,630,3146,2236,5979,5073,11190,8035,11465,8663,11585,5286,3093,808,936,"New Orleans city, Louisiana",2924,492,188,336,275,94,231,121,96,155,398,298,393,366,702,722,1132,1001,1525,1239,1773,1095,1644,761,688,379,399
"G22070000","2022","LA",,,"Louisiana","22",,,"Shreveport city","70000",,,,,,,,,,,,,,,,"1600000US2270000","2270000","Shreveport city, Louisiana",40670,1283,903,208,241,321,596,88,857,773,1078,1555,1650,1104,3611,2653,4836,3172,3815,3690,3842,1696,923,933,558,82,202,"Shreveport city, Louisiana",2703,587,552,210,278,373,615,89,416,416,455,593,661,524,944,824,1411,854,1169,1089,1077,599,457,568,552,142,215
"G23060545","2022","ME",,,"Maine","23",,,"Portland city","60545",,,,,,,,,,,,,,,,"1600000US2360545","2360545","Portland city, Maine",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Portland city, Maine",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24004000","2022","MD",,,"Maryland","24",,,"Baltimore city","04000",,,,,,,,,,,,,,,,"1600000US2404000","2404000","Baltimore city, Maryland",121217,1632,623,1413,1446,74,673,153,1885,1895,1609,1770,2597,2031,11950,7048,11759,8399,17674,13349,16901,7040,6782,1376,694,124,320,"Baltimore city, Maryland",4664,625,493,737,583,90,547,156,699,764,722,814,858,834,2166,1339,1907,2053,2477,1824,2229,1349,1275,420,304,153,338
"G24007125","2022","MD",,,"Maryland","24",,,"Bethesda CDP","07125",,,,,,,,,,,,,,,,"1600000US2407125","2407125","Bethesda CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bethesda CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24019125","2022","MD",,,"Maryland","24",,,"Columbia CDP","19125",,,,,,,,,,,,,,,,"1600000US2419125","2419125","Columbia CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24023975","2022","MD",,,"Maryland","24",,,"Dundalk CDP","23975",,,,,,,,,,,,,,,,"1600000US2423975","2423975","Dundalk CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dundalk CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24026000","2022","MD",,,"Maryland","24",,,"Ellicott City CDP","26000",,,,,,,,,,,,,,,,"1600000US2426000","2426000","Ellicott City CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ellicott City CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24030325","2022","MD",,,"Maryland","24",,,"Frederick city","30325",,,,,,,,,,,,,,,,"1600000US2430325","2430325","Frederick city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Frederick city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24031175","2022","MD",,,"Maryland","24",,,"Gaithersburg city","31175",,,,,,,,,,,,,,,,"1600000US2431175","2431175","Gaithersburg city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gaithersburg city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24032025","2022","MD",,,"Maryland","24",,,"Germantown CDP","32025",,,,,,,,,,,,,,,,"1600000US2432025","2432025","Germantown CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Germantown CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24032650","2022","MD",,,"Maryland","24",,,"Glen Burnie CDP","32650",,,,,,,,,,,,,,,,"1600000US2432650","2432650","Glen Burnie CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Glen Burnie CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24067675","2022","MD",,,"Maryland","24",,,"Rockville city","67675",,,,,,,,,,,,,,,,"1600000US2467675","2467675","Rockville city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rockville city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24072450","2022","MD",,,"Maryland","24",,,"Silver Spring CDP","72450",,,,,,,,,,,,,,,,"1600000US2472450","2472450","Silver Spring CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Silver Spring CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24081175","2022","MD",,,"Maryland","24",,,"Waldorf CDP","81175",,,,,,,,,,,,,,,,"1600000US2481175","2481175","Waldorf CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waldorf CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25007000","2022","MA",,,"Massachusetts","25",,,"Boston city","07000",,,,,,,,,,,,,,,,"1600000US2507000","2507000","Boston city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Boston city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25009000","2022","MA",,,"Massachusetts","25",,,"Brockton city","09000",,,,,,,,,,,,,,,,"1600000US2509000","2509000","Brockton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brockton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25011000","2022","MA",,,"Massachusetts","25",,,"Cambridge city","11000",,,,,,,,,,,,,,,,"1600000US2511000","2511000","Cambridge city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cambridge city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25023000","2022","MA",,,"Massachusetts","25",,,"Fall River city","23000",,,,,,,,,,,,,,,,"1600000US2523000","2523000","Fall River city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fall River city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25024960","2022","MA",,,"Massachusetts","25",,,"Framingham city","24960",,,,,,,,,,,,,,,,"1600000US2524960","2524960","Framingham city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Framingham city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25029405","2022","MA",,,"Massachusetts","25",,,"Haverhill city","29405",,,,,,,,,,,,,,,,"1600000US2529405","2529405","Haverhill city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Haverhill city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25034550","2022","MA",,,"Massachusetts","25",,,"Lawrence city","34550",,,,,,,,,,,,,,,,"1600000US2534550","2534550","Lawrence city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25037000","2022","MA",,,"Massachusetts","25",,,"Lowell city","37000",,,,,,,,,,,,,,,,"1600000US2537000","2537000","Lowell city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowell city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25037490","2022","MA",,,"Massachusetts","25",,,"Lynn city","37490",,,,,,,,,,,,,,,,"1600000US2537490","2537490","Lynn city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lynn city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25037875","2022","MA",,,"Massachusetts","25",,,"Malden city","37875",,,,,,,,,,,,,,,,"1600000US2537875","2537875","Malden city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Malden city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25039835","2022","MA",,,"Massachusetts","25",,,"Medford city","39835",,,,,,,,,,,,,,,,"1600000US2539835","2539835","Medford city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Medford city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25045000","2022","MA",,,"Massachusetts","25",,,"New Bedford city","45000",,,,,,,,,,,,,,,,"1600000US2545000","2545000","New Bedford city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"New Bedford city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25045560","2022","MA",,,"Massachusetts","25",,,"Newton city","45560",,,,,,,,,,,,,,,,"1600000US2545560","2545560","Newton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25055745","2022","MA",,,"Massachusetts","25",,,"Quincy city","55745",,,,,,,,,,,,,,,,"1600000US2555745","2555745","Quincy city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quincy city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25062535","2022","MA",,,"Massachusetts","25",,,"Somerville city","62535",,,,,,,,,,,,,,,,"1600000US2562535","2562535","Somerville city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Somerville city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25067000","2022","MA",,,"Massachusetts","25",,,"Springfield city","67000",,,,,,,,,,,,,,,,"1600000US2567000","2567000","Springfield city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Springfield city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25082000","2022","MA",,,"Massachusetts","25",,,"Worcester city","82000",,,,,,,,,,,,,,,,"1600000US2582000","2582000","Worcester city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Worcester city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26003000","2022","MI",,,"Michigan","26",,,"Ann Arbor city","03000",,,,,,,,,,,,,,,,"1600000US2603000","2603000","Ann Arbor city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ann Arbor city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26021000","2022","MI",,,"Michigan","26",,,"Dearborn city","21000",,,,,,,,,,,,,,,,"1600000US2621000","2621000","Dearborn city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dearborn city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26022000","2022","MI",,,"Michigan","26",,,"Detroit city","22000",,,,,,,,,,,,,,,,"1600000US2622000","2622000","Detroit city, Michigan",121020,3442,3172,2260,2333,1861,5179,3535,9171,8208,9388,8559,9521,6974,12830,4806,8093,3113,6260,3492,4014,2083,1950,280,307,157,32,"Detroit city, Michigan",4893,969,867,663,836,558,1229,1154,1667,1452,1734,1704,1693,1676,2210,1220,1499,864,1210,772,1088,578,693,155,278,159,53
"G26027440","2022","MI",,,"Michigan","26",,,"Farmington Hills city","27440",,,,,,,,,,,,,,,,"1600000US2627440","2627440","Farmington Hills city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Farmington Hills city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26029000","2022","MI",,,"Michigan","26",,,"Flint city","29000",,,,,,,,,,,,,,,,"1600000US2629000","2629000","Flint city, Michigan",18883,1193,1016,1277,763,1716,1616,700,1335,1544,1243,1933,728,592,1130,339,524,56,404,502,221,0,51,0,0,0,0,"Flint city, Michigan",2007,417,451,542,399,892,970,451,418,671,617,685,431,309,554,304,300,94,329,301,220,184,82,184,184,184,184
"G26034000","2022","MI",,,"Michigan","26",,,"Grand Rapids city","34000",,,,,,,,,,,,,,,,"1600000US2634000","2634000","Grand Rapids city, Michigan",44659,233,165,455,148,32,0,0,85,96,167,343,769,310,2363,1177,4191,3894,10431,7596,7374,2774,1780,243,33,0,0,"Grand Rapids city, Michigan",2939,246,172,374,142,55,184,184,107,159,170,302,485,288,918,620,1038,1216,1486,1356,1375,899,654,220,57,184,184
"G26042160","2022","MI",,,"Michigan","26",,,"Kalamazoo city","42160",,,,,,,,,,,,,,,,"1600000US2642160","2642160","Kalamazoo city, Michigan",12602,0,21,0,103,68,0,0,253,346,453,291,210,281,2486,868,1147,1053,1909,1099,1074,394,306,12,0,74,154,"Kalamazoo city, Michigan",1384,184,34,184,123,82,184,184,232,189,304,194,195,245,788,395,514,416,541,482,440,241,179,20,184,123,240
"G26046000","2022","MI",,,"Michigan","26",,,"Lansing city","46000",,,,,,,,,,,,,,,,"1600000US2646000","2646000","Lansing city, Michigan",29986,341,221,198,773,206,45,48,566,1093,1735,1508,1198,2124,5512,3953,3350,1873,2364,830,459,255,650,627,0,57,0,"Lansing city, Michigan",2218,309,185,225,693,198,80,80,378,716,723,583,474,687,1298,978,921,748,646,424,307,237,524,540,184,91,184
"G26049000","2022","MI",,,"Michigan","26",,,"Livonia city","49000",,,,,,,,,,,,,,,,"1600000US2649000","2649000","Livonia city, Michigan",34255,188,27,100,133,90,0,48,44,166,111,33,289,224,757,540,1505,2275,7838,7255,9161,2387,803,51,41,144,45,"Livonia city, Michigan",1530,144,45,119,108,108,184,80,72,270,128,53,201,168,338,265,495,567,1103,1063,1101,589,392,85,68,230,75
"G26059440","2022","MI",,,"Michigan","26",,,"Novi city","59440",,,,,,,,,,,,,,,,"1600000US2659440","2659440","Novi city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Novi city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26069035","2022","MI",,,"Michigan","26",,,"Rochester Hills city","69035",,,,,,,,,,,,,,,,"1600000US2669035","2669035","Rochester Hills city, Michigan",23052,726,47,53,58,83,165,50,248,69,80,0,283,125,257,409,500,799,1686,2452,4007,5622,4550,355,329,0,99,"Rochester Hills city, Michigan",1521,424,80,87,96,95,136,82,130,59,97,184,266,149,168,359,318,391,573,870,780,940,876,213,283,184,115
"G26074900","2022","MI",,,"Michigan","26",,,"Southfield city","74900",,,,,,,,,,,,,,,,"1600000US2674900","2674900","Southfield city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southfield city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26076460","2022","MI",,,"Michigan","26",,,"Sterling Heights city","76460",,,,,,,,,,,,,,,,"1600000US2676460","2676460","Sterling Heights city, Michigan",38015,771,228,179,161,53,127,0,618,86,149,68,344,48,532,677,1566,1668,7804,8567,10131,2870,1014,354,0,0,0,"Sterling Heights city, Michigan",1931,577,274,131,166,90,151,184,391,105,230,114,286,80,420,317,587,465,1214,1297,1581,869,649,355,184,184,184
"G26080700","2022","MI",,,"Michigan","26",,,"Troy city","80700",,,,,,,,,,,,,,,,"1600000US2680700","2680700","Troy city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Troy city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26084000","2022","MI",,,"Michigan","26",,,"Warren city","84000",,,,,,,,,,,,,,,,"1600000US2684000","2684000","Warren city, Michigan",38689,478,52,235,52,82,143,0,466,384,1036,541,1846,643,2857,2177,5326,4618,9438,5370,2292,165,176,131,97,0,84,"Warren city, Michigan",2730,270,85,213,89,103,148,184,341,273,523,236,706,386,866,638,1083,1002,1538,1161,710,251,302,215,117,184,99
"G26086000","2022","MI",,,"Michigan","26",,,"Westland city","86000",,,,,,,,,,,,,,,,"1600000US2686000","2686000","Westland city, Michigan",21768,233,54,51,83,0,41,192,417,120,417,207,232,377,2729,1207,3849,5015,3641,1173,1191,328,131,0,28,0,52,"Westland city, Michigan",1867,199,89,86,101,184,72,153,326,141,406,155,182,246,800,459,884,1171,714,416,491,269,161,184,45,184,89
"G26088940","2022","MI",,,"Michigan","26",,,"Wyoming city","88940",,,,,,,,,,,,,,,,"1600000US2688940","2688940","Wyoming city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wyoming city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27006382","2022","MN",,,"Minnesota","27",,,"Blaine city","06382",,,,,,,,,,,,,,,,"1600000US2706382","2706382","Blaine city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blaine city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27006616","2022","MN",,,"Minnesota","27",,,"Bloomington city","06616",,,,,,,,,,,,,,,,"1600000US2706616","2706616","Bloomington city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bloomington city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27007966","2022","MN",,,"Minnesota","27",,,"Brooklyn Park city","07966",,,,,,,,,,,,,,,,"1600000US2707966","2707966","Brooklyn Park city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brooklyn Park city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27017000","2022","MN",,,"Minnesota","27",,,"Duluth city","17000",,,,,,,,,,,,,,,,"1600000US2717000","2717000","Duluth city, Minnesota",22650,281,84,175,233,88,30,0,116,169,75,161,382,312,1422,1052,2863,1018,4476,3529,2699,1756,1240,225,176,0,88,"Duluth city, Minnesota",1596,180,83,145,171,73,51,157,138,112,71,186,224,273,472,359,863,396,821,766,652,508,470,178,223,157,107
"G27017288","2022","MN",,,"Minnesota","27",,,"Eagan city","17288",,,,,,,,,,,,,,,,"1600000US2717288","2717288","Eagan city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eagan city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27035180","2022","MN",,,"Minnesota","27",,,"Lakeville city","35180",,,,,,,,,,,,,,,,"1600000US2735180","2735180","Lakeville city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lakeville city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27040166","2022","MN",,,"Minnesota","27",,,"Maple Grove city","40166",,,,,,,,,,,,,,,,"1600000US2740166","2740166","Maple Grove city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maple Grove city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27043000","2022","MN",,,"Minnesota","27",,,"Minneapolis city","43000",,,,,,,,,,,,,,,,"1600000US2743000","2743000","Minneapolis city, Minnesota",92192,463,122,64,173,222,0,38,190,117,0,314,380,162,1473,631,3863,2677,9589,13646,25321,12909,12885,4167,1763,673,350,"Minneapolis city, Minnesota",3981,268,120,80,284,250,157,64,156,143,157,375,284,200,889,351,991,650,1293,2007,2145,1633,1441,1222,821,420,267
"G27051730","2022","MN",,,"Minnesota","27",,,"Plymouth city","51730",,,,,,,,,,,,,,,,"1600000US2751730","2751730","Plymouth city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plymouth city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27054880","2022","MN",,,"Minnesota","27",,,"Rochester city","54880",,,,,,,,,,,,,,,,"1600000US2754880","2754880","Rochester city, Minnesota",33837,0,104,54,667,51,95,0,249,0,132,325,164,213,561,1322,1730,2354,6033,6005,6494,2814,3154,890,192,80,154,"Rochester city, Minnesota",1664,157,127,92,561,86,150,157,175,157,162,460,164,212,360,515,662,770,1198,1339,1174,739,741,477,179,91,186
"G27056896","2022","MN",,,"Minnesota","27",,,"St. Cloud city","56896",,,,,,,,,,,,,,,,"1600000US2756896","2756896","St. Cloud city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Cloud city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27058000","2022","MN",,,"Minnesota","27",,,"St. Paul city","58000",,,,,,,,,,,,,,,,"1600000US2758000","2758000","St. Paul city, Minnesota",68098,565,43,71,336,87,181,0,92,98,376,193,213,160,472,2252,3386,3310,10904,15046,13629,7469,5936,2191,276,209,603,"St. Paul city, Minnesota",2973,528,75,84,270,149,270,157,108,89,303,164,245,169,320,864,881,947,1705,2015,1560,1184,1074,666,207,171,404
"G27071428","2022","MN",,,"Minnesota","27",,,"Woodbury city","71428",,,,,,,,,,,,,,,,"1600000US2771428","2771428","Woodbury city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Woodbury city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G28029700","2022","MS",,,"Mississippi","28",,,"Gulfport city","29700",,,,,,,,,,,,,,,,"1600000US2829700","2829700","Gulfport city, Mississippi",17053,190,199,40,44,0,40,0,133,158,591,392,601,1035,1097,2369,1812,1298,2777,1305,1126,596,923,231,66,30,0,"Gulfport city, Mississippi",1743,172,159,67,74,217,68,217,140,194,322,213,320,540,468,833,637,558,975,459,416,302,376,259,112,51,217
"G28036000","2022","MS",,,"Mississippi","28",,,"Jackson city","36000",,,,,,,,,,,,,,,,"1600000US2836000","2836000","Jackson city, Mississippi",31625,490,577,367,279,30,598,554,1125,1409,2304,1791,3236,895,3675,1988,2368,1629,2157,1349,1900,800,1272,506,50,0,276,"Jackson city, Mississippi",2623,367,543,240,259,52,327,525,577,561,935,688,1151,422,1023,724,738,825,969,724,999,434,527,478,82,217,233
"G29015670","2022","MO",,,"Missouri","29",,,"Columbia city","15670",,,,,,,,,,,,,,,,"1600000US2915670","2915670","Columbia city, Missouri",25821,530,268,92,38,54,0,0,102,51,241,90,565,223,1151,1947,881,1665,3422,3650,4590,3725,1806,631,0,99,0,"Columbia city, Missouri",1803,325,222,94,65,89,195,195,123,87,243,108,391,213,526,850,513,662,910,777,1091,977,624,389,195,160,195
"G29035000","2022","MO",,,"Missouri","29",,,"Independence city","35000",,,,,,,,,,,,,,,,"1600000US2935000","2935000","Independence city, Missouri",33865,310,117,154,119,117,68,389,689,329,368,432,1338,573,4887,3960,5057,3238,4562,2837,3045,707,473,96,0,0,0,"Independence city, Missouri",2018,194,122,149,118,139,113,387,454,239,231,318,579,369,1268,1225,1195,870,1007,673,999,287,326,115,195,195,195
"G29038000","2022","MO",,,"Missouri","29",,,"Kansas City city","38000",,,,,,,,,,,,,,,,"1600000US2938000","2938000","Kansas City city, Missouri",122289,1110,973,681,944,649,921,856,1147,2417,2302,1926,2630,2033,6426,5202,10634,8886,14482,16933,18840,10661,8460,2161,508,228,279,"Kansas City city, Missouri",4178,498,521,401,377,432,513,441,486,623,1012,633,732,688,1137,1167,1777,1576,2270,2147,2031,1558,1469,734,241,159,201
"G29041348","2022","MO",,,"Missouri","29",,,"Lee's Summit city","41348",,,,,,,,,,,,,,,,"1600000US2941348","2941348","Lee's Summit city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee's Summit city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G29054074","2022","MO",,,"Missouri","29",,,"O'Fallon city","54074",,,,,,,,,,,,,,,,"1600000US2954074","2954074","O'Fallon city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,"O'Fallon city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G29064082","2022","MO",,,"Missouri","29",,,"St. Charles city","64082",,,,,,,,,,,,,,,,"1600000US2964082","2964082","St. Charles city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Charles city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G29064550","2022","MO",,,"Missouri","29",,,"St. Joseph city","64550",,,,,,,,,,,,,,,,"1600000US2964550","2964550","St. Joseph city, Missouri",17830,346,183,193,201,472,25,171,439,454,923,856,1256,392,1536,1477,2297,1407,1815,1416,1548,347,0,0,55,0,21,"St. Joseph city, Missouri",1235,422,185,222,152,371,42,183,387,246,407,343,451,196,484,576,780,470,645,470,663,225,195,195,97,195,35
"G29065000","2022","MO",,,"Missouri","29",,,"St. Louis city","65000",,,,,,,,,,,,,,,,"1600000US2965000","2965000","St. Louis city, Missouri",69313,650,304,291,616,502,1359,483,1445,1160,1729,1961,2446,1578,5880,5432,6036,4519,7570,6501,9528,4172,3961,352,407,160,271,"St. Louis city, Missouri",3921,414,248,301,410,323,637,287,783,579,668,711,1025,796,1182,1404,1385,1515,1662,1351,1579,1291,1372,275,315,227,274
"G29070000","2022","MO",,,"Missouri","29",,,"Springfield city","70000",,,,,,,,,,,,,,,,"1600000US2970000","2970000","Springfield city, Missouri",31464,336,715,412,209,46,137,46,469,804,511,535,1406,1476,3219,3090,3535,2757,4561,2439,1767,1667,831,376,120,0,0,"Springfield city, Missouri",2315,305,554,490,267,79,214,76,273,501,357,297,681,582,891,1004,823,734,875,555,528,655,433,279,151,195,195
"G30006550","2022","MT",,,"Montana","30",,,"Billings city","06550",,,,,,,,,,,,,,,,"1600000US3006550","3006550","Billings city, Montana",33475,96,257,634,456,142,156,233,0,0,277,374,0,0,510,446,1270,710,3040,5786,9828,4832,3069,601,260,83,415,"Billings city, Montana",2066,114,276,687,332,180,165,321,182,182,187,281,182,182,432,357,626,370,796,1578,1636,1012,930,384,252,134,424
"G30050200","2022","MT",,,"Montana","30",,,"Missoula city","50200",,,,,,,,,,,,,,,,"1600000US3050200","3050200","Missoula city, Montana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missoula city, Montana",,,,,,,,,,,,,,,,,,,,,,,,,,,
