GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFUZE001,AFUZE002,AFUZE003,AFUZE004,AFUZE005,AFUZE006,AFUZE007,AFUZE008,AFUZE009,AFUZE010,AFUZE011,AFUZE012,AFUZE013,AFUZE014,AFUZE015,AFUZE016,AFUZE017,AFUZE018,AFUZE019,AFUZE020,AFUZE021,AFUZE022,AFUZE023,AFUZE024,AFUZE025,AFUZE026,AFUZE027,NAME_M,AFUZM001,AFUZM002,AFUZM003,AFUZM004,AFUZM005,AFUZM006,AFUZM007,AFUZM008,AFUZM009,AFUZM010,AFUZM011,AFUZM012,AFUZM013,AFUZM014,AFUZM015,AFUZM016,AFUZM017,AFUZM018,AFUZM019,AFUZM020,AFUZM021,AFUZM022,AFUZM023,AFUZM024,AFUZM025,AFUZM026,AFUZM027
"G1600190","2016","ID",,,"Idaho","16","Bonneville County","019",,,,,,,,,,,,,,,,,,"05000US16019","Bonneville County, Idaho",26800,529,498,90,109,70,49,51,110,70,526,276,1125,589,2734,3900,4371,2385,4378,1412,2039,559,432,322,46,130,0,"Bonneville County, Idaho",1220,387,447,144,134,86,81,60,117,85,341,230,511,327,665,910,790,517,857,440,644,483,272,370,54,208,198
"G1600270","2016","ID",,,"Idaho","16","Canyon County","027",,,,,,,,,,,,,,,,,,"05000US16027","Canyon County, Idaho",46524,755,387,297,140,105,201,342,241,475,345,915,1560,1446,8080,7226,6045,3840,4940,3102,4302,1310,368,102,0,0,0,"Canyon County, Idaho",2250,493,310,220,155,173,189,226,201,279,219,499,582,597,1529,1396,1453,942,1115,935,1068,548,260,170,198,198,198
"G1600550","2016","ID",,,"Idaho","16","Kootenai County","055",,,,,,,,,,,,,,,,,,"05000US16055","Kootenai County, Idaho",38344,745,257,159,372,41,177,36,113,213,131,95,288,58,1243,2221,4922,3265,6100,4176,6395,2825,3448,730,104,192,38,"Kootenai County, Idaho",2345,575,233,130,324,62,185,60,167,204,123,97,214,86,579,768,1292,1051,1274,1066,1434,765,902,360,97,178,52
"G1600830","2016","ID",,,"Idaho","16","Twin Falls County","083",,,,,,,,,,,,,,,,,,"05000US16083","Twin Falls County, Idaho",20631,443,198,0,50,67,0,0,357,100,342,908,710,572,2135,3172,3000,1063,2739,1621,1854,805,435,0,0,0,60,"Twin Falls County, Idaho",1339,377,207,198,84,114,198,198,361,99,316,545,392,325,615,950,1030,516,864,616,667,584,275,198,198,198,107
"G1700010","2016","IL",,,"Illinois","17","Adams County","001",,,,,,,,,,,,,,,,,,"05000US17001","Adams County, Illinois",19655,206,212,21,17,445,552,257,509,678,824,830,1023,1421,2345,2214,1541,1182,2008,993,1016,366,884,0,62,0,49,"Adams County, Illinois",1413,173,176,39,29,253,292,228,223,327,274,288,291,584,536,640,448,453,607,482,556,267,396,185,102,185,80
"G1700190","2016","IL",,,"Illinois","17","Champaign County","019",,,,,,,,,,,,,,,,,,"05000US17019","Champaign County, Illinois",43883,825,535,212,152,214,418,363,269,589,1208,1815,1662,2073,4681,5040,4097,4574,5238,3127,4120,1064,1356,164,87,0,0,"Champaign County, Illinois",2058,478,299,320,140,172,356,342,192,244,399,556,588,677,809,1082,821,800,1013,677,983,375,588,180,142,185,185
"G1700310","2016","IL",,,"Illinois","17","Cook County","031",,,,,,,,,,,,,,,,,,"05000US17031","Cook County, Illinois",1098891,9066,4175,2994,4759,2922,4629,2273,6167,11730,13313,20563,24449,21434,77465,67783,105548,77829,134150,118806,159580,83296,81019,35333,17882,5017,6709,"Cook County, Illinois",11220,1451,1005,624,972,780,951,724,940,1769,1655,2284,2314,2302,4202,3650,5292,4198,5297,4608,5837,4218,3981,2384,1510,821,1062
"G1700370","2016","IL",,,"Illinois","17","DeKalb County","037",,,,,,,,,,,,,,,,,,"05000US17037","DeKalb County, Illinois",21305,474,59,183,27,232,59,12,60,339,151,349,815,682,2505,2096,3544,2178,3298,2178,1415,178,349,37,39,0,46,"DeKalb County, Illinois",1462,380,72,249,46,365,73,20,99,319,136,288,393,345,684,693,705,613,798,567,640,144,236,62,66,185,78
"G1700430","2016","IL",,,"Illinois","17","DuPage County","043",,,,,,,,,,,,,,,,,,"05000US17043","DuPage County, Illinois",244220,705,192,420,366,519,243,249,641,753,1115,2690,2548,2044,8155,8854,13253,12680,31781,34924,51984,27759,27060,8266,3965,1660,1394,"DuPage County, Illinois",3446,304,205,230,229,312,165,203,449,377,571,892,771,647,1080,1326,1419,1424,2342,2114,2503,1940,2044,1167,805,433,389
"G1700890","2016","IL",,,"Illinois","17","Kane County","089",,,,,,,,,,,,,,,,,,"05000US17089","Kane County, Illinois",125633,635,640,201,618,149,444,111,343,433,860,1699,1838,2482,7860,10259,12393,8992,19692,17701,21297,9149,5625,827,670,29,686,"Kane County, Illinois",3306,352,430,201,499,131,394,130,222,248,441,574,556,731,1324,1599,1777,1406,2148,2804,2150,1869,1115,456,413,46,506
"G1700910","2016","IL",,,"Illinois","17","Kankakee County","091",,,,,,,,,,,,,,,,,,"05000US17091","Kankakee County, Illinois",26879,738,408,319,164,98,213,163,583,869,775,502,1289,1196,3642,4121,2773,2082,3145,1698,1304,180,370,168,0,9,70,"Kankakee County, Illinois",1244,540,222,351,155,86,174,199,297,408,332,221,443,488,821,874,534,523,713,488,372,157,268,127,185,18,117
"G1700930","2016","IL",,,"Illinois","17","Kendall County","093",,,,,,,,,,,,,,,,,,"05000US17093","Kendall County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kendall County, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G1700970","2016","IL",,,"Illinois","17","Lake County","097",,,,,,,,,,,,,,,,,,"05000US17097","Lake County, Illinois",178467,1139,401,983,589,373,755,252,563,934,1922,2774,3035,4795,11279,10264,16287,8560,19336,17705,22324,15385,23218,8926,4245,1009,1414,"Lake County, Illinois",3554,564,240,589,449,219,492,212,270,395,579,812,833,954,1543,1610,1756,1380,1670,1765,1810,1338,1472,1080,680,359,348
"G1700990","2016","IL",,,"Illinois","17","LaSalle County","099",,,,,,,,,,,,,,,,,,"05000US17099","LaSalle County, Illinois",32250,87,171,258,246,0,112,80,1486,927,1661,1462,2848,2107,5147,3745,3359,1989,2238,2278,1311,271,318,38,0,0,111,"LaSalle County, Illinois",1624,132,110,189,194,185,123,77,621,320,627,419,664,519,967,940,811,585,438,578,572,175,215,45,185,185,103
"G1701110","2016","IL",,,"Illinois","17","McHenry County","111",,,,,,,,,,,,,,,,,,"05000US17111","McHenry County, Illinois",85225,48,165,446,0,200,57,139,293,427,999,300,1110,1702,6228,6320,10698,7841,16895,11967,12761,4057,1816,297,186,53,220,"McHenry County, Illinois",2528,77,200,250,185,158,98,160,207,270,438,181,416,750,1451,1184,1544,1320,1701,1441,1580,885,579,225,200,87,192
