GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADDPE001,ADDPE002,ADDPE003,ADDPE004,ADDPE005,ADDPE006,ADDPE007,ADDPE008,ADDPE009,ADDPE010,ADDPE011,ADDPE012,ADDPE013,ADDPE014,ADDPE015,ADDPE016,ADDPE017,ADDPE018,ADDPE019,ADDPE020,ADDPE021,ADDPE022,ADDPE023,ADDPE024,ADDPE025,ADDPE026,ADDPE027,NAME_M,ADDPM001,ADDPM002,ADDPM003,ADDPM004,ADDPM005,ADDPM006,ADDPM007,ADDPM008,ADDPM009,ADDPM010,ADDPM011,ADDPM012,ADDPM013,ADDPM014,ADDPM015,ADDPM016,ADDPM017,ADDPM018,ADDPM019,ADDPM020,ADDPM021,ADDPM022,ADDPM023,ADDPM024,ADDPM025,ADDPM026,ADDPM027
"G0200200","2015","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",64401,224,165,137,1068,924,474,250,155,271,360,109,269,124,2387,1575,2129,2373,8382,10435,15328,9702,4935,2016,127,275,207,"Anchorage Municipality, Alaska",2446,176,197,163,743,547,464,273,180,331,311,142,205,150,892,759,711,885,1422,1598,1733,1328,807,723,150,187,199
"G0200900","2015","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0201700","2015","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",23288,117,102,66,0,27,121,211,283,273,192,175,136,149,585,696,2255,2385,5361,3710,3973,1275,1096,39,15,13,33,"Matanuska-Susitna Borough, Alaska",771,85,81,80,149,43,103,138,174,149,115,130,95,172,169,219,546,475,619,549,551,344,261,65,24,22,54
"G0400010","2015","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",14926,1585,992,689,422,540,1138,299,1075,856,734,449,1250,463,1687,418,468,208,580,352,339,258,89,35,0,0,0,"Apache County, Arizona",749,359,256,223,198,218,319,169,288,224,237,297,302,183,633,215,229,214,330,223,154,242,77,55,201,201,201
"G0400030","2015","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",33958,531,44,176,310,272,327,392,1209,1241,1245,1502,2429,1216,3463,2988,3222,3203,4216,2903,1319,699,854,123,9,9,56,"Cochise County, Arizona",1823,320,71,130,185,209,283,331,554,448,453,588,676,494,931,723,856,1065,892,827,437,374,613,93,14,15,100
"G0400050","2015","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",28050,961,384,802,576,450,501,290,654,649,519,552,478,242,648,590,2368,1587,3103,2743,3663,2537,2774,424,209,79,267,"Coconino County, Arizona",1495,325,201,419,285,517,211,178,329,265,295,288,226,157,260,337,641,543,801,736,668,706,768,267,174,131,213
"G0400130","2015","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",876902,11981,6465,5829,4984,3786,4371,2619,5826,9125,10106,13322,17502,14124,52618,56509,79640,69333,124046,98782,133206,58168,57892,18272,10614,3215,4567,"Maricopa County, Arizona",10221,1234,918,966,984,914,987,728,823,1301,1122,1820,1845,1731,3275,3403,3619,3823,4522,4971,4965,3328,3133,2017,1271,922,926
"G0400150","2015","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",56287,1024,892,644,803,666,1171,617,2070,2119,2391,2909,3679,1088,5953,3683,7239,3101,6402,3125,3355,1909,820,416,0,175,36,"Mohave County, Arizona",2915,546,534,496,507,354,575,362,739,784,764,833,974,445,1116,1005,1207,764,1471,926,854,687,393,315,201,190,59
"G0400170","2015","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",23414,1005,379,247,453,298,567,109,1224,1312,840,1473,1065,806,2310,1516,2665,1719,1368,1479,1246,606,298,180,37,79,133,"Navajo County, Arizona",1403,336,251,177,205,163,252,102,364,414,331,510,395,315,552,511,586,491,422,574,500,276,322,227,63,57,132
"G0400190","2015","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",240567,7119,2495,1359,2588,2015,1209,1435,3529,5119,6302,5786,8355,7319,23592,23867,28570,17325,27600,18072,20873,10032,9735,3683,1524,327,737,"Pima County, Arizona",4648,1480,690,538,892,667,485,528,872,937,1306,1090,1412,1304,2088,2008,2888,1982,2213,1665,1782,1306,1085,894,604,202,446
