GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHP5E001,AHP5E002,AHP5E003,AHP5E004,AHP5E005,AHP5E006,AHP5E007,AHP5E008,AHP5E009,AHP5E010,AHP5E011,AHP5E012,AHP5E013,AHP5E014,AHP5E015,AHP5E016,AHP5E017,AHP5E018,AHP5E019,AHP5E020,AHP5E021,AHP5E022,AHP5E023,AHP5E024,AHP5E025,AHP5E026,AHP5E027,NAME_M,AHP5M001,AHP5M002,AHP5M003,AHP5M004,AHP5M005,AHP5M006,AHP5M007,AHP5M008,AHP5M009,AHP5M010,AHP5M011,AHP5M012,AHP5M013,AHP5M014,AHP5M015,AHP5M016,AHP5M017,AHP5M018,AHP5M019,AHP5M020,AHP5M021,AHP5M022,AHP5M023,AHP5M024,AHP5M025,AHP5M026,AHP5M027
"G2901650","2017","MO",,,"Missouri","29","Platte County","165",,,,,,,,,,,,,,,,,,"05000US29165","Platte County, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Platte County, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G2901830","2017","MO",,,"Missouri","29","St. Charles County","183",,,,,,,,,,,,,,,,,,"05000US29183","St. Charles County, Missouri",118597,987,679,947,323,575,251,75,103,180,613,306,459,863,5761,9690,16952,10757,24383,17144,17402,6043,3061,815,115,22,91,"St. Charles County, Missouri",2541,531,470,436,238,284,226,73,129,168,437,232,269,368,1019,1164,1854,1168,1965,1968,1833,955,758,516,139,38,114
"G2901870","2017","MO",,,"Missouri","29","St. Francois County","187",,,,,,,,,,,,,,,,,,"05000US29187","St. Francois County, Missouri",15694,261,53,140,317,53,182,357,1011,960,946,601,1180,918,877,2437,1298,1407,1140,854,463,239,0,0,0,0,0,"St. Francois County, Missouri",1614,259,74,148,255,70,177,382,635,483,672,559,557,552,479,788,496,680,528,352,290,199,190,190,190,190,190
"G2901890","2017","MO",,,"Missouri","29","St. Louis County","189",,,,,,,,,,,,,,,,,,"05000US29189","St. Louis County, Missouri",276050,1241,588,402,494,1511,1505,1695,4197,5969,7890,10018,10238,8776,22872,21172,24632,16584,30187,24654,33213,18958,15788,7210,3986,1046,1224,"St. Louis County, Missouri",5469,616,373,272,218,663,645,696,953,1207,1733,1516,1457,1241,2865,2274,2026,1870,2180,1970,2188,1538,1440,1152,991,572,514
"G2905100","2017","MO",,,"Missouri","29","St. Louis city","510",,,,,,,,,,,,,,,,,,"05000US29510","St. Louis city, Missouri",60483,901,1038,899,713,755,1020,657,1721,3226,1936,2176,3110,1483,6842,5722,5544,3419,6704,3475,4297,2388,887,700,394,223,253,"St. Louis city, Missouri",2956,415,538,471,383,508,529,438,493,835,695,659,778,559,1316,1093,890,733,979,888,885,656,417,320,286,358,179
"G3000130","2017","MT",,,"Montana","30","Cascade County","013",,,,,,,,,,,,,,,,,,"05000US30013","Cascade County, Montana",22892,769,104,53,211,176,11,264,366,494,175,546,265,342,1587,2469,3721,2605,3446,2163,1842,475,322,378,0,108,0,"Cascade County, Montana",1317,514,107,87,214,202,18,242,387,315,157,312,198,218,520,509,711,610,783,656,582,247,207,266,174,133,174
"G3000290","2017","MT",,,"Montana","30","Flathead County","029",,,,,,,,,,,,,,,,,,"05000US30029","Flathead County, Montana",28172,624,252,133,58,140,128,122,249,262,91,216,69,0,1135,547,1542,1864,4473,5319,5045,2067,2014,884,412,36,490,"Flathead County, Montana",1433,360,172,199,72,162,145,171,247,194,91,220,68,174,604,339,555,758,995,1100,874,532,669,577,225,64,415
"G3000310","2017","MT",,,"Montana","30","Gallatin County","031",,,,,,,,,,,,,,,,,,"05000US30031","Gallatin County, Montana",28120,375,82,149,103,123,216,21,23,352,0,0,0,91,636,553,944,1140,2447,3485,7452,3148,3733,1352,1266,245,184,"Gallatin County, Montana",1400,219,70,127,184,117,263,34,40,369,174,174,174,145,486,296,583,534,659,1051,1417,790,646,453,439,155,109
"G3000490","2017","MT",,,"Montana","30","Lewis and Clark County","049",,,,,,,,,,,,,,,,,,"05000US30049","Lewis and Clark County, Montana",20036,189,309,95,232,132,62,0,169,62,264,38,77,129,605,713,1433,1542,4485,3524,3755,828,968,204,163,58,0,"Lewis and Clark County, Montana",1253,158,267,145,163,116,105,174,170,81,269,63,95,148,299,396,454,513,944,727,754,331,402,182,170,102,174
"G3000630","2017","MT",,,"Montana","30","Missoula County","063",,,,,,,,,,,,,,,,,,"05000US30063","Missoula County, Montana",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Missoula County, Montana",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3001110","2017","MT",,,"Montana","30","Yellowstone County","111",,,,,,,,,,,,,,,,,,"05000US30111","Yellowstone County, Montana",44979,835,933,152,544,229,234,389,95,142,141,584,496,466,1344,2280,5087,3626,9630,7319,5718,2269,1169,718,358,7,214,"Yellowstone County, Montana",1996,451,564,180,359,208,190,348,111,176,159,496,359,281,545,763,1270,1046,1629,1343,1146,587,487,491,297,12,247
"G3100550","2017","NE",,,"Nebraska","31","Douglas County","055",,,,,,,,,,,,,,,,,,"05000US31055","Douglas County, Nebraska",132085,890,799,638,327,492,698,260,1138,1821,2287,3281,4824,4319,12991,18362,18301,10454,16650,11330,12033,4749,3490,1152,457,79,263,"Douglas County, Nebraska",3328,376,346,279,238,285,392,178,391,600,512,834,1120,873,1532,1748,1889,1112,1588,1200,1340,921,777,450,230,109,170
"G3101090","2017","NE",,,"Nebraska","31","Lancaster County","109",,,,,,,,,,,,,,,,,,"05000US31109","Lancaster County, Nebraska",75704,1069,0,77,0,561,218,103,336,635,720,820,1455,1746,8725,9476,10706,6803,10056,8635,7309,2991,2459,331,301,129,43,"Lancaster County, Nebraska",2195,491,163,126,163,536,203,149,233,403,330,472,540,566,1487,1281,1665,1187,1189,1262,982,633,556,196,185,143,70
"G3101530","2017","NE",,,"Nebraska","31","Sarpy County","153",,,,,,,,,,,,,,,,,,"05000US31153","Sarpy County, Nebraska",45822,78,215,223,45,26,0,0,45,146,63,293,454,894,3901,6792,4988,5724,8254,5363,5858,1295,1048,81,0,0,36,"Sarpy County, Nebraska",1717,95,174,153,76,44,163,163,77,133,74,206,318,310,804,1215,785,906,1118,916,903,455,434,99,163,163,59
"G3200030","2017","NV",,,"Nevada","32","Clark County","003",,,,,,,,,,,,,,,,,,"05000US32003","Clark County, Nevada",423630,5568,1877,1524,1606,1206,963,145,2517,1793,3128,3059,3784,5135,18646,17093,33138,31314,79398,66148,76441,32178,24138,6019,3156,1335,2321,"Clark County, Nevada",6511,928,570,485,522,487,412,153,747,741,865,779,861,1101,2086,2087,3223,2745,3800,3802,3746,2647,2292,942,899,432,560
"G3200310","2017","NV",,,"Nevada","32","Washoe County","031",,,,,,,,,,,,,,,,,,"05000US32031","Washoe County, Nevada",104810,1407,124,500,560,20,255,144,594,847,249,557,959,385,1770,2649,3307,3092,11318,15637,25708,15214,12249,3415,2609,696,545,"Washoe County, Nevada",3164,509,118,257,295,34,164,122,305,450,176,358,467,288,789,733,1076,875,1591,1948,2003,1780,1445,682,629,374,307
"G3300050","2017","NH",,,"New Hampshire","33","Cheshire County","005",,,,,,,,,,,,,,,,,,"05000US33005","Cheshire County, New Hampshire",20540,115,310,46,50,0,110,192,102,222,191,218,417,214,1306,1690,2477,2585,4314,2508,2133,600,538,104,29,24,45,"Cheshire County, New Hampshire",1049,115,252,82,79,192,136,173,160,223,182,173,228,164,446,621,622,671,1049,576,576,217,243,97,49,33,79
"G3300090","2017","NH",,,"New Hampshire","33","Grafton County","009",,,,,,,,,,,,,,,,,,"05000US33009","Grafton County, New Hampshire",23378,21,143,263,183,32,93,26,172,175,94,801,228,429,1309,1382,3127,2239,2816,3139,2664,945,1743,390,443,134,387,"Grafton County, New Hampshire",1299,35,145,234,166,29,150,35,191,125,60,452,152,271,430,557,815,722,732,720,592,383,672,263,270,93,307
"G3300110","2017","NH",,,"New Hampshire","33","Hillsborough County","011",,,,,,,,,,,,,,,,,,"05000US33011","Hillsborough County, New Hampshire",105784,286,350,379,242,150,250,232,393,677,358,579,147,442,2031,3485,4951,7114,17841,22826,25269,10109,5640,1199,367,0,467,"Hillsborough County, New Hampshire",2880,205,286,273,183,155,243,214,254,344,253,333,159,354,697,894,1195,1374,2041,2194,1971,1409,966,471,396,192,463
"G3300130","2017","NH",,,"New Hampshire","33","Merrimack County","013",,,,,,,,,,,,,,,,,,"05000US33013","Merrimack County, New Hampshire",39772,334,132,575,272,162,264,121,180,249,533,102,250,446,1755,1888,3812,3627,8218,6741,6273,2004,915,274,385,41,219,"Merrimack County, New Hampshire",1590,274,142,384,193,163,236,117,178,221,335,118,185,327,613,583,890,1026,1416,1036,970,559,394,213,262,68,182
"G3300150","2017","NH",,,"New Hampshire","33","Rockingham County","015",,,,,,,,,,,,,,,,,,"05000US33015","Rockingham County, New Hampshire",90918,455,403,463,51,321,266,116,357,179,233,598,171,126,1029,1519,3651,3077,10883,15301,22798,12732,11983,2422,1048,298,438,"Rockingham County, New Hampshire",2571,313,277,371,86,196,195,140,256,178,201,468,125,125,478,659,889,715,1571,1757,2235,1734,1382,616,474,246,233
"G3300170","2017","NH",,,"New Hampshire","33","Strafford County","017",,,,,,,,,,,,,,,,,,"05000US33017","Strafford County, New Hampshire",31206,166,209,368,262,364,203,0,663,190,285,173,222,146,1081,1092,2605,1782,6280,6799,4326,2769,864,176,63,0,118,"Strafford County, New Hampshire",1758,222,243,260,231,323,236,192,512,169,265,179,219,161,467,482,885,537,1041,1403,1013,908,512,163,82,192,155
"G3400010","2017","NJ",,,"New Jersey","34","Atlantic County","001",,,,,,,,,,,,,,,,,,"05000US34001","Atlantic County, New Jersey",62964,342,169,883,525,111,118,129,428,502,747,1710,1358,1013,3798,3527,7795,5847,10699,7474,7352,2751,3369,1308,417,152,440,"Atlantic County, New Jersey",2762,281,209,580,434,139,147,127,225,292,355,693,611,582,1102,968,1363,1243,1595,1280,1130,702,893,497,260,164,247
"G3400030","2017","NJ",,,"New Jersey","34","Bergen County","003",,,,,,,,,,,,,,,,,,"05000US34003","Bergen County, New Jersey",215927,938,0,74,76,237,304,466,387,281,321,540,313,150,1165,859,2118,2309,8356,11676,45579,45254,57164,20596,10669,2747,3348,"Bergen County, New Jersey",4483,361,206,121,125,221,321,291,256,178,327,292,211,148,431,329,697,858,1504,1548,3046,3302,3239,1997,1459,957,706
"G3400050","2017","NJ",,,"New Jersey","34","Burlington County","005",,,,,,,,,,,,,,,,,,"05000US34005","Burlington County, New Jersey",123012,716,430,646,136,277,217,319,927,237,369,982,1121,1197,6085,7593,10570,11076,20943,15632,23492,9987,7054,2054,621,134,197,"Burlington County, New Jersey",2326,323,299,296,121,241,233,440,477,157,257,540,469,552,1170,1104,1387,1321,2195,1563,2097,1649,1098,616,277,143,158
"G3400070","2017","NJ",,,"New Jersey","34","Camden County","007",,,,,,,,,,,,,,,,,,"05000US34007","Camden County, New Jersey",125863,950,483,519,344,422,275,211,408,965,1795,3473,4010,2251,9977,9383,15921,12606,20709,15565,13954,6320,3539,732,748,194,109,"Camden County, New Jersey",3296,477,470,360,237,424,203,171,337,533,679,887,934,610,1565,1537,1532,1637,1930,1632,1564,1107,960,271,417,175,110
"G3400090","2017","NJ",,,"New Jersey","34","Cape May County","009",,,,,,,,,,,,,,,,,,"05000US34009","Cape May County, New Jersey",30613,51,66,88,36,30,300,33,43,26,133,261,222,51,831,918,1706,2309,3789,4633,5529,2552,3433,1565,602,927,479,"Cape May County, New Jersey",1782,60,111,108,59,49,290,55,74,41,131,230,193,69,380,550,490,692,777,932,981,610,679,375,249,355,164
"G3400110","2017","NJ",,,"New Jersey","34","Cumberland County","011",,,,,,,,,,,,,,,,,,"05000US34011","Cumberland County, New Jersey",33559,340,347,416,159,283,107,293,238,629,865,1169,918,1125,3907,3204,5723,3120,4521,2978,1218,943,733,220,103,0,0,"Cumberland County, New Jersey",1632,277,256,268,219,292,126,249,213,338,386,483,474,597,946,788,985,671,1142,745,463,424,453,281,93,206,206
"G3400130","2017","NJ",,,"New Jersey","34","Essex County","013",,,,,,,,,,,,,,,,,,"05000US34013","Essex County, New Jersey",128910,1854,307,202,138,82,46,244,72,235,238,244,188,699,4096,1930,6930,4455,10632,11884,25165,17689,21456,10389,6128,1873,1734,"Essex County, New Jersey",3673,634,363,139,167,104,77,203,93,206,158,177,191,366,1013,610,1418,1071,1501,1687,1928,1708,1960,1162,1076,655,619
"G3400150","2017","NJ",,,"New Jersey","34","Gloucester County","015",,,,,,,,,,,,,,,,,,"05000US34015","Gloucester County, New Jersey",85189,747,451,278,162,288,113,109,194,212,95,497,540,1064,4180,6874,10068,9460,16419,12922,14226,4069,1821,345,0,0,55,"Gloucester County, New Jersey",2295,580,269,192,172,186,113,107,244,159,118,241,348,535,1064,1042,1371,1109,1461,1740,1716,866,529,241,206,206,91
"G3400170","2017","NJ",,,"New Jersey","34","Hudson County","017",,,,,,,,,,,,,,,,,,"05000US34017","Hudson County, New Jersey",79978,496,0,0,169,31,145,322,438,69,275,495,282,119,1463,856,1887,1256,7163,9261,19629,12172,13713,5616,2264,944,913,"Hudson County, New Jersey",3510,301,206,206,187,53,196,457,355,112,187,304,199,120,610,446,553,525,1415,1364,1878,1621,1874,857,525,461,402
"G3400190","2017","NJ",,,"New Jersey","34","Hunterdon County","019",,,,,,,,,,,,,,,,,,"05000US34019","Hunterdon County, New Jersey",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hunterdon County, New Jersey",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G3400210","2017","NJ",,,"New Jersey","34","Mercer County","021",,,,,,,,,,,,,,,,,,"05000US34021","Mercer County, New Jersey",81741,248,0,275,80,73,29,39,497,1372,979,877,1153,1495,2166,3552,5932,4306,9853,9060,13163,8241,10612,4893,1264,709,873,"Mercer County, New Jersey",2660,204,206,229,138,98,50,65,324,655,470,371,497,568,722,1010,1087,1054,1668,1484,1658,1372,1312,1093,489,389,435
"G3400230","2017","NJ",,,"New Jersey","34","Middlesex County","023",,,,,,,,,,,,,,,,,,"05000US34023","Middlesex County, New Jersey",181906,1028,0,261,349,414,384,235,692,495,465,643,318,516,1869,3033,5253,3934,19470,30983,50676,28752,25495,5428,871,23,319,"Middlesex County, New Jersey",3631,394,206,279,164,248,234,186,405,305,395,332,255,276,544,960,1056,777,1957,2558,2927,1912,1883,1117,414,37,223
"G3400250","2017","NJ",,,"New Jersey","34","Monmouth County","025",,,,,,,,,,,,,,,,,,"05000US34025","Monmouth County, New Jersey",175403,854,9,46,91,441,332,449,214,507,248,433,252,267,1429,1680,2455,3330,10646,18354,38999,30763,40952,12438,5098,2220,2896,"Monmouth County, New Jersey",3709,399,15,75,148,284,244,285,204,411,190,330,185,180,535,587,636,930,1495,1740,2614,2525,2272,1412,952,610,606
"G3400270","2017","NJ",,,"New Jersey","34","Morris County","027",,,,,,,,,,,,,,,,,,"05000US34027","Morris County, New Jersey",133490,576,0,138,313,58,79,116,196,240,259,220,58,192,956,477,1928,2458,5943,8865,28239,24732,38007,11925,4627,1873,1015,"Morris County, New Jersey",3184,304,206,147,240,97,132,114,202,178,269,149,101,158,525,277,711,671,1133,1344,2212,2109,2505,1240,768,587,396
"G3400290","2017","NJ",,,"New Jersey","34","Ocean County","029",,,,,,,,,,,,,,,,,,"05000US34029","Ocean County, New Jersey",180631,1194,886,1065,618,1445,1208,1128,2140,1194,1538,1722,1389,634,4546,8025,10468,10028,25855,25739,38389,17746,15375,5526,1500,443,830,"Ocean County, New Jersey",3620,435,601,589,336,601,607,615,699,642,617,688,446,294,907,1284,1567,1563,2504,2202,2596,1709,1567,1159,467,256,262
"G3400310","2017","NJ",,,"New Jersey","34","Passaic County","031",,,,,,,,,,,,,,,,,,"05000US34031","Passaic County, New Jersey",87365,345,56,0,247,52,187,0,117,226,36,389,239,184,1421,1132,2444,3411,10571,13641,26327,13403,10899,1611,188,93,146,"Passaic County, New Jersey",2886,256,75,206,210,87,185,206,147,207,57,284,224,204,604,657,816,895,1651,1821,2438,1826,1420,596,159,114,143
"G3400330","2017","NJ",,,"New Jersey","34","Salem County","033",,,,,,,,,,,,,,,,,,"05000US34033","Salem County, New Jersey",16604,124,307,310,158,107,36,20,76,183,60,144,897,432,870,2018,1876,961,2188,2720,2308,299,404,60,14,0,32,"Salem County, New Jersey",1074,137,225,210,144,117,60,37,83,144,49,115,508,236,276,645,452,417,457,605,566,246,253,68,25,206,42
"G3400350","2017","NJ",,,"New Jersey","34","Somerset County","035",,,,,,,,,,,,,,,,,,"05000US34035","Somerset County, New Jersey",88392,157,0,105,275,0,118,71,79,113,0,157,165,138,1013,425,991,2139,6951,11836,16586,11561,22671,8198,3341,612,690,"Somerset County, New Jersey",2589,128,206,176,255,206,115,85,92,134,206,163,231,174,469,286,480,1008,1317,1945,1757,1523,1891,1225,797,294,286
"G3400370","2017","NJ",,,"New Jersey","34","Sussex County","037",,,,,,,,,,,,,,,,,,"05000US34037","Sussex County, New Jersey",43930,183,83,168,0,48,182,169,8,104,114,63,182,132,1347,1705,3003,3716,8133,7078,9670,5011,2200,411,47,59,114,"Sussex County, New Jersey",1504,150,100,146,206,82,158,222,14,125,104,79,187,136,518,516,681,893,1166,1120,1277,1094,717,289,58,71,130
"G3400390","2017","NJ",,,"New Jersey","34","Union County","039",,,,,,,,,,,,,,,,,,"05000US34039","Union County, New Jersey",110787,601,44,53,57,66,128,0,113,421,0,334,78,0,909,1339,4462,2874,12131,13788,25972,13722,20870,6995,3553,1048,1229,"Union County, New Jersey",3174,318,74,86,96,110,152,206,117,284,206,233,129,206,372,574,1060,726,1635,1676,2395,1724,2062,1054,816,482,480
"G3400410","2017","NJ",,,"New Jersey","34","Warren County","041",,,,,,,,,,,,,,,,,,"05000US34041","Warren County, New Jersey",29866,183,44,176,0,0,0,25,87,0,117,295,144,381,1122,858,1907,2624,4661,5274,7596,2911,989,114,328,0,30,"Warren County, New Jersey",1438,143,73,175,206,206,206,41,106,206,157,244,125,245,440,344,570,1087,978,904,1123,592,444,104,374,206,50
"G3500010","2017","NM",,,"New Mexico","35","Bernalillo County","001",,,,,,,,,,,,,,,,,,"05000US35001","Bernalillo County, New Mexico",167478,3421,604,1319,1329,383,1112,46,701,1276,930,2242,3102,2469,13956,14101,21561,16485,28471,16900,17863,8273,6448,3246,656,289,295,"Bernalillo County, New Mexico",4141,1042,300,582,575,268,568,76,282,642,585,1030,993,880,1733,2058,2092,1893,2979,2019,1911,1198,1151,899,402,260,239
"G3500050","2017","NM",,,"New Mexico","35","Chaves County","005",,,,,,,,,,,,,,,,,,"05000US35005","Chaves County, New Mexico",16198,660,612,614,469,97,68,207,442,919,504,648,731,835,1611,1178,1841,1428,1151,581,1031,250,321,0,0,0,0,"Chaves County, New Mexico",1324,352,419,399,360,96,127,213,234,396,269,324,357,498,615,470,732,568,454,373,460,223,251,201,201,201,201
"G3500130","2017","NM",,,"New Mexico","35","Doña Ana County","013",,,,,,,,,,,,,,,,,,"05000US35013","Doña Ana County, New Mexico",48538,1810,683,207,1178,317,94,53,1097,1091,1329,1836,1946,1522,6359,5880,4755,4176,5007,2960,3417,1575,1079,167,0,0,0,"Doña Ana County, New Mexico",2583,749,518,206,639,394,97,68,654,496,578,700,684,565,1374,1343,1000,1326,1441,981,1075,704,556,143,201,201,201
"G3500250","2017","NM",,,"New Mexico","35","Lea County","025",,,,,,,,,,,,,,,,,,"05000US35025","Lea County, New Mexico",14793,600,257,85,281,76,237,171,586,243,610,829,522,1083,689,1199,2524,1353,1822,533,977,116,0,0,0,0,0,"Lea County, New Mexico",962,307,216,142,265,100,349,194,375,189,351,481,300,394,280,410,679,500,500,315,374,139,201,201,201,201,201
"G3500310","2017","NM",,,"New Mexico","35","McKinley County","031",,,,,,,,,,,,,,,,,,"05000US35031","McKinley County, New Mexico",14750,1599,1144,514,655,234,656,382,446,997,616,567,578,323,1510,1141,724,516,625,489,284,529,0,62,159,0,0,"McKinley County, New Mexico",910,506,467,229,197,155,210,352,208,335,191,207,259,128,604,429,390,324,332,395,232,304,201,102,140,201,201
"G3500350","2017","NM",,,"New Mexico","35","Otero County","035",,,,,,,,,,,,,,,,,,"05000US35035","Otero County, New Mexico",14057,453,184,67,14,46,194,33,766,646,1277,730,983,424,1679,1124,1162,431,1584,642,1040,140,314,38,0,0,86,"Otero County, New Mexico",1291,316,217,85,28,74,236,61,497,469,615,388,497,318,533,505,540,278,602,400,465,235,296,70,201,201,153
"G3500430","2017","NM",,,"New Mexico","35","Sandoval County","043",,,,,,,,,,,,,,,,,,"05000US35043","Sandoval County, New Mexico",39501,702,286,183,211,64,25,61,57,664,135,647,784,467,3306,2956,5276,4130,5223,3868,4369,2905,1260,482,288,98,1054,"Sandoval County, New Mexico",1806,295,144,150,163,64,31,70,54,337,74,321,424,347,878,785,1242,1290,950,979,912,802,598,292,264,118,269
"G3500450","2017","NM",,,"New Mexico","35","San Juan County","045",,,,,,,,,,,,,,,,,,"05000US35045","San Juan County, New Mexico",30389,2085,631,279,266,161,680,204,1439,791,500,1005,1267,714,1855,2492,3293,3256,3375,2623,2385,450,510,128,0,0,0,"San Juan County, New Mexico",1532,626,337,184,215,108,340,170,573,394,203,440,515,358,453,785,873,673,801,670,751,281,297,126,201,201,201
"G3500490","2017","NM",,,"New Mexico","35","Santa Fe County","049",,,,,,,,,,,,,,,,,,"05000US35049","Santa Fe County, New Mexico",43236,638,552,373,198,611,173,17,547,175,152,374,251,509,1119,1178,2577,2696,5507,4656,7903,4048,4545,1467,1520,659,791,"Santa Fe County, New Mexico",1826,361,428,227,205,284,213,31,375,77,120,280,159,326,415,544,717,853,926,1022,1042,1030,765,405,523,330,323
"G3500610","2017","NM",,,"New Mexico","35","Valencia County","061",,,,,,,,,,,,,,,,,,"05000US35061","Valencia County, New Mexico",22028,331,39,731,109,70,445,50,556,1094,1066,631,1104,774,3284,3010,1582,1262,2046,976,1702,837,34,141,120,0,34,"Valencia County, New Mexico",1497,258,63,525,139,116,391,83,350,603,703,392,467,514,946,908,585,475,853,430,701,526,59,199,160,201,60
"G3600010","2017","NY",,,"New York","36","Albany County","001",,,,,,,,,,,,,,,,,,"05000US36001","Albany County, New York",70645,679,67,89,92,233,290,302,39,444,284,779,595,571,3110,5399,7640,7459,13437,8968,12518,4013,2373,777,316,106,65,"Albany County, New York",2491,320,113,139,117,196,219,248,49,274,201,513,315,350,725,1093,1217,1215,1713,1419,1531,1025,679,530,227,173,80
"G3600050","2017","NY",,,"New York","36","Bronx County","005",,,,,,,,,,,,,,,,,,"05000US36005","Bronx County, New York",96497,1294,565,505,2028,1288,2373,479,1477,562,328,540,724,676,2321,2018,3593,1896,5052,3508,16964,21662,22409,1619,1481,375,760,"Bronx County, New York",4102,463,379,283,1018,851,1614,323,718,284,309,266,532,308,895,691,1193,689,1119,764,1847,2228,2361,582,528,222,342
"G3600070","2017","NY",,,"New York","36","Broome County","007",,,,,,,,,,,,,,,,,,"05000US36007","Broome County, New York",51139,375,495,229,177,612,414,101,1439,2447,3186,3923,4711,3736,6579,5075,5653,2657,3588,2238,1341,918,527,122,287,109,200,"Broome County, New York",1755,251,310,181,180,592,262,89,517,607,676,754,1058,818,1065,1095,990,708,969,623,455,435,283,169,325,179,192
"G3600090","2017","NY",,,"New York","36","Cattaraugus County","009",,,,,,,,,,,,,,,,,,"05000US36009","Cattaraugus County, New York",22695,429,344,361,264,352,279,284,1450,1378,1848,2115,2689,1957,2319,1777,1229,888,1141,585,578,234,91,68,0,0,35,"Cattaraugus County, New York",1144,247,224,182,168,195,130,138,345,332,466,457,570,568,466,425,305,296,271,225,241,159,77,54,200,200,42
"G3600110","2017","NY",,,"New York","36","Cayuga County","011",,,,,,,,,,,,,,,,,,"05000US36011","Cayuga County, New York",22335,285,88,101,66,111,171,204,615,665,1204,1316,2204,1716,2896,2812,1731,949,1968,1243,1074,204,379,130,110,23,70,"Cayuga County, New York",1145,169,62,80,81,76,106,228,256,265,431,338,544,554,528,767,466,294,524,402,395,151,249,92,109,28,81
"G3600130","2017","NY",,,"New York","36","Chautauqua County","013",,,,,,,,,,,,,,,,,,"05000US36013","Chautauqua County, New York",36759,509,386,439,340,552,862,726,2407,3176,3403,3307,3019,2204,2902,2688,2699,2000,1773,1489,755,378,483,70,0,102,90,"Chautauqua County, New York",1862,259,290,243,219,278,306,300,591,709,698,713,597,483,601,607,655,692,610,483,242,343,237,85,200,98,112
"G3600150","2017","NY",,,"New York","36","Chemung County","015",,,,,,,,,,,,,,,,,,"05000US36015","Chemung County, New York",21599,393,199,221,78,78,32,98,640,1012,1303,2512,1536,1451,2417,2504,1870,1576,1489,943,829,95,323,0,0,0,0,"Chemung County, New York",1506,178,94,140,79,97,38,95,276,414,439,709,547,518,822,724,519,528,616,468,384,159,249,200,200,200,200
"G3600190","2017","NY",,,"New York","36","Clinton County","019",,,,,,,,,,,,,,,,,,"05000US36019","Clinton County, New York",19928,387,124,297,514,0,265,59,427,293,426,631,998,550,3568,2997,1747,1808,2031,1123,975,88,200,227,120,0,73,"Clinton County, New York",1183,258,134,367,318,200,184,79,243,188,217,307,364,272,719,794,441,670,622,539,504,86,146,248,148,200,87
"G3600270","2017","NY",,,"New York","36","Dutchess County","027",,,,,,,,,,,,,,,,,,"05000US36027","Dutchess County, New York",74491,583,292,476,196,619,287,135,269,224,247,196,346,541,1346,2884,3314,3254,13387,14736,17149,7310,4663,1279,135,216,407,"Dutchess County, New York",2064,329,250,286,184,721,292,216,179,246,152,195,232,297,617,657,849,657,1682,1830,1541,1223,889,471,115,176,249
"G3600290","2017","NY",,,"New York","36","Erie County","029",,,,,,,,,,,,,,,,,,"05000US36029","Erie County, New York",247993,1669,2452,1382,1973,895,1447,1969,3301,4968,7668,8280,9157,9677,36023,28873,32181,17916,26971,17272,18076,6684,5796,1372,1179,367,445,"Erie County, New York",4811,614,777,542,582,374,484,746,715,1106,1211,1112,1315,1289,2705,2247,2265,1757,3138,1667,1470,1101,1197,477,603,412,329
"G3600450","2017","NY",,,"New York","36","Jefferson County","045",,,,,,,,,,,,,,,,,,"05000US36045","Jefferson County, New York",23230,573,59,112,167,115,350,176,774,354,665,648,1000,874,3840,2049,2809,1738,2354,1967,1440,452,667,34,0,0,13,"Jefferson County, New York",1178,486,52,108,134,118,269,182,466,186,285,323,365,417,850,494,600,478,536,488,504,245,411,57,200,200,22
"G3600470","2017","NY",,,"New York","36","Kings County","047",,,,,,,,,,,,,,,,,,"05000US36047","Kings County, New York",290792,2952,175,0,781,486,321,372,1259,1863,401,556,1199,234,3627,1002,3281,1836,7642,6421,21496,28144,76014,49559,45601,15632,19938,"Kings County, New York",5861,613,192,200,377,262,209,391,484,679,260,280,478,177,781,402,799,511,1254,1115,1933,2445,3104,2950,3242,1570,2109
"G3600510","2017","NY",,,"New York","36","Livingston County","051",,,,,,,,,,,,,,,,,,"05000US36051","Livingston County, New York",18929,297,101,25,80,246,196,208,288,299,400,1047,1723,825,2895,2030,2706,1803,1788,389,604,450,285,195,49,0,0,"Livingston County, New York",1037,196,90,29,103,236,169,212,185,161,188,457,651,332,735,617,610,743,498,190,234,345,254,177,81,200,200
"G3600530","2017","NY",,,"New York","36","Madison County","053",,,,,,,,,,,,,,,,,,"05000US36053","Madison County, New York",20310,104,84,121,511,20,268,315,664,254,935,1635,894,1091,1877,1662,2072,1285,2977,1095,1046,553,588,122,74,17,46,"Madison County, New York",1235,119,76,144,418,33,260,230,414,179,354,584,346,454,496,549,407,395,747,377,372,291,291,116,68,31,78
