GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHP5E001,AHP5E002,AHP5E003,AHP5E004,AHP5E005,AHP5E006,AHP5E007,AHP5E008,AHP5E009,AHP5E010,AHP5E011,AHP5E012,AHP5E013,AHP5E014,AHP5E015,AHP5E016,AHP5E017,AHP5E018,AHP5E019,AHP5E020,AHP5E021,AHP5E022,AHP5E023,AHP5E024,AHP5E025,AHP5E026,AHP5E027,NAME_M,AHP5M001,AHP5M002,AHP5M003,AHP5M004,AHP5M005,AHP5M006,AHP5M007,AHP5M008,AHP5M009,AHP5M010,AHP5M011,AHP5M012,AHP5M013,AHP5M014,AHP5M015,AHP5M016,AHP5M017,AHP5M018,AHP5M019,AHP5M020,AHP5M021,AHP5M022,AHP5M023,AHP5M024,AHP5M025,AHP5M026,AHP5M027
"G0400170","2017","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",23712,694,432,153,837,245,751,238,205,652,939,595,921,769,3289,2050,2762,1006,1638,2025,2491,703,188,26,31,0,72,"Navajo County, Arizona",1455,357,226,85,317,139,368,239,183,269,293,284,326,432,720,676,700,457,486,704,667,441,191,44,35,208,118
"G0400190","2017","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",257747,6200,2262,2669,1998,1887,1778,790,2639,3358,3303,5258,8061,6802,22687,21981,30761,22100,33390,23934,24738,13641,11527,3455,1782,382,364,"Pima County, Arizona",3853,1121,785,783,745,643,563,400,631,915,837,1039,1520,1217,2392,2000,2540,2345,3229,2130,2070,1442,1394,791,703,254,216
"G0400210","2017","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",103584,2514,1136,1480,1158,1090,1013,1431,2220,2953,1882,2171,2806,1450,7395,8743,9937,12213,16627,8697,8454,3459,3066,1074,272,61,282,"Pinal County, Arizona",3442,807,477,539,481,553,620,721,713,741,701,705,862,611,1411,1473,1594,1806,2019,1297,1454,884,770,478,389,102,166
"G0400250","2017","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",70096,822,140,320,176,341,435,614,553,954,860,626,1352,707,3680,3300,3815,5949,8383,9309,12864,4894,6953,1406,1167,91,385,"Yavapai County, Arizona",3106,428,153,267,172,377,283,366,397,469,575,458,702,349,1340,948,1265,1345,1588,1594,2090,1136,1663,524,742,95,289
"G0400270","2017","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",50086,1840,560,358,1327,576,810,513,1504,907,2315,1699,1573,2313,6922,6114,6241,2367,4483,3624,2781,511,489,67,123,0,69,"Yuma County, Arizona",2144,710,250,320,567,339,420,271,511,351,786,622,535,755,1402,1363,1205,742,1009,1170,760,339,333,75,123,208,85
"G0500070","2017","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",62997,741,191,168,314,68,443,312,751,365,1236,1841,1951,1535,4580,8065,7811,5075,7975,6569,6649,2283,2762,984,206,0,122,"Benton County, Arkansas",2974,506,181,145,337,72,266,219,478,244,595,769,739,566,983,1493,1036,1057,1526,1090,1104,673,763,386,129,201,116
"G0500310","2017","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",23911,540,36,307,130,86,150,112,226,450,1213,1448,822,1008,3520,3829,2998,1177,1666,1715,1629,156,523,170,0,0,0,"Craighead County, Arkansas",1708,454,62,239,130,105,200,134,153,307,621,605,472,491,1188,1106,813,484,622,606,756,192,310,240,201,201,201
"G0500450","2017","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",27587,252,22,140,369,318,400,78,222,440,498,1061,1024,1030,2801,2939,3627,3262,3677,1869,2032,639,182,378,238,29,60,"Faulkner County, Arkansas",1770,225,26,136,261,324,390,93,197,351,374,553,492,408,863,770,842,1082,849,645,677,386,169,404,316,42,103
"G0500510","2017","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",25805,296,120,672,720,0,93,350,563,924,368,792,1846,1581,3260,2139,3083,1351,2575,1792,1446,505,734,359,0,169,67,"Garland County, Arkansas",1805,299,155,494,500,201,124,438,305,533,276,364,796,622,1079,681,775,517,799,610,593,334,577,320,201,216,110
"G0500690","2017","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",17468,363,397,198,559,613,504,436,1106,1097,1849,872,1272,817,2230,1123,1637,522,890,553,286,0,105,39,0,0,0,"Jefferson County, Arkansas",1348,256,238,164,368,372,340,325,452,448,688,398,528,408,714,412,559,322,591,338,224,201,171,68,201,201,201
