GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PGYE001,PGYE002,PGYE003,PGYE004,PGYE005,PGYE006,PGYE007,PGYE008,PGYE009,PGYE010,PGYE011,PGYE012,PGYE013,PGYE014,PGYE015,PGYE016,PGYE017,PGYE018,PGYE019,PGYE020,PGYE021,PGYE022,PGYE023,PGYE024,PGYE025,NAME_M,PGYM001,PGYM002,PGYM003,PGYM004,PGYM005,PGYM006,PGYM007,PGYM008,PGYM009,PGYM010,PGYM011,PGYM012,PGYM013,PGYM014,PGYM015,PGYM016,PGYM017,PGYM018,PGYM019,PGYM020,PGYM021,PGYM022,PGYM023,PGYM024,PGYM025
"G0200200","2012","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",63354,161,686,592,498,343,367,409,235,312,237,105,95,367,1866,1309,2825,2735,10807,12147,15179,6074,4011,1281,713,"Anchorage Municipality, Alaska",2779,152,575,312,344,260,275,508,203,213,263,126,112,294,769,571,830,676,1552,1733,1724,1196,923,652,428
"G0200900","2012","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",21448,94,30,157,416,227,31,0,199,195,499,110,603,723,1006,1309,1288,2315,5243,2416,3366,1012,209,0,0,"Fairbanks North Star Borough, Alaska",1558,118,52,172,315,404,55,143,320,178,425,191,380,669,580,584,655,865,1313,686,932,627,200,143,143
"G0201700","2012","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",23740,85,109,307,123,83,192,128,404,151,335,161,576,224,1074,994,2028,2688,4615,3781,3497,1098,893,118,76,"Matanuska-Susitna Borough, Alaska",924,85,85,193,65,81,141,102,215,99,200,105,256,133,319,334,456,549,569,539,575,339,333,101,72
"G0400010","2012","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",14986,1362,561,374,1059,307,346,152,1120,592,846,447,529,178,1715,318,1560,1185,696,906,87,173,92,112,269,"Apache County, Arizona",1009,304,164,221,303,131,191,99,371,200,248,231,311,143,379,200,403,493,412,337,83,148,94,164,126
"G0400030","2012","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",33070,640,528,495,810,69,354,811,740,1272,1079,943,2020,1464,3575,2767,3379,2951,3210,2989,1717,863,300,0,94,"Cochise County, Arizona",2169,484,351,243,341,73,250,451,383,456,409,420,674,544,990,782,885,863,763,953,642,413,231,198,112
"G0400050","2012","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",27917,909,1545,415,681,178,171,342,518,366,64,357,747,136,1191,1439,2744,1199,3356,3584,4487,894,1695,377,522,"Coconino County, Arizona",1340,377,483,437,300,207,95,358,446,222,58,240,343,86,429,628,564,523,763,719,917,405,620,353,283
"G0400130","2012","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",860337,14351,8321,8167,6520,5146,10293,6828,18098,19984,27153,30446,35481,31989,91891,75747,86015,49999,88736,68295,81807,39137,32860,11977,11096,"Maricopa County, Arizona",8898,1358,1220,1364,969,966,1293,1213,1707,1870,2676,2674,2583,2911,4775,3906,4433,2747,3598,3507,3516,2947,2470,1747,1249
"G0400150","2012","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",50942,727,438,835,859,1147,745,650,2954,2889,2233,2959,2771,1861,5972,4407,4284,2211,4616,2466,3599,927,664,148,580,"Mohave County, Arizona",2697,403,313,464,406,537,522,379,940,956,679,775,857,799,1278,950,945,857,1095,804,1043,413,396,178,416
"G0400170","2012","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",24620,1370,894,692,722,377,963,649,1121,1309,1257,1153,1032,928,2362,1697,1828,884,1733,1058,1460,400,256,286,189,"Navajo County, Arizona",1222,382,335,288,292,201,270,224,316,399,427,490,456,443,650,562,549,452,529,423,595,238,171,249,103
"G0400190","2012","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",237903,4903,3440,2239,2683,2119,1637,1653,3751,6214,7283,8551,11594,10109,27247,21871,26369,16784,21748,15334,18637,8298,9300,2898,3241,"Pima County, Arizona",4678,1137,713,715,832,844,493,524,764,937,1250,1404,1726,1315,2509,2227,2439,1962,2090,1669,1594,1172,1247,708,786
