GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3VE001,AA3VE002,AA3VE003,AA3VE004,AA3VE005,AA3VE006,AA3VE007,AA3VE008,AA3VE009,AA3VE010,AA3VE011,AA3VE012,AA3VE013,AA3VE014,AA3VE015,AA3VE016,AA3VE017,AA3VE018,AA3VE019,AA3VE020,AA3VE021,AA3VE022,AA3VE023,AA3VE024,AA3VE025,NAME_M,AA3VM001,AA3VM002,AA3VM003,AA3VM004,AA3VM005,AA3VM006,AA3VM007,AA3VM008,AA3VM009,AA3VM010,AA3VM011,AA3VM012,AA3VM013,AA3VM014,AA3VM015,AA3VM016,AA3VM017,AA3VM018,AA3VM019,AA3VM020,AA3VM021,AA3VM022,AA3VM023,AA3VM024,AA3VM025
"G0200200","2014","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",61152,1716,299,258,738,520,151,328,629,292,240,239,718,364,946,769,2009,3380,8509,10749,16012,6080,4715,1142,349,"Anchorage Municipality, Alaska",2579,601,357,220,492,366,148,295,459,294,205,237,393,256,416,432,835,937,1384,1519,1559,1035,933,494,299
"G0200900","2014","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,
"G0201700","2014","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",23317,491,35,91,158,172,49,120,184,250,218,135,159,154,1033,1038,2347,2395,4869,2999,3843,1651,709,138,79,"Matanuska-Susitna Borough, Alaska",852,234,40,83,140,114,53,106,118,135,147,107,133,124,263,326,439,470,670,509,706,409,263,107,83
"G0400010","2014","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",13936,1543,403,509,296,230,1012,86,250,1155,445,781,900,1485,743,1105,1604,458,216,320,189,92,86,0,28,"Apache County, Arizona",863,360,157,234,127,138,245,62,145,381,330,369,397,258,397,295,444,298,152,202,130,92,102,200,49
"G0400030","2014","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",31958,819,311,70,385,240,587,206,939,1110,833,1241,2111,1847,2568,3427,2889,2735,4142,2587,1908,649,331,0,23,"Cochise County, Arizona",1695,387,172,73,251,254,505,151,390,437,362,446,616,562,778,868,775,866,1015,675,622,514,184,200,27
"G0400050","2014","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",28322,819,425,357,251,195,446,154,434,1222,682,430,1007,596,1493,1588,1247,1442,2495,3054,4715,2108,2144,681,337,"Coconino County, Arizona",1375,296,221,204,134,129,329,191,235,345,280,277,304,270,636,518,490,447,734,735,828,723,744,433,246
"G0400130","2014","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",858340,28436,6922,6736,5383,5031,4279,3494,9923,11060,12228,15849,22124,19173,52356,60497,91096,60897,107936,86068,109666,55339,51632,15600,16615,"Maricopa County, Arizona",9916,2151,1175,1167,991,1169,817,833,1495,1405,1425,1778,2203,2070,3253,3176,4066,3831,5059,3987,3993,3710,2931,1627,1787
"G0400150","2014","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",54634,2107,808,1138,1602,626,998,1044,2216,2219,3227,2248,2548,2035,5573,4068,4658,3036,5295,4058,3245,883,706,145,151,"Mohave County, Arizona",2471,789,357,630,619,388,495,592,729,734,928,867,713,624,1103,1023,1059,950,1127,1014,754,392,428,176,154
"G0400170","2014","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",23235,964,1015,1267,1130,567,434,21,726,705,1402,555,1794,515,2986,2078,1145,697,1750,1197,727,833,344,286,97,"Navajo County, Arizona",1596,335,432,491,332,320,327,34,303,387,387,268,615,236,623,599,344,275,487,369,374,504,231,320,100
"G0400190","2014","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",234179,10273,3748,3205,1861,1050,1585,819,3139,3840,5952,7220,8528,9376,26357,21797,24754,15409,24345,18369,19048,9429,9047,2965,2063,"Pima County, Arizona",3665,1469,1036,909,637,388,620,368,792,899,1047,1049,1274,1516,2354,2040,1876,1763,1995,1826,1673,1036,1252,709,616
