GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3VE001,AA3VE002,AA3VE003,AA3VE004,AA3VE005,AA3VE006,AA3VE007,AA3VE008,AA3VE009,AA3VE010,AA3VE011,AA3VE012,AA3VE013,AA3VE014,AA3VE015,AA3VE016,AA3VE017,AA3VE018,AA3VE019,AA3VE020,AA3VE021,AA3VE022,AA3VE023,AA3VE024,AA3VE025,NAME_M,AA3VM001,AA3VM002,AA3VM003,AA3VM004,AA3VM005,AA3VM006,AA3VM007,AA3VM008,AA3VM009,AA3VM010,AA3VM011,AA3VM012,AA3VM013,AA3VM014,AA3VM015,AA3VM016,AA3VM017,AA3VM018,AA3VM019,AA3VM020,AA3VM021,AA3VM022,AA3VM023,AA3VM024,AA3VM025
"G2701390","2014","MN",,,"Minnesota","27","Scott County","139",,,,,,,,,,,,,,,,,,"05000US27139","Scott County, Minnesota",38337,1146,88,144,197,0,144,70,190,207,0,121,293,138,852,1999,2623,2779,7297,6251,7511,2551,2531,523,682,"Scott County, Minnesota",1331,453,119,162,169,141,187,113,176,318,141,125,230,160,420,645,760,688,1058,1081,1116,505,649,244,358
"G2701410","2014","MN",,,"Minnesota","27","Sherburne County","141",,,,,,,,,,,,,,,,,,"05000US27141","Sherburne County, Minnesota",25051,600,207,28,28,16,0,0,0,181,0,301,401,249,2329,2032,4204,2932,4684,2751,2698,959,263,146,42,"Sherburne County, Minnesota",1359,423,203,46,44,28,141,141,141,192,141,271,363,165,646,653,1030,826,857,659,672,384,229,114,52
"G2701450","2014","MN",,,"Minnesota","27","Stearns County","145",,,,,,,,,,,,,,,,,,"05000US27145","Stearns County, Minnesota",41423,892,258,193,249,67,55,133,177,233,722,701,1043,1673,5796,4668,5951,3819,4872,3841,3629,1307,570,203,371,"Stearns County, Minnesota",1261,291,212,113,192,61,49,143,145,142,380,277,403,452,975,819,851,886,796,764,548,376,199,194,280
"G2701630","2014","MN",,,"Minnesota","27","Washington County","163",,,,,,,,,,,,,,,,,,"05000US27163","Washington County, Minnesota",72074,1607,270,214,418,126,92,11,180,78,100,468,304,472,1629,4445,7517,5936,11300,9784,14416,6251,4577,1078,801,"Washington County, Minnesota",1920,530,174,195,431,107,133,18,176,126,122,271,221,262,572,1113,1311,1247,1255,1306,1483,985,899,340,422
"G2701710","2014","MN",,,"Minnesota","27","Wright County","171",,,,,,,,,,,,,,,,,,"05000US27171","Wright County, Minnesota",37733,1417,413,192,225,450,0,125,224,371,117,96,762,874,1744,2358,5084,4300,6353,4708,4146,1738,1459,262,315,"Wright County, Minnesota",1285,505,261,198,188,480,141,150,245,280,78,154,582,446,484,623,898,895,999,924,668,541,546,157,174
"G2800330","2014","MS",,,"Mississippi","28","DeSoto County","033",,,,,,,,,,,,,,,,,,"05000US28033","DeSoto County, Mississippi",43017,920,100,494,127,279,290,0,327,849,1055,1213,2267,2342,5151,6348,5728,4050,4452,3233,2183,1209,247,95,58,"DeSoto County, Mississippi",1777,393,125,298,211,145,225,206,223,383,463,413,813,777,1050,1161,1191,955,816,752,717,892,178,118,96
"G2800350","2014","MS",,,"Mississippi","28","Forrest County","035",,,,,,,,,,,,,,,,,,"05000US28035","Forrest County, Mississippi",14912,372,426,258,403,289,334,134,834,479,544,1363,952,802,900,1058,2551,1009,933,572,533,0,87,0,79,"Forrest County, Mississippi",1362,295,300,226,411,251,339,156,580,273,382,695,440,415,443,509,771,570,478,344,320,206,145,206,132
"G2800470","2014","MS",,,"Mississippi","28","Harrison County","047",,,,,,,,,,,,,,,,,,"05000US28047","Harrison County, Mississippi",45049,820,375,480,764,428,620,63,1512,1096,973,2429,2952,3152,5381,5235,4632,3390,4674,2933,1956,384,604,143,53,"Harrison County, Mississippi",2345,449,267,407,531,302,442,105,626,610,436,798,801,801,1236,1181,1149,1013,1240,850,640,190,325,145,90
"G2800490","2014","MS",,,"Mississippi","28","Hinds County","049",,,,,,,,,,,,,,,,,,"05000US28049","Hinds County, Mississippi",51774,1297,1117,645,708,633,1904,761,1888,2588,2379,3705,3095,3239,6137,4609,4454,2386,4020,1791,2766,707,399,359,187,"Hinds County, Mississippi",2375,489,459,355,335,328,613,386,644,821,731,986,855,772,1348,1055,1016,691,1063,681,792,419,275,292,136
"G2800590","2014","MS",,,"Mississippi","28","Jackson County","059",,,,,,,,,,,,,,,,,,"05000US28059","Jackson County, Mississippi",33685,910,724,230,127,394,364,272,620,1556,1696,2022,2093,2437,4425,2579,4063,2564,2915,1335,1562,101,499,86,111,"Jackson County, Mississippi",2014,519,488,196,216,282,275,219,435,840,544,669,657,843,1058,884,1014,843,822,539,634,118,436,116,144
"G2800670","2014","MS",,,"Mississippi","28","Jones County","067",,,,,,,,,,,,,,,,,,"05000US28067","Jones County, Mississippi",17017,828,719,309,182,73,821,360,1040,1488,784,1528,872,822,1746,1210,1324,564,1155,701,394,60,37,0,0,"Jones County, Mississippi",1464,424,389,232,203,142,472,407,596,732,479,542,446,461,678,531,537,258,561,451,293,107,68,206,206
"G2800750","2014","MS",,,"Mississippi","28","Lauderdale County","075",,,,,,,,,,,,,,,,,,"05000US28075","Lauderdale County, Mississippi",17842,1726,279,96,278,252,926,214,1038,1388,784,1731,1069,438,1853,906,1563,608,1285,740,487,0,89,47,45,"Lauderdale County, Mississippi",1624,658,254,132,213,335,609,186,467,502,423,793,510,274,738,488,553,368,579,487,298,206,106,78,76
"G2800810","2014","MS",,,"Mississippi","28","Lee County","081",,,,,,,,,,,,,,,,,,"05000US28081","Lee County, Mississippi",19303,843,413,100,107,267,276,59,205,625,1289,715,615,793,2346,1664,2736,1083,1291,1563,1375,383,355,52,148,"Lee County, Mississippi",1502,345,300,153,122,249,213,76,170,288,482,370,338,331,721,515,752,471,605,519,492,290,354,84,149
"G2800890","2014","MS",,,"Mississippi","28","Madison County","089",,,,,,,,,,,,,,,,,,"05000US28089","Madison County, Mississippi",27372,449,179,162,143,114,112,0,558,970,129,323,865,810,1702,1677,2899,2337,2308,3074,4545,1557,1271,211,977,"Madison County, Mississippi",1335,325,186,166,211,168,121,206,426,607,153,223,362,470,667,585,977,597,706,790,1019,601,461,160,599
"G2801210","2014","MS",,,"Mississippi","28","Rankin County","121",,,,,,,,,,,,,,,,,,"05000US28121","Rankin County, Mississippi",40831,984,826,101,316,567,559,143,745,1006,493,765,921,2019,4364,5365,5851,2990,5010,2967,2707,893,727,131,381,"Rankin County, Mississippi",1946,565,477,129,262,449,299,169,323,611,295,379,420,926,1193,1386,1123,893,1309,693,919,531,407,130,286
"G2900190","2014","MO",,,"Missouri","29","Boone County","019",,,,,,,,,,,,,,,,,,"05000US29019","Boone County, Missouri",37296,1247,174,147,157,78,67,239,203,568,1054,468,1542,1207,3490,3825,5048,3602,5418,2752,4211,510,1129,160,0,"Boone County, Missouri",1931,553,202,132,170,115,101,208,168,327,600,280,608,508,893,910,1251,984,1108,893,1049,317,605,159,181
"G2900210","2014","MO",,,"Missouri","29","Buchanan County","021",,,,,,,,,,,,,,,,,,"05000US29021","Buchanan County, Missouri",20700,408,248,213,370,290,264,231,667,1372,1458,1149,1177,1339,2247,1131,2134,1577,1234,1053,1078,277,442,166,175,"Buchanan County, Missouri",1353,213,153,181,238,211,164,146,373,453,488,466,439,407,527,385,590,552,485,429,397,238,311,145,142
"G2900310","2014","MO",,,"Missouri","29","Cape Girardeau County","031",,,,,,,,,,,,,,,,,,"05000US29031","Cape Girardeau County, Missouri",19851,788,221,143,328,246,44,203,437,473,808,592,1194,648,1914,2692,2385,1535,2214,1305,992,124,519,46,0,"Cape Girardeau County, Missouri",1118,432,232,94,180,256,53,170,315,371,441,285,454,315,558,711,705,401,653,552,401,110,367,77,181
"G2900370","2014","MO",,,"Missouri","29","Cass County","037",,,,,,,,,,,,,,,,,,"05000US29037","Cass County, Missouri",27901,1065,322,59,466,250,178,63,87,302,381,580,565,756,3397,3783,3209,2756,3515,2648,2164,831,301,101,122,"Cass County, Missouri",1364,471,240,100,372,213,183,82,89,208,206,232,259,326,798,938,763,774,986,729,635,348,135,65,87
"G2900430","2014","MO",,,"Missouri","29","Christian County","043",,,,,,,,,,,,,,,,,,"05000US29043","Christian County, Missouri",22536,893,513,0,98,87,169,131,177,454,174,368,1067,892,3034,2790,3121,1675,2201,1385,1964,568,735,40,0,"Christian County, Missouri",1293,496,295,181,109,148,154,178,166,274,153,212,446,421,692,861,828,576,660,466,791,358,524,48,181
"G2900470","2014","MO",,,"Missouri","29","Clay County","047",,,,,,,,,,,,,,,,,,"05000US29047","Clay County, Missouri",60278,1819,230,229,59,351,61,69,520,724,919,2372,2007,3153,8143,8349,7285,6183,6743,4472,3754,975,1055,455,351,"Clay County, Missouri",1938,676,177,194,71,417,75,113,247,333,378,660,601,743,1355,1327,1050,1116,1061,1037,734,397,444,252,271
"G2900510","2014","MO",,,"Missouri","29","Cole County","051",,,,,,,,,,,,,,,,,,"05000US29051","Cole County, Missouri",20520,404,26,48,100,186,110,7,67,180,196,625,1007,1160,2708,2229,2793,1789,2197,2973,1126,46,276,192,75,"Cole County, Missouri",1347,290,43,84,126,301,156,13,80,146,141,429,393,630,644,676,739,587,574,846,428,60,190,185,107
"G2900710","2014","MO",,,"Missouri","29","Franklin County","071",,,,,,,,,,,,,,,,,,"05000US29071","Franklin County, Missouri",29447,559,1330,17,416,181,258,228,282,422,468,2042,1069,1616,3644,3677,3395,1991,2628,1997,1538,904,582,93,110,"Franklin County, Missouri",1808,455,656,30,300,199,182,219,225,224,327,700,530,646,989,1056,938,674,702,673,655,510,309,97,144
"G2900770","2014","MO",,,"Missouri","29","Greene County","077",,,,,,,,,,,,,,,,,,"05000US29077","Greene County, Missouri",69425,1725,853,534,200,95,246,584,1074,1216,3226,2841,3324,5385,11427,8457,6463,5568,6686,3349,2954,1613,762,481,362,"Greene County, Missouri",2594,576,510,275,148,113,184,306,397,493,961,750,849,1042,1466,1322,1353,1007,1242,850,799,559,353,443,383
"G2900950","2014","MO",,,"Missouri","29","Jackson County","095",,,,,,,,,,,,,,,,,,"05000US29095","Jackson County, Missouri",157000,3233,2244,1170,1490,1841,1927,1937,4230,6211,7388,8400,9905,9152,19221,18505,15097,8355,12643,8881,7750,3208,2777,648,787,"Jackson County, Missouri",3847,698,792,378,446,633,636,566,919,984,1182,1124,1434,1311,1920,2054,1929,1096,1488,1237,1153,661,658,298,257
"G2900970","2014","MO",,,"Missouri","29","Jasper County","097",,,,,,,,,,,,,,,,,,"05000US29097","Jasper County, Missouri",28580,679,332,381,424,585,483,938,1074,1088,2058,1786,2588,1173,4052,2536,3343,1108,1735,882,592,515,49,6,173,"Jasper County, Missouri",1662,362,323,227,223,359,307,472,432,354,718,646,738,492,884,869,727,448,574,406,326,470,49,12,185
"G2900990","2014","MO",,,"Missouri","29","Jefferson County","099",,,,,,,,,,,,,,,,,,"05000US29099","Jefferson County, Missouri",67518,4053,1323,1041,494,523,576,110,748,1203,795,1242,2400,2717,8333,9897,8436,5265,7688,5659,3698,451,565,60,241,"Jefferson County, Missouri",2091,1155,434,469,393,274,513,179,481,466,333,519,611,752,1419,1580,1328,1165,1232,1155,701,322,398,102,183
"G2901650","2014","MO",,,"Missouri","29","Platte County","165",,,,,,,,,,,,,,,,,,"05000US29165","Platte County, Missouri",25156,455,319,103,0,76,68,20,111,20,22,442,395,1046,1725,2109,2773,2644,4389,2556,3573,1292,849,83,86,"Platte County, Missouri",1472,234,280,120,181,110,112,26,105,22,25,375,301,506,617,623,843,732,939,659,696,626,398,97,116
"G2901830","2014","MO",,,"Missouri","29","St. Charles County","183",,,,,,,,,,,,,,,,,,"05000US29183","St. Charles County, Missouri",111727,2164,1390,555,696,236,256,102,406,236,197,563,1667,2284,9373,11674,16203,13494,21610,12925,10563,2851,1775,332,175,"St. Charles County, Missouri",2529,596,645,318,447,202,181,135,264,215,156,254,520,774,1474,1602,1457,1588,1838,1327,1535,728,592,212,156
"G2901870","2014","MO",,,"Missouri","29","St. Francois County","187",,,,,,,,,,,,,,,,,,"05000US29187","St. Francois County, Missouri",16524,301,342,262,188,410,640,233,542,436,727,761,952,1162,1505,1992,1879,1003,927,969,720,155,418,0,0,"St. Francois County, Missouri",1215,323,288,278,155,296,451,200,361,252,409,344,545,531,554,640,714,534,460,516,393,162,289,181,181
"G2901890","2014","MO",,,"Missouri","29","St. Louis County","189",,,,,,,,,,,,,,,,,,"05000US29189","St. Louis County, Missouri",278516,5768,847,1291,943,644,1798,1515,5169,6653,9672,10670,11928,11447,23514,21910,27557,18312,30456,23493,26747,12814,15586,4748,5034,"St. Louis County, Missouri",5023,972,390,432,468,269,730,574,1148,1289,1534,1720,1797,1489,2368,1862,2325,1726,2455,2252,2177,1403,1582,932,803
"G2905100","2014","MO",,,"Missouri","29","St. Louis city","510",,,,,,,,,,,,,,,,,,"05000US29510","St. Louis city, Missouri",58554,1288,915,895,502,481,1481,1056,2836,3497,3127,3435,3614,2552,6517,6469,5858,2767,3977,2519,2248,866,993,182,479,"St. Louis city, Missouri",2691,463,370,462,268,202,588,439,639,738,726,713,1061,716,903,1224,1152,744,708,725,534,423,386,163,275
"G3000130","2014","MT",,,"Montana","30","Cascade County","013",,,,,,,,,,,,,,,,,,"05000US30013","Cascade County, Montana",21699,452,393,384,155,133,112,260,546,449,738,256,381,836,1700,2433,3728,1406,2760,2025,1261,475,372,194,250,"Cascade County, Montana",1296,241,260,385,130,136,141,238,312,369,394,158,232,360,383,697,942,456,699,607,511,307,230,205,286
"G3000290","2014","MT",,,"Montana","30","Flathead County","029",,,,,,,,,,,,,,,,,,"05000US30029","Flathead County, Montana",25631,1202,136,93,662,596,67,112,153,200,245,334,146,120,1552,1109,2053,2061,3333,3092,3797,1583,1599,507,879,"Flathead County, Montana",1718,445,162,80,330,420,107,184,167,152,195,327,155,117,592,420,511,697,785,852,868,421,542,297,357
"G3000310","2014","MT",,,"Montana","30","Gallatin County","031",,,,,,,,,,,,,,,,,,"05000US30031","Gallatin County, Montana",23127,801,152,39,315,95,225,33,119,53,0,55,308,147,676,512,1191,1169,3129,4231,4155,2266,1836,469,1151,"Gallatin County, Montana",1282,506,155,64,299,145,292,55,130,86,161,53,260,192,347,348,473,419,916,1136,763,533,527,193,325
"G3000490","2014","MT",,,"Montana","30","Lewis and Clark County","049",,,,,,,,,,,,,,,,,,"05000US30049","Lewis and Clark County, Montana",18198,1179,285,42,131,0,204,77,157,0,74,239,304,318,867,863,1910,1960,4119,2311,1737,756,535,96,34,"Lewis and Clark County, Montana",1317,500,317,68,214,161,175,117,207,161,110,210,189,235,495,400,625,601,891,654,524,320,242,110,34
"G3000630","2014","MT",,,"Montana","30","Missoula County","063",,,,,,,,,,,,,,,,,,"05000US30063","Missoula County, Montana",27080,1417,80,136,442,64,74,269,508,138,124,86,470,16,598,1106,1078,1745,5540,4396,5001,1979,1145,503,165,"Missoula County, Montana",1404,690,105,129,278,81,104,293,313,180,111,122,296,20,391,641,409,529,947,950,887,589,429,323,135
"G3001110","2014","MT",,,"Montana","30","Yellowstone County","111",,,,,,,,,,,,,,,,,,"05000US30111","Yellowstone County, Montana",41888,1081,243,812,497,302,886,478,344,534,216,601,570,659,2297,2450,4678,5389,6867,5726,3415,1673,1559,153,458,"Yellowstone County, Montana",1956,481,243,396,269,322,542,362,303,345,182,374,438,369,653,638,873,1133,1081,993,722,430,630,175,303
"G3100550","2014","NE",,,"Nebraska","31","Douglas County","055",,,,,,,,,,,,,,,,,,"05000US31055","Douglas County, Nebraska",126078,2652,1177,396,562,1067,279,350,1709,2291,2245,3766,5842,6459,17831,21181,15283,8455,12714,7705,6916,2693,2655,980,870,"Douglas County, Nebraska",2702,537,445,227,287,425,147,187,618,646,643,780,868,1034,1694,1401,1578,922,1310,966,865,554,494,336,394
"G3101090","2014","NE",,,"Nebraska","31","Lancaster County","109",,,,,,,,,,,,,,,,,,"05000US31109","Lancaster County, Nebraska",71634,1689,1317,440,266,114,197,111,519,453,1261,1454,2067,2942,10305,12526,8694,5487,9074,4514,4855,1671,1313,188,177,"Lancaster County, Nebraska",1923,592,534,414,220,130,148,136,431,239,458,541,670,664,1105,1483,1079,842,1296,883,790,442,462,149,156
"G3101530","2014","NE",,,"Nebraska","31","Sarpy County","153",,,,,,,,,,,,,,,,,,"05000US31153","Sarpy County, Nebraska",44798,831,379,120,280,112,89,46,0,187,391,532,820,1317,5808,8116,6404,3964,5748,4492,3744,1006,364,0,48,"Sarpy County, Nebraska",1471,352,210,99,340,132,104,76,153,231,328,277,326,448,951,1025,1074,741,816,634,691,393,225,153,77
"G3200030","2014","NV",,,"Nevada","32","Clark County","003",,,,,,,,,,,,,,,,,,"05000US32003","Clark County, Nevada",367897,11541,2491,2024,2220,2043,1579,1350,2785,4644,6202,8881,9667,9446,27594,32126,42811,30234,51150,36815,42389,17829,14990,4018,3068,"Clark County, Nevada",6399,1509,649,620,645,555,512,566,869,1026,1114,1116,1255,1515,2473,2751,3249,2609,2789,2634,2581,1885,1771,822,656
"G3200310","2014","NV",,,"Nevada","32","Washoe County","031",,,,,,,,,,,,,,,,,,"05000US32031","Washoe County, Nevada",95150,2473,643,329,614,590,907,862,597,1811,984,1636,1460,1131,3808,5268,7408,7414,14483,12971,15316,5975,4525,2525,1420,"Washoe County, Nevada",2802,652,297,215,382,343,426,475,323,496,416,668,566,393,853,1077,1158,983,1588,1448,1585,1128,675,714,481
"G3300050","2014","NH",,,"New Hampshire","33","Cheshire County","005",,,,,,,,,,,,,,,,,,"05000US33005","Cheshire County, New Hampshire",21615,322,188,474,147,0,258,185,21,112,49,239,602,207,1803,1999,3507,2630,3373,2311,1791,661,399,77,260,"Cheshire County, New Hampshire",940,215,197,295,137,182,193,206,36,106,81,171,335,165,506,543,798,689,598,543,529,211,216,107,156
"G3300090","2014","NH",,,"New Hampshire","33","Grafton County","009",,,,,,,,,,,,,,,,,,"05000US33009","Grafton County, New Hampshire",23715,403,108,108,201,76,0,202,425,109,363,249,538,307,1816,1487,1904,2628,3165,2896,2598,1359,1360,819,594,"Grafton County, New Hampshire",1296,410,137,114,176,88,182,165,370,73,221,142,192,167,484,401,578,768,702,500,563,529,439,376,366
"G3300110","2014","NH",,,"New Hampshire","33","Hillsborough County","011",,,,,,,,,,,,,,,,,,"05000US33011","Hillsborough County, New Hampshire",101842,1787,126,542,193,679,43,95,408,287,213,607,1395,1062,2834,4056,8581,9922,20252,18043,16757,8160,4488,823,489,"Hillsborough County, New Hampshire",2397,564,137,353,172,438,71,96,271,215,187,374,569,589,804,894,1265,1568,1684,1492,1654,1283,1104,469,404
"G3300130","2014","NH",,,"New Hampshire","33","Merrimack County","013",,,,,,,,,,,,,,,,,,"05000US33013","Merrimack County, New Hampshire",39761,741,254,594,177,187,87,255,404,166,262,726,398,488,1999,1745,3579,4122,7567,6219,6361,1681,1084,326,339,"Merrimack County, New Hampshire",1395,343,183,322,138,145,99,216,279,165,212,440,256,287,620,560,785,815,1212,947,953,593,337,187,249
"G3300150","2014","NH",,,"New Hampshire","33","Rockingham County","015",,,,,,,,,,,,,,,,,,"05000US33015","Rockingham County, New Hampshire",89769,1445,214,294,555,511,443,268,939,264,379,526,569,395,2057,2522,3457,4153,15067,15459,22397,8796,5896,1902,1261,"Rockingham County, New Hampshire",2413,546,155,288,312,316,277,187,425,187,327,293,362,244,923,664,1057,945,1455,1673,2049,1423,1047,622,591
"G3300170","2014","NH",,,"New Hampshire","33","Strafford County","017",,,,,,,,,,,,,,,,,,"05000US33017","Strafford County, New Hampshire",31044,500,138,635,445,110,156,0,511,525,647,299,344,379,1670,2191,3214,3199,5796,4044,3768,1165,1026,36,246,"Strafford County, New Hampshire",1680,432,169,465,337,131,168,182,478,442,515,252,406,277,739,733,935,791,1151,894,810,419,394,45,221
"G3400010","2014","NJ",,,"New Jersey","34","Atlantic County","001",,,,,,,,,,,,,,,,,,"05000US34001","Atlantic County, New Jersey",67981,2142,103,418,223,489,113,496,98,596,777,865,1489,1815,4599,3617,6065,6532,10469,9283,9770,2296,3981,763,982,"Atlantic County, New Jersey",2488,537,127,224,203,553,105,438,107,372,486,473,530,823,1029,892,1145,1229,1360,1182,1260,511,979,318,381
"G3400030","2014","NJ",,,"New Jersey","34","Bergen County","003",,,,,,,,,,,,,,,,,,"05000US34003","Bergen County, New Jersey",212605,4811,198,78,291,278,462,374,188,298,416,112,273,374,2194,1531,2290,3152,8235,13831,52436,42141,45699,18847,14096,"Bergen County, New Jersey",4268,873,205,96,207,212,268,241,163,215,266,124,170,255,597,627,823,824,1397,1698,3044,2791,2877,2185,1664
"G3400050","2014","NJ",,,"New Jersey","34","Burlington County","005",,,,,,,,,,,,,,,,,,"05000US34005","Burlington County, New Jersey",124823,2914,368,256,586,309,212,94,408,408,645,898,1009,1002,5843,7138,12031,11339,20694,17263,21970,9523,6876,1818,1219,"Burlington County, New Jersey",2943,761,270,173,362,210,189,111,244,230,264,396,369,383,1008,1178,1625,1269,1706,1530,1872,1237,1069,614,477
"G3400070","2014","NJ",,,"New Jersey","34","Camden County","007",,,,,,,,,,,,,,,,,,"05000US34007","Camden County, New Jersey",125909,2655,411,854,838,295,428,90,909,1144,1948,3082,3549,2309,9631,10093,13906,13989,20902,15186,12979,5381,3678,1011,641,"Camden County, New Jersey",3234,567,345,364,568,221,271,104,397,478,797,990,775,748,1215,1402,1469,1471,1741,1925,1158,995,786,440,303
"G3400090","2014","NJ",,,"New Jersey","34","Cape May County","009",,,,,,,,,,,,,,,,,,"05000US34009","Cape May County, New Jersey",30995,697,240,43,93,42,14,49,132,233,16,79,240,259,356,1212,2323,1503,3117,5184,5773,2546,3481,1504,1859,"Cape May County, New Jersey",1905,276,209,73,112,70,22,71,140,276,26,81,148,175,178,431,591,532,740,1122,915,662,729,418,444
"G3400110","2014","NJ",,,"New Jersey","34","Cumberland County","011",,,,,,,,,,,,,,,,,,"05000US34011","Cumberland County, New Jersey",31321,806,119,289,39,193,248,0,542,499,254,541,895,532,3835,3029,6017,3678,5308,2279,1531,374,24,75,214,"Cumberland County, New Jersey",1554,339,93,195,38,167,203,195,370,284,185,246,377,343,947,783,1036,760,1099,708,589,204,29,124,185
"G3400130","2014","NJ",,,"New Jersey","34","Essex County","013",,,,,,,,,,,,,,,,,,"05000US34013","Essex County, New Jersey",121379,4169,162,144,171,411,325,81,165,171,490,162,590,523,2178,3210,6471,4519,11840,13174,24465,15793,18231,7706,6228,"Essex County, New Jersey",3759,689,182,135,160,304,261,94,196,178,305,159,375,280,564,814,1085,1157,1348,1579,2082,1685,1697,1178,1013
"G3400150","2014","NJ",,,"New Jersey","34","Gloucester County","015",,,,,,,,,,,,,,,,,,"05000US34015","Gloucester County, New Jersey",81414,2409,542,368,123,393,322,338,319,318,343,422,1097,1040,4386,5787,12301,7449,14338,11575,12366,2622,2044,378,134,"Gloucester County, New Jersey",2079,545,362,208,159,246,365,251,226,240,202,233,461,474,957,1016,1553,1111,1723,1290,1343,630,745,258,129
"G3400170","2014","NJ",,,"New Jersey","34","Hudson County","017",,,,,,,,,,,,,,,,,,"05000US34017","Hudson County, New Jersey",74355,2289,0,149,118,209,97,45,167,189,123,241,426,150,2050,1304,3859,2579,7217,8997,17039,11054,10638,2860,2555,"Hudson County, New Jersey",3449,582,195,165,123,143,133,74,151,214,118,250,327,154,885,567,808,704,1256,1263,1793,1796,1319,782,585
"G3400190","2014","NJ",,,"New Jersey","34","Hunterdon County","019",,,,,,,,,,,,,,,,,,"05000US34019","Hunterdon County, New Jersey",39485,604,0,0,48,43,0,31,0,45,0,30,0,134,466,734,860,1284,3000,3570,11305,7171,6848,2601,711,"Hunterdon County, New Jersey",1440,330,195,195,80,71,195,52,195,54,195,49,195,176,354,270,420,450,677,719,1368,1043,860,771,319
"G3400210","2014","NJ",,,"New Jersey","34","Mercer County","021",,,,,,,,,,,,,,,,,,"05000US34021","Mercer County, New Jersey",83605,1630,205,257,187,98,203,214,632,957,682,1509,1600,1058,2878,2557,5563,4469,12799,9773,12176,8232,9528,3539,2859,"Mercer County, New Jersey",3003,534,206,245,148,117,174,313,383,469,354,614,490,406,725,679,1407,942,1870,1209,1597,1424,1413,897,732
"G3400230","2014","NJ",,,"New Jersey","34","Middlesex County","023",,,,,,,,,,,,,,,,,,"05000US34023","Middlesex County, New Jersey",176428,3917,425,420,522,186,564,89,1038,531,593,954,600,599,2386,2679,5869,4884,22449,29298,48794,24851,20330,3276,1174,"Middlesex County, New Jersey",3467,843,290,214,371,158,316,108,498,282,523,533,341,329,784,668,967,978,2260,1994,3138,2179,1840,735,476
"G3400250","2014","NJ",,,"New Jersey","34","Monmouth County","025",,,,,,,,,,,,,,,,,,"05000US34025","Monmouth County, New Jersey",168331,3878,130,78,548,144,146,525,254,328,395,613,420,570,3156,2614,3805,3053,11753,17753,38701,26964,33930,11097,7476,"Monmouth County, New Jersey",3256,755,137,92,295,144,117,349,180,215,293,450,260,299,1047,892,902,657,1578,2024,2603,2427,2471,1597,1089
"G3400270","2014","NJ",,,"New Jersey","34","Morris County","027",,,,,,,,,,,,,,,,,,"05000US34027","Morris County, New Jersey",132204,2716,43,68,37,264,206,80,287,188,131,77,157,323,484,785,2205,1965,7671,11655,28753,23107,32665,11535,6802,"Morris County, New Jersey",3384,645,71,115,62,226,177,93,219,174,126,92,129,262,279,369,608,584,1077,1425,2087,2094,2502,1393,1035
"G3400290","2014","NJ",,,"New Jersey","34","Ocean County","029",,,,,,,,,,,,,,,,,,"05000US34029","Ocean County, New Jersey",177605,5073,599,954,1177,1573,743,1785,2003,1981,1975,1582,2525,2414,5901,7796,11119,9940,25579,24065,35174,15276,11528,4133,2710,"Ocean County, New Jersey",3457,1016,416,510,441,683,388,756,666,788,708,562,817,720,1047,1239,1659,1377,2520,2067,2543,1719,1332,750,614
"G3400310","2014","NJ",,,"New Jersey","34","Passaic County","031",,,,,,,,,,,,,,,,,,"05000US34031","Passaic County, New Jersey",84257,2574,0,76,118,471,175,76,66,17,0,397,320,352,1209,1365,2657,2137,9295,12597,25119,13771,9479,1412,574,"Passaic County, New Jersey",3133,605,195,130,113,366,138,124,107,18,195,386,192,211,453,559,614,557,1238,1823,2423,1207,1215,515,256
"G3400330","2014","NJ",,,"New Jersey","34","Salem County","033",,,,,,,,,,,,,,,,,,"05000US34033","Salem County, New Jersey",16773,279,386,50,57,350,106,20,36,277,255,266,275,594,1297,1216,2531,1774,2660,1671,2072,174,255,146,26,"Salem County, New Jersey",901,163,269,80,67,252,94,34,45,210,187,180,183,298,461,400,519,535,540,551,463,128,199,156,43
"G3400350","2014","NJ",,,"New Jersey","34","Somerset County","035",,,,,,,,,,,,,,,,,,"05000US34035","Somerset County, New Jersey",86722,1410,0,77,0,101,64,134,86,43,52,242,229,183,1149,750,1124,1995,8202,11680,17090,11978,16732,8586,4815,"Somerset County, New Jersey",2137,542,195,126,195,130,102,173,99,70,75,181,272,151,477,413,479,680,1334,1390,1579,1465,1505,1126,825
"G3400370","2014","NJ",,,"New Jersey","34","Sussex County","037",,,,,,,,,,,,,,,,,,"05000US34037","Sussex County, New Jersey",44936,695,0,139,320,127,145,25,218,0,0,179,321,62,1300,1584,3722,2551,8741,7678,9851,2782,3040,651,805,"Sussex County, New Jersey",1375,333,195,129,210,121,198,41,216,195,195,156,265,75,532,632,885,588,1097,1154,1495,611,622,306,488
