GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJNQE001,AJNQE002,AJNQE003,AJNQE004,AJNQE005,AJNQE006,AJNQE007,AJNQE008,AJNQE009,AJNQE010,AJNQE011,AJNQE012,AJNQE013,AJNQE014,AJNQE015,AJNQE016,AJNQE017,AJNQE018,AJNQE019,AJNQE020,AJNQE021,AJNQE022,AJNQE023,AJNQE024,AJNQE025,AJNQE026,AJNQE027,NAME_M,AJNQM001,AJNQM002,AJNQM003,AJNQM004,AJNQM005,AJNQM006,AJNQM007,AJNQM008,AJNQM009,AJNQM010,AJNQM011,AJNQM012,AJNQM013,AJNQM014,AJNQM015,AJNQM016,AJNQM017,AJNQM018,AJNQM019,AJNQM020,AJNQM021,AJNQM022,AJNQM023,AJNQM024,AJNQM025,AJNQM026,AJNQM027
"G1801090","2018","IN",,,"Indiana","18","Morgan County","109",,,,,,,,,,,,,,,,,,"05000US18109","Morgan County, Indiana",20180,130,489,361,157,63,20,0,113,327,253,482,568,678,2689,2746,3028,1443,2007,1569,2084,663,175,42,43,0,50,"Morgan County, Indiana",1202,126,330,309,142,107,32,198,125,191,183,248,277,400,843,681,940,571,660,647,628,331,209,70,74,198,82
"G1801270","2018","IN",,,"Indiana","18","Porter County","127",,,,,,,,,,,,,,,,,,"05000US18127","Porter County, Indiana",50245,1503,125,10,165,132,192,272,159,124,516,427,912,1680,3652,5064,6583,6222,7813,4743,5035,2343,1539,549,370,59,56,"Porter County, Indiana",2155,850,209,17,161,159,181,229,167,151,356,337,587,657,874,1025,1285,1135,1312,973,1175,615,605,309,339,88,53
"G1801410","2018","IN",,,"Indiana","18","St. Joseph County","141",,,,,,,,,,,,,,,,,,"05000US18141","St. Joseph County, Indiana",72539,530,349,431,481,302,744,811,1715,2839,3383,4980,3318,3533,9557,7171,9755,4373,6579,3842,3839,1375,1799,549,263,21,0,"St. Joseph County, Indiana",2103,277,279,269,270,154,328,354,556,721,754,1079,678,785,1458,1068,1443,839,884,785,1001,534,754,265,203,35,198
"G1801570","2018","IN",,,"Indiana","18","Tippecanoe County","157",,,,,,,,,,,,,,,,,,"05000US18157","Tippecanoe County, Indiana",37675,840,1085,191,177,0,30,0,246,361,927,1319,1571,2113,4370,4172,4156,2965,4535,2838,3405,1369,605,189,142,69,0,"Tippecanoe County, Indiana",2160,697,811,255,169,198,50,198,250,230,343,540,513,732,913,935,996,740,931,719,834,495,323,220,135,111,198
"G1801630","2018","IN",,,"Indiana","18","Vanderburgh County","163",,,,,,,,,,,,,,,,,,"05000US18163","Vanderburgh County, Indiana",48209,555,672,572,399,292,740,564,1249,769,2441,2428,2510,2777,5125,5263,5103,4511,4527,2574,2552,1091,1130,109,218,0,38,"Vanderburgh County, Indiana",2115,406,533,366,275,231,479,326,517,340,866,876,741,728,1170,1135,1022,1056,1226,671,663,526,493,145,230,198,63
"G1801670","2018","IN",,,"Indiana","18","Vigo County","167",,,,,,,,,,,,,,,,,,"05000US18167","Vigo County, Indiana",26561,752,242,297,162,157,268,554,1077,1726,2116,2096,2794,1267,2719,2013,1852,1497,1942,1400,725,422,399,0,84,0,0,"Vigo County, Indiana",1391,568,214,240,214,138,192,358,457,662,682,674,926,443,679,723,636,524,559,599,369,292,297,198,138,198,198
"G1801770","2018","IN",,,"Indiana","18","Wayne County","177",,,,,,,,,,,,,,,,,,"05000US18177","Wayne County, Indiana",18381,295,316,178,211,500,398,118,562,1439,1860,1377,1697,1181,1417,1621,1993,952,984,428,552,56,55,73,0,0,118,"Wayne County, Indiana",1384,245,262,205,174,423,353,147,352,446,619,637,656,508,450,485,666,379,384,228,400,65,91,96,198,198,189
"G1900130","2018","IA",,,"Iowa","19","Black Hawk County","013",,,,,,,,,,,,,,,,,,"05000US19013","Black Hawk County, Iowa",34980,778,693,278,206,228,276,362,206,673,1333,1083,1705,1416,5214,4022,3333,2272,4562,2670,2532,489,320,118,93,0,118,"Black Hawk County, Iowa",1327,426,533,221,168,210,199,265,129,332,549,348,515,470,989,948,776,561,925,754,813,341,278,114,113,163,150
"G1900490","2018","IA",,,"Iowa","19","Dallas County","049",,,,,,,,,,,,,,,,,,"05000US19049","Dallas County, Iowa",24472,74,41,65,305,247,318,43,12,357,164,286,689,584,1000,1431,1810,877,2661,3248,5672,2545,1652,306,27,0,58,"Dallas County, Iowa",1426,55,56,59,320,200,294,39,20,488,149,182,404,369,372,576,617,366,724,781,1032,814,478,226,48,163,101
"G1900610","2018","IA",,,"Iowa","19","Dubuque County","061",,,,,,,,,,,,,,,,,,"05000US19061","Dubuque County, Iowa",27881,784,256,259,46,52,142,279,365,300,214,440,1079,1036,3299,2961,3552,1761,3541,3054,2511,872,793,265,0,0,20,"Dubuque County, Iowa",1098,385,241,249,58,63,139,242,252,193,132,278,525,326,685,633,711,474,587,600,671,416,367,198,163,163,34
