GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S5EE001,S5EE002,S5EE003,S5EE004,S5EE005,S5EE006,S5EE007,S5EE008,S5EE009,S5EE010,S5EE011,S5EE012,S5EE013,S5EE014,S5EE015,S5EE016,S5EE017,S5EE018,S5EE019,S5EE020,S5EE021,S5EE022,S5EE023,S5EE024,NAME_M,S5EM001,S5EM002,S5EM003,S5EM004,S5EM005,S5EM006,S5EM007,S5EM008,S5EM009,S5EM010,S5EM011,S5EM012,S5EM013,S5EM014,S5EM015,S5EM016,S5EM017,S5EM018,S5EM019,S5EM020,S5EM021,S5EM022,S5EM023,S5EM024
"G05023290","2013","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",18647,18514,113,0,43,219,155,190,1299,1333,2451,2310,2325,1677,300,750,1009,1000,793,876,516,751,404,133,"Fayetteville city, Arkansas",1821,1817,180,192,73,255,135,193,772,685,1000,890,1052,731,244,559,655,523,527,454,399,621,409,180
"G05024550","2013","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",18337,17432,295,302,101,268,518,1666,2240,1704,1546,1443,1947,1067,1563,824,501,265,258,318,300,0,306,905,"Fort Smith city, Arkansas",1792,1778,480,313,128,253,409,737,852,873,529,664,887,606,651,583,363,258,265,454,311,192,274,435
"G05035710","2013","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",13747,12983,74,323,174,58,210,492,525,930,2508,2102,1068,1557,616,401,821,205,425,240,0,127,127,764,"Jonesboro city, Arkansas",1433,1389,117,360,223,95,268,458,395,521,1126,922,490,910,413,342,514,218,502,198,192,192,220,435
"G05041000","2013","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",32658,31450,0,306,653,1193,148,770,983,1979,1840,3145,2324,4410,2963,1647,1350,3109,1523,1329,520,567,691,1208,"Little Rock city, Arkansas",2617,2682,192,256,428,666,129,502,558,808,735,911,852,1235,945,811,640,1257,781,680,344,561,359,540
"G05050450","2013","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",10543,9487,146,88,116,289,69,459,677,819,715,656,1494,1503,288,561,157,1118,73,126,44,25,64,1056,"North Little Rock city, Arkansas",1446,1539,112,106,168,243,118,314,625,459,408,384,1038,709,214,422,188,565,123,208,74,41,109,943
"G05066080","2013","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,"Springdale city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,
"G06000562","2013","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06000884","2013","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06002000","2013","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",52390,51022,205,98,390,352,182,452,396,119,218,217,291,266,294,257,407,2340,6487,13881,11623,8069,4478,1368,"Anaheim city, California",2342,2308,194,158,248,312,247,361,421,157,272,184,332,231,319,282,293,918,1209,2103,1722,1361,1288,631
"G06002252","2013","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,
