GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADC4E001,ADC4E002,ADC4E003,ADC4E004,ADC4E005,ADC4E006,ADC4E007,ADC4E008,ADC4E009,ADC4E010,ADC4E011,ADC4E012,ADC4E013,ADC4E014,ADC4E015,ADC4E016,ADC4E017,ADC4E018,ADC4E019,ADC4E020,ADC4E021,ADC4E022,ADC4E023,ADC4E024,ADC4E025,ADC4E026,ADC4E027,NAME_M,ADC4M001,ADC4M002,ADC4M003,ADC4M004,ADC4M005,ADC4M006,ADC4M007,ADC4M008,ADC4M009,ADC4M010,ADC4M011,ADC4M012,ADC4M013,ADC4M014,ADC4M015,ADC4M016,ADC4M017,ADC4M018,ADC4M019,ADC4M020,ADC4M021,ADC4M022,ADC4M023,ADC4M024,ADC4M025,ADC4M026,ADC4M027
"G23060545","2015","ME",,,"Maine","23",,,"Portland city","60545",,,,,,,,,,,,,,,,"16000US2360545","Portland city, Maine",17345,16968,518,114,230,840,165,627,134,167,57,70,0,725,398,580,1093,2391,1621,4637,1225,952,424,0,0,0,377,"Portland city, Maine",1476,1494,329,129,181,478,212,382,162,151,80,114,163,391,387,283,475,640,575,1053,462,452,288,163,163,163,246
"G24004000","2015","MD",,,"Maryland","24",,,"Baltimore city","04000",,,,,,,,,,,,,,,,"16000US2404000","Baltimore city, Maryland",131711,127885,4062,4147,2530,3942,2511,1992,2459,2605,2036,4585,4540,4830,5198,9039,8310,14747,12470,17856,7898,7438,3314,1086,270,20,3826,"Baltimore city, Maryland",4504,4425,973,990,839,676,701,619,881,886,814,890,1103,1176,1164,1411,1384,2140,1904,2252,1289,1100,859,469,210,35,950
"G24019125","2015","MD",,,"Maryland","24",,,"Columbia CDP","19125",,,,,,,,,,,,,,,,"16000US2419125","Columbia CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24026000","2015","MD",,,"Maryland","24",,,"Ellicott City CDP","26000",,,,,,,,,,,,,,,,"16000US2426000","Ellicott City CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ellicott City CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24030325","2015","MD",,,"Maryland","24",,,"Frederick city","30325",,,,,,,,,,,,,,,,"16000US2430325","Frederick city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Frederick city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24031175","2015","MD",,,"Maryland","24",,,"Gaithersburg city","31175",,,,,,,,,,,,,,,,"16000US2431175","Gaithersburg city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gaithersburg city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24032025","2015","MD",,,"Maryland","24",,,"Germantown CDP","32025",,,,,,,,,,,,,,,,"16000US2432025","Germantown CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Germantown CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24032650","2015","MD",,,"Maryland","24",,,"Glen Burnie CDP","32650",,,,,,,,,,,,,,,,"16000US2432650","Glen Burnie CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Glen Burnie CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24067675","2015","MD",,,"Maryland","24",,,"Rockville city","67675",,,,,,,,,,,,,,,,"16000US2467675","Rockville city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rockville city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24072450","2015","MD",,,"Maryland","24",,,"Silver Spring CDP","72450",,,,,,,,,,,,,,,,"16000US2472450","Silver Spring CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Silver Spring CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24081175","2015","MD",,,"Maryland","24",,,"Waldorf CDP","81175",,,,,,,,,,,,,,,,"16000US2481175","Waldorf CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waldorf CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25007000","2015","MA",,,"Massachusetts","25",,,"Boston city","07000",,,,,,,,,,,,,,,,"16000US2507000","Boston city, Massachusetts",172421,169076,3491,1948,3420,6499,7198,4529,2911,2084,2161,4137,1141,2825,1831,2792,1632,5864,6840,21103,19513,32597,16791,9091,4845,3833,3345,"Boston city, Massachusetts",4557,4692,985,778,992,1325,1388,1123,1098,735,769,989,438,1018,651,1038,658,1220,1492,2317,2032,3009,1966,1264,1083,920,1115
"G25009000","2015","MA",,,"Massachusetts","25",,,"Brockton city","09000",,,,,,,,,,,,,,,,"16000US2509000","Brockton city, Massachusetts",16360,16083,115,0,281,1403,1553,558,346,357,190,556,266,880,523,538,275,1268,1223,3662,949,1140,0,0,0,0,277,"Brockton city, Massachusetts",1493,1475,150,200,276,657,830,449,199,317,189,493,258,577,358,336,270,645,527,961,490,764,200,200,200,200,272
"G25011000","2015","MA",,,"Massachusetts","25",,,"Cambridge city","11000",,,,,,,,,,,,,,,,"16000US2511000","Cambridge city, Massachusetts",27886,27313,187,415,224,159,446,481,260,547,179,257,35,62,125,0,77,413,279,2274,2253,8071,4960,2913,2041,655,573,"Cambridge city, Massachusetts",1835,1821,155,447,157,134,309,297,180,574,183,174,58,78,120,200,127,256,288,793,591,1285,897,843,455,261,313
"G25023000","2015","MA",,,"Massachusetts","25",,,"Fall River city","23000",,,,,,,,,,,,,,,,"16000US2523000","Fall River city, Massachusetts",26363,25452,279,874,135,928,554,336,756,1595,1752,2630,2707,3060,1661,2407,1428,1678,902,1499,222,49,0,0,0,0,911,"Fall River city, Massachusetts",2137,2064,287,518,163,547,295,293,416,656,707,901,973,869,621,870,684,646,388,777,190,80,200,200,200,200,499
"G25024960","2015","MA",,,"Massachusetts","25",,,"Framingham CDP","24960",,,,,,,,,,,,,,,,"16000US2524960","Framingham CDP, Massachusetts",13237,13160,149,116,183,397,262,39,149,150,0,366,309,459,48,430,400,244,593,1805,2878,3680,503,0,0,0,77,"Framingham CDP, Massachusetts",1447,1440,172,190,214,306,205,64,175,124,200,330,263,266,80,305,252,207,433,727,816,1093,328,200,200,200,127
"G25034550","2015","MA",,,"Massachusetts","25",,,"Lawrence city","34550",,,,,,,,,,,,,,,,"16000US2534550","Lawrence city, Massachusetts",17181,16876,443,226,580,404,305,274,328,219,189,331,402,423,406,999,842,1897,3488,3664,504,952,0,0,0,0,305,"Lawrence city, Massachusetts",1609,1603,317,193,320,248,218,227,264,221,214,301,275,405,298,474,571,654,964,858,340,553,200,200,200,200,341
"G25037000","2015","MA",,,"Massachusetts","25",,,"Lowell city","37000",,,,,,,,,,,,,,,,"16000US2537000","Lowell city, Massachusetts",23321,22640,77,262,99,1081,729,662,100,356,318,1243,88,985,375,396,481,3275,2404,6094,2218,1156,221,20,0,0,681,"Lowell city, Massachusetts",1934,1915,124,286,113,523,470,370,121,319,290,632,102,560,321,243,349,883,824,1374,868,593,187,32,200,200,546
"G25037490","2015","MA",,,"Massachusetts","25",,,"Lynn city","37490",,,,,,,,,,,,,,,,"16000US2537490","Lynn city, Massachusetts",18820,18222,359,165,442,1069,569,275,293,354,400,114,320,509,382,370,218,1367,2087,5395,1716,1744,74,0,0,0,598,"Lynn city, Massachusetts",1670,1644,345,213,308,337,299,242,197,265,468,187,282,302,304,219,151,598,718,1124,566,703,85,200,200,200,278
"G25045000","2015","MA",,,"Massachusetts","25",,,"New Bedford city","45000",,,,,,,,,,,,,,,,"16000US2545000","New Bedford city, Massachusetts",23603,22817,449,505,425,649,928,834,761,960,575,1436,1532,2217,1149,2878,1296,3051,1132,1733,130,91,0,0,0,86,786,"New Bedford city, Massachusetts",1638,1599,360,387,248,399,490,394,473,433,306,513,496,669,475,704,500,695,577,625,117,103,200,200,200,141,374
"G25045560","2015","MA",,,"Massachusetts","25",,,"Newton city","45560",,,,,,,,,,,,,,,,"16000US2545560","Newton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25055745","2015","MA",,,"Massachusetts","25",,,"Quincy city","55745",,,,,,,,,,,,,,,,"16000US2555745","Quincy city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quincy city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25062535","2015","MA",,,"Massachusetts","25",,,"Somerville city","62535",,,,,,,,,,,,,,,,"16000US2562535","Somerville city, Massachusetts",21513,20626,243,64,0,914,243,535,82,254,164,325,56,299,110,83,366,436,226,2101,3231,5963,2540,1646,445,300,887,"Somerville city, Massachusetts",2116,2043,300,104,200,648,259,489,139,273,164,346,94,206,131,99,333,269,207,767,912,1043,863,622,445,388,508
"G25067000","2015","MA",,,"Massachusetts","25",,,"Springfield city","67000",,,,,,,,,,,,,,,,"16000US2567000","Springfield city, Massachusetts",27586,26682,1096,377,895,2262,1966,790,504,1040,620,770,983,1161,1602,1874,2130,3237,2065,2096,553,400,42,0,35,184,904,"Springfield city, Massachusetts",1979,1963,655,348,406,737,748,404,317,515,357,478,528,530,643,666,777,968,752,867,372,344,69,200,57,239,426
"G25082000","2015","MA",,,"Massachusetts","25",,,"Worcester city","82000",,,,,,,,,,,,,,,,"16000US2582000","Worcester city, Massachusetts",41520,39879,737,266,255,1455,967,1058,718,813,540,797,528,1301,1048,1030,2525,7787,7731,7187,1682,1189,156,40,69,0,1641,"Worcester city, Massachusetts",2214,2267,465,319,250,538,595,579,468,539,316,387,352,546,445,422,918,1454,1481,1523,604,368,155,66,119,200,645
"G26003000","2015","MI",,,"Michigan","26",,,"Ann Arbor city","03000",,,,,,,,,,,,,,,,"16000US2603000","Ann Arbor city, Michigan",27876,26869,417,75,75,191,586,125,166,269,1163,578,376,687,670,1116,1804,3530,2111,5423,2775,3406,1010,114,116,86,1007,"Ann Arbor city, Michigan",1586,1627,236,123,122,185,493,95,162,227,543,284,295,310,346,586,498,759,645,1036,746,856,491,137,136,104,489
"G26021000","2015","MI",,,"Michigan","26",,,"Dearborn city","21000",,,,,,,,,,,,,,,,"16000US2621000","Dearborn city, Michigan",10108,9178,0,41,57,466,76,0,130,226,475,383,390,950,154,1000,647,1008,639,1442,592,242,260,0,0,0,930,"Dearborn city, Michigan",1225,1169,167,66,98,306,126,167,166,195,347,248,241,486,180,467,352,507,316,471,470,194,181,167,167,167,385
"G26022000","2015","MI",,,"Michigan","26",,,"Detroit city","22000",,,,,,,,,,,,,,,,"16000US2622000","Detroit city, Michigan",136546,128212,2831,1192,5055,4829,1903,3164,5608,9440,9140,17460,10768,13134,8848,9720,7155,7998,3370,4084,1052,1270,191,0,0,0,8334,"Detroit city, Michigan",4281,4112,695,446,974,1048,600,929,1013,1276,1268,1997,1557,1406,1337,1662,1461,1410,811,851,369,451,193,167,167,167,1347
"G26027440","2015","MI",,,"Michigan","26",,,"Farmington Hills city","27440",,,,,,,,,,,,,,,,"16000US2627440","Farmington Hills city, Michigan",12442,11951,0,0,71,265,41,0,32,117,70,444,181,494,792,1229,706,1717,877,2733,979,528,572,47,56,0,491,"Farmington Hills city, Michigan",1633,1618,167,167,116,216,67,167,53,192,116,399,196,418,578,516,319,703,431,704,499,333,341,77,92,167,418
"G26029000","2015","MI",,,"Michigan","26",,,"Flint city","29000",,,,,,,,,,,,,,,,"16000US2629000","Flint city, Michigan",17207,16112,877,430,557,385,814,418,989,2382,2276,2003,1702,1308,304,717,247,73,355,232,0,0,43,0,0,0,1095,"Flint city, Michigan",1796,1717,459,326,381,261,503,276,423,840,980,664,786,772,246,515,224,94,427,215,167,167,72,167,167,167,505
"G26034000","2015","MI",,,"Michigan","26",,,"Grand Rapids city","34000",,,,,,,,,,,,,,,,"16000US2634000","Grand Rapids city, Michigan",33981,33063,484,309,268,570,578,386,455,1499,916,2543,2287,3914,2654,2302,2924,3529,2226,2268,1308,1369,274,0,0,0,918,"Grand Rapids city, Michigan",2315,2355,410,325,249,336,462,252,453,618,379,706,615,925,917,897,849,898,786,812,587,604,254,167,167,167,313
"G26042160","2015","MI",,,"Michigan","26",,,"Kalamazoo city","42160",,,,,,,,,,,,,,,,"16000US2642160","Kalamazoo city, Michigan",16248,15797,226,282,270,447,108,542,409,1175,1111,1321,1993,2018,930,1121,372,1564,707,482,500,113,0,0,106,0,451,"Kalamazoo city, Michigan",1407,1464,253,354,279,225,130,361,385,436,484,603,576,861,464,505,281,657,539,326,311,130,167,167,83,167,306
"G26046000","2015","MI",,,"Michigan","26",,,"Lansing city","46000",,,,,,,,,,,,,,,,"16000US2646000","Lansing city, Michigan",23530,23064,1149,82,755,433,127,116,40,630,1184,1596,3221,3339,1760,2462,1913,1671,934,1081,433,36,37,65,0,0,466,"Lansing city, Michigan",1718,1775,641,142,566,249,206,146,66,366,461,597,894,937,654,807,641,611,367,578,333,58,61,105,167,167,232
"G26049000","2015","MI",,,"Michigan","26",,,"Livonia city","49000",,,,,,,,,,,,,,,,"16000US2649000","Livonia city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Livonia city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26069035","2015","MI",,,"Michigan","26",,,"Rochester Hills city","69035",,,,,,,,,,,,,,,,"16000US2669035","Rochester Hills city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rochester Hills city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26074900","2015","MI",,,"Michigan","26",,,"Southfield city","74900",,,,,,,,,,,,,,,,"16000US2674900","Southfield city, Michigan",17002,16720,153,171,311,102,193,90,0,295,408,65,561,695,912,1641,1804,2278,2082,2951,951,906,151,0,0,0,282,"Southfield city, Michigan",1465,1495,198,165,214,97,159,122,167,354,336,111,376,304,463,479,807,671,810,804,376,506,124,167,167,167,259
"G26076460","2015","MI",,,"Michigan","26",,,"Sterling Heights city","76460",,,,,,,,,,,,,,,,"16000US2676460","Sterling Heights city, Michigan",14839,14419,91,0,221,321,159,397,0,0,106,408,531,1595,1511,478,1042,1831,1358,2499,865,376,82,252,296,0,420,"Sterling Heights city, Michigan",1744,1709,107,167,204,307,156,401,167,167,177,245,270,684,761,288,724,832,592,875,431,211,70,277,397,167,258
"G26080700","2015","MI",,,"Michigan","26",,,"Troy city","80700",,,,,,,,,,,,,,,,"16000US2680700","Troy city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Troy city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26084000","2015","MI",,,"Michigan","26",,,"Warren city","84000",,,,,,,,,,,,,,,,"16000US2684000","Warren city, Michigan",15686,15189,0,204,89,44,38,287,206,403,613,919,667,1668,1948,1935,1830,1895,890,1041,483,29,0,0,0,0,497,"Warren city, Michigan",1645,1607,167,273,75,81,63,267,157,337,362,504,471,637,783,712,720,726,523,476,366,49,167,167,167,167,276
"G26086000","2015","MI",,,"Michigan","26",,,"Westland city","86000",,,,,,,,,,,,,,,,"16000US2686000","Westland city, Michigan",13206,12954,55,0,0,258,178,197,171,312,315,364,1149,1743,1336,1670,1280,1222,739,889,293,487,125,0,171,0,252,"Westland city, Michigan",1507,1515,90,167,167,197,123,216,162,305,292,263,487,624,471,528,714,566,396,491,309,385,128,167,277,167,162
"G26088940","2015","MI",,,"Michigan","26",,,"Wyoming city","88940",,,,,,,,,,,,,,,,"16000US2688940","Wyoming city, Michigan",10277,10129,0,0,0,188,0,0,0,227,418,744,1308,1678,1273,872,528,1085,966,750,0,68,24,0,0,0,148,"Wyoming city, Michigan",1472,1472,167,167,167,183,167,167,167,205,347,615,751,811,624,527,336,603,648,411,167,110,39,167,167,167,147
"G27006616","2015","MN",,,"Minnesota","27",,,"Bloomington city","06616",,,,,,,,,,,,,,,,"16000US2706616","Bloomington city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bloomington city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27007966","2015","MN",,,"Minnesota","27",,,"Brooklyn Park city","07966",,,,,,,,,,,,,,,,"16000US2707966","Brooklyn Park city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brooklyn Park city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27017000","2015","MN",,,"Minnesota","27",,,"Duluth city","17000",,,,,,,,,,,,,,,,"16000US2717000","Duluth city, Minnesota",13202,12838,534,304,40,865,206,417,642,442,535,547,451,1089,1221,763,560,1122,912,893,585,199,305,162,44,0,364,"Duluth city, Minnesota",1230,1228,306,327,64,391,167,386,334,264,429,263,249,372,398,334,181,452,537,369,287,156,243,168,71,143,258
"G27017288","2015","MN",,,"Minnesota","27",,,"Eagan city","17288",,,,,,,,,,,,,,,,"16000US2717288","Eagan city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eagan city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27040166","2015","MN",,,"Minnesota","27",,,"Maple Grove city","40166",,,,,,,,,,,,,,,,"16000US2740166","Maple Grove city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maple Grove city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27043000","2015","MN",,,"Minnesota","27",,,"Minneapolis city","43000",,,,,,,,,,,,,,,,"16000US2743000","Minneapolis city, Minnesota",91907,90290,1007,637,1633,3716,1261,2254,941,1341,1837,1249,3088,4715,5056,4396,6117,11398,8658,13141,8117,7420,1678,481,78,71,1617,"Minneapolis city, Minnesota",2810,2754,536,418,604,843,554,819,584,540,566,554,890,888,1143,942,1305,1516,1477,1428,1243,1024,501,310,91,116,505
"G27051730","2015","MN",,,"Minnesota","27",,,"Plymouth city","51730",,,,,,,,,,,,,,,,"16000US2751730","Plymouth city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plymouth city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27054880","2015","MN",,,"Minnesota","27",,,"Rochester city","54880",,,,,,,,,,,,,,,,"16000US2754880","Rochester city, Minnesota",12663,12350,348,0,226,319,81,269,46,205,508,403,695,605,795,1184,809,1476,1012,1674,701,535,254,42,163,0,313,"Rochester city, Minnesota",1141,1167,425,143,194,246,96,183,79,213,357,300,569,403,447,559,475,540,452,467,265,331,259,68,123,143,398
"G27056896","2015","MN",,,"Minnesota","27",,,"St. Cloud city","56896",,,,,,,,,,,,,,,,"16000US2756896","St. Cloud city, Minnesota",13732,13468,309,190,92,139,290,574,426,117,270,1268,1171,1053,898,1196,689,2124,1393,998,222,49,0,0,0,0,264,"St. Cloud city, Minnesota",1421,1431,344,286,124,128,294,355,374,145,297,657,533,602,486,586,375,961,667,476,238,78,143,143,143,143,193
"G27058000","2015","MN",,,"Minnesota","27",,,"St. Paul city","58000",,,,,,,,,,,,,,,,"16000US2758000","St. Paul city, Minnesota",56535,55457,920,806,782,2140,790,972,902,439,694,1927,1738,2922,5056,3008,4307,7205,5320,8963,3429,2244,569,184,0,140,1078,"St. Paul city, Minnesota",2223,2285,445,393,398,657,367,517,408,347,348,632,536,817,1146,715,1019,1318,1100,1353,714,779,478,215,143,118,433
"G27071428","2015","MN",,,"Minnesota","27",,,"Woodbury city","71428",,,,,,,,,,,,,,,,"16000US2771428","Woodbury city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Woodbury city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G28029700","2015","MS",,,"Mississippi","28",,,"Gulfport city","29700",,,,,,,,,,,,,,,,"16000US2829700","Gulfport city, Mississippi",14123,13434,0,0,230,0,203,363,104,1020,1394,1135,1217,1243,1203,1236,907,1659,452,804,264,0,0,0,0,0,689,"Gulfport city, Mississippi",1345,1385,207,207,278,207,328,317,173,658,688,597,545,681,667,643,536,539,286,513,200,207,207,207,207,207,344
"G28036000","2015","MS",,,"Mississippi","28",,,"Jackson city","36000",,,,,,,,,,,,,,,,"16000US2836000","Jackson city, Mississippi",29148,27393,749,184,547,247,569,1054,997,682,1255,3369,3074,2760,2928,2788,3273,1414,781,381,211,47,0,83,0,0,1755,"Jackson city, Mississippi",1795,1805,514,164,425,210,408,533,459,350,438,1045,896,1043,836,982,1237,515,443,241,233,84,207,138,207,207,699
"G29015670","2015","MO",,,"Missouri","29",,,"Columbia city","15670",,,,,,,,,,,,,,,,"16000US2915670","Columbia city, Missouri",25774,25216,0,207,486,462,586,880,986,982,1833,2572,1512,3182,2584,1106,988,1588,1277,1488,330,1100,818,149,100,0,558,"Columbia city, Missouri",1905,1887,182,200,366,408,413,539,564,578,819,1030,666,1010,872,628,653,689,600,731,260,653,734,148,175,182,345
"G29035000","2015","MO",,,"Missouri","29",,,"Independence city","35000",,,,,,,,,,,,,,,,"16000US2935000","Independence city, Missouri",20563,20158,293,362,0,797,174,700,598,918,1717,2834,1780,1254,1238,1684,2000,1792,880,988,0,149,0,0,0,0,405,"Independence city, Missouri",1924,1893,376,327,182,507,183,553,449,620,769,1134,777,646,542,819,835,730,494,638,182,175,182,182,182,182,260
"G29038000","2015","MO",,,"Missouri","29",,,"Kansas City city","38000",,,,,,,,,,,,,,,,"16000US2938000","Kansas City city, Missouri",90754,88196,1459,1606,1658,2615,1228,1363,1791,4877,4141,7571,8065,6426,7700,6934,5755,8479,5366,6274,1886,1873,544,158,427,0,2558,"Kansas City city, Missouri",4278,4220,617,745,651,655,499,690,606,1154,949,1447,1457,1084,1397,1531,1376,1607,1153,1224,613,608,506,123,264,182,679
"G29041348","2015","MO",,,"Missouri","29",,,"Lee's Summit city","41348",,,,,,,,,,,,,,,,"16000US2941348","Lee's Summit city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee's Summit city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G29054074","2015","MO",,,"Missouri","29",,,"O'Fallon city","54074",,,,,,,,,,,,,,,,"16000US2954074","O'Fallon city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,"O'Fallon city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G29064082","2015","MO",,,"Missouri","29",,,"St. Charles city","64082",,,,,,,,,,,,,,,,"16000US2964082","St. Charles city, Missouri",10761,10472,89,60,0,113,0,139,365,213,89,473,1082,507,652,1209,1449,1616,901,950,142,204,39,0,180,0,289,"St. Charles city, Missouri",1362,1329,125,74,182,81,182,156,423,313,111,337,492,289,445,478,795,827,500,421,167,188,64,182,140,182,207
"G29064550","2015","MO",,,"Missouri","29",,,"St. Joseph city","64550",,,,,,,,,,,,,,,,"16000US2964550","St. Joseph city, Missouri",10389,9796,101,24,273,200,472,272,412,713,682,929,1048,1399,941,956,491,451,191,0,19,0,0,222,0,0,593,"St. Joseph city, Missouri",1322,1365,125,44,218,205,349,232,335,398,372,376,491,748,486,634,340,286,191,182,32,182,182,219,182,182,400
"G29065000","2015","MO",,,"Missouri","29",,,"St. Louis city","65000",,,,,,,,,,,,,,,,"16000US2965000","St. Louis city, Missouri",80667,79047,1024,969,2430,2311,1479,2459,3686,5033,6849,8627,7724,7094,4097,4878,3861,4214,3196,4320,2722,1484,239,99,252,0,1620,"St. Louis city, Missouri",3265,3281,546,512,877,752,534,857,1006,1172,1295,1721,1132,1213,1071,1090,900,880,893,1042,666,503,275,168,294,182,639
"G29070000","2015","MO",,,"Missouri","29",,,"Springfield city","70000",,,,,,,,,,,,,,,,"16000US2970000","Springfield city, Missouri",40309,39211,0,400,440,371,476,893,2732,3931,6480,3808,3205,3655,4360,1648,1622,1663,1300,968,574,282,262,50,91,0,1098,"Springfield city, Missouri",2417,2451,182,299,301,196,351,387,974,1004,1293,1098,885,959,1217,657,752,811,584,530,471,226,215,85,76,182,457
"G30006550","2015","MT",,,"Montana","30",,,"Billings city","06550",,,,,,,,,,,,,,,,"16000US3006550","Billings city, Montana",16726,16269,0,150,0,288,194,332,164,551,761,1110,661,1039,1320,1429,1654,2047,1208,1972,693,423,46,145,0,82,457,"Billings city, Montana",1669,1661,165,189,165,273,208,369,203,349,508,538,406,590,590,586,841,756,757,727,500,289,75,119,165,132,305
"G30050200","2015","MT",,,"Montana","30",,,"Missoula city","50200",,,,,,,,,,,,,,,,"16000US3050200","Missoula city, Montana",16283,15924,0,323,88,234,243,143,739,440,746,956,1017,753,2120,1316,1759,1550,1475,1189,377,286,0,0,92,78,359,"Missoula city, Montana",1603,1559,165,310,150,272,216,230,632,338,446,522,653,488,1051,739,894,799,737,635,236,272,165,165,145,125,308
"G31028000","2015","NE",,,"Nebraska","31",,,"Lincoln city","28000",,,,,,,,,,,,,,,,"16000US3128000","Lincoln city, Nebraska",48402,47010,282,108,420,307,494,741,2805,3463,3019,2967,4507,4180,3472,2739,2582,5671,2884,3044,1797,551,233,518,0,226,1392,"Lincoln city, Nebraska",2472,2416,273,112,213,156,297,295,732,949,1038,984,1077,1122,815,796,818,1303,952,814,741,359,137,260,155,173,590
"G31037000","2015","NE",,,"Nebraska","31",,,"Omaha city","37000",,,,,,,,,,,,,,,,"16000US3137000","Omaha city, Nebraska",74277,72371,1434,174,637,1542,1295,1230,1163,3327,4939,5762,5267,6084,6234,6200,3649,6977,4906,6338,3044,889,829,233,46,172,1906,"Omaha city, Nebraska",3256,3238,625,132,376,644,509,454,483,933,1173,1206,883,1197,1220,1219,703,1243,1186,1132,794,337,380,199,75,232,464
"G32023770","2015","NV",,,"Nevada","32",,,"Enterprise CDP","23770",,,,,,,,,,,,,,,,"16000US3223770","Enterprise CDP, Nevada",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Enterprise CDP, Nevada",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G32031900","2015","NV",,,"Nevada","32",,,"Henderson city","31900",,,,,,,,,,,,,,,,"16000US3231900","Henderson city, Nevada",40228,38341,43,64,46,469,143,137,45,140,369,582,797,377,1589,1465,2042,6070,5113,9820,4311,3403,828,154,0,334,1887,"Henderson city, Nevada",2797,2785,72,106,75,400,235,222,74,159,306,512,326,315,643,726,849,1465,1350,1568,1119,959,472,145,204,337,621
"G32040000","2015","NV",,,"Nevada","32",,,"Las Vegas city","40000",,,,,,,,,,,,,,,,"16000US3240000","Las Vegas city, Nevada",108599,105695,493,241,725,540,583,615,965,2078,3640,5536,5604,6848,6219,7494,6475,14905,12115,17730,7794,3999,782,117,148,49,2904,"Las Vegas city, Nevada",4291,4136,333,201,323,279,348,312,432,707,803,1096,1293,1085,1022,1465,1515,1903,1607,2138,1444,794,312,138,243,81,862
"G32051800","2015","NV",,,"Nevada","32",,,"North Las Vegas city","51800",,,,,,,,,,,,,,,,"16000US3251800","North Las Vegas city, Nevada",31999,31732,48,179,0,45,48,105,59,510,517,1327,1343,1694,1233,2529,2280,6215,3837,5800,2555,1146,173,0,0,89,267,"North Las Vegas city, Nevada",2245,2237,81,226,204,75,82,126,103,385,274,590,530,594,625,930,789,1445,1063,1132,732,599,186,204,204,144,163
"G32054600","2015","NV",,,"Nevada","32",,,"Paradise CDP","54600",,,,,,,,,,,,,,,,"16000US3254600","Paradise CDP, Nevada",55578,54876,173,218,0,164,0,63,399,1151,1539,3747,4392,4594,5268,5207,4946,6304,5700,6350,2682,1714,227,38,0,0,702,"Paradise CDP, Nevada",2782,2762,188,235,204,190,204,77,240,545,583,866,864,984,1224,1032,915,1317,1236,1231,996,739,238,63,204,204,344
