GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADC4E001,ADC4E002,ADC4E003,ADC4E004,ADC4E005,ADC4E006,ADC4E007,ADC4E008,ADC4E009,ADC4E010,ADC4E011,ADC4E012,ADC4E013,ADC4E014,ADC4E015,ADC4E016,ADC4E017,ADC4E018,ADC4E019,ADC4E020,ADC4E021,ADC4E022,ADC4E023,ADC4E024,ADC4E025,ADC4E026,ADC4E027,NAME_M,ADC4M001,ADC4M002,ADC4M003,ADC4M004,ADC4M005,ADC4M006,ADC4M007,ADC4M008,ADC4M009,ADC4M010,ADC4M011,ADC4M012,ADC4M013,ADC4M014,ADC4M015,ADC4M016,ADC4M017,ADC4M018,ADC4M019,ADC4M020,ADC4M021,ADC4M022,ADC4M023,ADC4M024,ADC4M025,ADC4M026,ADC4M027
"G05024550","2015","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",17431,16930,393,344,0,745,570,1395,1986,2315,1769,1295,1169,1383,1046,177,718,390,65,974,63,70,0,0,63,0,501,"Fort Smith city, Arkansas",1692,1682,390,329,190,479,432,616,735,690,741,653,550,563,542,163,545,272,118,717,109,118,190,190,104,190,229
"G05035710","2015","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",13759,13026,248,39,0,162,311,290,866,1606,1143,988,915,1342,1048,662,553,429,1569,493,152,41,42,45,0,82,733,"Jonesboro city, Arkansas",1590,1538,345,68,190,211,301,359,700,781,544,509,589,672,429,490,382,397,759,358,179,65,73,79,190,134,539
"G05041000","2015","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",37627,36505,198,71,778,666,409,732,983,2301,1508,2518,3811,3344,3441,3070,2758,3742,1927,2144,1572,297,37,90,108,0,1122,"Little Rock city, Arkansas",3041,3018,218,87,482,360,337,523,587,994,684,827,1016,1069,1248,991,1004,1163,831,783,665,273,60,108,127,190,701
"G05050450","2015","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",13244,12987,199,545,145,348,356,155,439,396,1017,1010,1228,492,1428,1046,1577,1833,167,477,129,0,0,0,0,0,257,"North Little Rock city, Arkansas",1467,1472,177,332,169,207,245,147,375,254,561,505,735,357,864,785,964,924,223,339,115,190,190,190,190,190,180
"G05066080","2015","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",11935,11671,0,0,140,112,49,746,572,1073,1761,965,2195,872,835,461,184,716,66,556,67,74,162,65,0,0,264,"Springdale city, Arkansas",1673,1705,190,190,161,189,84,534,426,627,713,548,1089,648,621,405,156,393,113,499,115,127,261,112,190,190,245
"G06000562","2015","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06000884","2015","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002000","2015","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",56523,55361,89,0,436,768,592,311,496,135,216,140,52,529,0,203,402,2371,3347,16437,12706,10621,4836,322,255,97,1162,"Anaheim city, California",2682,2628,101,201,360,449,353,387,291,159,253,171,87,399,201,217,337,816,884,2495,1554,1991,1230,227,187,118,554
"G06002252","2015","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002364","2015","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002553","2015","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",25867,25375,244,51,207,176,520,0,168,183,129,557,1624,1809,3155,1703,2752,2532,3801,3459,1305,789,134,0,77,0,492,"Arden-Arcade CDP, California",2114,2120,401,83,210,228,415,201,203,145,215,284,740,824,1105,862,1219,797,1077,1183,498,521,117,201,127,201,310
