GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AN8FE001,AN8FE002,AN8FE003,AN8FE004,AN8FE005,AN8FE006,AN8FE007,AN8FE008,AN8FE009,AN8FE010,AN8FE011,AN8FE012,AN8FE013,AN8FE014,AN8FE015,AN8FE016,AN8FE017,AN8FE018,AN8FE019,AN8FE020,AN8FE021,AN8FE022,AN8FE023,AN8FE024,AN8FE025,AN8FE026,AN8FE027,NAME_M,AN8FM001,AN8FM002,AN8FM003,AN8FM004,AN8FM005,AN8FM006,AN8FM007,AN8FM008,AN8FM009,AN8FM010,AN8FM011,AN8FM012,AN8FM013,AN8FM014,AN8FM015,AN8FM016,AN8FM017,AN8FM018,AN8FM019,AN8FM020,AN8FM021,AN8FM022,AN8FM023,AN8FM024,AN8FM025,AN8FM026,AN8FM027
"G04073000","2021","AZ",,,"Arizona","04",,,"Tempe city","73000",,,,,,,,,,,,,,,,"1600000US0473000","0473000","Tempe city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tempe city, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G04077000","2021","AZ",,,"Arizona","04",,,"Tucson city","77000",,,,,,,,,,,,,,,,"1600000US0477000","0477000","Tucson city, Arizona",108360,103755,336,311,493,464,954,1485,1350,1378,3446,3826,6073,6318,7935,6441,7666,13355,12268,16348,7378,4247,720,632,189,142,4605,"Tucson city, Arizona",3896,3722,201,258,463,283,471,730,670,703,1398,980,1666,1726,1620,1274,1815,1971,2182,2395,1442,1194,568,709,234,173,1268
"G04085540","2021","AZ",,,"Arizona","04",,,"Yuma city","85540",,,,,,,,,,,,,,,,"1600000US0485540","0485540","Yuma city, Arizona",15050,14827,0,0,21,172,213,463,198,612,541,516,811,773,592,818,1235,1470,1941,2827,1046,160,20,94,0,304,223,"Yuma city, Arizona",2184,2184,224,224,39,277,268,360,205,449,454,327,531,690,408,765,709,686,853,876,765,183,35,160,224,485,251
"G05015190","2021","AR",,,"Arkansas","05",,,"Conway city","15190",,,,,,,,,,,,,,,,"1600000US0515190","0515190","Conway city, Arkansas",14061,14061,0,56,110,140,0,352,362,256,783,1302,1644,1669,493,1163,724,1178,903,1590,840,173,176,0,0,147,0,"Conway city, Arkansas",1235,1235,213,103,187,228,213,320,297,303,407,833,860,857,329,679,374,531,616,834,731,217,286,213,213,238,213
"G05023290","2021","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"1600000US0523290","0523290","Fayetteville city, Arkansas",21324,20988,0,0,62,0,282,201,0,312,543,2242,1762,2427,1424,1157,2165,2836,844,1913,1229,651,678,260,0,0,336,"Fayetteville city, Arkansas",2158,2113,213,213,105,213,343,254,213,282,359,1021,880,1097,936,763,1088,1098,710,812,691,485,591,216,213,213,282
"G05024550","2021","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"1600000US0524550","0524550","Fort Smith city, Arkansas",15703,15198,280,136,64,159,128,1123,803,1077,2830,1348,1640,1023,422,339,1521,1358,694,36,217,0,0,0,0,0,505,"Fort Smith city, Arkansas",1847,1807,323,220,109,262,209,706,543,655,1139,981,871,575,374,299,930,644,544,61,256,213,213,213,213,213,377
"G05035710","2021","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"1600000US0535710","0535710","Jonesboro city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jonesboro city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05041000","2021","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"1600000US0541000","0541000","Little Rock city, Arkansas",40186,39516,317,476,697,474,143,443,608,586,1036,1602,1687,4632,3749,2057,1952,4847,3034,6247,2368,1432,751,266,0,112,670,"Little Rock city, Arkansas",3284,3299,373,437,630,415,231,363,437,387,655,743,801,1524,1331,743,783,1654,1212,2472,1321,771,537,236,213,145,413
"G05060410","2021","AR",,,"Arkansas","05",,,"Rogers city","60410",,,,,,,,,,,,,,,,"1600000US0560410","0560410","Rogers city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rogers city, Arkansas",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G05066080","2021","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"1600000US0566080","0566080","Springdale city, Arkansas",12761,12074,0,0,0,93,45,161,95,0,630,482,679,550,1237,476,476,1816,2103,1941,969,167,0,154,0,0,687,"Springdale city, Arkansas",2068,1989,213,213,213,164,75,268,160,213,502,353,549,442,714,465,446,1079,824,880,734,194,213,136,213,213,451
"G06000562","2021","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"1600000US0600562","0600562","Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06000884","2021","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"1600000US0600884","0600884","Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alhambra city, California",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G06002000","2021","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"1600000US0602000","0602000","Anaheim city, California",53924,52895,38,264,51,1572,421,212,46,330,286,0,144,74,92,180,155,279,693,4773,8493,21244,8537,3092,1161,758,1029,"Anaheim city, California",3074,3046,62,314,86,878,434,227,77,230,410,218,235,126,110,178,151,201,441,1322,1738,2175,1650,1066,712,529,439
