GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3AE001,AA3AE002,AA3AE003,AA3AE004,AA3AE005,AA3AE006,AA3AE007,AA3AE008,AA3AE009,AA3AE010,AA3AE011,AA3AE012,AA3AE013,AA3AE014,AA3AE015,AA3AE016,AA3AE017,AA3AE018,AA3AE019,AA3AE020,AA3AE021,AA3AE022,AA3AE023,AA3AE024,NAME_M,AA3AM001,AA3AM002,AA3AM003,AA3AM004,AA3AM005,AA3AM006,AA3AM007,AA3AM008,AA3AM009,AA3AM010,AA3AM011,AA3AM012,AA3AM013,AA3AM014,AA3AM015,AA3AM016,AA3AM017,AA3AM018,AA3AM019,AA3AM020,AA3AM021,AA3AM022,AA3AM023,AA3AM024
"G05023290","2014","AR",,,"Arkansas","05",,,"Fayetteville city","23290",,,,,,,,,,,,,,,,"16000US0523290","Fayetteville city, Arkansas",19133,18718,114,82,0,166,301,464,1569,1877,1684,1675,2084,1511,1013,404,448,1889,589,1544,718,428,158,415,"Fayetteville city, Arkansas",2157,2227,193,135,190,160,461,412,784,888,777,770,1249,753,605,373,309,1001,390,831,534,260,192,406
"G05024550","2014","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",14002,13308,111,468,192,356,462,598,1725,1945,693,1920,1794,536,539,594,667,387,76,151,0,94,0,694,"Fort Smith city, Arkansas",1629,1675,149,566,241,292,352,353,783,774,384,875,800,350,398,389,574,313,126,161,190,114,190,410
"G05035710","2014","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",12849,12673,140,321,134,206,145,611,584,772,1285,1092,749,1627,1390,433,1130,904,355,267,248,280,0,176,"Jonesboro city, Arkansas",1841,1846,134,383,163,210,188,572,369,497,662,568,433,743,717,321,583,519,375,279,267,391,190,204
"G05041000","2014","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",32859,31658,435,373,155,454,623,410,761,1806,1833,3033,4014,4269,3525,1419,1665,2003,1261,1957,457,532,673,1201,"Little Rock city, Arkansas",2995,3064,324,325,130,444,450,420,570,736,722,1111,1304,1266,1111,637,785,849,546,772,366,411,585,427
"G05050450","2014","AR",,,"Arkansas","05",,,"North Little Rock city","50450",,,,,,,,,,,,,,,,"16000US0550450","North Little Rock city, Arkansas",13474,13308,141,796,192,554,543,0,377,473,767,1080,1574,1607,1323,1652,1124,171,309,562,40,0,23,166,"North Little Rock city, Arkansas",1385,1410,195,405,235,285,383,190,293,333,385,447,758,753,825,1010,581,223,345,430,69,190,38,126
"G05066080","2014","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",12548,12052,0,103,0,96,0,415,1160,1398,1424,492,1441,1238,2169,508,0,614,150,440,248,70,86,496,"Springdale city, Arkansas",1506,1538,190,170,190,151,190,383,604,709,737,353,870,783,1030,471,190,419,149,433,397,115,135,430
"G06000562","2014","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06000884","2014","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",16791,16288,0,0,0,81,0,138,0,0,42,166,324,315,293,292,451,865,2781,5096,2821,2435,188,503,"Alhambra city, California",1300,1284,200,200,200,67,200,140,200,200,70,215,181,256,356,247,239,376,862,1049,758,724,138,252
"G06002000","2014","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",52680,51252,210,146,405,1029,97,170,65,319,150,253,45,171,36,403,525,1723,3841,16060,10578,9973,5053,1428,"Anaheim city, California",2991,2918,230,130,393,570,158,155,108,211,153,251,75,202,60,298,296,628,857,1816,1595,1439,1238,646
"G06002252","2014","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,
