GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PF8E001,PF8E002,PF8E003,PF8E004,PF8E005,PF8E006,PF8E007,PF8E008,PF8E009,PF8E010,PF8E011,PF8E012,PF8E013,PF8E014,PF8E015,PF8E016,PF8E017,PF8E018,PF8E019,PF8E020,PF8E021,PF8E022,PF8E023,PF8E024,NAME_M,PF8M001,PF8M002,PF8M003,PF8M004,PF8M005,PF8M006,PF8M007,PF8M008,PF8M009,PF8M010,PF8M011,PF8M012,PF8M013,PF8M014,PF8M015,PF8M016,PF8M017,PF8M018,PF8M019,PF8M020,PF8M021,PF8M022,PF8M023,PF8M024
"G05024550","2012","AR",,,"Arkansas","05",,,"Fort Smith city","24550",,,,,,,,,,,,,,,,"16000US0524550","Fort Smith city, Arkansas",16807,16044,503,459,278,311,816,1384,1791,1403,1839,2523,977,969,796,439,199,287,316,325,82,0,347,763,"Fort Smith city, Arkansas",1547,1509,375,409,266,213,573,604,661,566,800,979,479,531,492,327,166,247,229,326,92,184,295,372
"G05035710","2012","AR",,,"Arkansas","05",,,"Jonesboro city","35710",,,,,,,,,,,,,,,,"16000US0535710","Jonesboro city, Arkansas",11897,11138,90,199,80,297,77,305,1086,683,1243,901,1362,1549,883,122,457,255,548,121,256,624,0,759,"Jonesboro city, Arkansas",1237,1232,112,176,139,274,97,263,573,391,521,414,584,725,463,150,424,171,399,144,329,382,184,504
"G05041000","2012","AR",,,"Arkansas","05",,,"Little Rock city","41000",,,,,,,,,,,,,,,,"16000US0541000","Little Rock city, Arkansas",33946,33096,459,599,435,1156,783,1483,1029,2816,2309,4001,3082,3584,2104,1616,1765,2869,828,1252,329,457,140,850,"Little Rock city, Arkansas",2769,2778,230,468,261,654,579,763,475,977,988,1141,1090,1022,759,670,657,921,563,593,321,355,161,382
"G05066080","2012","AR",,,"Arkansas","05",,,"Springdale city","66080",,,,,,,,,,,,,,,,"16000US0566080","Springdale city, Arkansas",11628,11145,354,0,256,0,490,362,1561,615,1461,1055,967,873,701,989,638,66,193,487,0,77,0,483,"Springdale city, Arkansas",1471,1505,290,184,229,184,476,359,664,387,761,529,551,550,425,778,575,113,210,506,184,127,184,307
"G06000562","2012","CA",,,"California","06",,,"Alameda city","00562",,,,,,,,,,,,,,,,"16000US0600562","Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Alameda city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06000884","2012","CA",,,"California","06",,,"Alhambra city","00884",,,,,,,,,,,,,,,,"16000US0600884","Alhambra city, California",17456,16481,0,240,114,239,0,101,40,40,80,379,0,198,311,228,430,1778,2264,5109,2399,2264,267,975,"Alhambra city, California",1454,1253,197,219,110,207,197,120,68,64,92,282,197,215,272,208,247,719,579,969,731,558,223,497
"G06002000","2012","CA",,,"California","06",,,"Anaheim city","02000",,,,,,,,,,,,,,,,"16000US0602000","Anaheim city, California",53841,53297,53,197,366,968,58,79,669,216,321,414,61,377,542,199,766,3266,5570,16607,10779,7373,4416,544,"Anaheim city, California",2657,2590,86,238,294,473,95,96,418,145,356,359,74,317,483,169,384,746,1093,2236,1565,1255,1136,300
"G06002252","2012","CA",,,"California","06",,,"Antioch city","02252",,,,,,,,,,,,,,,,"16000US0602252","Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Antioch city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06002364","2012","CA",,,"California","06",,,"Apple Valley town","02364",,,,,,,,,,,,,,,,"16000US0602364","Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,,"Apple Valley town, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06002553","2012","CA",,,"California","06",,,"Arden-Arcade CDP","02553",,,,,,,,,,,,,,,,"16000US0602553","Arden-Arcade CDP, California",22307,21828,90,0,195,39,81,0,326,549,384,742,1370,2647,3126,2319,1825,2782,662,2376,1145,799,371,479,"Arden-Arcade CDP, California",2290,2267,107,197,165,66,134,197,258,356,355,423,549,1143,1063,796,659,899,336,798,599,492,364,259
"G06003526","2012","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",47885,46532,213,31,124,411,368,103,403,873,1036,2628,2656,2558,4708,2951,1722,5561,3106,10327,4085,2322,346,1353,"Bakersfield city, California",2905,2961,220,50,133,279,314,114,309,540,496,883,953,873,1329,963,592,1364,855,1687,1150,927,211,627
"G06003666","2012","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin Park city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06004982","2012","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",15495,15180,45,0,0,64,0,74,0,58,152,346,380,351,80,476,366,1894,1656,4888,2050,1757,543,315,"Bellflower city, California",1252,1239,73,197,197,77,197,87,197,69,152,279,298,186,94,284,261,577,700,1022,590,649,338,268
"G06006000","2012","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",26326,25449,0,356,329,752,428,216,207,200,261,547,808,322,653,884,596,1881,1551,3181,3835,4772,3670,877,"Berkeley city, California",1680,1602,197,258,267,495,311,161,171,151,222,342,464,239,394,599,344,730,509,790,856,916,884,497
"G06008786","2012","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Buena Park city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06008954","2012","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",22986,22812,0,0,0,256,39,192,241,84,37,40,108,226,279,648,136,1622,2761,5048,4424,4217,2454,174,"Burbank city, California",1662,1642,197,197,197,233,65,315,339,101,61,67,103,157,246,416,130,640,795,1101,1041,1064,662,154
"G06010046","2012","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Camarillo city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06011194","2012","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Carlsbad city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06011530","2012","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Carson city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06013014","2012","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",19143,18589,65,45,230,22,168,93,9,27,498,967,797,1450,1018,1449,1534,2463,1622,3688,1476,528,440,554,"Chico city, California",1741,1769,81,57,274,37,165,111,16,52,294,488,367,591,581,575,887,721,529,951,700,355,249,297
"G06013210","2012","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Chino city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06013214","2012","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Chino Hills city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06013392","2012","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",30781,30385,87,69,0,544,302,39,186,48,372,533,699,334,184,986,983,2677,3992,6115,4092,5177,2966,396,"Chula Vista city, California",2655,2599,124,115,197,253,195,66,200,39,318,375,669,216,260,510,415,734,1048,1343,1286,1431,1113,243
"G06013588","2012","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06014218","2012","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",14052,13759,143,0,174,0,44,50,68,242,415,249,452,748,475,1162,1379,1432,1793,2265,1667,798,203,293,"Clovis city, California",1335,1350,238,197,284,197,75,84,113,315,486,194,292,390,266,692,703,575,698,861,755,439,136,242
"G06015044","2012","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",9953,9557,67,193,157,128,133,44,126,286,49,300,60,382,356,565,629,958,773,2416,570,1325,40,396,"Compton city, California",1052,1007,80,199,153,151,164,71,160,220,80,253,70,197,242,300,370,390,363,650,378,520,64,270
"G06016000","2012","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06016350","2012","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Corona city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06016532","2012","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06017918","2012","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06018100","2012","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06019766","2012","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06020802","2012","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",21100,20511,221,161,60,329,349,160,48,46,170,510,695,736,914,1504,618,3045,3018,5536,1455,755,181,589,"East Los Angeles CDP, California",1582,1606,261,206,72,184,283,138,41,55,151,271,343,377,421,512,334,758,699,1049,558,386,213,288
