GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PF8E001,PF8E002,PF8E003,PF8E004,PF8E005,PF8E006,PF8E007,PF8E008,PF8E009,PF8E010,PF8E011,PF8E012,PF8E013,PF8E014,PF8E015,PF8E016,PF8E017,PF8E018,PF8E019,PF8E020,PF8E021,PF8E022,PF8E023,PF8E024,NAME_M,PF8M001,PF8M002,PF8M003,PF8M004,PF8M005,PF8M006,PF8M007,PF8M008,PF8M009,PF8M010,PF8M011,PF8M012,PF8M013,PF8M014,PF8M015,PF8M016,PF8M017,PF8M018,PF8M019,PF8M020,PF8M021,PF8M022,PF8M023,PF8M024
"G23060545","2012","ME",,,"Maine","23",,,"Portland city","60545",,,,,,,,,,,,,,,,"16000US2360545","Portland city, Maine",17194,16146,108,364,589,363,428,195,157,0,242,526,356,601,985,1380,959,2674,1765,2576,684,787,407,1048,"Portland city, Maine",1409,1347,109,239,313,175,234,166,142,155,213,388,204,289,501,542,422,777,658,791,376,537,240,690
"G24004000","2012","MD",,,"Maryland","24",,,"Baltimore city","04000",,,,,,,,,,,,,,,,"16000US2404000","Baltimore city, Maryland",131206,128246,4387,3252,4698,4484,2290,1825,2074,2766,3534,5320,4683,8151,10697,8224,8710,16689,9471,12803,6376,5029,2783,2960,"Baltimore city, Maryland",4178,4231,1060,728,1093,1178,634,631,671,867,1086,1183,1210,1439,1713,1274,1841,2342,1610,1859,1235,1024,759,841
"G24019125","2012","MD",,,"Maryland","24",,,"Columbia CDP","19125",,,,,,,,,,,,,,,,"16000US2419125","Columbia CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,"Columbia CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,
"G24026000","2012","MD",,,"Maryland","24",,,"Ellicott City CDP","26000",,,,,,,,,,,,,,,,"16000US2426000","Ellicott City CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,"Ellicott City CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,
"G24030325","2012","MD",,,"Maryland","24",,,"Frederick city","30325",,,,,,,,,,,,,,,,"16000US2430325","Frederick city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,"Frederick city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,
"G24032025","2012","MD",,,"Maryland","24",,,"Germantown CDP","32025",,,,,,,,,,,,,,,,"16000US2432025","Germantown CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,"Germantown CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,
"G24032650","2012","MD",,,"Maryland","24",,,"Glen Burnie CDP","32650",,,,,,,,,,,,,,,,"16000US2432650","Glen Burnie CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,"Glen Burnie CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,
"G24072450","2012","MD",,,"Maryland","24",,,"Silver Spring CDP","72450",,,,,,,,,,,,,,,,"16000US2472450","Silver Spring CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,"Silver Spring CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,
"G24081175","2012","MD",,,"Maryland","24",,,"Waldorf CDP","81175",,,,,,,,,,,,,,,,"16000US2481175","Waldorf CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,"Waldorf CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,
"G25007000","2012","MA",,,"Massachusetts","25",,,"Boston city","07000",,,,,,,,,,,,,,,,"16000US2507000","Boston city, Massachusetts",165161,161205,3124,3555,4088,8423,4709,4024,3193,2782,2203,3513,1505,2667,1533,3166,2022,7971,9607,25630,18639,28366,20485,3956,"Boston city, Massachusetts",4226,4357,1038,1036,950,1632,1142,952,821,814,708,929,697,766,613,1068,663,1503,1576,2277,1950,2223,2079,889
"G25009000","2012","MA",,,"Massachusetts","25",,,"Brockton city","09000",,,,,,,,,,,,,,,,"16000US2509000","Brockton city, Massachusetts",12735,12006,167,490,193,660,468,147,518,194,92,48,425,286,514,409,465,799,1109,3679,968,375,0,729,"Brockton city, Massachusetts",1490,1431,189,381,205,375,340,172,410,204,154,77,428,282,344,339,288,366,472,730,515,298,195,570
"G25011000","2012","MA",,,"Massachusetts","25",,,"Cambridge city","11000",,,,,,,,,,,,,,,,"16000US2511000","Cambridge city, Massachusetts",26735,26260,160,245,657,278,393,459,293,629,34,493,181,349,79,423,348,882,654,2762,3370,8173,5398,475,"Cambridge city, Massachusetts",1610,1564,157,194,329,238,239,382,282,377,57,263,134,276,94,312,234,625,311,621,744,1170,710,322
"G25023000","2012","MA",,,"Massachusetts","25",,,"Fall River city","23000",,,,,,,,,,,,,,,,"16000US2523000","Fall River city, Massachusetts",26308,25752,234,194,615,1279,337,1709,969,1908,1648,3000,1547,3439,1871,999,1873,2040,658,1307,125,0,0,556,"Fall River city, Massachusetts",1606,1623,243,203,481,485,188,832,600,610,677,933,649,1007,666,445,663,766,376,527,185,195,195,362
"G25024960","2012","MA",,,"Massachusetts","25",,,"Framingham CDP","24960",,,,,,,,,,,,,,,,"16000US2524960","Framingham CDP, Massachusetts",13378,13160,138,219,394,248,400,456,256,406,0,99,96,284,96,192,544,824,1439,2966,1637,2013,453,218,"Framingham CDP, Massachusetts",1585,1557,168,158,416,260,420,357,261,316,195,116,112,279,117,315,466,478,591,862,769,922,238,164
"G25034550","2012","MA",,,"Massachusetts","25",,,"Lawrence city","34550",,,,,,,,,,,,,,,,"16000US2534550","Lawrence city, Massachusetts",18367,18246,495,332,403,1300,245,151,266,205,155,528,357,515,1385,787,1000,2465,3908,3046,591,112,0,121,"Lawrence city, Massachusetts",1269,1248,311,274,192,426,204,153,239,175,138,265,225,265,704,504,439,730,980,813,342,135,195,116
"G25037000","2012","MA",,,"Massachusetts","25",,,"Lowell city","37000",,,,,,,,,,,,,,,,"16000US2537000","Lowell city, Massachusetts",23165,22999,638,308,200,973,471,304,308,488,393,770,626,1126,295,1120,790,4753,3107,4250,1183,672,224,166,"Lowell city, Massachusetts",1867,1837,446,349,158,325,510,220,277,363,276,447,370,476,190,455,390,1202,940,1176,572,367,372,141
"G25037490","2012","MA",,,"Massachusetts","25",,,"Lynn city","37490",,,,,,,,,,,,,,,,"16000US2537490","Lynn city, Massachusetts",18231,17939,597,560,180,869,996,634,420,138,363,731,131,415,573,676,1217,2123,2387,3900,413,552,64,292,"Lynn city, Massachusetts",1556,1584,332,320,134,399,463,320,256,153,413,331,129,299,308,445,482,620,800,855,268,314,112,234
"G25045000","2012","MA",,,"Massachusetts","25",,,"New Bedford city","45000",,,,,,,,,,,,,,,,"16000US2545000","New Bedford city, Massachusetts",21728,21282,346,702,868,817,358,424,195,1052,751,1932,1309,2044,2623,1785,1825,1965,901,681,462,172,70,446,"New Bedford city, Massachusetts",1478,1463,314,371,430,297,207,221,140,432,291,517,541,650,734,687,728,590,381,362,393,173,89,207
"G25045560","2012","MA",,,"Massachusetts","25",,,"Newton city","45560",,,,,,,,,,,,,,,,"16000US2545560","Newton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,"Newton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,
"G25055745","2012","MA",,,"Massachusetts","25",,,"Quincy city","55745",,,,,,,,,,,,,,,,"16000US2555745","Quincy city, Massachusetts",20863,20044,0,499,108,487,44,386,214,434,111,527,223,257,41,372,106,1800,2202,6005,2784,2690,754,819,"Quincy city, Massachusetts",2007,1959,195,399,136,278,69,153,289,461,134,273,222,170,69,285,127,777,922,1190,916,803,436,507
"G25062535","2012","MA",,,"Massachusetts","25",,,"Somerville city","62535",,,,,,,,,,,,,,,,"16000US2562535","Somerville city, Massachusetts",20279,19824,193,0,160,243,230,331,411,0,136,312,268,296,85,370,340,758,1273,4843,4293,3784,1498,455,"Somerville city, Massachusetts",1999,2016,240,195,195,194,314,332,373,195,198,330,254,237,101,264,295,434,702,1071,1194,824,469,319
"G25067000","2012","MA",,,"Massachusetts","25",,,"Springfield city","67000",,,,,,,,,,,,,,,,"16000US2567000","Springfield city, Massachusetts",29769,28942,692,1305,1119,2850,913,799,1315,646,212,1224,1130,920,1820,2343,2356,4434,2272,1528,534,254,276,827,"Springfield city, Massachusetts",1659,1609,484,601,490,931,510,355,542,319,217,587,526,383,618,831,920,1061,753,542,342,226,147,449
"G25082000","2012","MA",,,"Massachusetts","25",,,"Worcester city","82000",,,,,,,,,,,,,,,,"16000US2582000","Worcester city, Massachusetts",38995,38275,573,388,553,2099,1460,1165,518,827,748,1056,400,1491,1753,3980,2253,6311,4465,6066,1274,782,113,720,"Worcester city, Massachusetts",2188,2227,364,282,430,677,684,536,405,495,583,536,295,540,497,1088,758,1150,952,1365,578,503,130,361
"G26003000","2012","MI",,,"Michigan","26",,,"Ann Arbor city","03000",,,,,,,,,,,,,,,,"16000US2603000","Ann Arbor city, Michigan",26367,25910,150,40,209,201,132,179,116,372,781,1058,414,872,1047,1421,1508,3075,3718,4598,2524,2431,1064,457,"Ann Arbor city, Michigan",1815,1770,155,71,249,189,148,188,139,390,385,510,264,379,521,536,543,744,994,888,675,653,475,266
"G26021000","2012","MI",,,"Michigan","26",,,"Dearborn city","21000",,,,,,,,,,,,,,,,"16000US2621000","Dearborn city, Michigan",9938,9618,235,0,160,168,0,201,120,547,458,1276,449,537,659,918,462,600,512,1240,362,119,595,320,"Dearborn city, Michigan",1227,1185,190,161,173,150,161,157,114,358,295,474,258,322,348,480,232,406,374,554,299,117,310,188
"G26022000","2012","MI",,,"Michigan","26",,,"Detroit city","22000",,,,,,,,,,,,,,,,"16000US2622000","Detroit city, Michigan",126838,118571,3045,2287,3742,4074,2612,5676,5707,10883,10100,14298,9621,11731,7745,6131,6157,7758,2631,2475,1214,597,87,8267,"Detroit city, Michigan",4034,4125,795,688,768,859,637,925,1003,1490,1285,1649,1318,1360,1148,1060,1236,1243,637,909,541,463,76,1122
"G26027440","2012","MI",,,"Michigan","26",,,"Farmington Hills city","27440",,,,,,,,,,,,,,,,"16000US2627440","Farmington Hills city, Michigan",14129,13896,0,0,209,148,45,0,162,0,177,428,700,1037,851,1178,1201,2918,1484,1971,630,642,115,233,"Farmington Hills city, Michigan",1584,1611,161,161,230,91,74,161,268,161,231,488,515,337,689,585,483,1002,632,674,347,481,137,245
"G26029000","2012","MI",,,"Michigan","26",,,"Flint city","29000",,,,,,,,,,,,,,,,"16000US2629000","Flint city, Michigan",17447,16098,809,379,466,647,207,959,1635,2480,2375,2014,1381,880,1066,276,185,68,0,232,0,0,39,1349,"Flint city, Michigan",1694,1685,497,182,331,407,148,451,552,655,797,680,705,476,438,225,185,83,161,225,161,161,64,508
"G26034000","2012","MI",,,"Michigan","26",,,"Grand Rapids city","34000",,,,,,,,,,,,,,,,"16000US2634000","Grand Rapids city, Michigan",33384,32783,387,317,1061,542,515,258,467,1675,2140,3643,3493,4114,2853,2477,1795,2565,1201,1825,487,815,153,601,"Grand Rapids city, Michigan",2350,2348,243,219,543,281,455,227,343,619,836,814,1038,1131,1048,798,667,649,578,738,262,326,148,298
"G26042160","2012","MI",,,"Michigan","26",,,"Kalamazoo city","42160",,,,,,,,,,,,,,,,"16000US2642160","Kalamazoo city, Michigan",15392,14880,425,188,333,353,211,542,1389,817,920,1202,1698,1334,778,904,1000,982,764,266,328,303,143,512,"Kalamazoo city, Michigan",1560,1555,390,194,303,219,233,321,675,419,439,440,748,603,318,394,597,569,538,285,294,332,175,408
"G26046000","2012","MI",,,"Michigan","26",,,"Lansing city","46000",,,,,,,,,,,,,,,,"16000US2646000","Lansing city, Michigan",23520,22786,547,449,447,550,248,306,1228,1260,2064,2009,2875,1901,2709,1755,1310,1350,603,979,64,72,60,734,"Lansing city, Michigan",1488,1457,433,327,241,379,171,198,671,520,725,651,910,603,822,685,558,618,398,550,77,110,101,399
"G26049000","2012","MI",,,"Michigan","26",,,"Livonia city","49000",,,,,,,,,,,,,,,,"16000US2649000","Livonia city, Michigan",5917,5242,31,0,0,133,255,157,0,153,41,217,261,197,349,256,591,351,419,1137,305,240,149,675,"Livonia city, Michigan",806,837,54,161,161,219,180,128,161,116,68,202,202,204,312,188,413,255,385,489,238,152,130,360
"G26069035","2012","MI",,,"Michigan","26",,,"Rochester Hills city","69035",,,,,,,,,,,,,,,,"16000US2669035","Rochester Hills city, Michigan",6964,6485,0,0,0,44,0,163,162,0,174,44,472,707,291,578,197,855,734,867,661,95,441,479,"Rochester Hills city, Michigan",1088,1054,161,161,161,72,161,160,268,161,170,72,311,431,217,373,135,489,605,415,381,97,297,237
"G26074900","2012","MI",,,"Michigan","26",,,"Southfield city","74900",,,,,,,,,,,,,,,,"16000US2674900","Southfield city, Michigan",16156,15630,74,106,237,355,133,86,0,139,470,523,717,1669,1289,1438,1303,2659,1256,1703,679,637,157,526,"Southfield city, Michigan",1516,1511,121,176,196,276,152,100,161,109,390,307,342,754,490,658,499,833,515,568,304,347,138,305
"G26076460","2012","MI",,,"Michigan","26",,,"Sterling Heights city","76460",,,,,,,,,,,,,,,,"16000US2676460","Sterling Heights city, Michigan",13681,12420,183,39,245,212,135,238,0,97,301,620,1653,1159,686,828,1345,706,960,1476,1053,249,235,1261,"Sterling Heights city, Michigan",1841,1741,179,64,221,254,104,200,161,114,273,491,714,568,356,453,626,469,506,715,531,217,160,672
"G26080700","2012","MI",,,"Michigan","26",,,"Troy city","80700",,,,,,,,,,,,,,,,"16000US2680700","Troy city, Michigan",8226,8071,40,112,81,111,0,39,124,42,69,0,171,445,320,584,603,1391,892,1369,348,1002,328,155,"Troy city, Michigan",906,907,67,151,98,142,161,65,69,69,82,161,176,334,292,331,324,415,404,519,202,394,228,104
"G26084000","2012","MI",,,"Michigan","26",,,"Warren city","84000",,,,,,,,,,,,,,,,"16000US2684000","Warren city, Michigan",15160,14350,116,139,234,81,124,100,532,160,598,402,1315,1840,2037,1467,1646,1280,1070,791,298,0,120,810,"Warren city, Michigan",1762,1760,144,183,255,93,200,120,337,146,257,208,403,544,798,686,639,516,622,440,302,161,67,341
"G26086000","2012","MI",,,"Michigan","26",,,"Westland city","86000",,,,,,,,,,,,,,,,"16000US2686000","Westland city, Michigan",13372,13173,0,132,37,251,203,232,322,41,263,807,1554,1722,1488,1918,474,1301,697,1330,83,254,64,199,"Westland city, Michigan",1546,1548,161,156,60,297,209,132,147,68,168,375,637,708,666,664,335,619,360,575,137,161,105,175
"G26088940","2012","MI",,,"Michigan","26",,,"Wyoming city","88940",,,,,,,,,,,,,,,,"16000US2688940","Wyoming city, Michigan",9795,9310,0,38,318,59,109,170,186,237,952,785,1073,1371,647,1021,603,623,193,587,82,25,231,485,"Wyoming city, Michigan",1449,1391,161,62,286,95,132,222,226,317,579,479,639,627,412,569,568,548,156,364,137,41,182,348
"G27006616","2012","MN",,,"Minnesota","27",,,"Bloomington city","06616",,,,,,,,,,,,,,,,"16000US2706616","Bloomington city, Minnesota",12233,11819,48,210,83,376,329,0,85,42,115,210,87,727,775,750,1364,2301,1042,1456,1034,388,397,414,"Bloomington city, Minnesota",1248,1248,82,192,96,225,291,139,137,69,134,268,98,429,331,389,581,761,497,528,547,370,181,279
"G27007966","2012","MN",,,"Minnesota","27",,,"Brooklyn Park city","07966",,,,,,,,,,,,,,,,"16000US2707966","Brooklyn Park city, Minnesota",8942,8668,63,0,303,0,193,0,57,0,48,0,269,1185,1217,887,963,1026,583,428,1045,184,217,274,"Brooklyn Park city, Minnesota",1453,1381,106,139,264,139,248,139,95,139,82,139,260,519,503,560,625,589,548,330,625,133,167,256
"G27017000","2012","MN",,,"Minnesota","27",,,"Duluth city","17000",,,,,,,,,,,,,,,,"16000US2717000","Duluth city, Minnesota",14078,13746,562,38,320,879,326,583,417,660,319,884,918,756,1030,1146,1101,1122,602,801,582,473,227,332,"Duluth city, Minnesota",1262,1219,347,65,241,395,237,381,227,371,184,315,321,332,438,443,400,425,282,329,264,416,184,206
"G27043000","2012","MN",,,"Minnesota","27",,,"Minneapolis city","43000",,,,,,,,,,,,,,,,"16000US2743000","Minneapolis city, Minnesota",85825,84274,2478,1105,1785,3901,1505,777,689,2346,2071,3095,4353,5461,7095,5272,4741,9027,6244,11019,5961,3872,1477,1551,"Minneapolis city, Minnesota",2981,3031,1045,594,617,823,614,417,354,733,751,899,882,1072,1150,966,946,1202,1087,1431,1359,831,511,680
"G27051730","2012","MN",,,"Minnesota","27",,,"Plymouth city","51730",,,,,,,,,,,,,,,,"16000US2751730","Plymouth city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,"Plymouth city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,
"G27054880","2012","MN",,,"Minnesota","27",,,"Rochester city","54880",,,,,,,,,,,,,,,,"16000US2754880","Rochester city, Minnesota",12885,12714,0,170,507,301,286,152,176,156,743,877,798,1281,1681,814,481,548,1136,1372,661,317,257,171,"Rochester city, Minnesota",1168,1192,139,210,373,296,212,149,139,158,466,430,360,583,582,342,355,282,508,601,290,240,155,142
"G27056896","2012","MN",,,"Minnesota","27",,,"St. Cloud city","56896",,,,,,,,,,,,,,,,"16000US2756896","St. Cloud city, Minnesota",11593,11247,0,0,41,340,371,214,291,580,953,1383,1188,698,1344,501,953,889,583,708,175,35,0,346,"St. Cloud city, Minnesota",1372,1349,139,139,79,278,271,179,302,396,663,740,555,384,514,306,645,519,382,496,166,58,139,317
"G27058000","2012","MN",,,"Minnesota","27",,,"St. Paul city","58000",,,,,,,,,,,,,,,,"16000US2758000","St. Paul city, Minnesota",55846,54585,1085,779,1092,2159,894,905,878,1159,1519,2978,3053,3414,3661,5184,5027,5717,4316,6062,3062,1227,414,1261,"St. Paul city, Minnesota",2549,2488,388,466,397,504,317,372,542,520,523,767,766,811,898,1000,943,959,929,1054,705,540,274,481
"G28029700","2012","MS",,,"Mississippi","28",,,"Gulfport city","29700",,,,,,,,,,,,,,,,"16000US2829700","Gulfport city, Mississippi",13199,12449,276,81,194,111,0,0,402,166,1274,962,1465,1323,576,1801,1008,1590,483,539,95,103,0,750,"Gulfport city, Mississippi",1363,1440,241,130,233,120,198,198,346,171,576,597,559,584,354,716,535,662,326,469,120,170,198,415
"G28036000","2012","MS",,,"Mississippi","28",,,"Jackson city","36000",,,,,,,,,,,,,,,,"16000US2836000","Jackson city, Mississippi",29846,27385,686,1034,594,685,1196,1351,1626,1457,1428,3436,2179,2143,1923,2158,2022,2200,715,259,177,33,83,2461,"Jackson city, Mississippi",1969,2122,396,453,376,334,488,539,591,581,539,858,581,774,665,748,820,822,537,209,178,66,135,797
"G29015670","2012","MO",,,"Missouri","29",,,"Columbia city","15670",,,,,,,,,,,,,,,,"16000US2915670","Columbia city, Missouri",23544,22680,243,315,69,216,168,601,528,1351,2159,2248,1497,2550,2044,1679,835,544,1105,2011,1195,1196,126,864,"Columbia city, Missouri",1773,1762,254,275,113,115,190,414,311,720,686,722,738,855,646,771,650,411,554,860,774,557,155,554
"G29035000","2012","MO",,,"Missouri","29",,,"Independence city","35000",,,,,,,,,,,,,,,,"16000US2935000","Independence city, Missouri",14344,13844,107,361,557,599,0,345,687,698,1327,1190,1435,1287,1380,992,561,1325,82,269,85,208,349,500,"Independence city, Missouri",1793,1803,136,440,468,398,177,270,418,398,611,609,609,620,603,498,319,698,97,327,141,338,416,439
"G29038000","2012","MO",,,"Missouri","29",,,"Kansas City city","38000",,,,,,,,,,,,,,,,"16000US2938000","Kansas City city, Missouri",89589,86735,2302,969,1435,1548,1469,2219,4023,5457,6634,7399,9546,8114,6951,5144,4706,6660,3850,4670,2008,577,1054,2854,"Kansas City city, Missouri",3332,3285,804,471,451,506,587,591,876,1126,1321,1440,1592,1531,1453,1233,1166,1301,975,1153,654,272,373,778
"G29041348","2012","MO",,,"Missouri","29",,,"Lee's Summit city","41348",,,,,,,,,,,,,,,,"16000US2941348","Lee's Summit city, Missouri",9235,8557,0,122,213,0,123,0,0,70,609,474,352,364,825,250,744,1486,704,1176,218,507,320,678,"Lee's Summit city, Missouri",1551,1391,177,142,353,177,202,177,177,116,478,458,290,260,535,207,520,585,326,589,215,398,250,553
"G29054074","2012","MO",,,"Missouri","29",,,"O'Fallon city","54074",,,,,,,,,,,,,,,,"16000US2954074","O'Fallon city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,"O'Fallon city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,
"G29064082","2012","MO",,,"Missouri","29",,,"St. Charles city","64082",,,,,,,,,,,,,,,,"16000US2964082","St. Charles city, Missouri",9500,9357,78,251,207,205,0,0,156,483,507,337,417,1508,1236,983,783,624,510,553,184,102,233,143,"St. Charles city, Missouri",1132,1135,93,270,178,154,177,177,143,349,352,222,314,639,597,557,477,378,377,336,127,121,127,127
"G29064550","2012","MO",,,"Missouri","29",,,"St. Joseph city","64550",,,,,,,,,,,,,,,,"16000US2964550","St. Joseph city, Missouri",11629,11013,424,61,227,136,126,249,919,1550,1154,847,1155,1666,590,439,416,408,272,121,128,125,0,616,"St. Joseph city, Missouri",1153,1114,385,89,204,111,127,209,374,541,471,449,459,627,310,262,232,349,246,106,121,152,177,338
"G29065000","2012","MO",,,"Missouri","29",,,"St. Louis city","65000",,,,,,,,,,,,,,,,"16000US2965000","St. Louis city, Missouri",77998,74894,1702,1736,1325,2411,1831,2554,4061,6835,7248,8225,7100,5355,4491,3657,3687,3942,2120,2891,2427,858,438,3104,"St. Louis city, Missouri",2913,2888,726,654,381,751,681,770,976,1087,1243,1548,1420,1087,1018,874,965,879,737,687,643,409,294,666
"G29070000","2012","MO",,,"Missouri","29",,,"Springfield city","70000",,,,,,,,,,,,,,,,"16000US2970000","Springfield city, Missouri",37825,36997,233,410,588,773,765,2004,3303,3864,5331,4428,3766,2416,4206,1354,1100,1044,497,39,137,296,443,828,"Springfield city, Missouri",2564,2570,144,330,391,490,363,670,1132,829,1278,1119,1034,667,1193,678,428,520,388,47,108,217,426,490
"G30006550","2012","MT",,,"Montana","30",,,"Billings city","06550",,,,,,,,,,,,,,,,"16000US3006550","Billings city, Montana",16606,16017,296,312,292,667,299,481,409,723,466,897,1782,1011,2511,1223,361,853,1544,804,575,172,339,589,"Billings city, Montana",1552,1504,227,360,285,422,317,341,281,431,258,482,581,482,767,521,322,431,613,471,409,166,276,264
"G30050200","2012","MT",,,"Montana","30",,,"Missoula city","50200",,,,,,,,,,,,,,,,"16000US3050200","Missoula city, Montana",15435,14949,331,115,0,101,90,251,643,614,865,776,1376,1898,1674,889,473,1637,1047,1207,232,683,47,486,"Missoula city, Montana",1775,1743,409,143,157,134,108,235,629,477,591,505,643,713,756,491,396,657,483,608,221,668,79,429
"G31028000","2012","NE",,,"Nebraska","31",,,"Lincoln city","28000",,,,,,,,,,,,,,,,"16000US3128000","Lincoln city, Nebraska",46973,46017,296,377,103,767,1302,1743,3371,4510,4723,4064,2833,4066,3667,2286,2525,3657,912,3465,215,355,780,956,"Lincoln city, Nebraska",2392,2307,269,237,98,440,566,593,921,928,1089,912,782,1158,1071,667,793,833,390,919,157,252,293,524
"G31037000","2012","NE",,,"Nebraska","31",,,"Omaha city","37000",,,,,,,,,,,,,,,,"16000US3137000","Omaha city, Nebraska",72746,70996,1658,326,859,1057,931,1350,2122,3639,5156,6081,6844,6241,6632,6258,3445,7363,5034,3989,1060,471,480,1750,"Omaha city, Nebraska",2601,2650,517,249,404,438,337,543,670,837,878,1185,1113,917,998,1216,859,1263,1055,986,482,188,257,556
"G32023770","2012","NV",,,"Nevada","32",,,"Enterprise CDP","23770",,,,,,,,,,,,,,,,"16000US3223770","Enterprise CDP, Nevada",19035,18216,19,0,0,0,0,38,0,71,0,90,528,435,571,535,728,1923,1735,5614,3754,1224,951,819,"Enterprise CDP, Nevada",2461,2338,32,200,200,200,200,61,200,107,200,149,494,364,336,360,452,626,905,1282,1045,591,545,715
"G32031900","2012","NV",,,"Nevada","32",,,"Henderson city","31900",,,,,,,,,,,,,,,,"16000US3231900","Henderson city, Nevada",39517,38437,74,131,168,45,0,122,29,251,199,450,1041,1337,2331,2984,2906,3925,4592,10057,4234,2795,766,1080,"Henderson city, Nevada",2544,2401,88,123,217,70,200,124,47,230,239,324,660,571,706,808,976,1171,1187,1542,974,1054,392,522
"G32040000","2012","NV",,,"Nevada","32",,,"Las Vegas city","40000",,,,,,,,,,,,,,,,"16000US3240000","Las Vegas city, Nevada",100932,98207,581,546,358,1013,458,793,928,2774,3908,6179,5596,7551,5936,7481,5502,13141,9543,16133,6357,2306,1123,2725,"Las Vegas city, Nevada",4408,4264,342,302,235,395,263,546,425,812,720,991,1127,1455,1225,1381,1156,1867,1775,2025,1463,723,661,805
"G32051800","2012","NV",,,"Nevada","32",,,"North Las Vegas city","51800",,,,,,,,,,,,,,,,"16000US3251800","North Las Vegas city, Nevada",30209,29163,82,166,28,53,136,313,140,373,660,1532,1362,984,1216,1550,1715,3586,4093,6679,3315,1092,88,1046,"North Las Vegas city, Nevada",2226,2168,97,165,47,90,181,235,123,275,394,497,541,412,493,636,696,884,984,1499,1048,470,87,520
"G32054600","2012","NV",,,"Nevada","32",,,"Paradise CDP","54600",,,,,,,,,,,,,,,,"16000US3254600","Paradise CDP, Nevada",54114,52701,120,24,0,90,210,260,444,973,2788,5898,3820,4641,5394,4557,4363,4958,2716,7634,2664,723,424,1413,"Paradise CDP, Nevada",2790,2806,122,40,200,149,243,252,312,562,776,1276,1190,1092,1140,990,983,1081,806,1521,821,303,249,657
"G32060600","2012","NV",,,"Nevada","32",,,"Reno city","60600",,,,,,,,,,,,,,,,"16000US3260600","Reno city, Nevada",47010,46447,278,291,546,351,439,390,792,2212,2947,2624,4358,3033,4008,2804,3148,5331,3589,4921,2225,1852,308,563,"Reno city, Nevada",2547,2517,397,294,354,207,330,293,422,1040,904,770,1072,823,1251,850,902,1160,1205,1068,734,795,257,269
"G32068400","2012","NV",,,"Nevada","32",,,"Sparks city","68400",,,,,,,,,,,,,,,,"16000US3268400","Sparks city, Nevada",15229,14582,0,49,94,0,92,0,0,406,1242,418,445,1414,694,1454,784,1565,911,2867,1251,850,46,647,"Sparks city, Nevada",1553,1534,200,82,149,200,152,200,200,371,615,329,294,704,396,811,478,611,437,835,427,470,76,385
"G32068585","2012","NV",,,"Nevada","32",,,"Spring Valley CDP","68585",,,,,,,,,,,,,,,,"16000US3268585","Spring Valley CDP, Nevada",37446,36602,539,100,110,173,0,0,63,75,206,320,1039,2733,2596,2040,4518,5734,4637,7647,2771,1149,152,844,"Spring Valley CDP, Nevada",2814,2909,382,167,180,275,200,200,103,86,219,246,757,1197,885,744,1261,1179,1295,1488,988,561,160,606
"G32071400","2012","NV",,,"Nevada","32",,,"Sunrise Manor CDP","71400",,,,,,,,,,,,,,,,"16000US3271400","Sunrise Manor CDP, Nevada",30162,29439,317,0,124,0,46,208,0,992,1433,2104,3708,3961,2583,3223,1193,2978,2939,3073,452,105,0,723,"Sunrise Manor CDP, Nevada",1930,1974,290,200,172,200,78,178,200,488,526,664,988,819,997,912,630,971,739,929,300,133,200,397
"G33045140","2012","NH",,,"New Hampshire","33",,,"Manchester city","45140",,,,,,,,,,,,,,,,"16000US3345140","Manchester city, New Hampshire",23190,22822,0,153,342,668,837,68,215,706,138,410,402,1163,1213,597,1583,4387,3716,3844,1168,1099,113,368,"Manchester city, New Hampshire",1832,1842,181,102,227,318,451,84,115,596,166,328,248,669,616,294,596,959,850,800,575,505,177,264
