GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,MF9E001,MF9E002,MF9E003,MF9E004,MF9E005,MF9E006,MF9E007,MF9E008,MF9E009,MF9E010,MF9E011,MF9E012,MF9E013,MF9E014,MF9E015,MF9E016,MF9E017,MF9E018,MF9E019,MF9E020,MF9E021,MF9E022,MF9E023,MF9E024,NAME_M,MF9M001,MF9M002,MF9M003,MF9M004,MF9M005,MF9M006,MF9M007,MF9M008,MF9M009,MF9M010,MF9M011,MF9M012,MF9M013,MF9M014,MF9M015,MF9M016,MF9M017,MF9M018,MF9M019,MF9M020,MF9M021,MF9M022,MF9M023,MF9M024
"G06013392","2011","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",32695,31445,29,0,244,810,250,42,84,275,192,340,345,0,213,1355,971,4342,3996,4816,4723,5251,3167,1250,"Chula Vista city, California",2665,2470,46,208,255,488,257,71,139,271,235,218,259,208,166,527,388,1041,1200,1129,1465,1246,1504,697
"G06013588","2011","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Citrus Heights city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06014218","2011","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",11780,11374,0,0,0,129,0,307,166,23,0,273,300,757,1205,823,889,1905,1337,1965,736,260,299,406,"Clovis city, California",1670,1700,208,208,208,159,208,391,268,38,208,358,207,373,469,466,470,737,653,811,429,268,240,370
"G06015044","2011","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",10535,9938,75,0,223,288,41,43,179,201,41,409,178,346,516,536,371,973,1195,2892,597,780,54,597,"Compton city, California",1199,1155,124,208,148,261,69,74,243,196,67,279,149,227,324,330,209,398,423,716,380,446,89,352
"G06016000","2011","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Concord city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06016350","2011","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",13950,13543,0,0,142,138,118,0,0,101,0,35,0,315,308,437,233,1663,1645,3050,2264,1668,1426,407,"Corona city, California",1390,1452,208,208,188,115,193,208,208,76,208,57,208,254,240,288,227,629,667,915,758,628,711,342
"G06016532","2011","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Costa Mesa city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06017918","2011","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Daly City city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06018100","2011","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Davis city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06019766","2011","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Downey city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06020802","2011","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",20391,19686,77,38,71,421,169,428,38,240,207,818,340,1024,742,1127,1045,3385,2218,4785,1157,1040,316,705,"East Los Angeles CDP, California",1920,1897,65,63,85,210,218,272,61,211,158,398,184,465,357,423,574,825,728,1128,509,453,260,367
"G06021712","2011","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",19567,19463,0,0,70,162,0,193,478,0,379,182,291,396,254,1050,1419,2947,3694,3900,2185,1590,273,104,"El Cajon city, California",1508,1502,208,208,116,139,208,194,321,208,404,163,304,303,224,555,478,742,939,948,621,621,217,170
"G06022020","2011","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Elk Grove city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06022230","2011","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",17140,16736,0,0,80,124,166,303,84,41,26,109,394,608,255,390,1332,3222,2215,4097,1269,1841,180,404,"El Monte city, California",1441,1443,208,208,93,151,272,288,71,67,44,110,398,296,215,292,630,932,688,770,570,688,181,252
"G06022804","2011","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Escondido city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06023182","2011","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",14038,13833,372,0,141,125,20,47,147,203,40,204,25,237,156,366,425,998,2178,2043,2284,2931,891,205,"Fairfield city, California",1431,1435,369,208,233,162,33,76,241,247,66,250,42,228,122,235,308,470,676,738,860,1201,487,140
"G06024477","2011","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",9415,9217,0,69,78,89,111,85,254,159,211,416,189,175,310,409,498,1451,775,2315,694,929,0,198,"Florence-Graham CDP, California",1161,1112,208,113,93,128,106,100,241,155,224,314,165,178,203,239,277,491,296,704,350,465,208,187
"G06024638","2011","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Folsom city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06024680","2011","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",15021,14750,0,0,147,196,0,0,31,209,38,305,557,537,582,734,448,2103,2490,2527,1489,1499,858,271,"Fontana city, California",1987,1960,208,208,174,240,208,208,66,221,62,239,353,369,390,511,326,840,893,989,667,831,603,257
"G06026000","2011","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Fremont city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06027000","2011","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",80337,78457,533,1062,795,1406,976,932,897,1182,2512,4601,5210,6440,8382,5956,6370,7984,5913,10505,3729,2553,519,1880,"Fresno city, California",3573,3470,315,475,417,487,454,522,401,548,652,1052,1046,1179,1430,1228,1179,1803,1394,1911,1150,1020,263,605
"G06028000","2011","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",,,,,,,,,,,,,,,,,,,,,,,,,"Fullerton city, California",,,,,,,,,,,,,,,,,,,,,,,,
"G06029000","2011","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",21361,20558,110,0,120,391,122,283,193,201,125,144,80,371,212,425,138,1176,2025,4888,4721,4203,630,803,"Garden Grove city, California",1786,1747,138,208,141,207,119,259,162,173,151,127,133,366,204,343,154,558,533,1032,1058,863,281,402
"G06030000","2011","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",45401,44331,201,41,350,602,373,139,588,1004,231,242,182,106,890,1309,1380,3592,6287,11267,7848,5571,2128,1070,"Glendale city, California",3032,2957,194,68,365,407,442,144,515,683,182,245,296,123,533,481,717,946,1385,1496,1393,1302,746,591
