GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJM5E001,AJM5E002,AJM5E003,AJM5E004,AJM5E005,AJM5E006,AJM5E007,AJM5E008,AJM5E009,AJM5E010,AJM5E011,AJM5E012,AJM5E013,AJM5E014,AJM5E015,AJM5E016,AJM5E017,AJM5E018,AJM5E019,AJM5E020,AJM5E021,AJM5E022,AJM5E023,AJM5E024,AJM5E025,AJM5E026,AJM5E027,NAME_M,AJM5M001,AJM5M002,AJM5M003,AJM5M004,AJM5M005,AJM5M006,AJM5M007,AJM5M008,AJM5M009,AJM5M010,AJM5M011,AJM5M012,AJM5M013,AJM5M014,AJM5M015,AJM5M016,AJM5M017,AJM5M018,AJM5M019,AJM5M020,AJM5M021,AJM5M022,AJM5M023,AJM5M024,AJM5M025,AJM5M026,AJM5M027
"G22050115","2018","LA",,,"Louisiana","22",,,"Metairie CDP","50115",,,,,,,,,,,,,,,,"16000US2250115","Metairie CDP, Louisiana",22905,21790,189,0,0,34,0,128,0,68,35,455,651,858,1806,1852,3013,4656,2835,2901,1573,483,204,0,49,0,1115,"Metairie CDP, Louisiana",2578,2453,219,217,217,59,217,212,217,115,59,361,510,562,858,911,966,1445,975,857,741,300,171,217,84,217,630
"G22055000","2018","LA",,,"Louisiana","22",,,"New Orleans city","55000",,,,,,,,,,,,,,,,"16000US2255000","New Orleans city, Louisiana",80122,75357,1606,1666,1849,3254,908,1352,778,1319,559,2424,2672,3924,3759,4589,5210,10699,5855,11490,5274,4088,1429,213,300,140,4765,"New Orleans city, Louisiana",2611,2459,566,540,770,846,422,528,438,532,304,682,875,1186,916,948,1169,1499,1219,1468,924,745,430,143,250,97,797
"G22070000","2018","LA",,,"Louisiana","22",,,"Shreveport city","70000",,,,,,,,,,,,,,,,"16000US2270000","Shreveport city, Louisiana",36112,33850,410,84,803,1066,779,712,1643,1115,1611,2508,3150,3671,3391,2491,1749,2746,1544,2872,660,779,0,66,0,0,2262,"Shreveport city, Louisiana",2378,2501,274,143,450,529,671,412,756,571,816,1111,1095,1152,1112,946,877,945,825,1029,448,440,217,109,217,217,857
"G23060545","2018","ME",,,"Maine","23",,,"Portland city","60545",,,,,,,,,,,,,,,,"16000US2360545","Portland city, Maine",17062,16759,0,49,438,850,260,367,218,203,35,176,84,168,176,489,319,1922,1883,4436,2328,1694,473,152,39,0,303,"Portland city, Maine",1608,1570,170,82,301,488,227,332,182,255,60,206,108,208,127,313,298,648,874,1041,718,539,320,195,64,170,315
"G24004000","2018","MD",,,"Maryland","24",,,"Baltimore city","04000",,,,,,,,,,,,,,,,"16000US2404000","Baltimore city, Maryland",124583,121239,3654,4644,2860,3684,3650,3451,1316,1697,1362,2913,2344,3067,3589,5849,7046,12408,11401,19511,12237,9439,3178,1342,387,210,3344,"Baltimore city, Maryland",4257,4196,1132,1168,880,1098,1066,1111,493,754,739,1081,787,1176,1096,1452,1242,2434,1794,2369,1743,1372,860,485,244,200,888
"G24019125","2018","MD",,,"Maryland","24",,,"Columbia CDP","19125",,,,,,,,,,,,,,,,"16000US2419125","Columbia CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Columbia CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24026000","2018","MD",,,"Maryland","24",,,"Ellicott City CDP","26000",,,,,,,,,,,,,,,,"16000US2426000","Ellicott City CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ellicott City CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24030325","2018","MD",,,"Maryland","24",,,"Frederick city","30325",,,,,,,,,,,,,,,,"16000US2430325","Frederick city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Frederick city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24031175","2018","MD",,,"Maryland","24",,,"Gaithersburg city","31175",,,,,,,,,,,,,,,,"16000US2431175","Gaithersburg city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Gaithersburg city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24032025","2018","MD",,,"Maryland","24",,,"Germantown CDP","32025",,,,,,,,,,,,,,,,"16000US2432025","Germantown CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Germantown CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24032650","2018","MD",,,"Maryland","24",,,"Glen Burnie CDP","32650",,,,,,,,,,,,,,,,"16000US2432650","Glen Burnie CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Glen Burnie CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24067675","2018","MD",,,"Maryland","24",,,"Rockville city","67675",,,,,,,,,,,,,,,,"16000US2467675","Rockville city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rockville city, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24072450","2018","MD",,,"Maryland","24",,,"Silver Spring CDP","72450",,,,,,,,,,,,,,,,"16000US2472450","Silver Spring CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Silver Spring CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G24081175","2018","MD",,,"Maryland","24",,,"Waldorf CDP","81175",,,,,,,,,,,,,,,,"16000US2481175","Waldorf CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Waldorf CDP, Maryland",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25007000","2018","MA",,,"Massachusetts","25",,,"Boston city","07000",,,,,,,,,,,,,,,,"16000US2507000","Boston city, Massachusetts",180938,176257,2142,1822,4348,5782,4781,5153,3115,2719,2545,2985,1466,2117,1232,2261,1083,4774,3159,16905,15887,40193,25554,13513,7375,5346,4681,"Boston city, Massachusetts",3951,4355,858,791,1354,1219,1313,1494,1187,1121,952,1006,670,795,482,866,593,1326,936,2348,2263,2916,2610,1914,1289,982,1049
"G25009000","2018","MA",,,"Massachusetts","25",,,"Brockton city","09000",,,,,,,,,,,,,,,,"16000US2509000","Brockton city, Massachusetts",13662,13226,282,162,301,604,903,383,209,131,0,248,428,119,39,147,339,572,851,3192,2495,1765,56,0,0,0,436,"Brockton city, Massachusetts",1845,1811,273,263,195,450,566,341,252,172,211,294,372,143,63,168,289,373,518,872,845,685,89,211,211,211,346
"G25011000","2018","MA",,,"Massachusetts","25",,,"Cambridge city","11000",,,,,,,,,,,,,,,,"16000US2511000","Cambridge city, Massachusetts",30187,29378,65,77,292,184,591,173,136,146,0,217,0,82,104,455,197,718,311,1137,1476,4184,7150,6214,2870,2599,809,"Cambridge city, Massachusetts",1744,1659,77,96,221,156,331,178,131,169,211,275,211,94,135,338,150,421,272,381,624,1021,1017,986,794,756,637
"G25023000","2018","MA",,,"Massachusetts","25",,,"Fall River city","23000",,,,,,,,,,,,,,,,"16000US2523000","Fall River city, Massachusetts",24804,24142,0,375,46,1206,328,1358,481,920,888,1304,411,1995,1709,2234,1997,4538,1139,1566,1284,363,0,0,0,0,662,"Fall River city, Massachusetts",2059,2047,211,392,75,541,222,627,296,468,539,753,334,755,719,911,860,1110,592,686,582,311,211,211,211,211,430
"G25024960","2018","MA",,,"Massachusetts","25",,,"Framingham city","24960",,,,,,,,,,,,,,,,"16000US2524960","Framingham city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Framingham city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25034550","2018","MA",,,"Massachusetts","25",,,"Lawrence city","34550",,,,,,,,,,,,,,,,"16000US2534550","Lawrence city, Massachusetts",19641,19140,178,368,704,986,906,226,572,401,135,237,87,242,248,248,395,2260,2310,4872,2618,1014,95,38,0,0,501,"Lawrence city, Massachusetts",1605,1660,171,311,388,388,545,212,421,296,156,232,99,258,295,218,302,722,745,985,852,516,121,60,211,211,376
"G25037000","2018","MA",,,"Massachusetts","25",,,"Lowell city","37000",,,,,,,,,,,,,,,,"16000US2537000","Lowell city, Massachusetts",22859,22684,84,60,0,1271,303,459,499,467,276,470,394,588,507,1119,226,3211,2084,4952,2780,2205,487,193,0,49,175,"Lowell city, Massachusetts",2320,2323,142,98,211,710,213,422,382,425,218,470,286,394,316,569,229,829,799,1170,965,881,414,146,211,84,181
"G25037490","2018","MA",,,"Massachusetts","25",,,"Lynn city","37490",,,,,,,,,,,,,,,,"16000US2537490","Lynn city, Massachusetts",17786,17198,588,0,108,1360,450,245,285,249,278,345,377,73,81,348,313,526,1390,4317,3734,1790,294,47,0,0,588,"Lynn city, Massachusetts",1786,1762,327,211,138,592,339,209,277,265,323,358,324,120,135,275,373,378,644,1015,1168,803,311,80,211,211,353
"G25045000","2018","MA",,,"Massachusetts","25",,,"New Bedford city","45000",,,,,,,,,,,,,,,,"16000US2545000","New Bedford city, Massachusetts",23656,22720,84,242,162,1109,950,684,828,1321,727,1215,837,1790,1761,1923,2077,3597,1432,1234,507,113,105,22,0,0,936,"New Bedford city, Massachusetts",1801,1833,99,172,120,701,439,478,403,558,368,481,448,573,527,694,759,991,577,574,281,106,163,37,211,211,451
"G25045560","2018","MA",,,"Massachusetts","25",,,"Newton city","45560",,,,,,,,,,,,,,,,"16000US2545560","Newton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Newton city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25055745","2018","MA",,,"Massachusetts","25",,,"Quincy city","55745",,,,,,,,,,,,,,,,"16000US2555745","Quincy city, Massachusetts",23790,23077,191,0,0,68,508,418,144,347,43,323,56,126,81,1004,213,129,1079,2616,5523,5712,2972,1334,190,0,713,"Quincy city, Massachusetts",2142,2096,221,211,211,120,447,409,173,276,74,351,95,108,95,659,197,154,628,788,1437,1368,963,718,216,211,398
"G25062535","2018","MA",,,"Massachusetts","25",,,"Somerville city","62535",,,,,,,,,,,,,,,,"16000US2562535","Somerville city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Somerville city, Massachusetts",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G25067000","2018","MA",,,"Massachusetts","25",,,"Springfield city","67000",,,,,,,,,,,,,,,,"16000US2567000","Springfield city, Massachusetts",33396,32096,1336,325,960,2091,1864,1243,948,1246,689,1017,604,1766,1175,2448,1056,4723,3004,3184,1118,649,391,0,213,46,1300,"Springfield city, Massachusetts",2172,2180,575,316,487,715,817,643,555,579,530,675,498,779,478,940,597,1237,984,943,659,406,390,211,372,76,743
"G25082000","2018","MA",,,"Massachusetts","25",,,"Worcester city","82000",,,,,,,,,,,,,,,,"16000US2582000","Worcester city, Massachusetts",41540,39929,853,657,414,915,1393,900,522,536,926,583,442,815,470,1336,1186,3604,8249,8372,5248,1988,229,241,0,50,1611,"Worcester city, Massachusetts",2850,2775,572,379,367,526,674,601,402,423,660,460,339,375,290,792,624,1032,1605,1442,1201,815,246,136,211,83,829
"G26003000","2018","MI",,,"Michigan","26",,,"Ann Arbor city","03000",,,,,,,,,,,,,,,,"16000US2603000","Ann Arbor city, Michigan",26204,25922,42,134,104,39,103,81,251,77,40,805,311,313,406,775,272,1940,3198,4761,5278,4558,1367,349,326,392,282,"Ann Arbor city, Michigan",1716,1703,70,152,128,66,128,83,241,93,69,377,223,218,260,372,229,522,1031,941,902,1120,511,363,283,313,229
"G26021000","2018","MI",,,"Michigan","26",,,"Dearborn city","21000",,,,,,,,,,,,,,,,"16000US2621000","Dearborn city, Michigan",10386,9871,0,0,60,0,0,66,73,362,0,631,436,595,694,795,442,1132,764,1931,535,942,341,72,0,0,515,"Dearborn city, Michigan",1164,1102,172,172,96,172,172,75,85,319,172,373,235,348,454,398,331,522,391,633,313,473,228,62,172,172,335
"G26022000","2018","MI",,,"Michigan","26",,,"Detroit city","22000",,,,,,,,,,,,,,,,"16000US2622000","Detroit city, Michigan",141622,133024,2342,1942,3911,4771,2524,3074,4221,4624,6929,13968,10130,13525,12271,10167,9392,13726,5329,3787,3008,2174,802,343,0,64,8598,"Detroit city, Michigan",4219,4181,901,671,970,1081,893,845,1184,1113,1266,1959,1638,1976,2011,1704,1862,2108,1175,982,896,721,492,241,172,106,1353
"G26027440","2018","MI",,,"Michigan","26",,,"Farmington Hills city","27440",,,,,,,,,,,,,,,,"16000US2627440","Farmington Hills city, Michigan",12490,12056,0,0,219,0,45,108,40,98,379,355,0,293,181,498,1086,1159,1770,2411,2316,759,339,0,0,0,434,"Farmington Hills city, Michigan",1400,1349,172,172,191,172,76,118,66,115,348,313,172,234,195,401,517,705,813,760,840,415,262,172,172,172,290
"G26029000","2018","MI",,,"Michigan","26",,,"Flint city","29000",,,,,,,,,,,,,,,,"16000US2629000","Flint city, Michigan",21845,19628,438,72,914,441,547,690,2204,2372,1368,2291,2693,1345,1951,696,759,635,0,74,0,138,0,0,0,0,2217,"Flint city, Michigan",2008,2096,340,90,616,383,459,509,1038,735,659,973,891,734,788,435,513,624,172,117,172,141,172,172,172,172,746
"G26034000","2018","MI",,,"Michigan","26",,,"Grand Rapids city","34000",,,,,,,,,,,,,,,,"16000US2634000","Grand Rapids city, Michigan",34710,33772,405,531,686,1959,416,383,0,165,437,421,1480,2060,2127,3810,2354,4758,2707,4842,1599,1478,1036,0,118,0,938,"Grand Rapids city, Michigan",2667,2700,279,448,389,842,277,250,172,133,283,299,725,684,582,1141,726,1065,710,1452,505,514,520,172,149,172,397
"G26042160","2018","MI",,,"Michigan","26",,,"Kalamazoo city","42160",,,,,,,,,,,,,,,,"16000US2642160","Kalamazoo city, Michigan",14474,14042,326,74,95,240,165,826,400,551,127,901,1133,1068,1493,1242,395,1519,918,1028,107,1010,247,66,111,0,432,"Kalamazoo city, Michigan",1430,1389,361,127,118,196,187,529,237,276,123,511,509,455,576,459,293,608,527,454,131,496,336,109,144,172,238
"G26046000","2018","MI",,,"Michigan","26",,,"Lansing city","46000",,,,,,,,,,,,,,,,"16000US2646000","Lansing city, Michigan",24016,23445,541,38,216,205,615,973,126,702,1366,1325,1582,2807,2303,2459,1890,2371,1635,1995,145,89,0,0,62,0,571,"Lansing city, Michigan",2028,2051,457,65,184,199,527,696,160,419,561,503,682,805,787,860,716,747,677,754,145,104,172,172,112,172,361
"G26049000","2018","MI",,,"Michigan","26",,,"Livonia city","49000",,,,,,,,,,,,,,,,"16000US2649000","Livonia city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Livonia city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26069035","2018","MI",,,"Michigan","26",,,"Rochester Hills city","69035",,,,,,,,,,,,,,,,"16000US2669035","Rochester Hills city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rochester Hills city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26074900","2018","MI",,,"Michigan","26",,,"Southfield city","74900",,,,,,,,,,,,,,,,"16000US2674900","Southfield city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Southfield city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26076460","2018","MI",,,"Michigan","26",,,"Sterling Heights city","76460",,,,,,,,,,,,,,,,"16000US2676460","Sterling Heights city, Michigan",11812,11573,84,163,47,0,167,276,23,285,0,219,121,638,824,416,1058,1331,1266,1770,1255,783,38,0,809,0,239,"Sterling Heights city, Michigan",1560,1527,138,102,76,172,150,283,37,258,172,265,138,344,485,206,678,612,394,757,675,524,64,172,596,172,141
"G26080700","2018","MI",,,"Michigan","26",,,"Troy city","80700",,,,,,,,,,,,,,,,"16000US2680700","Troy city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Troy city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G26084000","2018","MI",,,"Michigan","26",,,"Warren city","84000",,,,,,,,,,,,,,,,"16000US2684000","Warren city, Michigan",18210,17096,180,0,95,0,103,404,394,676,341,564,270,1290,1918,2224,1555,3703,1200,1458,674,47,0,0,0,0,1114,"Warren city, Michigan",1850,1823,170,172,112,172,123,355,396,475,336,373,278,641,833,874,1013,1144,515,650,425,77,172,172,172,172,650
"G26086000","2018","MI",,,"Michigan","26",,,"Westland city","86000",,,,,,,,,,,,,,,,"16000US2686000","Westland city, Michigan",14417,14069,0,0,0,197,364,578,184,306,298,191,449,585,1941,982,2558,2091,1567,1173,294,160,151,0,0,0,348,"Westland city, Michigan",1291,1290,172,172,172,204,271,408,157,259,232,158,351,394,826,356,879,718,543,651,182,139,249,172,172,172,264
"G26088940","2018","MI",,,"Michigan","26",,,"Wyoming city","88940",,,,,,,,,,,,,,,,"16000US2688940","Wyoming city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Wyoming city, Michigan",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27006382","2018","MN",,,"Minnesota","27",,,"Blaine city","06382",,,,,,,,,,,,,,,,"16000US2706382","Blaine city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blaine city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27006616","2018","MN",,,"Minnesota","27",,,"Bloomington city","06616",,,,,,,,,,,,,,,,"16000US2706616","Bloomington city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bloomington city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27007966","2018","MN",,,"Minnesota","27",,,"Brooklyn Park city","07966",,,,,,,,,,,,,,,,"16000US2707966","Brooklyn Park city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Brooklyn Park city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27017000","2018","MN",,,"Minnesota","27",,,"Duluth city","17000",,,,,,,,,,,,,,,,"16000US2717000","Duluth city, Minnesota",14123,13827,463,83,0,510,384,294,270,423,459,557,696,461,930,1507,664,1385,739,1633,1016,890,463,0,0,0,296,"Duluth city, Minnesota",1345,1349,373,142,147,288,244,193,225,272,253,358,338,236,391,587,320,445,340,583,433,367,228,147,147,147,279
"G27017288","2018","MN",,,"Minnesota","27",,,"Eagan city","17288",,,,,,,,,,,,,,,,"16000US2717288","Eagan city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Eagan city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27035180","2018","MN",,,"Minnesota","27",,,"Lakeville city","35180",,,,,,,,,,,,,,,,"16000US2735180","Lakeville city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lakeville city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27040166","2018","MN",,,"Minnesota","27",,,"Maple Grove city","40166",,,,,,,,,,,,,,,,"16000US2740166","Maple Grove city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Maple Grove city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27043000","2018","MN",,,"Minnesota","27",,,"Minneapolis city","43000",,,,,,,,,,,,,,,,"16000US2743000","Minneapolis city, Minnesota",91580,89972,1597,1068,581,3081,1953,961,1001,771,1348,1261,1870,2254,1988,3705,4100,11669,9632,14775,11222,10129,2540,1375,873,218,1608,"Minneapolis city, Minnesota",3652,3716,656,667,390,836,852,671,653,581,648,475,708,846,612,916,1096,1621,1641,2035,1444,1520,772,567,436,132,492
"G27051730","2018","MN",,,"Minnesota","27",,,"Plymouth city","51730",,,,,,,,,,,,,,,,"16000US2751730","Plymouth city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Plymouth city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27054880","2018","MN",,,"Minnesota","27",,,"Rochester city","54880",,,,,,,,,,,,,,,,"16000US2754880","Rochester city, Minnesota",17890,17115,116,190,395,182,362,0,276,92,196,436,779,824,1200,1114,1326,1942,870,2424,2563,1001,74,389,282,82,775,"Rochester city, Minnesota",1466,1525,143,238,338,265,248,147,356,105,153,481,536,652,659,526,553,608,432,1018,711,379,119,271,205,143,419
"G27056896","2018","MN",,,"Minnesota","27",,,"St. Cloud city","56896",,,,,,,,,,,,,,,,"16000US2756896","St. Cloud city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Cloud city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G27058000","2018","MN",,,"Minnesota","27",,,"St. Paul city","58000",,,,,,,,,,,,,,,,"16000US2758000","St. Paul city, Minnesota",58721,57953,739,64,953,2436,1076,635,812,312,1177,700,1337,2673,1560,3015,5675,9657,5667,6608,6526,4753,716,497,365,0,768,"St. Paul city, Minnesota",2645,2640,416,110,607,838,494,395,509,213,495,342,553,686,724,856,1329,1467,1149,1001,1031,1045,326,426,338,147,369
"G27071428","2018","MN",,,"Minnesota","27",,,"Woodbury city","71428",,,,,,,,,,,,,,,,"16000US2771428","Woodbury city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Woodbury city, Minnesota",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G28029700","2018","MS",,,"Mississippi","28",,,"Gulfport city","29700",,,,,,,,,,,,,,,,"16000US2829700","Gulfport city, Mississippi",16315,15364,681,374,164,0,140,231,415,277,1217,899,1153,972,2180,1878,1507,1091,741,1051,266,73,54,0,0,0,951,"Gulfport city, Mississippi",1681,1716,574,249,209,218,228,288,393,235,848,617,602,601,860,965,718,527,664,503,239,88,102,218,218,218,784
"G28036000","2018","MS",,,"Mississippi","28",,,"Jackson city","36000",,,,,,,,,,,,,,,,"16000US2836000","Jackson city, Mississippi",29829,28201,441,1271,357,245,338,560,1097,1357,1269,2463,2729,2402,2093,3212,2401,2745,695,1413,616,497,0,0,0,0,1628,"Jackson city, Mississippi",2432,2234,314,713,291,235,254,415,621,641,539,903,890,818,725,1201,891,954,395,721,477,253,218,218,218,218,724
"G29015670","2018","MO",,,"Missouri","29",,,"Columbia city","15670",,,,,,,,,,,,,,,,"16000US2915670","Columbia city, Missouri",26165,25817,144,174,100,276,344,476,526,934,928,1606,2375,2157,2031,2387,1619,2267,1306,2680,1109,1740,638,0,0,0,348,"Columbia city, Missouri",2123,2054,231,220,189,315,363,338,349,531,391,677,752,846,801,817,624,889,796,919,533,777,408,190,190,190,303
"G29035000","2018","MO",,,"Missouri","29",,,"Independence city","35000",,,,,,,,,,,,,,,,"16000US2935000","Independence city, Missouri",17923,17011,649,47,289,40,191,53,927,508,244,2399,1253,1466,2079,751,688,2444,1186,1177,365,193,62,0,0,0,912,"Independence city, Missouri",1909,1870,646,79,242,65,241,88,627,324,267,839,583,618,875,361,341,965,544,604,395,214,104,190,190,190,449
"G29038000","2018","MO",,,"Missouri","29",,,"Kansas City city","38000",,,,,,,,,,,,,,,,"16000US2938000","Kansas City city, Missouri",96915,93577,1339,1478,1106,1747,1368,1581,1393,3376,3113,4664,4534,8014,6855,7515,7719,11552,7594,8555,5298,3670,580,376,126,24,3338,"Kansas City city, Missouri",3845,3889,767,745,557,779,665,601,484,1069,962,1015,1054,1808,1562,1515,1570,2026,1323,1485,1165,1066,308,255,186,40,931
"G29041348","2018","MO",,,"Missouri","29",,,"Lee's Summit city","41348",,,,,,,,,,,,,,,,"16000US2941348","Lee's Summit city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee's Summit city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G29054074","2018","MO",,,"Missouri","29",,,"O'Fallon city","54074",,,,,,,,,,,,,,,,"16000US2954074","O'Fallon city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,"O'Fallon city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G29064082","2018","MO",,,"Missouri","29",,,"St. Charles city","64082",,,,,,,,,,,,,,,,"16000US2964082","St. Charles city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Charles city, Missouri",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G29064550","2018","MO",,,"Missouri","29",,,"St. Joseph city","64550",,,,,,,,,,,,,,,,"16000US2964550","St. Joseph city, Missouri",11110,10044,129,0,30,469,339,338,808,551,758,1255,1407,1244,932,459,303,590,250,86,0,66,30,0,0,0,1066,"St. Joseph city, Missouri",1665,1637,165,190,53,316,271,298,703,313,488,555,665,667,405,322,309,501,202,94,190,63,57,190,190,190,634
"G29065000","2018","MO",,,"Missouri","29",,,"St. Louis city","65000",,,,,,,,,,,,,,,,"16000US2965000","St. Louis city, Missouri",81284,79525,588,1049,861,2572,460,2219,1649,3932,4827,7325,7767,7259,5837,6232,3811,6584,4365,5215,3556,2553,782,61,21,0,1759,"St. Louis city, Missouri",3477,3491,367,440,477,862,257,750,655,1053,1233,1644,1690,1578,1312,1464,1147,1598,1141,1033,1059,788,466,100,33,190,662
"G29070000","2018","MO",,,"Missouri","29",,,"Springfield city","70000",,,,,,,,,,,,,,,,"16000US2970000","Springfield city, Missouri",45031,43667,289,270,138,1020,1264,780,1751,2083,5917,3857,5703,4181,4394,2267,3217,3314,913,1274,416,337,209,73,0,0,1364,"Springfield city, Missouri",2548,2440,311,213,226,575,599,378,624,778,1374,1159,1339,1216,1350,696,959,963,676,668,347,235,201,125,190,190,543
"G30006550","2018","MT",,,"Montana","30",,,"Billings city","06550",,,,,,,,,,,,,,,,"16000US3006550","Billings city, Montana",17879,17101,250,47,27,356,144,321,432,367,387,904,734,471,2225,347,1507,2423,2102,2068,1352,334,67,104,27,105,778,"Billings city, Montana",2067,2034,248,80,44,385,165,307,315,300,297,685,492,346,756,321,840,908,767,694,681,236,112,172,45,152,572
"G30050200","2018","MT",,,"Montana","30",,,"Missoula city","50200",,,,,,,,,,,,,,,,"16000US3050200","Missoula city, Montana",17661,17096,121,0,142,472,64,73,186,304,722,465,832,1934,1455,707,1179,2718,1568,2243,959,952,0,0,0,0,565,"Missoula city, Montana",1662,1637,200,172,175,497,113,132,216,269,426,370,493,1063,754,489,649,1138,649,1020,453,598,172,172,172,172,476
"G31028000","2018","NE",,,"Nebraska","31",,,"Lincoln city","28000",,,,,,,,,,,,,,,,"16000US3128000","Lincoln city, Nebraska",49287,48240,0,0,168,636,600,457,1752,2410,2749,2603,3484,3289,4074,3733,3486,4296,4059,5433,3103,1135,414,0,0,359,1047,"Lincoln city, Nebraska",2485,2448,161,161,194,429,365,274,784,766,915,745,924,937,1076,1107,904,923,1020,1156,946,479,366,161,161,310,421
"G31037000","2018","NE",,,"Nebraska","31",,,"Omaha city","37000",,,,,,,,,,,,,,,,"16000US3137000","Omaha city, Nebraska",77428,75313,716,745,693,1112,612,1202,1169,1573,1494,4367,5221,5135,6174,6153,5851,9606,6765,9097,3728,2064,473,310,747,306,2115,"Omaha city, Nebraska",2826,2779,427,588,500,429,368,585,518,632,645,951,1267,1083,1269,1300,1128,1693,1374,1444,876,648,311,211,389,417,739
"G32023770","2018","NV",,,"Nevada","32",,,"Enterprise CDP","23770",,,,,,,,,,,,,,,,"16000US3223770","Enterprise CDP, Nevada",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Enterprise CDP, Nevada",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G32031900","2018","NV",,,"Nevada","32",,,"Henderson city","31900",,,,,,,,,,,,,,,,"16000US3231900","Henderson city, Nevada",43260,42450,0,0,104,157,89,191,62,116,226,409,851,1104,406,1010,655,4452,4119,11263,11314,5054,581,117,118,52,810,"Henderson city, Nevada",3044,2975,211,211,121,128,105,255,104,143,202,392,530,754,369,510,492,1209,1051,1750,1948,1114,462,197,199,86,404
