GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFR5E001,AFR5E002,AFR5E003,NAME_M,AFR5M001,AFR5M002,AFR5M003
"G06016532","2016","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",40027,38127,1900,"Costa Mesa city, California",2066,1877,873
"G06017918","2016","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",33998,32969,1029,"Daly City city, California",1515,1549,533
"G06018100","2016","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",24509,23542,967,"Davis city, California",1182,1199,545
"G06019766","2016","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",34039,32646,1393,"Downey city, California",1631,1610,806
"G06020802","2016","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",34300,33058,1242,"East Los Angeles CDP, California",1994,1989,490
"G06021712","2016","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",33529,32447,1082,"El Cajon city, California",1824,1739,635
"G06022020","2016","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",52950,51695,1255,"Elk Grove city, California",1974,1918,534
"G06022230","2016","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",28428,27249,1179,"El Monte city, California",1605,1447,534
"G06022804","2016","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",47043,45367,1676,"Escondido city, California",2130,2011,767
"G06023182","2016","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",39413,38027,1386,"Fairfield city, California",1540,1435,843
"G06024477","2016","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",15572,15084,488,"Florence-Graham CDP, California",1349,1309,293
"G06024638","2016","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",28761,27417,1344,"Folsom city, California",1701,1441,680
"G06024680","2016","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",60314,57868,2446,"Fontana city, California",1981,2016,901
"G06026000","2016","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",74967,71599,3368,"Fremont city, California",2709,2346,1078
"G06027000","2016","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",176898,166288,10610,"Fresno city, California",3239,3721,1945
"G06028000","2016","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",48091,45635,2456,"Fullerton city, California",2943,2559,1092
"G06029000","2016","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",49013,47718,1295,"Garden Grove city, California",1816,1711,546
"G06030000","2016","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",78169,75013,3156,"Glendale city, California",2889,2508,1098
"G06032548","2016","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",29657,28870,787,"Hawthorne city, California",1756,1563,591
"G06033000","2016","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",47076,45792,1284,"Hayward city, California",1743,1757,629
"G06033182","2016","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"16000US0633182","Hemet city, California",34307,29465,4842,"Hemet city, California",2902,2363,1306
"G06033434","2016","CA",,,"California","06",,,"Hesperia city","33434",,,,,,,,,,,,,,,,"16000US0633434","Hesperia city, California",27621,26802,819,"Hesperia city, California",1760,1703,558
"G06036000","2016","CA",,,"California","06",,,"Huntington Beach city","36000",,,,,,,,,,,,,,,,"16000US0636000","Huntington Beach city, California",83580,78998,4582,"Huntington Beach city, California",2971,2542,1299
"G06036448","2016","CA",,,"California","06",,,"Indio city","36448",,,,,,,,,,,,,,,,"16000US0636448","Indio city, California",37590,30887,6703,"Indio city, California",2657,2441,1412
"G06036546","2016","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",40272,38724,1548,"Inglewood city, California",2264,2230,658
"G06036770","2016","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",101592,94321,7271,"Irvine city, California",3904,3397,1993
"G06037692","2016","CA",,,"California","06",,,"Jurupa Valley city","37692",,,,,,,,,,,,,,,,"16000US0637692","Jurupa Valley city, California",25372,24850,522,"Jurupa Valley city, California",1556,1457,394
"G06039248","2016","CA",,,"California","06",,,"Laguna Niguel city","39248",,,,,,,,,,,,,,,,"16000US0639248","Laguna Niguel city, California",25197,24116,1081,"Laguna Niguel city, California",1580,1365,695
"G06039496","2016","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",30473,29496,977,"Lake Forest city, California",1533,1480,693
"G06039892","2016","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",25583,24806,777,"Lakewood city, California",1267,1200,484
"G06040130","2016","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",55363,49934,5429,"Lancaster city, California",2319,2000,1380
"G06041992","2016","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",31555,30749,806,"Livermore city, California",1567,1443,666
"G06043000","2016","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",168588,160769,7819,"Long Beach city, California",4725,4397,1813
"G06044000","2016","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",1478666,1378844,99822,"Los Angeles city, California",8379,9016,4824
"G06044574","2016","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",15187,14840,347,"Lynwood city, California",1008,1017,287
"G06045484","2016","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"16000US0645484","Manteca city, California",25695,24828,867,"Manteca city, California",1575,1487,555
"G06046842","2016","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"16000US0646842","Menifee city, California",31264,29148,2116,"Menifee city, California",1712,1559,897
"G06046898","2016","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"16000US0646898","Merced city, California",25605,24221,1384,"Merced city, California",1638,1535,772
"G06047766","2016","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"16000US0647766","Milpitas city, California",23622,22870,752,"Milpitas city, California",1095,1036,516
"G06048256","2016","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"16000US0648256","Mission Viejo city, California",34192,33544,648,"Mission Viejo city, California",1679,1636,530
"G06048354","2016","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"16000US0648354","Modesto city, California",72981,70591,2390,"Modesto city, California",1972,2090,796
"G06049270","2016","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"16000US0649270","Moreno Valley city, California",52305,49785,2520,"Moreno Valley city, California",2137,2023,832
"G06049670","2016","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"16000US0649670","Mountain View city, California",34138,32696,1442,"Mountain View city, California",1643,1521,783
"G06050076","2016","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"16000US0650076","Murrieta city, California",31568,31090,478,"Murrieta city, California",1797,1713,379
"G06050258","2016","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"16000US0650258","Napa city, California",31910,30017,1893,"Napa city, California",1337,1217,728
"G06051182","2016","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"16000US0651182","Newport Beach city, California",44654,37351,7303,"Newport Beach city, California",2354,1822,1612
"G06052526","2016","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"16000US0652526","Norwalk city, California",28176,26883,1293,"Norwalk city, California",1435,1220,603
"G06053000","2016","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"16000US0653000","Oakland city, California",167027,158084,8943,"Oakland city, California",3789,3325,1769
"G06053322","2016","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"16000US0653322","Oceanside city, California",67611,62661,4950,"Oceanside city, California",2969,2690,1100
"G06053896","2016","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"16000US0653896","Ontario city, California",51071,49020,2051,"Ontario city, California",2441,2176,812
"G06053980","2016","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"16000US0653980","Orange city, California",45388,43533,1855,"Orange city, California",1713,1625,954
"G06054652","2016","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"16000US0654652","Oxnard city, California",53565,49895,3670,"Oxnard city, California",2216,2240,1046
"G06055156","2016","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"16000US0655156","Palmdale city, California",47459,44225,3234,"Palmdale city, California",2437,2143,1109
"G06055282","2016","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"16000US0655282","Palo Alto city, California",29336,28228,1108,"Palo Alto city, California",1427,1142,707
"G06056000","2016","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"16000US0656000","Pasadena city, California",60869,55291,5578,"Pasadena city, California",2683,2422,1446
"G06056700","2016","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"16000US0656700","Perris city, California",17700,17261,439,"Perris city, California",1289,1184,378
"G06057456","2016","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"16000US0657456","Pittsburg city, California",20965,20509,456,"Pittsburg city, California",1349,1204,405
"G06057792","2016","CA",,,"California","06",,,"Pleasanton city","57792",,,,,,,,,,,,,,,,"16000US0657792","Pleasanton city, California",30579,29774,805,"Pleasanton city, California",1319,1210,481
"G06058072","2016","CA",,,"California","06",,,"Pomona city","58072",,,,,,,,,,,,,,,,"16000US0658072","Pomona city, California",36584,35503,1081,"Pomona city, California",1813,1760,537
"G06059444","2016","CA",,,"California","06",,,"Rancho Cordova city","59444",,,,,,,,,,,,,,,,"16000US0659444","Rancho Cordova city, California",25743,24611,1132,"Rancho Cordova city, California",1527,1387,729
"G06059451","2016","CA",,,"California","06",,,"Rancho Cucamonga city","59451",,,,,,,,,,,,,,,,"16000US0659451","Rancho Cucamonga city, California",60263,57514,2749,"Rancho Cucamonga city, California",3085,2727,1249
"G06059920","2016","CA",,,"California","06",,,"Redding city","59920",,,,,,,,,,,,,,,,"16000US0659920","Redding city, California",39243,36472,2771,"Redding city, California",1568,1518,949
"G06059962","2016","CA",,,"California","06",,,"Redlands city","59962",,,,,,,,,,,,,,,,"16000US0659962","Redlands city, California",25102,24217,885,"Redlands city, California",1681,1615,573
"G06060018","2016","CA",,,"California","06",,,"Redondo Beach city","60018",,,,,,,,,,,,,,,,"16000US0660018","Redondo Beach city, California",32294,29688,2606,"Redondo Beach city, California",1807,1462,979
"G06060102","2016","CA",,,"California","06",,,"Redwood City city","60102",,,,,,,,,,,,,,,,"16000US0660102","Redwood City city, California",30842,30293,549,"Redwood City city, California",1763,1735,317
"G06060466","2016","CA",,,"California","06",,,"Rialto city","60466",,,,,,,,,,,,,,,,"16000US0660466","Rialto city, California",28435,26445,1990,"Rialto city, California",1486,1420,707
"G06060620","2016","CA",,,"California","06",,,"Richmond city","60620",,,,,,,,,,,,,,,,"16000US0660620","Richmond city, California",37534,34949,2585,"Richmond city, California",1811,1584,875
"G06062000","2016","CA",,,"California","06",,,"Riverside city","62000",,,,,,,,,,,,,,,,"16000US0662000","Riverside city, California",96063,91360,4703,"Riverside city, California",2629,2584,1302
"G06062938","2016","CA",,,"California","06",,,"Roseville city","62938",,,,,,,,,,,,,,,,"16000US0662938","Roseville city, California",50312,48500,1812,"Roseville city, California",1983,1894,664
"G06064000","2016","CA",,,"California","06",,,"Sacramento city","64000",,,,,,,,,,,,,,,,"16000US0664000","Sacramento city, California",196013,183212,12801,"Sacramento city, California",4805,4461,2334
"G06064224","2016","CA",,,"California","06",,,"Salinas city","64224",,,,,,,,,,,,,,,,"16000US0664224","Salinas city, California",40684,39274,1410,"Salinas city, California",1755,1704,597
"G06065000","2016","CA",,,"California","06",,,"San Bernardino city","65000",,,,,,,,,,,,,,,,"16000US0665000","San Bernardino city, California",61998,57920,4078,"San Bernardino city, California",2646,2132,1211
"G06065042","2016","CA",,,"California","06",,,"San Buenaventura (Ventura) city","65042",,,,,,,,,,,,,,,,"16000US0665042","San Buenaventura (Ventura) city, California",42757,40630,2127,"San Buenaventura (Ventura) city, California",1993,1771,814
"G06065084","2016","CA",,,"California","06",,,"San Clemente city","65084",,,,,,,,,,,,,,,,"16000US0665084","San Clemente city, California",31511,27741,3770,"San Clemente city, California",2263,1933,1263
"G06066000","2016","CA",,,"California","06",,,"San Diego city","66000",,,,,,,,,,,,,,,,"16000US0666000","San Diego city, California",536765,495726,41039,"San Diego city, California",5958,6457,4521
"G06067000","2016","CA",,,"California","06",,,"San Francisco city","67000",,,,,,,,,,,,,,,,"16000US0667000","San Francisco city, California",392823,358703,34120,"San Francisco city, California",1425,4561,4507
"G06068000","2016","CA",,,"California","06",,,"San Jose city","68000",,,,,,,,,,,,,,,,"16000US0668000","San Jose city, California",333355,320447,12908,"San Jose city, California",4145,4500,2192
"G06068084","2016","CA",,,"California","06",,,"San Leandro city","68084",,,,,,,,,,,,,,,,"16000US0668084","San Leandro city, California",37323,34977,2346,"San Leandro city, California",2214,2011,815
"G06068196","2016","CA",,,"California","06",,,"San Marcos city","68196",,,,,,,,,,,,,,,,"16000US0668196","San Marcos city, California",30635,28706,1929,"San Marcos city, California",1856,1768,848
"G06068252","2016","CA",,,"California","06",,,"San Mateo city","68252",,,,,,,,,,,,,,,,"16000US0668252","San Mateo city, California",40811,38710,2101,"San Mateo city, California",2013,1873,963
"G06068378","2016","CA",,,"California","06",,,"San Ramon city","68378",,,,,,,,,,,,,,,,"16000US0668378","San Ramon city, California",27157,25847,1310,"San Ramon city, California",1388,1013,973
"G06069000","2016","CA",,,"California","06",,,"Santa Ana city","69000",,,,,,,,,,,,,,,,"16000US0669000","Santa Ana city, California",75932,74294,1638,"Santa Ana city, California",2404,2337,758
"G06069070","2016","CA",,,"California","06",,,"Santa Barbara city","69070",,,,,,,,,,,,,,,,"16000US0669070","Santa Barbara city, California",40335,36514,3821,"Santa Barbara city, California",1752,1421,1154
"G06069084","2016","CA",,,"California","06",,,"Santa Clara city","69084",,,,,,,,,,,,,,,,"16000US0669084","Santa Clara city, California",46723,44392,2331,"Santa Clara city, California",2268,2101,920
