GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PDHE001,PDHE002,PDHE003,NAME_M,PDHM001,PDHM002,PDHM003
"G06008786","2012","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",24760,23548,1212,"Buena Park city, California",1483,1271,523
"G06008954","2012","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",43248,40484,2764,"Burbank city, California",1954,1434,1068
"G06010046","2012","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",25326,24226,1100,"Camarillo city, California",1645,1518,608
"G06011194","2012","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",46647,43309,3338,"Carlsbad city, California",2257,2130,1065
"G06011530","2012","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",25667,24646,1021,"Carson city, California",1471,1295,536
"G06013014","2012","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",37429,33405,4024,"Chico city, California",1802,1758,1101
"G06013210","2012","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",23880,22287,1593,"Chino city, California",1724,1578,580
"G06013214","2012","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",25276,23594,1682,"Chino Hills city, California",1584,1431,863
"G06013392","2012","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",81334,75942,5392,"Chula Vista city, California",3083,2830,1229
"G06013588","2012","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",36028,33628,2400,"Citrus Heights city, California",1601,1464,947
"G06014218","2012","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",34811,33177,1634,"Clovis city, California",1693,1503,717
"G06015044","2012","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",24811,22834,1977,"Compton city, California",1174,1046,553
