GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALIME001,ALIME002,ALIME003,NAME_M,ALIMM001,ALIMM002,ALIMM003
"G06013210","2019","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",28420,26079,2341,"Chino city, California",2142,1651,1145
"G06013214","2019","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",28005,26856,1149,"Chino Hills city, California",1981,1717,810
"G06013392","2019","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",91083,82916,8167,"Chula Vista city, California",3791,3478,1854
"G06013588","2019","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",37854,36460,1394,"Citrus Heights city, California",2226,2138,661
"G06014218","2019","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",41255,39269,1986,"Clovis city, California",1955,1601,920
"G06015044","2019","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",22411,21757,654,"Compton city, California",1361,1315,406
"G06016000","2019","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",46435,45071,1364,"Concord city, California",2296,2116,785
"G06016350","2019","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",50282,47793,2489,"Corona city, California",2131,1867,1067
"G06016532","2019","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",41378,38762,2616,"Costa Mesa city, California",2533,2098,1252
"G06017918","2019","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",32638,31289,1349,"Daly City city, California",1818,1653,821
"G06018100","2019","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",27747,26367,1380,"Davis city, California",1307,1463,786
"G06019766","2019","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",34011,32073,1938,"Downey city, California",1955,1668,957
"G06020802","2019","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",32397,30676,1721,"East Los Angeles CDP, California",2165,2093,659
"G06021712","2019","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",33385,32139,1246,"El Cajon city, California",2156,1856,749
"G06022020","2019","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",58532,57048,1484,"Elk Grove city, California",2148,2082,787
"G06022230","2019","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",32740,31535,1205,"El Monte city, California",1764,1653,696
"G06022804","2019","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",53773,51364,2409,"Escondido city, California",2572,2546,963
"G06023182","2019","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",39867,37310,2557,"Fairfield city, California",1674,1754,911
