GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA02E001,AA02E002,AA02E003,NAME_M,AA02M001,AA02M002,AA02M003
"G06036546","2014","CA",,,"California","06",,,"Inglewood city","36546",,,,,,,,,,,,,,,,"16000US0636546","Inglewood city, California",37683,36439,1244,"Inglewood city, California",1948,1890,608
"G06036770","2014","CA",,,"California","06",,,"Irvine city","36770",,,,,,,,,,,,,,,,"16000US0636770","Irvine city, California",94979,90513,4466,"Irvine city, California",3452,3320,1580
"G06037692","2014","CA",,,"California","06",,,"Jurupa Valley city","37692",,,,,,,,,,,,,,,,"16000US0637692","Jurupa Valley city, California",25704,23734,1970,"Jurupa Valley city, California",1461,1143,821
"G06039248","2014","CA",,,"California","06",,,"Laguna Niguel city","39248",,,,,,,,,,,,,,,,"16000US0639248","Laguna Niguel city, California",27134,25916,1218,"Laguna Niguel city, California",1368,1346,669
"G06039496","2014","CA",,,"California","06",,,"Lake Forest city","39496",,,,,,,,,,,,,,,,"16000US0639496","Lake Forest city, California",26113,25428,685,"Lake Forest city, California",1547,1491,492
"G06039892","2014","CA",,,"California","06",,,"Lakewood city","39892",,,,,,,,,,,,,,,,"16000US0639892","Lakewood city, California",27981,25755,2226,"Lakewood city, California",1720,1373,857
"G06040130","2014","CA",,,"California","06",,,"Lancaster city","40130",,,,,,,,,,,,,,,,"16000US0640130","Lancaster city, California",54180,47527,6653,"Lancaster city, California",2556,2075,1358
"G06041992","2014","CA",,,"California","06",,,"Livermore city","41992",,,,,,,,,,,,,,,,"16000US0641992","Livermore city, California",31509,30976,533,"Livermore city, California",1519,1466,520
"G06043000","2014","CA",,,"California","06",,,"Long Beach city","43000",,,,,,,,,,,,,,,,"16000US0643000","Long Beach city, California",170977,161870,9107,"Long Beach city, California",3872,3834,1507
"G06044000","2014","CA",,,"California","06",,,"Los Angeles city","44000",,,,,,,,,,,,,,,,"16000US0644000","Los Angeles city, California",1433123,1343084,90039,"Los Angeles city, California",8874,8666,5395
"G06044574","2014","CA",,,"California","06",,,"Lynwood city","44574",,,,,,,,,,,,,,,,"16000US0644574","Lynwood city, California",15852,15577,275,"Lynwood city, California",1004,935,263
"G06045484","2014","CA",,,"California","06",,,"Manteca city","45484",,,,,,,,,,,,,,,,"16000US0645484","Manteca city, California",25154,23295,1859,"Manteca city, California",2115,1879,897
"G06046842","2014","CA",,,"California","06",,,"Menifee city","46842",,,,,,,,,,,,,,,,"16000US0646842","Menifee city, California",29014,27000,2014,"Menifee city, California",1700,1548,816
"G06046898","2014","CA",,,"California","06",,,"Merced city","46898",,,,,,,,,,,,,,,,"16000US0646898","Merced city, California",28344,26930,1414,"Merced city, California",1170,1169,526
"G06047766","2014","CA",,,"California","06",,,"Milpitas city","47766",,,,,,,,,,,,,,,,"16000US0647766","Milpitas city, California",21992,21145,847,"Milpitas city, California",1326,1214,604
"G06048256","2014","CA",,,"California","06",,,"Mission Viejo city","48256",,,,,,,,,,,,,,,,"16000US0648256","Mission Viejo city, California",33719,32761,958,"Mission Viejo city, California",1913,1775,641
"G06048354","2014","CA",,,"California","06",,,"Modesto city","48354",,,,,,,,,,,,,,,,"16000US0648354","Modesto city, California",76710,71759,4951,"Modesto city, California",2649,2433,1535
"G06049270","2014","CA",,,"California","06",,,"Moreno Valley city","49270",,,,,,,,,,,,,,,,"16000US0649270","Moreno Valley city, California",53737,50308,3429,"Moreno Valley city, California",2270,2145,1091
"G06049670","2014","CA",,,"California","06",,,"Mountain View city","49670",,,,,,,,,,,,,,,,"16000US0649670","Mountain View city, California",36266,33647,2619,"Mountain View city, California",1722,1685,898
"G06050076","2014","CA",,,"California","06",,,"Murrieta city","50076",,,,,,,,,,,,,,,,"16000US0650076","Murrieta city, California",33847,32617,1230,"Murrieta city, California",1787,1699,735
"G06050258","2014","CA",,,"California","06",,,"Napa city","50258",,,,,,,,,,,,,,,,"16000US0650258","Napa city, California",30242,29117,1125,"Napa city, California",1122,1131,581
"G06051182","2014","CA",,,"California","06",,,"Newport Beach city","51182",,,,,,,,,,,,,,,,"16000US0651182","Newport Beach city, California",46072,39212,6860,"Newport Beach city, California",2487,1988,1458
"G06052526","2014","CA",,,"California","06",,,"Norwalk city","52526",,,,,,,,,,,,,,,,"16000US0652526","Norwalk city, California",27899,26336,1563,"Norwalk city, California",1532,1557,554
"G06053000","2014","CA",,,"California","06",,,"Oakland city","53000",,,,,,,,,,,,,,,,"16000US0653000","Oakland city, California",167945,156724,11221,"Oakland city, California",3809,3502,1595
"G06053322","2014","CA",,,"California","06",,,"Oceanside city","53322",,,,,,,,,,,,,,,,"16000US0653322","Oceanside city, California",67445,62000,5445,"Oceanside city, California",2739,2265,1337
"G06053896","2014","CA",,,"California","06",,,"Ontario city","53896",,,,,,,,,,,,,,,,"16000US0653896","Ontario city, California",50676,47375,3301,"Ontario city, California",1920,1712,911
"G06053980","2014","CA",,,"California","06",,,"Orange city","53980",,,,,,,,,,,,,,,,"16000US0653980","Orange city, California",43438,41868,1570,"Orange city, California",1995,1918,611
"G06054652","2014","CA",,,"California","06",,,"Oxnard city","54652",,,,,,,,,,,,,,,,"16000US0654652","Oxnard city, California",55666,51646,4020,"Oxnard city, California",2546,2382,1224
"G06055156","2014","CA",,,"California","06",,,"Palmdale city","55156",,,,,,,,,,,,,,,,"16000US0655156","Palmdale city, California",47428,43658,3770,"Palmdale city, California",2225,1851,940
"G06055282","2014","CA",,,"California","06",,,"Palo Alto city","55282",,,,,,,,,,,,,,,,"16000US0655282","Palo Alto city, California",27963,26288,1675,"Palo Alto city, California",1495,1319,659
"G06056000","2014","CA",,,"California","06",,,"Pasadena city","56000",,,,,,,,,,,,,,,,"16000US0656000","Pasadena city, California",57728,53100,4628,"Pasadena city, California",2494,1940,1289
"G06056700","2014","CA",,,"California","06",,,"Perris city","56700",,,,,,,,,,,,,,,,"16000US0656700","Perris city, California",18106,16481,1625,"Perris city, California",1256,1181,707
"G06057456","2014","CA",,,"California","06",,,"Pittsburg city","57456",,,,,,,,,,,,,,,,"16000US0657456","Pittsburg city, California",21688,20071,1617,"Pittsburg city, California",1567,1351,707
