GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACE,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHNBE001,AHNBE002,AHNBE003,NAME_M,AHNBM001,AHNBM002,AHNBM003
"G06003526","2017","CA",,,"California","06",,,"Bakersfield city","03526",,,,,,,,,,,,,,,,"16000US0603526","Bakersfield city, California",126624,118508,8116,"Bakersfield city, California",2891,2821,1777
"G06003666","2017","CA",,,"California","06",,,"Baldwin Park city","03666",,,,,,,,,,,,,,,,"16000US0603666","Baldwin Park city, California",18482,17725,757,"Baldwin Park city, California",1132,1006,458
"G06004982","2017","CA",,,"California","06",,,"Bellflower city","04982",,,,,,,,,,,,,,,,"16000US0604982","Bellflower city, California",26047,24796,1251,"Bellflower city, California",1479,1241,594
"G06006000","2017","CA",,,"California","06",,,"Berkeley city","06000",,,,,,,,,,,,,,,,"16000US0606000","Berkeley city, California",47286,43770,3516,"Berkeley city, California",1883,1567,963
"G06008786","2017","CA",,,"California","06",,,"Buena Park city","08786",,,,,,,,,,,,,,,,"16000US0608786","Buena Park city, California",25161,23627,1534,"Buena Park city, California",1720,1502,837
"G06008954","2017","CA",,,"California","06",,,"Burbank city","08954",,,,,,,,,,,,,,,,"16000US0608954","Burbank city, California",42567,40981,1586,"Burbank city, California",2087,1999,748
"G06010046","2017","CA",,,"California","06",,,"Camarillo city","10046",,,,,,,,,,,,,,,,"16000US0610046","Camarillo city, California",26668,25361,1307,"Camarillo city, California",1513,1403,804
"G06011194","2017","CA",,,"California","06",,,"Carlsbad city","11194",,,,,,,,,,,,,,,,"16000US0611194","Carlsbad city, California",49194,45588,3606,"Carlsbad city, California",2418,1917,1392
"G06011390","2017","CA",,,"California","06",,,"Carmichael CDP","11390",,,,,,,,,,,,,,,,"16000US0611390","Carmichael CDP, California",26947,25537,1410,"Carmichael CDP, California",1909,1932,869
"G06011530","2017","CA",,,"California","06",,,"Carson city","11530",,,,,,,,,,,,,,,,"16000US0611530","Carson city, California",26724,26070,654,"Carson city, California",1435,1338,423
"G06011964","2017","CA",,,"California","06",,,"Castro Valley CDP","11964",,,,,,,,,,,,,,,,"16000US0611964","Castro Valley CDP, California",23177,21977,1200,"Castro Valley CDP, California",1846,1541,842
"G06013014","2017","CA",,,"California","06",,,"Chico city","13014",,,,,,,,,,,,,,,,"16000US0613014","Chico city, California",41153,37547,3606,"Chico city, California",1764,1963,1055
"G06013210","2017","CA",,,"California","06",,,"Chino city","13210",,,,,,,,,,,,,,,,"16000US0613210","Chino city, California",22105,20484,1621,"Chino city, California",1569,1467,722
"G06013214","2017","CA",,,"California","06",,,"Chino Hills city","13214",,,,,,,,,,,,,,,,"16000US0613214","Chino Hills city, California",25173,23170,2003,"Chino Hills city, California",1648,1156,1017
"G06013392","2017","CA",,,"California","06",,,"Chula Vista city","13392",,,,,,,,,,,,,,,,"16000US0613392","Chula Vista city, California",87930,80417,7513,"Chula Vista city, California",3358,2948,1832
"G06013588","2017","CA",,,"California","06",,,"Citrus Heights city","13588",,,,,,,,,,,,,,,,"16000US0613588","Citrus Heights city, California",35093,33598,1495,"Citrus Heights city, California",1619,1595,718
"G06014218","2017","CA",,,"California","06",,,"Clovis city","14218",,,,,,,,,,,,,,,,"16000US0614218","Clovis city, California",37541,35855,1686,"Clovis city, California",1861,1812,654
"G06015044","2017","CA",,,"California","06",,,"Compton city","15044",,,,,,,,,,,,,,,,"16000US0615044","Compton city, California",24328,23360,968,"Compton city, California",1603,1503,496
"G06016000","2017","CA",,,"California","06",,,"Concord city","16000",,,,,,,,,,,,,,,,"16000US0616000","Concord city, California",48559,45868,2691,"Concord city, California",2330,2102,1019
"G06016350","2017","CA",,,"California","06",,,"Corona city","16350",,,,,,,,,,,,,,,,"16000US0616350","Corona city, California",50301,47942,2359,"Corona city, California",1987,1795,1026
"G06016532","2017","CA",,,"California","06",,,"Costa Mesa city","16532",,,,,,,,,,,,,,,,"16000US0616532","Costa Mesa city, California",42440,40927,1513,"Costa Mesa city, California",1874,1838,730
"G06017918","2017","CA",,,"California","06",,,"Daly City city","17918",,,,,,,,,,,,,,,,"16000US0617918","Daly City city, California",30412,29162,1250,"Daly City city, California",1820,1841,592
"G06018100","2017","CA",,,"California","06",,,"Davis city","18100",,,,,,,,,,,,,,,,"16000US0618100","Davis city, California",24992,23271,1721,"Davis city, California",1369,1258,775
"G06019766","2017","CA",,,"California","06",,,"Downey city","19766",,,,,,,,,,,,,,,,"16000US0619766","Downey city, California",34635,33578,1057,"Downey city, California",1927,1943,525
"G06020802","2017","CA",,,"California","06",,,"East Los Angeles CDP","20802",,,,,,,,,,,,,,,,"16000US0620802","East Los Angeles CDP, California",33290,31910,1380,"East Los Angeles CDP, California",2034,2054,579
"G06021712","2017","CA",,,"California","06",,,"El Cajon city","21712",,,,,,,,,,,,,,,,"16000US0621712","El Cajon city, California",34498,33587,911,"El Cajon city, California",2075,1950,627
"G06022020","2017","CA",,,"California","06",,,"Elk Grove city","22020",,,,,,,,,,,,,,,,"16000US0622020","Elk Grove city, California",55525,53661,1864,"Elk Grove city, California",2384,2046,958
"G06022230","2017","CA",,,"California","06",,,"El Monte city","22230",,,,,,,,,,,,,,,,"16000US0622230","El Monte city, California",29443,27987,1456,"El Monte city, California",1875,1698,646
"G06022804","2017","CA",,,"California","06",,,"Escondido city","22804",,,,,,,,,,,,,,,,"16000US0622804","Escondido city, California",48576,46250,2326,"Escondido city, California",2453,2261,836
"G06023182","2017","CA",,,"California","06",,,"Fairfield city","23182",,,,,,,,,,,,,,,,"16000US0623182","Fairfield city, California",39011,37324,1687,"Fairfield city, California",1687,1696,709
"G06024477","2017","CA",,,"California","06",,,"Florence-Graham CDP","24477",,,,,,,,,,,,,,,,"16000US0624477","Florence-Graham CDP, California",15162,14918,244,"Florence-Graham CDP, California",1469,1445,207
"G06024638","2017","CA",,,"California","06",,,"Folsom city","24638",,,,,,,,,,,,,,,,"16000US0624638","Folsom city, California",29102,28094,1008,"Folsom city, California",1662,1582,651
"G06024680","2017","CA",,,"California","06",,,"Fontana city","24680",,,,,,,,,,,,,,,,"16000US0624680","Fontana city, California",54941,52767,2174,"Fontana city, California",1975,1948,708
"G06026000","2017","CA",,,"California","06",,,"Fremont city","26000",,,,,,,,,,,,,,,,"16000US0626000","Fremont city, California",76172,72148,4024,"Fremont city, California",2476,2037,1253
"G06027000","2017","CA",,,"California","06",,,"Fresno city","27000",,,,,,,,,,,,,,,,"16000US0627000","Fresno city, California",180495,169409,11086,"Fresno city, California",3094,3216,1995
"G06028000","2017","CA",,,"California","06",,,"Fullerton city","28000",,,,,,,,,,,,,,,,"16000US0628000","Fullerton city, California",48826,45632,3194,"Fullerton city, California",2336,2271,1141
"G06029000","2017","CA",,,"California","06",,,"Garden Grove city","29000",,,,,,,,,,,,,,,,"16000US0629000","Garden Grove city, California",49168,48036,1132,"Garden Grove city, California",1957,1801,623
"G06030000","2017","CA",,,"California","06",,,"Glendale city","30000",,,,,,,,,,,,,,,,"16000US0630000","Glendale city, California",79620,74613,5007,"Glendale city, California",2725,2255,1159
"G06032548","2017","CA",,,"California","06",,,"Hawthorne city","32548",,,,,,,,,,,,,,,,"16000US0632548","Hawthorne city, California",31590,29450,2140,"Hawthorne city, California",1906,1775,855
"G06033000","2017","CA",,,"California","06",,,"Hayward city","33000",,,,,,,,,,,,,,,,"16000US0633000","Hayward city, California",50262,46860,3402,"Hayward city, California",2098,1709,1057
"G06033182","2017","CA",,,"California","06",,,"Hemet city","33182",,,,,,,,,,,,,,,,"16000US0633182","Hemet city, California",32461,29725,2736,"Hemet city, California",2501,1974,1167
