GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AGWME001,AGWME002,AGWME003,AGWME004,AGWME005,AGWME006,AGWME007,AGWME008,AGWME009,AGWME010,AGWME011,AGWME012,AGWME013,AGWME014,AGWME015,AGWME016,AGWME017,AGWME018,AGWME019,AGWME020,AGWME021,AGWME022,AGWME023,AGWME024,AGWME025,AGWME026,AGWME027,AGWME028,AGWME029,AGWME030,AGWME031,AGWME032,AGWME033,AGWME034,AGWME035,AGWME036,AGWME037,AGWME038,AGWME039,AGWME040,AGWME041,AGWME042,AGWME043,AGWME044,AGWME045,AGWME046,AGWME047,AGWME048,AGWME049,NAME_M,AGWMM001,AGWMM002,AGWMM003,AGWMM004,AGWMM005,AGWMM006,AGWMM007,AGWMM008,AGWMM009,AGWMM010,AGWMM011,AGWMM012,AGWMM013,AGWMM014,AGWMM015,AGWMM016,AGWMM017,AGWMM018,AGWMM019,AGWMM020,AGWMM021,AGWMM022,AGWMM023,AGWMM024,AGWMM025,AGWMM026,AGWMM027,AGWMM028,AGWMM029,AGWMM030,AGWMM031,AGWMM032,AGWMM033,AGWMM034,AGWMM035,AGWMM036,AGWMM037,AGWMM038,AGWMM039,AGWMM040,AGWMM041,AGWMM042,AGWMM043,AGWMM044,AGWMM045,AGWMM046,AGWMM047,AGWMM048,AGWMM049
"G2700370","2017","MN",,,"Minnesota","27","Dakota County","037",,,,,,,,,,,,,,,,,,"05000US27037","Dakota County, Minnesota",421751,208115,14188,13808,16410,9032,5495,2566,1532,7408,13484,14503,14733,12798,14540,14373,14208,5822,8120,3993,5234,6828,3986,2964,2090,213636,13335,13520,14747,8490,4812,1037,2174,7329,13831,14611,15434,12880,14762,15241,16215,5789,7350,4096,6315,7815,5628,4327,3898,"Dakota County, Minnesota",0,348,136,1333,1322,239,634,682,704,1029,359,737,1192,1331,490,516,1273,969,993,685,829,853,641,579,514,348,135,1235,1231,240,698,513,855,1097,684,73,1264,1330,469,247,1186,878,874,857,727,1106,935,743,728
"G2700530","2017","MN",,,"Minnesota","27","Hennepin County","053",,,,,,,,,,,,,,,,,,"05000US27053","Hennepin County, Minnesota",1252024,619807,41875,38482,38123,22011,14476,7171,6843,25385,54952,54251,47120,37937,39101,39613,40216,15377,22018,10198,17215,19059,12925,7176,8283,632217,39573,37606,36611,21108,13951,6874,7129,25545,52985,52093,46251,37020,38409,39781,43831,16647,20514,12840,17345,23552,15922,11185,15445,"Hennepin County, Minnesota",0,278,179,2404,2403,165,336,1187,1287,1589,526,538,2282,2300,215,175,2144,1442,1637,1364,1419,1362,1117,995,1080,278,179,2051,1976,155,216,1155,1258,1760,463,444,2324,2292,186,202,2128,1748,1804,1397,1531,1437,1303,1116,1369
"G2701090","2017","MN",,,"Minnesota","27","Olmsted County","109",,,,,,,,,,,,,,,,,,"05000US27109","Olmsted County, Minnesota",154930,74864,4933,5574,5529,2958,1639,391,439,3153,5279,6192,5112,4830,4681,4734,5108,1755,2534,1440,1620,2699,1547,1302,1415,80066,5483,5639,4307,3488,1355,348,970,3439,5391,5783,4818,5322,4521,4982,6619,1892,2601,1849,2364,2520,2311,1288,2776,"Olmsted County, Minnesota",0,610,204,693,809,418,303,355,277,447,555,569,690,710,407,419,633,434,519,464,349,469,343,449,362,610,378,842,755,454,261,216,513,580,328,398,682,714,449,319,706,526,575,418,544,420,498,407,454
"G2701230","2017","MN",,,"Minnesota","27","Ramsey County","123",,,,,,,,,,,,,,,,,,"05000US27123","Ramsey County, Minnesota",547974,266534,19727,18035,17268,9684,7417,3050,3462,12959,23793,21347,19572,14448,14862,15901,16221,6088,9557,6370,7267,7565,5296,3330,3315,281440,18523,17635,16748,10160,7624,4036,4560,11807,23944,21999,19030,14490,15377,16093,20199,5498,9776,6018,9231,8803,7360,6355,6174,"Ramsey County, Minnesota",0,450,176,1361,1403,469,123,949,906,1215,240,181,1484,1528,368,208,1305,936,1324,1025,954,1085,840,685,666,450,141,1575,1596,459,670,914,1300,1390,128,246,1231,1220,138,41,1206,813,1165,820,1134,1034,945,918,885
"G2701310","2017","MN",,,"Minnesota","27","Rice County","131",,,,,,,,,,,,,,,,,,"05000US27131","Rice County, Minnesota",65968,33316,1946,1736,1945,1059,1457,1319,879,1361,1643,2441,2016,2232,2279,1991,2140,919,1137,686,868,1399,701,544,618,32652,2132,2133,2020,1343,1549,634,1172,943,1653,1578,2622,1385,1773,1924,2268,1220,762,673,887,1481,948,889,663,"Rice County, Minnesota",0,507,253,396,409,34,259,538,524,611,230,430,544,628,282,73,431,338,380,277,342,268,245,301,338,507,361,423,472,158,233,217,399,345,360,205,607,394,110,144,439,377,291,270,345,352,350,372,302
"G2701370","2017","MN",,,"Minnesota","27","St. Louis County","137",,,,,,,,,,,,,,,,,,"05000US27137","St. Louis County, Minnesota",200000,99865,4974,5312,5835,3380,3866,1959,3611,3481,6174,5808,6007,5555,5602,6048,8509,2207,4458,2413,4305,4114,3160,1338,1749,100135,5301,4631,5679,2948,3997,3312,1110,4344,5674,5272,5161,5815,5004,6200,8286,2698,4475,2575,3834,4224,3610,2452,3533,"St. Louis County, Minnesota",0,678,177,672,624,298,296,719,1410,1011,291,336,704,685,267,173,803,440,624,544,585,493,472,354,395,678,423,708,710,173,307,1092,460,1148,384,211,703,667,143,203,854,604,699,544,682,651,646,537,677
"G2701390","2017","MN",,,"Minnesota","27","Scott County","139",,,,,,,,,,,,,,,,,,"05000US27139","Scott County, Minnesota",145827,74003,5374,6206,6697,3438,1957,789,297,2573,3897,5005,5795,5375,5799,5470,4924,1781,1996,809,1476,1966,1300,503,576,71824,4553,5256,5831,3272,1503,492,1178,2214,4392,4872,5044,5613,5889,5248,4844,1409,2085,1274,1727,1876,1258,666,1328,"Scott County, Minnesota",0,805,390,1097,1066,474,444,418,333,482,634,684,1029,927,591,421,728,504,518,367,434,427,421,298,308,805,364,865,869,387,353,357,671,466,847,583,972,951,377,256,722,558,583,427,411,490,392,309,418
"G2701410","2017","MN",,,"Minnesota","27","Sherburne County","141",,,,,,,,,,,,,,,,,,"05000US27141","Sherburne County, Minnesota",94570,48892,3123,3686,3475,2099,1494,1031,579,1726,3286,3453,3657,3208,3601,3612,3452,865,1702,829,1243,1180,746,599,246,45678,3291,3726,3192,2220,910,347,362,1525,2559,3466,3040,3242,3324,3279,3560,809,1168,1038,1356,1061,995,582,626,"Sherburne County, Minnesota",0,871,168,680,791,177,396,611,366,663,335,314,791,813,225,178,585,396,541,438,449,424,340,321,202,871,435,763,701,266,153,383,345,466,175,432,734,703,98,135,664,458,553,441,500,490,329,313,312
"G2701450","2017","MN",,,"Minnesota","27","Stearns County","145",,,,,,,,,,,,,,,,,,"05000US27145","Stearns County, Minnesota",157822,79463,5306,5350,5063,2862,4062,1910,1351,4926,4598,5381,4718,4368,4632,4745,3915,2740,2788,1766,2465,2065,1852,1290,1310,78359,4835,4548,5475,2896,3467,1460,1646,5400,5023,4512,4772,3653,4195,4832,4948,1992,2404,1855,2447,2310,2110,1603,1976,"Stearns County, Minnesota",0,674,551,823,813,336,638,588,587,848,276,608,747,819,567,157,646,629,551,493,562,403,352,314,320,674,552,824,852,277,362,509,616,888,511,479,576,568,318,241,688,456,503,451,506,496,433,367,414
"G2701630","2017","MN",,,"Minnesota","27","Washington County","163",,,,,,,,,,,,,,,,,,"05000US27163","Washington County, Minnesota",256348,127358,8159,8890,9088,6155,3077,1518,1466,4046,7584,7604,8733,7877,9575,9114,8234,2904,5992,2867,3947,4118,3498,1700,1212,128990,7284,8038,10191,5342,2649,1052,947,4737,7137,8213,8568,8306,9108,9341,9617,3842,4694,2932,4121,4283,3714,2111,2763,"Washington County, Minnesota",0,1013,432,1035,1015,621,386,505,554,632,641,564,1070,1039,661,471,1065,594,964,633,664,644,654,544,463,1013,446,1032,1077,406,395,549,485,700,619,793,1181,1218,610,362,1022,911,780,666,690,671,573,533,659
"G2701710","2017","MN",,,"Minnesota","27","Wright County","171",,,,,,,,,,,,,,,,,,"05000US27171","Wright County, Minnesota",134286,67603,4675,5887,5383,3226,1478,716,991,2042,3457,4212,4944,4653,4936,4771,5017,1220,2386,1104,1177,2469,1536,673,650,66683,4555,4457,6352,3179,1573,544,430,2200,3389,4425,4647,4969,4438,4523,4284,1728,1955,970,1854,2261,1770,1203,977,"Wright County, Minnesota",0,484,142,814,914,291,77,582,433,616,162,153,828,805,253,201,850,511,583,400,358,439,337,254,277,484,410,790,810,383,290,342,297,384,209,384,786,837,116,62,707,594,664,365,575,506,390,512,374
"G2800330","2017","MS",,,"Mississippi","28","DeSoto County","033",,,,,,,,,,,,,,,,,,"05000US28033","DeSoto County, Mississippi",178751,86503,5520,6159,7372,4762,2696,1052,622,3854,5538,5500,5740,6723,5417,5798,5859,1898,1872,1585,2439,2845,1380,1257,615,92248,5461,5742,7406,3936,1910,1875,1102,2863,5579,5971,6915,7142,6672,6012,6181,1612,2874,1533,3103,3657,2358,1419,925,"DeSoto County, Mississippi",0,651,210,1242,1271,611,716,539,376,809,233,394,1011,942,589,244,883,617,598,540,666,615,479,438,359,651,213,1231,1153,581,589,814,613,849,118,321,1112,934,310,181,876,540,726,565,677,688,549,465,513
"G2800350","2017","MS",,,"Mississippi","28","Forrest County","035",,,,,,,,,,,,,,,,,,"05000US28035","Forrest County, Mississippi",75471,35950,2731,2569,2351,1517,1991,657,1225,1134,3248,2521,2257,1958,1311,2476,1799,528,1336,341,999,1119,779,636,467,39521,2298,2867,1853,1182,1936,749,1127,2761,3214,2210,2854,1930,2065,2260,1656,1058,1608,568,609,1292,1275,1090,1059,"Forrest County, Mississippi",0,851,671,736,773,416,625,349,593,492,226,739,932,716,643,702,557,387,644,324,443,499,478,424,297,851,629,909,839,405,624,426,647,1000,173,535,721,745,464,119,508,481,550,341,307,413,545,441,467
"G2800470","2017","MS",,,"Mississippi","28","Harrison County","047",,,,,,,,,,,,,,,,,,"05000US28047","Harrison County, Mississippi",205027,99395,6828,8417,5684,3570,3877,1611,816,4866,7224,6614,7002,4832,6226,6081,5817,3285,3216,2501,2844,3468,2074,1819,723,105632,6573,6265,7829,4136,2925,2116,857,3378,7410,8000,7291,5318,7096,6143,6717,3760,3356,1179,3171,5937,2367,1849,1959,"Harrison County, Mississippi",0,917,294,1357,1233,496,586,860,528,1258,546,520,1040,1132,416,278,1015,888,921,709,715,748,574,648,303,917,267,1189,1135,512,648,918,515,970,473,830,1216,1097,745,882,1201,1100,740,412,761,777,579,561,498
"G2800490","2017","MS",,,"Mississippi","28","Hinds County","049",,,,,,,,,,,,,,,,,,"05000US28049","Hinds County, Mississippi",239497,111302,7562,8574,8185,4995,3661,2890,1349,4691,8797,7282,6970,6006,6120,6717,7136,2087,4250,2032,3383,3262,2343,1588,1422,128195,7940,7442,9013,4863,3689,1647,2596,5791,10071,8472,8533,6825,7499,7602,9024,3299,4214,3491,4395,3143,3150,1721,3775,"Hinds County, Mississippi",0,767,217,1298,1307,141,372,778,519,951,231,271,1042,1056,85,206,891,668,861,622,731,701,540,580,525,767,213,1083,1076,217,350,621,646,881,505,185,1019,1005,207,217,1088,860,878,821,879,734,827,460,763
"G2800590","2017","MS",,,"Mississippi","28","Jackson County","059",,,,,,,,,,,,,,,,,,"05000US28059","Jackson County, Mississippi",142152,70166,4445,2866,6793,3942,1954,1113,966,2757,4101,4043,4243,3854,5145,4661,5184,2935,1226,1323,2367,2593,2352,721,582,71986,3799,3991,5238,2745,1545,1415,765,2923,4403,4117,5957,3009,5197,4652,5021,2177,2830,1441,2606,3055,1795,1976,1329,"Jackson County, Mississippi",0,1150,746,1109,780,691,796,820,773,1107,530,615,951,854,614,519,1061,1059,557,467,649,664,607,461,449,1150,760,1193,1249,537,475,870,570,1088,772,2,839,714,669,465,1043,777,827,870,816,836,683,817,550
"G2800670","2017","MS",,,"Mississippi","28","Jones County","067",,,,,,,,,,,,,,,,,,"05000US28067","Jones County, Mississippi",67930,33544,2820,2293,2904,1216,1860,231,216,1041,1985,1906,2311,931,2141,2392,2854,597,726,1036,1403,943,439,926,373,34386,1632,2177,2011,2166,2136,26,349,933,1713,2364,2195,1755,2108,1849,1740,1123,1808,404,1437,1556,1251,920,733,"Jones County, Mississippi",0,562,395,834,918,401,863,263,262,668,729,671,551,552,535,668,738,492,477,579,595,464,240,350,220,562,320,840,847,539,907,51,353,476,499,633,875,743,503,357,601,703,725,311,541,552,431,415,420
"G2800750","2017","MS",,,"Mississippi","28","Lauderdale County","075",,,,,,,,,,,,,,,,,,"05000US28075","Lauderdale County, Mississippi",76155,36471,2064,2156,2845,1640,1172,304,416,1286,3021,2441,2425,2152,2038,2284,2366,424,2021,651,1155,1443,834,618,715,39684,2717,3167,2526,894,1125,19,338,2166,2164,2535,2358,2139,2459,2587,2917,431,1812,801,1063,2048,1575,853,990,"Lauderdale County, Mississippi",0,805,630,776,759,509,799,331,396,733,824,879,790,667,429,498,729,355,687,371,398,467,383,244,363,805,595,686,560,571,538,37,323,672,617,200,664,663,77,91,547,339,600,380,415,499,477,437,486
"G2800810","2017","MS",,,"Mississippi","28","Lee County","081",,,,,,,,,,,,,,,,,,"05000US28081","Lee County, Mississippi",84933,40377,2781,2497,3489,2210,968,991,518,948,2825,2577,2158,2824,2744,2595,2441,1165,1423,833,1211,1291,1022,373,493,44556,3074,3997,2411,1403,1733,468,638,734,3336,2411,2946,2931,2823,2969,3020,1176,1331,990,1104,2031,1037,826,1167,"Lee County, Mississippi",0,649,74,731,756,270,412,484,397,401,185,366,599,601,342,326,530,438,460,328,407,346,371,294,323,649,162,735,680,270,646,337,483,456,553,409,628,638,127,46,625,533,455,394,385,456,375,339,381
"G2800890","2017","MS",,,"Mississippi","28","Madison County","089",,,,,,,,,,,,,,,,,,"05000US28089","Madison County, Mississippi",104618,51365,4234,3983,3923,2535,1387,1430,494,1859,2254,3478,3406,3722,3065,3216,4067,399,1866,876,1427,1713,1447,391,193,53253,2165,4197,3187,2077,1327,231,770,2345,3282,3699,5011,2754,3596,3568,3351,869,3075,1262,1839,2170,550,569,1359,"Madison County, Mississippi",0,933,359,725,677,743,521,842,370,784,541,180,717,971,721,59,630,299,651,374,493,518,420,245,144,933,409,807,901,733,367,223,586,651,138,291,775,730,105,94,752,420,715,555,589,531,289,311,379
"G2801210","2017","MS",,,"Mississippi","28","Rankin County","121",,,,,,,,,,,,,,,,,,"05000US28121","Rankin County, Mississippi",152080,72125,3768,5481,5206,3095,1384,848,483,1957,6005,4527,6667,4427,5371,4512,4617,2455,1707,1867,1722,2392,1847,763,1024,79955,5341,5302,4661,3355,1209,387,1637,3090,5359,5055,7457,4564,5501,4321,5239,891,3742,2148,2312,2713,2483,1926,1262,"Rankin County, Mississippi",0,650,439,1010,989,438,256,616,575,645,583,586,1177,1238,647,435,894,838,544,557,586,593,565,461,615,650,476,1083,1103,442,596,341,986,1243,1016,611,1311,1178,722,370,935,473,861,733,718,669,786,643,478
"G2900190","2017","MO",,,"Missouri","29","Boone County","019",,,,,,,,,,,,,,,,,,"05000US29019","Boone County, Missouri",178271,87231,5398,5605,4780,3469,3821,3527,4536,4577,7212,5648,6073,4901,4529,4748,4328,2084,2428,1768,2258,2055,1757,1205,524,91040,5287,5405,3972,2128,4846,3282,3377,6802,8401,5689,5269,5231,4603,4875,5482,1491,2942,1404,3170,2289,1832,1717,1546,"Boone County, Missouri",0,1110,604,1290,1097,840,578,1034,1687,1631,700,381,1047,1018,544,538,802,622,564,589,553,596,405,505,282,1110,661,1022,959,118,665,1012,1198,2164,1222,645,1081,1632,905,507,724,563,739,549,593,608,553,618,573
"G2900210","2017","MO",,,"Missouri","29","Buchanan County","021",,,,,,,,,,,,,,,,,,"05000US29021","Buchanan County, Missouri",89065,43662,2882,2926,2457,1750,1297,1203,373,1600,3262,3610,2553,2670,2370,2891,3105,1126,1408,819,1309,1496,939,1110,506,45403,2956,2890,3059,1538,1094,353,998,1861,3520,2695,2602,2286,2505,3038,2462,1239,1792,1153,1613,1846,1809,945,1149,"Buchanan County, Missouri",0,961,168,626,610,261,752,563,272,507,349,609,600,626,113,276,576,379,436,335,342,406,325,400,210,961,322,492,622,278,153,333,479,649,542,361,647,576,240,388,477,419,454,524,543,473,451,317,466
"G2900310","2017","MO",,,"Missouri","29","Cape Girardeau County","031",,,,,,,,,,,,,,,,,,"05000US29031","Cape Girardeau County, Missouri",78161,37059,1888,2799,1887,1372,1387,1136,752,2313,2638,2155,2400,1989,2006,2260,2698,579,1360,981,688,1620,1280,559,312,41102,2363,2900,1790,1512,2003,1484,679,2123,2285,2331,1735,2587,2053,2652,2902,1250,1107,899,1310,1745,1271,413,1708,"Cape Girardeau County, Missouri",0,638,118,648,646,159,344,499,414,546,323,186,636,465,132,184,494,283,448,388,309,406,374,312,250,638,409,536,419,248,628,715,469,872,242,364,580,588,67,274,476,428,440,416,488,405,513,243,510
"G2900370","2017","MO",,,"Missouri","29","Cass County","037",,,,,,,,,,,,,,,,,,"05000US29037","Cass County, Missouri",103724,51203,3461,4781,2942,2176,1271,198,557,1829,3285,3978,3501,2567,3139,3253,3559,1226,2058,1094,1120,2122,1569,873,644,52521,2678,3408,3848,1887,1088,581,115,1911,3482,2821,2755,3694,3436,3902,4130,1781,1388,1973,1330,1886,1463,1571,1393,"Cass County, Missouri",0,615,540,674,631,201,295,187,419,502,512,497,586,488,221,144,623,465,645,364,356,433,429,341,302,615,228,624,675,56,162,361,124,458,481,133,549,664,277,388,677,591,534,560,394,532,465,416,415
"G2900430","2017","MO",,,"Missouri","29","Christian County","043",,,,,,,,,,,,,,,,,,"05000US29043","Christian County, Missouri",85432,41237,2495,2736,3183,2059,1618,685,209,1151,2422,2738,2147,3156,2791,2543,2889,1246,1320,641,774,2249,751,1016,418,44195,3078,2536,3340,2260,863,1129,316,1003,2936,2846,2453,3021,2817,2651,3133,1350,1164,922,1678,1634,1423,805,837,"Christian County, Missouri",0,792,190,618,606,310,941,472,199,592,71,213,563,623,166,102,792,573,514,281,317,380,400,410,298,792,656,594,489,539,140,555,286,411,331,65,588,577,200,35,593,644,478,580,595,587,420,358,461
"G2900470","2017","MO",,,"Missouri","29","Clay County","047",,,,,,,,,,,,,,,,,,"05000US29047","Clay County, Missouri",242874,119191,7454,8338,8923,5123,2749,1284,1250,5459,7615,8654,9124,7919,7939,8086,7414,3160,3314,2188,2406,5115,2172,2357,1148,123683,7897,8409,8050,4527,3375,1746,1244,4197,7682,8614,9586,7667,8398,7816,8436,3234,4179,2666,4570,3745,3069,2194,2382,"Clay County, Missouri",0,1009,597,1378,1422,312,519,576,579,1071,528,759,1272,1167,532,648,854,848,743,652,662,891,573,560,432,1009,655,974,924,353,619,767,740,956,526,721,1221,1080,519,460,1149,843,869,676,843,747,699,709,753
"G2900510","2017","MO",,,"Missouri","29","Cole County","051",,,,,,,,,,,,,,,,,,"05000US29051","Cole County, Missouri",76708,38909,2503,2606,2140,1349,999,927,601,1922,2752,3011,3268,1861,2195,2602,2422,666,1812,706,990,1652,925,711,289,37799,2056,2368,2412,1317,1647,315,375,762,2496,2388,2492,2065,2356,2352,2163,1503,1626,846,1355,1849,1680,664,712,"Cole County, Missouri",0,685,590,635,514,167,469,497,509,712,451,502,718,530,21,253,519,283,383,287,299,351,255,269,190,685,343,580,576,216,598,327,380,446,351,324,504,539,427,183,599,454,484,356,396,513,429,296,273
"G2900710","2017","MO",,,"Missouri","29","Franklin County","071",,,,,,,,,,,,,,,,,,"05000US29071","Franklin County, Missouri",103330,51516,3202,2938,3923,2517,1252,793,622,1577,3304,3100,3112,2622,3260,3686,4527,1068,2142,1241,1336,2219,1422,1452,201,51814,2971,2886,3362,2229,893,238,1017,1324,3107,3039,3041,2712,3270,3816,4588,1662,1866,672,2182,2687,2062,1281,909,"Franklin County, Missouri",0,709,216,596,717,535,100,391,441,549,195,94,771,743,185,71,656,540,557,378,467,550,517,555,197,709,242,597,633,380,190,271,529,554,190,97,628,621,185,139,690,602,528,323,536,599,584,611,420
"G2900770","2017","MO",,,"Missouri","29","Greene County","077",,,,,,,,,,,,,,,,,,"05000US29077","Greene County, Missouri",289805,141549,9075,8998,8125,5148,4228,2989,3194,9660,10529,9128,8712,8082,8942,8801,7821,3098,4912,2330,5991,3956,3754,2662,1414,148256,8761,7796,8423,4135,5227,4281,2375,8574,10344,9330,7694,8022,9210,8822,9465,3589,5230,3548,4650,6104,4343,3202,5131,"Greene County, Missouri",0,1022,387,1149,1226,713,328,1023,966,1144,491,581,1115,1221,577,673,881,831,735,608,857,700,657,706,541,1022,606,1261,1206,229,478,1148,855,1232,413,635,1168,1197,685,558,941,812,776,769,817,847,700,725,832
"G2900950","2017","MO",,,"Missouri","29","Jackson County","095",,,,,,,,,,,,,,,,,,"05000US29095","Jackson County, Missouri",698895,338353,23862,22655,24286,13783,7786,3964,3487,13387,27993,25192,24042,18409,21359,21436,22032,9608,11714,5700,8756,12336,7991,5085,3490,360542,22528,23290,22605,13191,7710,4257,2970,14352,28670,25987,24111,20194,21652,22956,24803,9212,13818,7533,11096,13594,11123,7117,7773,"Jackson County, Missouri",0,598,219,1513,1575,220,269,1017,911,1233,224,237,1810,1764,214,242,1506,1371,1309,1052,1091,1325,874,743,699,598,270,2001,2050,336,657,1300,853,1258,173,147,1788,1839,564,540,1769,1492,1393,1022,1214,1341,1175,969,1009
"G2900970","2017","MO",,,"Missouri","29","Jasper County","097",,,,,,,,,,,,,,,,,,"05000US29097","Jasper County, Missouri",120217,59012,4513,4230,3777,2684,1474,1006,756,2468,3943,4640,3932,3733,3492,3576,2805,2143,2116,1507,1154,2010,1489,602,962,61205,4403,3757,4436,2661,1240,981,973,2049,4505,4306,3696,3630,3543,3329,3763,1838,1716,1326,1968,2394,2075,1132,1484,"Jasper County, Missouri",0,1056,858,752,796,644,242,413,507,787,285,564,1080,891,470,306,633,657,593,571,431,575,415,428,431,1056,803,1004,1079,521,142,351,526,617,386,602,945,777,345,190,671,555,598,415,565,636,584,485,610
"G2900990","2017","MO",,,"Missouri","29","Jefferson County","099",,,,,,,,,,,,,,,,,,"05000US29099","Jefferson County, Missouri",223810,112296,6420,6116,9667,4928,2441,775,1398,4188,7362,7496,8520,6215,7279,8028,8952,2607,4708,2750,2979,4242,2589,1523,1113,111514,6538,6302,7891,4200,2118,1219,970,3358,6970,7093,7504,6768,7842,8372,7821,4171,4520,2172,4335,4212,3059,2248,1831,"Jefferson County, Missouri",0,845,124,1069,1100,429,141,439,687,967,589,372,1021,932,246,219,1044,663,875,847,766,839,698,511,582,845,278,1271,1194,190,68,633,317,665,317,180,1083,989,399,284,1048,951,811,539,776,729,773,725,601
"G2901650","2017","MO",,,"Missouri","29","Platte County","165",,,,,,,,,,,,,,,,,,"05000US29165","Platte County, Missouri",101187,49359,2989,3535,3162,2311,981,704,239,2159,3064,3545,3265,3434,4284,3218,2542,1906,1741,1350,1550,1228,1545,320,287,51828,3356,3482,3336,1837,383,505,346,3100,3624,3248,3510,3089,3490,3830,3615,1246,1915,1218,1667,1779,1632,529,1091,"Platte County, Missouri",0,859,569,816,833,450,128,548,271,681,244,456,643,684,650,235,673,644,503,477,525,435,268,205,206,859,679,989,676,277,295,371,214,798,567,501,672,709,428,564,602,509,651,510,552,636,381,356,427
"G2901830","2017","MO",,,"Missouri","29","St. Charles County","183",,,,,,,,,,,,,,,,,,"05000US29183","St. Charles County, Missouri",395504,194591,12670,12160,14954,7891,5133,2030,2843,7019,12423,13521,12590,13477,13231,13037,13482,5224,7046,3594,6608,6125,4096,2886,2551,200913,11348,14019,11819,8577,5015,2453,3658,5306,11981,13897,12925,12714,13828,13531,15707,5098,6608,4787,6379,7342,6345,3574,4002,"St. Charles County, Missouri",0,1009,656,1463,1463,458,597,751,724,1019,795,660,1262,1426,912,482,1187,967,979,727,905,936,709,651,709,1009,607,1360,1359,570,514,823,1028,1368,507,958,1300,1438,947,430,1110,1070,1069,1106,1049,1186,887,670,769
"G2901870","2017","MO",,,"Missouri","29","St. Francois County","187",,,,,,,,,,,,,,,,,,"05000US29187","St. Francois County, Missouri",66705,36586,2338,1906,1913,1349,783,120,453,794,4446,3195,2178,2943,2287,2366,2624,1143,822,1422,436,1145,1112,505,306,30119,1743,1555,2163,1005,517,5,251,1262,1955,1850,1763,1919,1958,1893,2448,629,1302,947,1211,1064,1181,368,1130,"St. Francois County, Missouri",0,756,454,620,620,544,817,127,321,426,871,761,530,521,49,164,594,447,456,453,329,489,358,320,277,756,179,637,637,544,428,11,250,475,190,190,729,728,107,190,787,394,518,499,465,471,441,280,456
"G2901890","2017","MO",,,"Missouri","29","St. Louis County","189",,,,,,,,,,,,,,,,,,"05000US29189","St. Louis County, Missouri",996726,473149,29529,29517,32861,20255,12587,4956,5341,20570,31008,30542,30284,25618,28560,31527,34249,13724,18528,11744,14536,17462,12565,7545,9641,523577,28495,28212,31577,19133,11209,5279,7085,18977,32695,33216,31283,30170,32812,35414,38944,14841,21384,11448,19077,24480,15392,11774,20680,"St. Louis County, Missouri",0,868,2,2150,2168,602,639,1101,1190,1409,2,148,2125,2105,468,326,2359,1903,1781,1274,1454,1391,1318,1204,1209,868,4,2305,2266,652,322,1305,1553,1818,190,358,2382,2403,479,127,1953,1642,2032,1270,1808,1854,1452,1437,1671
"G2905100","2017","MO",,,"Missouri","29","St. Louis city","510",,,,,,,,,,,,,,,,,,"05000US29510","St. Louis city, Missouri",308626,149544,10682,8314,7464,4324,3410,1378,1870,7230,16265,13864,10815,8925,8770,9762,10175,4673,4927,3291,3510,4068,3423,1226,1178,159082,9202,7410,8100,4335,3858,2695,1463,6981,17092,14716,11647,8973,8740,9473,10467,4406,6397,3450,4485,5055,3768,2918,3451,"St. Louis city, Missouri",0,477,530,1307,1278,281,457,507,676,901,246,498,1329,1328,601,429,1211,1007,1025,682,691,574,548,437,463,477,54,1059,1085,234,476,757,621,932,302,167,1324,1255,344,350,1036,803,1037,683,844,735,714,716,768
"G3000130","2017","MT",,,"Montana","30","Cascade County","013",,,,,,,,,,,,,,,,,,"05000US30013","Cascade County, Montana",81654,41175,2870,2705,2682,1235,680,1051,612,1802,3240,2592,2003,2654,1962,2576,2968,926,1441,736,1253,2117,1171,966,933,40479,2427,2672,2437,1173,808,494,461,1818,2863,2599,1945,2474,1940,2681,3255,914,1594,1307,1180,1544,1638,1414,841,"Cascade County, Montana",0,729,481,697,749,92,388,651,496,713,403,299,510,524,129,304,534,393,395,293,401,462,348,405,399,729,218,665,561,95,418,298,281,461,356,278,498,554,123,343,561,326,419,386,359,398,445,498,351
"G3000290","2017","MT",,,"Montana","30","Flathead County","029",,,,,,,,,,,,,,,,,,"05000US30029","Flathead County, Montana",100000,49063,2771,2928,3346,1994,1377,615,473,916,2846,2970,3211,2668,2913,3209,3175,1242,3454,1222,1604,2894,1600,859,776,50937,2626,2299,3719,2393,973,674,307,1484,3110,3093,2347,3939,2806,3276,3651,2009,2681,1403,2473,2000,1490,670,1514,"Flathead County, Montana",0,726,75,681,651,228,579,439,306,369,372,242,699,717,128,344,656,503,828,391,457,555,415,397,480,726,71,578,604,546,161,359,373,654,309,186,618,579,174,240,723,763,715,529,574,580,468,299,484
