GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AGWME001,AGWME002,AGWME003,AGWME004,AGWME005,AGWME006,AGWME007,AGWME008,AGWME009,AGWME010,AGWME011,AGWME012,AGWME013,AGWME014,AGWME015,AGWME016,AGWME017,AGWME018,AGWME019,AGWME020,AGWME021,AGWME022,AGWME023,AGWME024,AGWME025,AGWME026,AGWME027,AGWME028,AGWME029,AGWME030,AGWME031,AGWME032,AGWME033,AGWME034,AGWME035,AGWME036,AGWME037,AGWME038,AGWME039,AGWME040,AGWME041,AGWME042,AGWME043,AGWME044,AGWME045,AGWME046,AGWME047,AGWME048,AGWME049,NAME_M,AGWMM001,AGWMM002,AGWMM003,AGWMM004,AGWMM005,AGWMM006,AGWMM007,AGWMM008,AGWMM009,AGWMM010,AGWMM011,AGWMM012,AGWMM013,AGWMM014,AGWMM015,AGWMM016,AGWMM017,AGWMM018,AGWMM019,AGWMM020,AGWMM021,AGWMM022,AGWMM023,AGWMM024,AGWMM025,AGWMM026,AGWMM027,AGWMM028,AGWMM029,AGWMM030,AGWMM031,AGWMM032,AGWMM033,AGWMM034,AGWMM035,AGWMM036,AGWMM037,AGWMM038,AGWMM039,AGWMM040,AGWMM041,AGWMM042,AGWMM043,AGWMM044,AGWMM045,AGWMM046,AGWMM047,AGWMM048,AGWMM049
"G0101270","2017","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",64058,30846,1819,2253,1651,828,699,200,374,1348,2414,1895,1741,1524,2085,2340,2081,830,1466,614,666,2144,802,776,296,33212,1935,1901,1759,1908,844,628,96,978,1816,1551,1298,2351,2195,1996,2634,947,1615,891,1348,1621,929,622,1349,"Walker County, Alabama",0,589,305,650,564,504,143,182,283,452,407,286,496,489,112,310,590,414,492,340,365,411,265,321,199,589,305,424,476,415,380,303,97,368,200,69,440,409,254,200,572,464,419,358,405,461,346,320,403
"G0200200","2017","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",294356,149386,9966,11141,9376,5722,4742,2251,2662,6632,14458,12444,11997,8622,8833,8241,8714,4095,4514,2849,3697,4186,2227,1227,790,144970,11591,10434,8816,4996,3163,2417,1765,6216,12268,10848,12592,8285,7569,9783,9999,3203,5040,2114,3924,4138,2268,1571,1970,"Anchorage Municipality, Alaska",0,1234,866,1104,1067,1036,900,985,781,1298,732,846,1637,1416,703,524,1147,855,874,654,901,782,551,361,354,1234,836,1495,1334,778,778,884,853,1147,947,1003,1545,1268,557,987,1067,907,950,757,838,747,720,445,652
"G0200900","2017","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",99703,52701,3544,4047,2275,1348,1901,896,1982,4196,5863,4411,3152,3719,2306,2380,2801,1305,1645,1060,1251,1421,434,515,249,47002,3488,4383,3023,1824,876,539,626,2841,4940,4242,3091,2232,2389,2858,3024,1212,815,802,1395,866,877,459,200,"Fairbanks North Star Borough, Alaska",0,1422,502,1077,826,284,958,568,1316,1167,817,665,873,1154,283,169,639,592,514,658,513,594,298,351,254,1422,650,1192,811,607,627,448,394,723,682,805,900,773,431,557,679,587,444,437,590,460,473,290,146
"G0201700","2017","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",106532,55528,3969,3614,4961,2618,1433,532,1105,2039,3734,3861,4404,2778,3691,3624,4141,1454,1612,1092,1139,1970,694,690,373,51004,3759,3875,4147,2207,867,725,311,2397,3215,3498,3785,3184,3018,3200,3437,1581,1595,936,1567,1686,1062,408,544,"Matanuska-Susitna Borough, Alaska",0,330,194,515,525,248,296,389,524,451,128,338,649,547,379,296,507,437,394,366,295,322,308,331,244,330,190,561,560,188,111,350,182,481,99,157,605,597,236,273,490,469,439,343,301,420,299,204,251
"G0400010","2017","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",71606,35700,2326,2925,3233,1753,1548,832,451,1069,2318,2219,2314,1723,1780,2037,2065,981,1225,584,1359,1154,626,884,294,35906,2293,2763,2675,1811,1205,218,570,1362,2159,2279,2177,1646,2157,2085,2450,705,1499,1010,1517,1128,851,840,506,"Apache County, Arizona",0,701,244,515,690,81,387,602,326,388,165,372,414,480,176,163,409,402,447,245,376,307,248,394,137,701,211,448,420,167,299,174,199,282,238,362,425,418,347,272,457,285,444,310,377,280,284,270,191
"G0400030","2017","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",124756,63763,3813,4338,3315,2308,1562,1020,385,2821,5047,3929,3776,3141,3496,3342,3309,1846,3151,1683,2211,3661,2193,2074,1342,60993,3703,4828,2721,2048,957,658,645,2823,3479,3345,2641,3598,3246,3627,4036,1920,3066,1286,2802,3643,2987,1549,1385,"Cochise County, Arizona",0,824,240,778,861,230,528,416,333,874,446,193,662,656,483,179,671,519,681,458,680,684,416,549,526,824,278,872,660,208,489,503,340,696,180,219,702,688,305,185,831,707,621,539,675,644,644,523,535
"G0400050","2017","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",140776,70219,4044,2969,5284,3485,4276,2014,1707,4997,5534,4522,4670,2969,3675,3738,4571,1125,2910,1399,1614,1992,1845,433,446,70557,3588,2972,5176,2051,8075,2433,1538,2735,5156,3865,4124,3817,3433,4061,4600,1442,2548,1231,2262,2259,1507,809,875,"Coconino County, Arizona",0,1009,251,736,752,739,595,856,717,907,4,614,902,614,489,380,922,418,685,350,416,368,502,184,269,1009,184,853,631,454,1814,1026,1141,1143,523,347,836,900,367,454,661,427,668,378,503,502,356,342,327
"G0400130","2017","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",4307033,2130646,143769,141321,157487,90922,57615,30263,30620,86070,165089,152009,142931,137017,139572,131517,126559,48053,61983,39356,58649,74840,54582,33562,26860,2176387,136856,136292,151105,87511,54264,28645,28753,81064,159526,146624,144615,135785,141657,135286,134854,48633,74130,43970,66553,90509,63380,38980,47395,"Maricopa County, Arizona",0,511,208,4880,4891,172,255,2995,3173,3198,219,282,4698,4675,203,261,3878,2713,3194,2495,3084,3189,2407,2133,2130,511,323,4829,4825,298,206,2832,2769,3584,235,0,4262,4200,194,297,4473,2875,4188,2946,3053,3263,2974,2710,2481
"G0400150","2017","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",207200,103960,4976,4345,5778,3198,2148,671,912,1926,7085,3943,5412,5030,5550,6236,8263,2637,5367,3157,7118,7339,5876,4596,2397,103240,4330,3751,6374,3447,2848,691,771,2254,5150,4772,4269,3790,5593,7219,8803,2630,5481,4260,6041,7393,6217,4371,2785,"Mohave County, Arizona",0,956,669,1173,1175,396,617,462,514,538,733,532,1420,1246,411,551,1201,790,1070,822,1022,977,1017,766,876,956,564,1020,873,401,645,370,505,744,835,832,1092,789,786,879,1055,694,1026,947,1168,1009,1237,882,873
"G0400170","2017","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",108956,55149,4081,3436,5093,2879,1710,721,665,2253,3358,2987,2918,2758,3231,3143,3456,1360,2424,1700,1771,1970,1535,1000,700,53807,3619,3396,4921,2020,1445,591,692,1389,3501,1957,3612,2503,3173,3488,3865,1979,1924,1021,2280,2471,1842,896,1222,"Navajo County, Arizona",0,385,269,537,528,278,559,404,288,451,546,267,603,463,375,235,689,532,503,482,518,490,489,429,373,385,273,705,774,500,344,401,428,399,166,266,660,656,432,323,668,627,593,373,523,592,410,366,447
